Date,Open,High,Low,Close,Volume
2015-06-22,33.95,34.06,33.63,33.69,2041251
2015-06-23,33.76,33.79,33.17,33.27,2537825
2015-06-24,33.25,33.35,33.0,33.0,2059655
2015-06-25,33.04,33.14,32.83,32.86,2219388
2015-06-26,32.86,33.05,32.57,32.75,2285235
2015-06-29,32.68,33.38,32.585,32.61,2491966
2015-06-30,32.69,32.81,32.46,32.55,2313674
2015-07-01,32.66,32.825,32.53,32.81,1796146
2015-07-02,33.09,33.41,32.955,33.21,1411063
2015-07-06,33.14,33.52,32.87,33.31,1944234
2015-07-07,33.43,34.18,33.39,34.06,2727214
2015-07-08,33.89,34.16,33.71,33.79,2412301
2015-07-09,33.91,34.14,33.33,33.47,1615692
2015-07-10,33.63,33.93,33.42,33.66,1477544
2015-07-13,33.78,33.84,33.43,33.67,1555141
2015-07-14,33.67,33.88,33.44,33.62,1471412
2015-07-15,33.55,33.865,33.43,33.86,1690144
2015-07-16,33.9,34.73,33.79,34.69,3000994
2015-07-17,34.56,34.6,34.27,34.4,2068995
2015-07-20,34.4,34.42,33.76,33.97,1858641
2015-07-21,33.86,33.95,33.19,33.28,1900809
2015-07-22,33.37,33.61,33.1901,33.32,2148031
2015-07-23,32.9,32.97,32.1,32.32,4774822
2015-07-24,32.35,32.52,32.26,32.29,2119720
2015-07-27,32.24,32.93,32.24,32.75,1457693
2015-07-28,32.73,32.9,32.54,32.8,2090437
2015-07-29,32.7,32.81,32.32,32.61,2382525
2015-07-30,32.48,32.99,32.45,32.96,2516716
2015-07-31,33.15,34.12,33.15,33.96,3450196
2015-08-03,34.02,34.47,33.94,34.43,2964426
2015-08-04,34.37,34.57,33.65,33.71,3109447
2015-08-05,33.49,33.94,33.47,33.56,2203341
2015-08-06,33.61,34.0,33.28,33.97,2660826
2015-08-07,33.93,34.599,33.74,34.26,2765585
2015-08-10,34.32,34.54,34.03,34.13,1855060
2015-08-11,34.13,34.65,34.13,34.19,2166420
2015-08-12,34.14,34.66,34.01,34.61,3569603
2015-08-13,34.47,34.54,34.2,34.45,2394535
2015-08-14,34.44,34.79,34.315,34.79,3647663
2015-08-17,34.82,35.09,34.715,34.87,2633949
2015-08-18,34.73,34.86,34.43,34.65,3120791
2015-08-19,34.52,35.05,34.43,34.88,2837932
2015-08-20,34.64,34.98,34.34,34.38,3124813
