Date,Open,High,Low,Close,Volume
2015-06-22,90.6,92.47,90.14,92.23,250124
2015-06-23,92.26,92.76,91.32,92.52,164988
2015-06-24,92.25,93.055,92.215,92.51,172029
2015-06-25,92.95,93.47,91.21,93.33,176389
2015-06-26,93.62,94.13,92.9505,93.89,373516
2015-06-29,93.12,93.94,90.94,91.16,141707
2015-06-30,91.69,91.79,90.33,90.78,223484
2015-07-01,91.63,92.31,91.3,91.56,149014
2015-07-02,91.84,92.78,90.405,91.03,85359
2015-07-06,90.37,91.08,89.93,90.69,144306
2015-07-07,90.72,91.765,89.61,91.7,219237
2015-07-08,91.14,92.4,90.55,91.48,209151
2015-07-09,92.8,93.49,92.01,92.44,133517
2015-07-10,93.54,94.15,92.8,93.83,107409
2015-07-13,94.27,95.48,94.02,95.27,237266
2015-07-14,95.37,96.06,94.04,95.7,135842
2015-07-15,95.61,96.31,95.34,95.87,97126
2015-07-16,96.82,97.56,95.59,97.25,136835
2015-07-17,96.97,97.3,94.93,94.98,179783
2015-07-20,95.03,95.794,94.6,94.93,94464
2015-07-21,94.89,95.65,92.97,93.67,117942
2015-07-22,93.23,94.1,93.1,93.59,168610
2015-07-23,94.04,94.5,92.27,92.46,163195
2015-07-24,92.42,93.08,91.8,91.93,145781
2015-07-27,91.32,91.85,90.63,91.09,130128
2015-07-28,91.49,92.35,90.85,92.0,153111
2015-07-29,92.0,94.39,91.49,93.97,163849
2015-07-30,92.97,93.92,91.16,91.97,312107
2015-07-31,92.39,92.74,90.62,90.69,267332
2015-08-03,90.6,91.46,89.645,90.05,253581
2015-08-04,89.95,91.89,89.82,90.91,153535
2015-08-05,91.63,92.38,91.19,91.58,161402
2015-08-06,91.83,92.2,90.52,90.68,173569
2015-08-07,90.22,91.125,90.07,90.63,133715
2015-08-10,91.23,92.5382,91.23,92.15,198024
2015-08-11,91.18,92.65,90.57,90.85,144372
2015-08-12,90.19,91.9,88.31,89.62,149052
2015-08-13,89.45,89.9999,88.73,89.02,116945
2015-08-14,88.86,89.84,88.41,89.58,189936
2015-08-17,89.16,90.89,88.56,90.86,96760
2015-08-18,90.61,91.08,89.435,89.54,88385
2015-08-19,89.11,89.11,87.78,87.87,108672
2015-08-20,86.7,87.2,85.22,85.27,157554
2015-08-21,83.89,84.77,82.6639,83.19,198102
2015-08-24,78.66,82.38,77.57,80.69,335500
2015-08-25,81.7,83.995,81.18,81.19,192333
2015-08-26,82.85,84.48,80.85,84.24,183211
2015-08-27,84.99,86.47,84.56,86.0,254460
2015-08-28,85.55,86.79,84.93,86.04,191772
2015-08-31,85.75,86.12,84.8,85.57,146890
2015-09-01,84.38,84.81,82.23,82.32,293949
2015-09-02,83.48,83.62,82.47,83.3,213407
2015-09-03,83.41,84.57,83.3,84.19,169152
2015-09-04,82.98,84.0399,82.23,82.53,71606
2015-09-08,83.85,85.2,83.4,84.94,147998
2015-09-09,85.44,85.54,83.56,83.73,134458
2015-09-10,83.51,84.89,83.36,83.63,115753
2015-09-11,83.3,84.28,82.95,84.1,124220
2015-09-14,84.14,84.32,83.5,83.85,60171
2015-09-15,83.87,84.6,83.53,84.24,151018
2015-09-16,84.3,84.3,82.2,82.43,373634
2015-09-17,82.41,84.12,82.41,83.33,198171
2015-09-18,82.24,84.0,81.99,82.2,270397
2015-09-21,82.8,84.0,82.34,83.53,122398
2015-09-22,82.53,83.43,82.41,82.93,138064
2015-09-23,83.01,83.38,82.13,82.58,195392
2015-09-24,81.89,83.1199,81.5,82.98,137693
2015-09-25,83.45,84.29,82.08,82.4,130603
2015-09-28,82.16,83.48,81.68,81.72,185969
2015-09-29,81.75,82.96,80.85,82.82,192618
2015-09-30,83.72,85.06,83.3,84.5,308374
2015-10-01,84.51,85.565,83.95,84.95,186686
2015-10-02,83.94,84.06,82.29,84.02,224575
2015-10-05,84.73,86.18,84.45,85.82,218888
2015-10-06,85.85,87.375,85.33,86.0,159497
2015-10-07,86.26,87.44,86.07,87.29,178229
2015-10-08,87.06,89.01,86.88,88.64,129925
2015-10-09,88.94,90.37,88.27,90.14,114609
2015-10-12,90.13,91.47,89.85,90.48,111533
2015-10-13,89.91,90.816,88.39,88.54,160523
2015-10-14,88.54,89.19,87.54,87.62,90843
2015-10-15,88.05,90.158,87.81,89.98,122002
2015-10-16,90.05,90.2,88.78,89.51,139443
2015-10-19,88.89,90.42,88.89,89.82,124894
2015-10-20,89.84,90.71,89.26,89.56,150013
2015-10-21,89.91,89.91,87.78,88.03,94921
2015-10-22,88.65,90.01,88.65,89.21,156925
2015-10-23,90.07,90.8,89.35,90.68,113899
2015-10-26,90.78,91.7899,90.0,90.97,275263
2015-10-27,90.52,91.05,88.36,88.65,168407
2015-10-28,89.03,93.37,88.82,93.35,284442
2015-10-29,94.35,94.75,90.91,92.22,157167
2015-10-30,91.97,93.0,91.59,92.37,83811
2015-11-02,92.61,93.23,92.25,92.77,225537
2015-11-03,92.45,94.0,90.66,93.65,239132
2015-11-04,93.85,94.0,93.11,93.42,134853
2015-11-05,93.48,93.8,92.058,92.21,101888
2015-11-06,89.5,89.5,78.11,87.37,743238
2015-11-09,86.76,87.35,85.9,87.01,225851
2015-11-10,86.57,87.4,86.03,87.19,156519
2015-11-11,87.62,88.02,86.86,86.89,201013
2015-11-12,86.41,87.42,85.95,86.38,188710
2015-11-13,85.79,87.1499,85.37,87.0,202975
2015-11-16,87.22,87.92,86.73,87.56,126130
2015-11-17,87.8,89.21,87.25,87.76,142039
2015-11-18,87.85,90.86,87.5,89.7,258741
2015-11-19,89.79,91.0,89.79,90.04,282627
2015-11-20,90.49,91.6297,90.38,91.58,175770
2015-11-23,91.26,92.34,91.26,92.13,88091
2015-11-24,91.37,93.025,91.1301,92.84,115386
2015-11-25,92.83,94.89,92.83,94.59,145239
2015-11-27,94.61,95.35,94.05,94.85,82091
2015-11-30,95.15,95.4,94.7,95.25,138387
2015-12-01,95.39,96.18,95.13,95.89,102690
2015-12-02,95.88,96.06,94.57,94.85,68249
2015-12-03,95.01,95.01,91.91,92.1,120991
2015-12-04,92.1,94.01,92.05,93.64,143214
2015-12-07,93.61,93.95,91.795,91.99,120925
2015-12-08,91.08,92.9,91.025,91.91,154849
2015-12-09,91.44,92.08,88.78,89.11,196986
2015-12-10,89.27,91.08,89.26,90.72,275520
2015-12-11,89.31,90.8,89.24,89.61,355013
2015-12-14,89.49,90.88,89.49,89.92,279678
2015-12-15,90.49,92.47,90.27,91.53,147340
2015-12-16,92.0,92.94,91.17,92.85,136270
2015-12-17,93.49,94.75,92.82,92.9,125067
2015-12-18,92.7,93.685,91.4809,91.75,329565
2015-12-21,92.23,92.91,91.8,92.84,99748
2015-12-22,93.16,94.2,92.78,94.0,129205
2015-12-23,94.38,94.84,93.9,94.75,116448
2015-12-24,94.78,95.51,94.46,95.1,42462
2015-12-28,94.78,95.84,94.416,95.83,121665
2015-12-29,96.34,97.0,95.5,96.43,132375
2015-12-30,96.55,96.85,95.4,95.45,104037
2015-12-31,95.21,96.28,94.16,94.18,161568
2016-01-04,93.33,93.43,91.33,93.06,318687
2016-01-05,93.11,94.54,92.81,94.0,204385
2016-01-06,92.76,94.66,91.98,94.0,350581
2016-01-07,92.32,93.69,91.41,91.46,258478
2016-01-08,91.85,92.03,88.63,88.96,278270
2016-01-11,89.31,89.79,88.5,89.34,225969
2016-01-12,89.99,90.21,86.75,88.38,446432
2016-01-13,88.75,88.78,83.31,84.38,285350
2016-01-14,84.56,86.15,82.43,85.48,425477
2016-01-15,83.13,85.6,83.06,85.49,409797
2016-01-19,86.41,86.7,84.175,85.31,262096
2016-01-20,84.2,86.28,82.73,85.25,285036
2016-01-21,85.52,85.62,80.2,81.01,504721
2016-01-22,81.99,84.1,81.99,83.97,369982
2016-01-25,83.45,83.81,80.8,81.08,290988
2016-01-26,81.72,84.385,81.67,84.06,203254
2016-01-27,83.43,84.045,81.74,82.05,181669
2016-01-28,82.95,82.95,81.55,82.34,140669
2016-01-29,87.56,98.96,85.81,95.57,960822
2016-02-01,94.93,98.43,94.65,95.56,412965
2016-02-02,94.5,96.49,93.72,96.09,379520
2016-02-03,97.05,97.16,94.64,96.65,319988
2016-02-04,96.43,96.865,95.01,95.91,273704
2016-02-05,95.51,96.075,93.54,94.33,290437
2016-02-08,93.07,93.07,90.62,92.37,334094
2016-02-09,91.48,93.27,90.3461,91.38,255667
2016-02-10,92.09,94.19,91.54,92.47,317658
2016-02-11,90.72,92.315,90.39,91.42,262758
2016-02-12,92.78,93.7,91.78,93.01,202697
2016-02-16,94.34,94.41,93.42,93.98,266420
2016-02-17,94.52,95.005,93.7,94.35,236675
2016-02-18,94.32,94.86,92.29,92.91,296113
2016-02-19,92.79,94.0,92.7,93.0,259010
2016-02-22,93.76,95.35,93.64,94.92,184746
2016-02-23,94.68,95.0,94.38,94.55,178391
