Date,Open,High,Low,Close,Volume
2015-06-22,64.25,64.93,64.11,64.59,959857
2015-06-23,64.66,64.71,64.15,64.27,882312
2015-06-24,64.15,64.185,63.3,63.3,691303
2015-06-25,63.51,63.59,63.03,63.13,780801
2015-06-26,63.25,63.43,63.04,63.37,2518287
2015-06-29,62.99,63.19,62.33,62.41,1456888
2015-06-30,62.9,62.9,61.69,61.8,1313772
2015-07-01,62.15,62.48,61.98,62.32,861340
2015-07-02,62.51,62.52,62.0,62.37,697028
2015-07-06,61.81,62.58,61.66,62.52,943321
2015-07-07,62.62,62.765,61.77,62.7,727985
2015-07-08,62.13,62.46,61.58,61.58,832459
2015-07-09,62.42,62.74,62.23,62.33,884893
2015-07-10,63.0,63.78,62.91,63.57,964053
2015-07-13,63.95,64.1,63.74,64.02,1244875
2015-07-14,64.03,64.2751,63.75,64.16,711667
2015-07-15,64.24,64.49,64.02,64.15,677549
2015-07-16,64.48,64.67,64.02,64.5,2172475
2015-07-17,64.65,64.65,63.91,64.09,681762
2015-07-20,64.19,64.69,64.12,64.26,865285
2015-07-21,64.15,64.48,63.66,63.8,966336
2015-07-22,63.79,64.29,63.6501,64.13,1111796
2015-07-23,63.93,64.35,62.075,62.58,2976613
2015-07-24,62.51,62.95,62.16,62.64,1291827
2015-07-27,62.32,62.36,61.57,62.13,1531648
2015-07-28,62.39,62.51,61.84,62.42,1387490
2015-07-29,62.36,63.34,62.3,63.24,890085
2015-07-30,63.1,66.65,62.59,65.85,7446623
2015-07-31,66.17,66.17,65.08,65.43,1691187
2015-08-03,65.5,65.72,64.67,65.49,1005651
2015-08-04,65.49,65.85,65.18,65.28,755005
2015-08-05,65.5,65.98,65.46,65.74,753120
2015-08-06,65.76,65.79,64.56,64.68,586104
2015-08-07,64.59,64.84,64.31,64.77,644188
2015-08-10,65.16,65.69,65.0,65.52,799901
2015-08-11,64.91,65.2799,64.59,65.07,990117
2015-08-12,68.57,70.89,68.07,70.75,6375112
2015-08-13,70.76,70.96,69.95,70.16,2395725
2015-08-14,69.98,70.37,69.7,70.27,1274802
2015-08-17,70.3,71.63,70.2,71.45,1850606
2015-08-18,71.48,71.74,71.23,71.72,1117098
2015-08-19,71.61,72.24,71.09,71.86,1861624
2015-08-20,71.68,72.295,71.31,71.31,1842718
2015-08-21,70.95,71.49,69.25,69.32,2968333
