Date,Open,High,Low,Close,Volume
2015-06-22,42.79,43.19,42.645,43.02,3521676
2015-06-23,43.19,43.195,42.68,42.85,2707840
2015-06-24,42.855,43.065,42.495,42.5,2787684
2015-06-25,42.57,42.71,42.36,42.44,1993072
2015-06-26,42.385,42.595,42.24,42.505,3216502
2015-06-29,42.24,42.24,41.3275,41.415,2853462
2015-06-30,41.795,41.86,41.3,41.415,2396616
2015-07-01,41.73,42.145,41.6,42.055,2143734
2015-07-02,42.055,42.23,41.67,41.925,1891424
2015-07-06,41.66,42.19,41.62,42.155,1797470
2015-07-07,42.175,42.48,41.58,42.48,3218734
2015-07-08,42.265,42.465,41.65,41.705,1771612
2015-07-09,42.21,42.475,41.995,42.2225,1949966
2015-07-10,42.705,43.25,42.62,43.175,2402356
2015-07-13,43.425,43.65,43.1975,43.545,2317842
2015-07-14,43.645,43.77,43.43,43.7,1804100
2015-07-15,43.49,43.825,43.41,43.595,2146320
2015-07-16,43.97,44.2,43.685,44.115,1751242
2015-07-17,44.075,44.14,43.88,44.02,1568064
2015-07-20,44.075,44.325,44.035,44.07,2059110
2015-07-21,44.045,44.1775,43.64,43.675,1965162
2015-07-22,43.67,44.125,43.67,43.985,1432972
2015-07-23,43.92,43.975,43.18,43.335,2424124
2015-07-24,43.335,43.465,42.89,42.995,2209572
2015-07-27,42.925,43.125,42.475,42.53,2732384
2015-07-28,42.705,42.93,42.345,42.82,3281188
2015-07-29,42.82,44.09,42.68,43.905,2981454
2015-07-30,43.38,44.385,42.66,43.79,3983726
2015-07-31,44.025,44.05,43.425,43.43,2386788
2015-08-03,43.425,43.825,43.145,43.66,2207696
2015-08-04,43.645,44.2975,43.565,43.875,2115202
2015-08-05,44.135,44.6,44.015,44.27,2220576
2015-08-06,44.205,44.355,43.455,43.525,1817466
2015-08-07,43.5,43.85,43.385,43.755,2222276
2015-08-10,44.015,44.745,43.9,44.42,1955446
2015-08-11,44.16,44.34,43.84,44.025,1670108
2015-08-12,43.695,44.3675,43.275,44.265,2805764
2015-08-13,44.25,44.91,44.125,44.58,1520732
2015-08-14,44.435,44.9,44.35,44.79,1145642
2015-08-17,44.625,45.12,44.2625,45.055,1434690
2015-08-18,45.02,45.19,44.8475,45.14,967426
2015-08-19,44.995,45.27,44.535,44.9,1425302
2015-08-20,44.48,44.81,44.205,44.21,2039722
2015-08-21,43.8,43.97,42.425,42.435,3582192
2015-08-24,40.63,42.11,38.98,40.705,6273014
2015-08-25,41.705,41.77,40.025,40.035,4187332
2015-08-26,41.045,42.365,40.58,42.315,4288180
2015-08-27,42.74,43.39,42.385,43.28,3736940
2015-08-28,43.155,43.495,42.955,43.39,1902436
2015-08-31,42.905,43.26,42.615,42.635,2456218
2015-09-01,41.715,42.085,41.2,41.435,2948498
2015-09-02,41.91,42.595,41.66,42.59,3074810
2015-09-03,43.015,43.225,42.5,42.865,2204286
2015-09-04,42.115,42.505,41.85,42.055,2288110
2015-09-08,42.86,43.32,42.07,43.285,2737052
2015-09-09,43.72,43.86,42.46,42.555,2007954
2015-09-10,42.435,43.375,42.293,42.96,1868036
2015-09-11,42.605,43.12,42.565,43.035,2393860
2015-09-14,42.99,43.035,42.56,42.605,2172242
2015-09-15,42.83,43.485,42.54,43.35,2620748
2015-09-16,43.305,43.745,43.165,43.65,1995324
2015-09-17,43.725,44.44,43.6775,43.8,1997118
2015-09-18,43.21,44.095,43.045,43.265,3855728
2015-09-21,43.585,44.135,43.515,43.905,1814938
2015-09-22,43.155,43.57,42.9875,43.14,3468906
2015-09-23,43.14,43.81,43.025,43.69,2183326
2015-09-24,43.235,43.935,43.125,43.82,2510396
2015-09-25,44.235,44.6125,43.65,43.89,2373058
2015-09-28,43.725,43.895,42.26,42.265,3825710
2015-09-29,42.435,42.6,42.24,42.38,3665678
2015-09-30,42.925,43.345,42.72,43.305,2554328
2015-10-01,43.455,43.755,43.06,43.755,2741600
2015-10-02,43.14,44.12,42.705,44.11,3082392
2015-10-05,44.62,44.78,44.43,44.68,2225810
2015-10-06,44.5,44.73,44.12,44.205,1937174
2015-10-07,44.46,44.925,44.28,44.775,1808210
2015-10-08,44.56,45.7,44.445,45.67,2387388
2015-10-09,45.57,46.135,45.515,46.09,2515094
2015-10-12,46.09,46.335,46.0,46.22,2331352
2015-10-13,46.085,46.1825,45.7135,45.785,1816674
2015-10-14,45.81,46.01,45.36,45.465,1663658
2015-10-15,45.69,45.745,45.315,45.515,2610664
2015-10-16,45.6,45.99,45.395,45.975,2373682
2015-10-19,45.895,46.38,45.73,46.38,1803358
2015-10-20,46.29,46.5,46.195,46.435,2172824
2015-10-21,46.6,46.8,46.165,46.295,1882468
2015-10-22,46.455,47.385,46.455,47.255,2214128
2015-10-23,47.785,48.065,47.245,47.875,2200092
2015-10-26,47.98,48.07,47.49,47.77,2715322
2015-10-27,47.585,47.875,47.44,47.715,1987524
2015-10-28,48.095,48.71,47.75,48.295,3911884
2015-10-29,48.05,48.515,47.875,48.355,2603858
2015-10-30,48.49,48.685,48.255,48.255,2406906
2015-11-02,48.425,48.56,48.13,48.385,2862188
2015-11-03,48.445,48.47,47.515,47.82,3844710
2015-11-04,47.875,48.215,47.78,47.87,3103728
2015-11-05,48.195,48.195,47.8,47.97,2439112
2015-11-06,47.815,48.135,47.735,47.95,2158078
2015-11-09,47.875,47.895,47.37,47.655,2192448
2015-11-10,47.655,48.215,47.615,48.195,1767610
2015-11-11,48.2,48.57,48.055,48.235,1315042
2015-11-12,47.99,48.1698,47.7,47.72,1711650
2015-11-13,47.55,47.805,47.145,47.19,1677158
2015-11-16,47.28,47.795,47.11,47.78,1701772
