Date,Open,High,Low,Close,Volume
2015-06-22,133.85,134.63,132.67,132.74,560787
2015-06-23,132.5,133.8,131.29,131.61,317876
2015-06-24,131.81,133.138,130.75,130.85,270428
2015-06-25,130.68,132.515,129.17,129.4,267922
2015-06-26,129.5,131.0,128.06,130.5,637364
2015-06-29,130.29,131.58,127.69,127.84,255522
2015-06-30,128.5,129.45,127.48,128.09,425544
2015-07-01,128.48,130.48,127.74,130.45,365179
2015-07-02,132.04,133.22,130.67,130.99,254118
2015-07-06,130.33,132.76,129.34,132.59,401966
2015-07-07,132.99,134.82,132.54,134.29,340579
2015-07-08,133.64,134.69,132.96,134.47,274606
2015-07-09,134.94,135.26,132.99,133.37,241011
2015-07-10,134.06,135.618,133.52,134.06,374715
2015-07-13,135.08,136.05,133.72,134.53,172496
2015-07-14,134.74,135.43,133.97,134.25,278420
2015-07-15,133.92,135.58,132.98,134.6,482279
2015-07-16,134.89,137.0,134.89,136.55,235148
2015-07-17,136.7,136.8,135.22,135.9,313420
2015-07-20,135.64,136.39,134.47,136.31,248865
2015-07-21,136.35,137.0,135.09,135.23,277768
2015-07-22,135.63,136.22,135.28,135.55,285309
2015-07-23,135.59,135.9,133.22,133.84,334017
2015-07-24,133.76,135.21,133.22,134.47,272767
2015-07-27,134.88,135.76,133.31,134.03,368535
2015-07-28,134.14,135.395,133.59,134.99,235214
2015-07-29,134.95,136.56,134.0,136.41,259234
2015-07-30,135.59,136.68,135.48,136.56,276998
2015-07-31,137.65,138.86,136.7,136.79,512691
2015-08-03,136.82,139.08,136.72,139.05,315309
2015-08-04,139.33,139.4,137.155,137.41,208890
2015-08-05,137.73,138.99,135.92,136.18,410396
2015-08-06,136.99,138.36,134.13,135.76,495398
2015-08-07,135.67,136.86,134.54,136.61,298558
2015-08-10,137.16,137.9199,134.38,134.8,397578
2015-08-11,134.8,136.24,134.46,135.33,523344
2015-08-12,135.06,136.21,134.36,136.03,404529
2015-08-13,135.72,137.19,133.818,136.56,208672
2015-08-14,136.08,137.05,134.564,137.0,217792
2015-08-17,137.03,138.21,136.0,138.16,312824
2015-08-18,137.99,138.515,137.2401,137.91,313968
2015-08-19,137.0,137.94,136.52,136.72,324037
2015-08-20,136.69,137.305,135.24,135.81,359907
2015-08-21,134.85,136.07,133.915,134.0,429790
2015-08-24,130.11,132.08,127.38,127.58,479717
2015-08-25,130.31,130.36,124.87,124.96,589238
2015-08-26,127.23,130.95,126.0174,130.39,725380
2015-08-27,131.42,134.7,130.85,133.21,639777
2015-08-28,132.98,133.3315,131.75,132.7,378030
2015-08-31,132.49,132.62,128.91,129.08,516967
2015-09-01,127.12,128.81,125.57,126.47,340198
2015-09-02,127.39,128.62,126.51,127.66,277526
2015-09-03,128.63,129.45,127.9,128.31,290530
2015-09-04,127.52,127.825,125.09,126.27,342813
2015-09-08,127.84,128.485,126.75,128.15,234195
2015-09-09,129.3,129.79,126.02,126.27,249152
2015-09-10,125.43,128.19,125.43,126.73,365605
2015-09-11,126.59,129.53,126.56,129.36,294765
2015-09-14,129.73,129.93,128.89,129.57,316609
2015-09-15,130.0,131.88,128.94,131.8,520062
2015-09-16,131.63,134.18,131.5,133.87,479758
2015-09-17,133.59,136.92,132.8,134.62,362247
2015-09-18,132.43,136.22,132.43,134.75,614397
2015-09-21,134.75,137.03,134.5,136.08,347852
2015-09-22,134.85,135.92,133.54,133.77,410231
2015-09-23,133.84,135.25,133.164,134.33,339247
2015-09-24,134.29,135.86,132.39,133.61,574919
2015-09-25,134.12,135.59,133.23,134.76,419234
2015-09-28,134.29,134.69,132.9,133.51,635924
2015-09-29,133.75,135.29,132.7,135.19,662423
2015-09-30,136.0,136.77,135.15,136.45,652083
2015-10-01,136.79,137.21,133.98,135.6,684801
2015-10-02,134.81,137.52,134.32,137.52,468610
2015-10-05,138.52,139.71,137.92,139.61,353928
2015-10-06,139.55,140.01,138.27,138.61,418311
2015-10-07,138.77,141.41,138.53,141.26,474554
2015-10-08,141.49,143.42,140.37,142.81,458438
2015-10-09,142.45,143.64,141.1,142.03,370297
2015-10-12,141.14,142.94,140.16,142.05,361442
2015-10-13,141.68,142.2,140.83,141.41,596639
2015-10-14,141.6,141.8,139.23,139.54,362151
2015-10-15,139.7,142.1,139.35,141.55,365215
2015-10-16,141.56,143.77,141.55,143.51,418785
2015-10-19,142.97,145.3,142.97,145.27,311092
2015-10-20,144.7,145.418,144.05,144.86,332986
2015-10-21,145.53,145.58,142.11,143.51,1026867
2015-10-22,143.53,144.77,143.1,144.35,468664
2015-10-23,143.78,144.1,142.04,143.0,413144
2015-10-26,143.07,143.62,142.11,143.23,378352
2015-10-27,142.78,143.85,142.19,143.1,450864
2015-10-28,143.41,144.27,141.23,144.01,499807
2015-10-29,143.12,143.96,142.39,143.58,221770
2015-10-30,143.86,144.4,142.76,143.49,792280
2015-11-02,143.47,147.4,142.85,147.4,528504
2015-11-03,146.78,146.78,145.12,145.51,354887
2015-11-04,145.72,146.12,144.6,145.22,280214
2015-11-05,140.89,148.97,140.89,148.32,647729
2015-11-06,147.06,147.98,143.49,144.13,790201
2015-11-09,143.71,144.89,141.05,142.8,416206
2015-11-10,142.93,144.65,142.93,144.29,258170
2015-11-11,144.48,145.79,143.65,145.21,309014
2015-11-12,144.9,145.78,143.14,143.15,272822
2015-11-13,143.63,144.08,141.5,141.93,315804
2015-11-16,141.66,143.63,141.16,143.51,227342
2015-11-17,143.15,145.96,143.15,144.66,201194
2015-11-18,144.86,146.45,143.61,146.37,247853
2015-11-19,146.3,147.62,145.9,146.64,226295
2015-11-20,147.09,148.3,146.6,147.24,336391
2015-11-23,147.02,148.28,146.73,147.11,136317
2015-11-24,146.11,146.48,144.34,145.81,266360
2015-11-25,145.98,146.715,144.89,146.02,278688
2015-11-27,145.74,148.1,145.74,147.9,148180
2015-11-30,148.4,148.64,145.89,146.52,318042
2015-12-01,147.26,147.81,146.85,147.66,268942
2015-12-02,146.85,147.465,143.76,144.01,288709
2015-12-03,143.95,144.19,141.34,141.59,239869
2015-12-04,142.24,145.26,142.075,144.73,216295
2015-12-07,144.44,145.56,143.23,144.29,209223
2015-12-08,144.44,145.16,143.51,144.69,188013
2015-12-09,143.94,145.42,143.17,144.23,253358
2015-12-10,144.24,145.01,141.68,141.68,288235
2015-12-11,140.29,142.5,140.11,142.27,344697
2015-12-14,142.08,144.22,141.1,144.18,400571
2015-12-15,144.68,146.64,144.68,146.0,419602
2015-12-16,146.59,149.105,146.09,148.65,247021
2015-12-17,148.73,149.2999,147.4,148.46,302320
2015-12-18,148.39,148.79,146.97,147.24,891935
2015-12-21,149.14,149.48,146.97,147.86,393778
2015-12-22,148.24,149.34,147.67,147.75,253774
2015-12-23,148.09,148.35,146.66,147.67,393268
2015-12-24,147.51,148.31,146.92,147.75,116372
2015-12-28,147.66,149.67,147.09,149.64,221863
2015-12-29,150.0,150.54,149.25,149.96,210500
2015-12-30,149.03,149.54,148.02,148.13,265595
2015-12-31,148.04,148.78,146.05,146.1,366686
2016-01-04,145.17,145.605,143.46,144.86,443472
2016-01-05,145.14,147.04,144.155,146.54,492504
2016-01-06,146.25,147.55,146.0,147.44,273790
2016-01-07,145.29,146.552,144.95,145.03,316601
2016-01-08,145.72,146.38,144.6,145.27,502605
