Date,Open,High,Low,Close,Volume
2015-06-22,145.7,146.0699,144.35,145.37,1223483
2015-06-23,146.02,146.02,144.63,145.37,1293857
2015-06-24,145.25,146.1,144.69,145.52,1583309
2015-06-25,146.0,146.0,144.0801,144.13,1140797
2015-06-26,144.56,146.04,144.29,145.74,2906868
2015-06-29,144.37,144.89,141.76,141.84,1620075
2015-06-30,142.41,142.79,140.68,141.69,1363388
2015-07-01,142.43,144.29,142.36,143.17,1217321
2015-07-02,143.8,144.12,142.71,143.15,1098893
2015-07-06,142.24,144.025,141.72,143.34,1307475
2015-07-07,143.56,143.7,141.45,143.65,1539640
2015-07-08,142.73,143.56,141.82,142.26,1566269
2015-07-09,143.8,144.73,143.69,143.88,1790387
2015-07-10,145.87,146.975,145.21,146.1,1707422
2015-07-13,147.23,147.56,145.9,146.23,1723732
2015-07-14,146.57,147.635,146.57,146.97,1787615
2015-07-15,147.15,147.7399,146.73,147.25,1646000
2015-07-16,148.0,148.67,147.73,148.45,1316528
2015-07-17,148.6,148.84,146.99,148.65,1064805
2015-07-20,148.64,149.34,148.38,149.01,983171
2015-07-21,148.54,148.61,145.39,146.29,1448006
2015-07-22,146.11,146.37,144.16,145.22,2009872
2015-07-23,145.62,146.33,144.59,144.8,1467379
2015-07-24,144.81,144.83,142.31,142.62,1658988
2015-07-27,142.12,142.93,141.7986,142.41,1466168
2015-07-28,142.94,145.87,142.87,144.29,2060742
2015-07-29,149.27,153.4,149.07,149.96,4000255
2015-07-30,149.95,151.21,149.65,150.28,1603763
2015-07-31,150.56,150.635,148.75,149.11,1309361
2015-08-03,149.13,149.58,147.66,148.85,917273
2015-08-04,148.7,149.91,147.64,148.8,895510
2015-08-05,149.75,150.83,149.53,149.82,811965
2015-08-06,150.11,150.4,148.48,149.46,814098
2015-08-07,149.28,149.98,148.43,149.72,951353
2015-08-10,150.67,152.37,150.67,151.96,1011889
2015-08-11,150.67,150.9676,149.49,150.6,950349
2015-08-12,149.11,150.69,147.67,150.39,1414288
2015-08-13,150.13,151.08,149.54,150.54,851031
2015-08-14,150.41,151.7,149.705,151.61,712925
2015-08-17,151.08,153.0,150.83,152.85,1182078
2015-08-18,152.3,153.52,151.89,153.28,982588
2015-08-19,152.79,153.76,151.78,152.75,1287537
2015-08-20,151.85,152.11,148.86,148.93,1293033
2015-08-21,147.74,147.74,145.13,145.17,2651999
2015-08-24,136.01,146.078,132.02,140.81,3009338
2015-08-25,144.09,144.75,138.74,138.84,2169495
2015-08-26,141.85,144.15,139.2,144.05,1801692
2015-08-27,144.82,145.91,142.59,145.17,2415100
2015-08-28,144.53,145.37,143.39,144.53,1200446
2015-08-31,143.76,144.0,141.51,142.03,1220082
2015-09-01,139.94,140.63,138.28,138.89,2284230
2015-09-02,140.31,142.45,140.205,142.45,1164858
2015-09-03,142.66,144.54,142.46,143.41,1353249
2015-09-04,141.61,141.99,140.5,141.18,970446
2015-09-08,143.41,144.39,142.69,144.39,1375637
2015-09-09,145.58,145.85,142.18,142.47,1203695
2015-09-10,142.47,142.48,140.06,140.71,1587807
2015-09-11,140.25,141.9,140.02,141.88,1188952
2015-09-14,142.0,142.4599,140.28,140.65,1053794
2015-09-15,141.01,142.09,140.13,141.79,1124746
2015-09-16,141.83,142.0,140.93,141.84,1147294
2015-09-17,142.01,143.76,141.27,141.56,1201427
2015-09-18,139.97,140.49,138.715,139.24,3093370
2015-09-21,139.54,140.58,138.89,139.72,897833
2015-09-22,138.02,138.79,137.42,137.95,1390365
2015-09-23,137.96,138.32,136.02,136.57,951327
2015-09-24,135.67,138.985,134.64,138.51,1982677
2015-09-25,139.23,139.82,137.405,138.02,1066476
2015-09-28,136.81,137.64,135.04,135.11,1762664
2015-09-29,134.83,135.85,134.1,135.59,1869612
2015-09-30,137.38,138.51,136.29,137.95,1557693
2015-10-01,138.0,138.79,136.42,138.18,1226814
2015-10-02,135.99,139.15,135.77,139.13,1169826
2015-10-05,140.48,144.41,140.24,144.12,1774827
2015-10-06,143.51,144.59,140.48,140.66,1787020
2015-10-07,140.82,142.14,139.59,140.36,1406729
2015-10-08,139.59,142.18,138.62,141.91,1102930
2015-10-09,141.91,143.49,141.87,142.72,1265571
2015-10-12,143.07,144.01,142.7301,143.69,588586
2015-10-13,142.16,143.57,141.59,141.71,703720
2015-10-14,141.77,142.41,139.22,139.5,866048
2015-10-15,140.55,141.29,139.55,141.29,750404
2015-10-16,141.06,142.01,140.38,141.7,1058240
2015-10-19,140.93,141.32,140.37,141.25,958103
2015-10-20,141.19,141.71,140.54,141.25,990491
2015-10-21,142.0,144.83,141.66,143.09,1105046
2015-10-22,144.0,147.68,143.8901,147.25,1330657
2015-10-23,148.25,148.8,147.39,148.28,1198856
2015-10-26,148.22,148.88,147.58,148.15,852153
2015-10-27,147.68,149.07,147.4,148.4,1618081
2015-10-28,150.87,152.51,147.21,150.78,2623131
2015-10-29,150.47,150.93,147.5,149.97,1680012
2015-10-30,150.35,150.94,147.28,148.58,2122377
2015-11-02,149.24,149.3799,147.67,148.72,1647405
2015-11-03,147.58,148.104,146.17,147.17,1868031
2015-11-04,147.29,147.88,146.83,147.28,893562
2015-11-05,147.21,147.68,145.54,147.07,1272741
2015-11-06,146.69,146.99,144.84,145.92,1742144
2015-11-09,145.46,145.68,143.66,144.29,1164113
2015-11-10,143.73,144.7299,142.5,143.94,1455289
2015-11-11,144.43,144.79,143.26,143.31,1219907
2015-11-12,143.01,143.01,141.623,141.85,1667938
2015-11-13,141.23,142.24,140.18,140.6,1631760
2015-11-16,141.25,143.36,141.08,143.28,1724571
2015-11-17,143.71,144.45,142.5,142.87,1424067
2015-11-18,143.29,143.975,142.28,143.71,1037380
2015-11-19,144.83,145.92,144.28,145.2,1506147
2015-11-20,146.25,146.72,145.39,145.5,1644218
2015-11-23,145.76,146.0,144.3684,144.59,1011766
2015-11-24,143.87,146.01,143.64,145.53,1257154
2015-11-25,145.63,145.95,144.9,145.18,1157692
2015-11-27,145.53,145.99,145.14,145.56,542084
2015-11-30,146.5,147.59,146.001,146.46,1932682
2015-12-01,147.23,148.4,146.83,147.6,1616615
2015-12-02,147.41,147.4914,145.23,145.35,1576407
2015-12-03,145.44,145.72,141.58,141.96,2988723
