Date,Open,High,Low,Close,Volume
2015-06-22,23.87,23.99,23.66,23.82,4544980
2015-06-23,23.96,24.29,23.91,24.25,5198371
2015-06-24,24.18,24.39,24.0,24.235,6578300
2015-06-25,24.26,24.29,24.1199,24.155,3393665
2015-06-26,24.25,24.25,23.63,23.75,7552804
2015-06-29,23.55,23.69,23.22,23.26,4464381
2015-06-30,23.48,23.65,23.09,23.25,4220869
2015-07-01,23.43,24.21,23.135,23.21,3555500
2015-07-02,23.23,23.29,22.83,23.03,3665236
2015-07-06,22.82,22.95,22.57,22.675,3209597
2015-07-07,22.66,22.84,22.26,22.79,3684446
2015-07-08,22.94,23.16,22.68,22.82,6087014
2015-07-09,22.92,23.1902,22.78,22.99,5491347
2015-07-10,23.28,23.45,23.0722,23.32,3364895
2015-07-13,23.35,23.55,23.33,23.42,2082003
2015-07-14,23.39,23.48,23.3,23.44,2219763
2015-07-15,23.99,23.99,23.265,23.31,2485405
2015-07-16,23.52,23.54,23.28,23.41,2337257
2015-07-17,23.43,23.49,23.17,23.47,3552393
2015-07-20,23.35,23.45,23.14,23.32,2866116
2015-07-21,23.66,23.66,23.015,23.04,3409798
2015-07-22,22.92,23.205,22.89,22.96,2429802
2015-07-23,23.03,23.415,23.015,23.22,2762918
2015-07-24,23.28,23.31,22.925,23.05,1700711
2015-07-27,22.86,23.02,22.67,22.72,1952829
2015-07-28,22.8,22.99,22.47,22.77,2854303
2015-07-29,22.82,22.91,22.61,22.84,2902359
2015-07-30,22.78,22.84,22.59,22.79,2810374
2015-07-31,22.89,22.93,22.71,22.74,3119166
2015-08-03,22.79,22.84,22.31,22.48,3183223
2015-08-04,22.38,22.58,22.25,22.42,3783458
2015-08-05,22.71,23.05,22.51,22.9,2645190
2015-08-06,22.86,22.89,22.34,22.35,2980264
2015-08-07,22.32,22.71,22.31,22.705,3760376
2015-08-10,22.87,23.245,22.79,22.91,3579395
2015-08-11,22.7,22.87,21.25,21.34,14904020
2015-08-12,20.38,21.77,20.33,21.64,10094660
2015-08-13,21.48,21.62,21.21,21.24,4044920
2015-08-14,21.22,21.68,21.06,21.6,4568654
2015-08-17,21.31,21.89,21.2101,21.86,3890621
2015-08-18,21.77,21.915,21.54,21.65,3334232
2015-08-19,21.56,21.995,21.56,21.86,6455737
2015-08-20,21.54,21.65,21.3301,21.35,5895448
2015-08-21,21.32,21.6,20.95,20.97,9204854
2015-08-24,19.8,20.56,19.35,20.01,8797344
2015-08-25,20.48,20.785,19.87,19.89,10204040
2015-08-26,20.35,20.67,20.05,20.63,7383612
2015-08-27,20.88,21.0,20.575,20.92,5447118
2015-08-28,20.77,20.975,20.68,20.84,3584245
2015-08-31,20.77,20.77,20.43,20.49,4688452
2015-09-01,19.99,20.275,19.87,19.93,5293497
2015-09-02,20.17,20.2,19.625,19.94,5509774
2015-09-03,20.0,20.25,19.885,19.95,7104765
2015-09-04,19.64,19.82,19.59,19.65,5110966
2015-09-08,19.99,20.17,19.86,20.09,4045510
2015-09-09,20.22,20.25,19.565,19.64,5777823
2015-09-10,19.7,20.08,19.61,20.01,6920979
2015-09-11,19.86,20.0,19.8,19.99,3425171
2015-09-14,20.0,20.0,19.74,19.81,2730707
2015-09-15,19.92,20.04,19.82,19.91,4645271
2015-09-16,19.93,20.1,19.88,19.95,3389396
2015-09-17,19.93,20.35,19.84,20.075,4587760
2015-09-18,19.87,20.46,19.76,20.17,8672832
2015-09-21,20.23,20.37,20.12,20.26,5842009
2015-09-22,20.01,20.33,19.68,19.85,6616482
2015-09-23,19.79,19.99,19.69,19.95,3057411
2015-09-24,19.81,19.97,19.67,19.85,3617997
2015-09-25,19.96,20.08,19.79,19.94,3673001
2015-09-28,19.82,20.065,19.82,20.0,7414837
2015-09-29,19.95,20.03,19.24,19.35,7219294
2015-09-30,19.52,19.65,19.29,19.47,6672259
2015-10-01,19.54,19.56,19.15,19.33,7679493
2015-10-02,19.14,19.675,19.07,19.65,5404713
2015-10-05,19.81,20.45,19.7,20.43,6524456
2015-10-06,20.36,21.05,20.1201,21.0,10170890
2015-10-07,21.14,21.33,20.72,20.85,5655790
2015-10-08,20.88,21.14,20.82,21.04,5062996
2015-10-09,21.03,21.13,20.81,21.0,3092587
2015-10-12,21.0,21.06,20.78,20.88,3242842
2015-10-13,20.87,20.99,20.59,20.63,3198476
2015-10-14,20.63,20.87,20.57,20.6,4427615
2015-10-15,20.7,20.9999,20.5,20.64,5773797
2015-10-16,20.69,20.72,20.36,20.71,6032282
2015-10-19,20.7,20.82,20.58,20.76,5424199
2015-10-20,20.7,20.88,20.66,20.71,4345255
2015-10-21,20.8,20.86,20.41,20.43,3066703
2015-10-22,20.53,20.92,20.53,20.64,5858423
2015-10-23,20.88,20.92,20.37,20.64,4184494
2015-10-26,20.7,20.765,20.51,20.56,3340938
2015-10-27,20.46,20.57,20.37,20.44,2720593
2015-10-28,20.51,20.66,20.42,20.6,5109234
2015-10-29,20.54,20.65,20.42,20.49,3903293
2015-10-30,20.57,20.7,20.5,20.6,5057634
2015-11-02,20.65,20.8,20.61,20.7,5479785
2015-11-03,20.69,20.86,20.63,20.85,5596623
2015-11-04,20.94,20.97,20.74,20.9,5519701
2015-11-05,21.0,21.36,20.83,20.88,5959326
2015-11-06,20.76,20.8,19.88,20.57,10231030
2015-11-09,20.44,20.5,19.96,20.12,5421658
2015-11-10,20.4,20.41,19.9,19.97,5449596
2015-11-11,20.07,20.09,19.76,19.93,3400782
2015-11-12,19.84,20.0,19.77,19.84,4890879
2015-11-13,20.57,20.57,19.57,19.71,5024149
2015-11-16,19.72,19.99,19.6,19.96,4880569
2015-11-17,19.91,20.02,19.39,19.98,12302760
2015-11-18,19.86,20.1,19.84,20.02,4872923
2015-11-19,19.82,20.27,19.82,19.995,4240616
2015-11-20,20.12,20.12,19.9,19.94,4672330
2015-11-23,20.0,20.075,19.86,19.89,3671570
2015-11-24,19.81,20.01,19.58,19.81,5778561
2015-11-25,19.8,20.01,19.74,19.86,3690371
2015-11-27,19.8,19.88,19.5,19.5,3682782
2015-11-30,19.54,19.74,19.54,19.58,5612429
2015-12-01,19.56,19.76,19.56,19.74,9558556
2015-12-02,19.57,19.945,19.57,19.66,6666746
2015-12-03,19.42,19.91,19.41,19.71,9997003
2015-12-04,19.42,20.14,19.42,20.04,8758522
2015-12-07,20.06,20.17,19.96,20.14,5970773
2015-12-08,19.93,20.2434,19.9,20.2,6017043
2015-12-09,20.0,20.22,19.98,20.01,7623198
2015-12-10,19.98,20.12,19.91,19.94,5825556
2015-12-11,19.71,19.81,19.52,19.65,6956414
2015-12-14,19.65,19.78,19.45,19.54,7955185
2015-12-15,20.25,20.37,19.96,20.18,13748650
2015-12-16,20.34,20.54,20.17,20.47,6724001
2015-12-17,20.53,20.58,20.15,20.16,7107796
2015-12-18,20.07,20.36,20.05,20.21,9630724
2015-12-21,20.2,20.42,20.2,20.41,6543552
2015-12-22,20.49,20.59,20.35,20.525,6079494
2015-12-23,20.57,20.88,20.5,20.86,5229673
2015-12-24,20.93,20.975,20.83,20.86,2808889
2015-12-28,20.86,21.14,20.8,21.13,5814625
2015-12-29,21.23,21.45,21.12,21.37,5163337
2015-12-30,21.22,21.48,21.21,21.29,3135712
2015-12-31,21.18,21.23,21.0,21.0,4204216
2016-01-04,20.55,20.85,20.36,20.84,5265245
2016-01-05,20.84,20.99,20.62,20.88,7229768
2016-01-06,20.65,20.88,20.53,20.85,6014819
2016-01-07,20.48,20.905,20.34,20.5,8246937
2016-01-08,20.52,20.67,20.37,20.49,7120915
2016-01-11,20.54,20.62,20.17,20.36,8073515
2016-01-12,20.51,20.77,20.335,20.65,5953096
2016-01-13,20.76,20.92,20.175,20.25,7015887
2016-01-14,20.3,20.55,20.19,20.48,7983703
2016-01-15,21.04,21.04,19.63,19.73,14563900
2016-01-19,20.1,20.14,18.845,19.03,14227400
2016-01-20,18.6,18.91,18.31,18.82,11773530
2016-01-21,18.93,19.12,18.79,18.98,5699325
2016-01-22,19.26,19.47,19.16,19.47,5319953
2016-01-25,19.44,19.44,18.81,18.82,6465594
2016-01-26,18.9,19.26,18.9,19.23,4752377
2016-01-27,19.22,19.55,19.09,19.215,5626157
2016-01-28,19.44,19.66,19.24,19.5,6069590
2016-01-29,19.68,19.87,19.56,19.84,15031430
2016-02-01,19.68,19.84,19.46,19.75,9600292
2016-02-02,19.6,19.61,19.21,19.27,4218829
2016-02-03,19.44,19.49,18.96,19.28,6545529
2016-02-04,19.19,19.31,18.925,19.18,9825868
2016-02-05,20.74,21.07,19.65,19.76,23867190
2016-02-08,19.44,19.57,18.9,19.24,9719773
2016-02-09,19.06,19.19,18.56,18.72,8129546
2016-02-10,18.95,19.2,18.7575,18.895,6859315
2016-02-11,18.61,18.9,18.48,18.77,8295089
2016-02-12,18.81,19.25,18.565,19.15,6552335
2016-02-16,19.4,19.65,19.12,19.55,11493530
2016-02-17,19.71,20.049,19.64,19.97,7147560
2016-02-18,19.85,19.97,19.74,19.81,4697061
2016-02-19,19.8,19.98,19.58,19.93,4577907
2016-02-22,20.1,20.35,20.04,20.13,5503181
2016-02-23,20.01,20.09,19.52,19.56,5711263
2016-02-24,19.41,19.4972,19.025,19.29,7440142
2016-02-25,19.38,19.69,19.19,19.67,5894420
2016-02-26,19.84,19.9,19.32,19.44,5784781
2016-02-29,19.38,19.48,19.18,19.31,6733797
2016-03-01,19.47,20.34,19.4,20.28,11194410
2016-03-02,20.34,20.58,20.09,20.41,11375480
2016-03-03,20.47,20.59,19.85,20.52,9729224
2016-03-04,16.73,16.91,16.14,16.62,16275100
2016-03-07,16.81,17.18,16.54,17.09,11849800
2016-03-08,17.04,17.12,16.87,16.95,11165750
2016-03-09,16.99,17.67,16.74,17.59,11232240
2016-03-10,17.76,17.82,17.44,17.7,8269233
2016-03-11,18.23,18.5,18.15,18.39,11741410
2016-03-14,18.3,18.64,18.27,18.54,15701260
2016-03-15,18.29,18.54,18.25,18.46,7046146
2016-03-16,18.34,18.66,18.32,18.58,5334638
2016-03-17,18.66,18.83,18.57,18.73,8798055
2016-03-18,18.84,18.84,18.58,18.6,18272670
2016-03-21,19.11,19.1389,18.67,18.85,9844554
2016-03-22,18.99,19.135,18.75,18.82,11014220
2016-03-23,18.81,18.94,18.455,18.64,7587369
2016-03-24,18.55,18.72,18.47,18.71,7797999
2016-03-28,18.74,18.75,18.27,18.47,10516150
2016-03-29,18.36,18.48,18.18,18.39,8465140
2016-03-30,18.51,18.53,18.23,18.38,5871417
2016-03-31,18.34,18.42,18.22,18.38,6391189
2016-04-01,18.22,18.46,18.09,18.41,8805100
2016-04-04,18.46,18.64,18.38,18.6,7388443
2016-04-05,18.47,18.5,18.31,18.37,8742878
2016-04-06,18.35,18.51,18.16,18.5,5318698
2016-04-07,18.37,18.49,18.05,18.18,5616545
2016-04-08,18.28,18.39,18.04,18.15,8609426
2016-04-11,18.27,18.39,17.955,17.97,7539884
2016-04-12,17.94,18.02,17.83,17.97,8291275
2016-04-13,18.04,18.17,17.99,18.16,5811518
2016-04-14,17.99,18.06,17.8,17.89,7038665
2016-04-15,17.92,18.17,17.85,18.04,6310283
2016-04-18,17.99,18.2,17.94,18.11,4320095
2016-04-19,18.2,18.31,18.03,18.13,6000005
2016-04-20,18.14,18.275,18.03,18.07,4415716
2016-04-21,18.23,18.28,18.04,18.1,5300163
2016-04-22,18.02,18.07,17.87,18.01,7281947
2016-04-25,17.98,18.105,17.9,18.1,6057786
2016-04-26,18.11,18.21,17.99,18.04,7386934
2016-04-27,18.04,18.16,17.96,18.11,5224471
2016-04-28,16.89,17.32,16.59,16.86,23283970
2016-04-29,16.68,16.8,16.56,16.645,18406940
2016-05-02,17.1,17.2,16.54,16.75,14748700
2016-05-03,16.59,16.72,16.51,16.63,8467955
2016-05-04,16.53,16.71,16.52,16.67,5568856
2016-05-05,16.69,16.75,16.51,16.6,7311282
2016-05-06,16.58,16.76,16.475,16.61,5154318
2016-05-09,16.65,16.8,16.58,16.64,5098576
2016-05-10,16.69,16.8,16.58,16.78,4703119
2016-05-11,16.71,16.92,16.6211,16.71,4586337
2016-05-12,16.79,16.93,16.63,16.9,11888650
