Date,Open,High,Low,Close,Volume
2015-06-22,140.4387,141.4676,140.3873,141.056,3430634
2015-06-23,141.056,141.982,140.9017,141.7248,4063148
2015-06-24,141.7248,141.9306,140.1815,140.2329,4055771
2015-06-25,140.3358,140.6959,138.9983,139.1012,2909059
2015-06-26,139.1012,139.5642,138.4324,139.3584,3217055
2015-06-29,138.381,138.7411,136.4776,137.0435,4161008
2015-06-30,137.9695,138.6897,136.4781,136.6834,4436704
2015-07-01,137.1978,138.2262,136.169,137.1464,3803388
2015-07-02,137.3521,138.0209,136.8377,137.7637,3250120
2015-07-06,136.4776,137.0435,134.78,135.3459,3469223
2015-07-07,135.706,136.5805,133.3911,136.169,4079551
2015-07-08,134.2141,134.9858,133.1338,133.1853,4003550
2015-07-09,134.6257,135.8089,133.8026,133.854,3800623
2015-07-10,135.7574,136.0146,133.9569,135.1401,3168496
2015-07-13,136.2719,136.4776,134.9858,136.169,3026498
2015-07-14,135.5517,137.5065,135.5517,137.1464,2769928
2015-07-15,136.8892,137.8151,136.8377,137.7122,3490355
2015-07-16,138.7925,139.1012,138.0723,139.1012,3812721
2015-07-17,140.2329,140.593,139.0498,140.1301,5147519
2015-07-20,139.5127,139.9757,138.9469,139.6156,3083229
2015-07-21,138.9469,139.6671,137.8666,138.1238,3657965
2015-07-22,138.2781,138.6897,136.6834,136.992,3007473
2015-07-23,136.7348,136.8377,134.78,135.0887,2892976
2015-07-24,135.3459,135.3973,132.0535,132.4651,3866518
2015-07-27,131.3848,133.6483,131.2819,133.4939,4530818
2015-07-28,134.2656,134.9858,133.4939,134.2656,3456879
2015-07-29,134.2141,135.1916,134.0084,135.0887,2987638
2015-07-30,134.9343,134.9858,133.8026,134.3685,2756071
2015-07-31,134.9343,135.2584,134.0084,134.2656,2892381
2015-08-03,134.3685,134.3942,131.6934,133.0824,4063299
2015-08-04,133.1853,134.0598,132.8766,133.2367,2730974
2015-08-05,134.2141,135.4488,133.9055,134.2656,3179035
2015-08-06,134.5228,134.6771,133.5454,133.9055,2154899
2015-08-07,133.4939,134.0598,131.7449,132.6709,3239441
2015-08-10,133.2367,135.2944,133.2367,134.9858,2931068
2015-08-11,133.9055,133.9055,131.8992,132.2593,3514873
2015-08-12,131.3848,133.1338,130.4074,133.031,4066660
2015-08-13,132.568,133.2882,131.7963,132.6709,2052076
2015-08-14,131.9507,134.2656,131.7963,134.1627,2597170
2015-08-17,133.4939,134.9858,132.7223,134.8315,2396633
2015-08-18,134.6257,134.8315,133.4425,134.1113,2540430
2015-08-19,133.2367,133.8798,131.7706,132.3622,3641413
2015-08-20,131.2305,131.8992,129.5328,129.5843,4324134
2015-08-21,128.0925,129.2756,126.3434,126.4977,8133370
2015-08-24,117.4952,125.4174,99.6446,122.7938,11400618
2015-08-25,127.2179,127.2694,119.7073,119.7073,7592621
2015-08-26,122.691,123.8227,119.7073,123.514,9858786
2015-08-27,125.6746,128.6583,125.4174,128.6583,8081763
2015-08-28,128.1953,129.4814,127.4751,129.43,4108928
2015-08-31,128.504,128.504,126.4463,127.6809,4612266
2015-09-01,124.6972,125.3145,121.8164,122.8453,8156719
2015-09-02,124.1828,126.4463,122.5881,126.3948,6299253
2015-09-03,127.3723,128.3497,125.4689,126.0862,4183056
2015-09-04,124.3886,124.3886,122.691,123.4626,4432765
2015-09-08,126.0862,128.504,124.8516,128.4011,5768276
2015-09-09,129.6357,129.7386,125.9319,126.292,4324168
2015-09-10,126.3434,127.8867,126.0347,126.9607,4376796
2015-09-11,127.2694,128.4011,126.0347,128.3497,3985606
2015-09-14,128.4526,128.504,126.5492,127.4237,3279589
2015-09-15,128.0925,130.9218,127.0636,130.1502,5776915
2015-09-16,131.3333,133.9055,130.7675,133.3911,7685464
2015-09-17,131.179,133.3911,129.9958,130.4074,6046355
