Date,Open,High,Low,Close,Volume
2015-06-22,59.17,59.22,58.8201,59.03,576092
2015-06-23,59.18,59.34,58.82,59.06,692572
2015-06-24,58.91,59.16,58.68,58.71,386046
2015-06-25,58.97,59.06,58.575,58.69,479220
2015-06-26,58.92,59.17,58.74,59.15,852672
2015-06-29,58.22,58.75,57.805,57.83,738109
2015-06-30,58.49,58.5,57.85,58.22,932573
2015-07-01,59.1,59.39,58.7,58.91,625855
2015-07-02,58.9,59.19,58.49,58.82,558653
2015-07-06,58.19,58.72,58.01,58.57,652765
2015-07-07,58.45,58.77,57.83,58.75,548354
2015-07-08,58.14,58.38,57.42,57.53,607647
2015-07-09,58.19,58.23,57.71,57.77,472842
2015-07-10,58.23,58.88,58.06,58.75,539338
2015-07-13,59.15,59.33,58.86,59.13,642692
2015-07-14,58.99,59.46,58.93,59.44,404877
2015-07-15,59.54,60.28,59.28,60.2,693479
2015-07-16,60.67,60.95,60.41,60.93,537005
2015-07-17,60.83,61.01,60.25,60.32,578092
2015-07-20,60.41,60.54,60.18,60.38,451297
2015-07-21,60.43,60.84,60.16,60.33,455631
2015-07-22,60.33,60.7,60.33,60.52,399820
2015-07-23,60.56,60.74,59.91,60.04,475298
2015-07-24,60.73,62.66,60.3,62.16,1643999
2015-07-27,61.72,61.92,60.965,61.21,731371
2015-07-28,59.54,60.18,55.618,59.87,1226796
2015-07-29,59.87,61.575,59.71,61.47,947098
2015-07-30,61.41,61.98,61.02,61.79,758795
2015-07-31,61.8,62.18,61.03,61.61,803681
2015-08-03,61.71,62.46,61.56,62.32,754033
2015-08-04,62.4,62.63,62.19,62.34,495247
2015-08-05,62.66,62.95,62.44,62.69,477067
2015-08-06,62.74,62.87,61.87,62.18,537566
2015-08-07,62.03,62.36,61.45,61.97,713614
2015-08-10,62.42,63.21,62.42,63.12,573678
2015-08-11,62.74,63.2599,62.66,62.86,526931
2015-08-12,62.41,62.61,61.54,62.47,463618
2015-08-13,61.98,62.72,60.9601,62.2,1090640
2015-08-14,62.2,62.73,62.1,62.5,614597
2015-08-17,62.21,62.71,61.58,62.71,482452
2015-08-18,62.7,62.88,62.45,62.63,480319
2015-08-19,62.37,62.74,61.85,62.52,544078
2015-08-20,62.16,62.19,61.12,61.13,638507
2015-08-21,60.61,60.765,59.34,59.35,906179
2015-08-24,56.39,58.23,55.99,56.43,1807926
