Date,Open,High,Low,Close,Volume
2015-06-22,36.29,36.5399,36.13,36.19,13767220
2015-06-23,36.37,36.48,36.27,36.3,7259988
2015-06-24,35.91,35.97,35.11,35.16,16752180
2015-06-25,35.21,35.32,34.57,34.7,14580900
2015-06-26,34.7,34.82,34.28,34.38,11593740
2015-06-29,34.12,34.17,33.2,33.23,18660990
2015-06-30,33.5,33.57,33.06,33.33,12853710
2015-07-01,33.61,33.61,32.679,33.04,16168020
2015-07-02,33.19,33.45,33.06,33.23,8646313
2015-07-06,32.85,33.115,32.61,32.65,10414460
2015-07-07,32.62,32.95,32.01,32.86,18588950
2015-07-08,32.39,32.41,30.94,31.19,29958430
2015-07-09,31.62,31.75,30.92,31.01,16929390
2015-07-10,31.3,31.42,30.99,31.4,12198240
2015-07-13,31.87,31.9,31.46,31.68,16305010
2015-07-14,31.59,31.99,31.43,31.77,10787900
2015-07-15,31.85,31.9,31.3,31.43,18021650
2015-07-16,31.14,31.2,30.31,30.61,35894580
2015-07-17,30.64,30.8,30.43,30.65,15982850
2015-07-20,30.85,30.85,30.42,30.5,15643710
2015-07-21,30.51,30.56,30.315,30.39,23103610
2015-07-22,30.33,30.52,29.885,30.3,20747700
2015-07-23,32.66,32.7,31.4,31.5,38862070
2015-07-24,31.9,31.94,30.82,31.06,22721800
2015-07-27,30.95,31.32,30.6,31.05,23303960
2015-07-28,31.49,31.64,31.22,31.32,23182750
2015-07-29,31.48,32.06,31.43,31.95,20606190
2015-07-30,31.89,32.05,31.75,31.91,10085810
2015-07-31,32.08,32.13,31.43,31.51,12376830
2015-08-03,31.79,31.89,31.31,31.68,14773870
2015-08-04,31.66,31.765,31.39,31.52,15083600
2015-08-05,31.77,31.77,31.2,31.6,14394090
2015-08-06,31.59,31.93,31.14,31.86,19566780
2015-08-07,32.09,32.14,31.6,31.74,12959960
2015-08-10,31.95,32.25,31.86,31.94,11676070
2015-08-11,31.29,31.31,30.59,30.83,24326880
2015-08-12,30.43,31.0,29.79,30.87,23175460
2015-08-13,30.87,31.25,30.81,31.06,20391020
2015-08-14,31.14,31.55,31.06,31.49,12198970
2015-08-17,31.47,31.68,31.17,31.61,11839280
2015-08-18,31.41,31.77,31.34,31.71,9264166
2015-08-19,31.61,32.05,31.37,31.63,13913800
2015-08-20,31.46,31.46,30.83,30.84,13322260
2015-08-21,30.46,30.53,29.57,29.6,26625370
2015-08-24,27.3,28.9,24.62,27.8,35732250
2015-08-25,29.2,29.2,27.28,27.28,19282900
2015-08-26,27.62,28.2,26.9,28.1,27693920
2015-08-27,28.52,28.82,28.02,28.58,27751110
2015-08-28,28.6,29.14,28.5303,29.0,15113980
2015-08-31,29.09,29.685,29.02,29.44,16184030
2015-09-01,29.18,29.37,28.4,28.64,16666130
2015-09-02,29.01,29.22,28.615,29.21,10775810
2015-09-03,29.38,29.71,29.02,29.11,11467220
2015-09-04,28.78,29.04,28.57,28.88,13371300
2015-09-08,29.5,29.94,29.5,29.88,19277820
2015-09-09,30.2,30.4,29.52,29.62,15951500
2015-09-10,29.19,30.465,29.19,30.0,18585490
2015-09-11,30.01,30.2,29.575,30.15,15344260
2015-09-14,30.11,30.77,30.06,30.72,20148070
2015-09-15,30.77,31.55,30.765,30.99,22348890
2015-09-16,31.08,31.57,30.92,31.2,17037140
2015-09-17,31.25,31.81,31.13,31.31,16551860
2015-09-18,30.98,31.12,30.465,30.51,31084760
2015-09-21,30.67,30.955,30.38,30.62,14325310
2015-09-22,29.42,30.06,29.41,30.03,17054930
2015-09-23,30.01,30.14,29.585,29.72,11257180
2015-09-24,29.41,29.51,28.765,29.44,19662460
2015-09-25,29.79,29.84,29.23,29.41,13323440
2015-09-28,29.29,29.32,28.44,28.56,15618170
2015-09-29,28.66,29.29,28.38,29.15,17008280
2015-09-30,29.62,30.1,29.375,30.02,18908600
2015-10-01,30.29,30.75,29.98,30.67,18218770
2015-10-02,30.2,31.76,30.16,31.73,16355080
2015-10-05,31.9,32.16,31.52,31.76,15373980
2015-10-06,31.81,32.38,31.81,32.22,14157700
2015-10-07,32.45,33.19,32.41,33.05,15690230
2015-10-08,32.95,33.505,32.86,33.43,12888560
2015-10-09,33.34,33.63,32.79,32.95,14155600
