Date,Open,High,Low,Close,Volume
2015-06-22,92.68,92.87,91.99,92.28,303280
2015-06-23,92.52,92.75,92.1,92.27,271656
2015-06-24,92.25,92.57,91.731,91.75,430634
2015-06-25,91.82,92.04,91.26,91.6,442268
2015-06-26,92.07,92.45,91.75,92.07,391514
2015-06-29,91.08,91.23,89.17,89.28,785535
2015-06-30,90.01,90.24,89.38,89.53,774442
2015-07-01,89.46,90.79,89.35,90.66,715472
2015-07-02,90.83,90.91,89.61,90.03,497230
2015-07-06,89.67,90.4,89.06,89.49,852952
2015-07-07,89.25,89.5,87.911,89.44,569138
2015-07-08,88.93,88.93,87.83,87.85,654273
2015-07-09,88.93,88.95,87.96,88.27,639757
2015-07-10,89.2,89.3,87.97,88.98,690979
2015-07-13,89.71,90.53,89.29,90.48,650252
2015-07-14,90.47,90.645,89.67,90.21,1319163
2015-07-15,90.05,90.57,89.52,90.49,673680
2015-07-16,90.97,91.02,90.58,90.87,428247
2015-07-17,90.39,90.88,89.95,90.64,690887
2015-07-20,89.33,89.78,87.0614,88.81,1562385
2015-07-21,88.61,89.31,87.83,87.87,969690
2015-07-22,87.71,88.06,86.93,87.84,724922
2015-07-23,87.94,88.71,87.59,87.97,550679
2015-07-24,87.97,88.22,86.77,86.88,468880
2015-07-27,86.44,86.72,85.8,86.18,835174
2015-07-28,86.46,87.23,85.95,87.09,621097
2015-07-29,87.14,88.55,86.99,88.41,559698
2015-07-30,88.36,89.08,87.9,88.61,604591
2015-07-31,89.25,89.31,88.48,88.95,648615
2015-08-03,88.77,88.89,88.04,88.51,357848
2015-08-04,88.39,89.25,88.26,88.45,435909
2015-08-05,89.12,89.46,88.84,89.03,344480
2015-08-06,88.99,89.25,87.95,88.71,577602
2015-08-07,88.67,88.85,87.71,87.98,613020
2015-08-10,88.6,89.23,88.415,89.13,491824
2015-08-11,88.32,88.46,87.58,87.99,481597
2015-08-12,87.28,87.84,86.3,87.64,392149
2015-08-13,87.58,88.5,87.19,88.06,313903
2015-08-14,88.08,88.58,87.75,88.47,367380
2015-08-17,87.84,88.4,87.23,88.31,237178
2015-08-18,87.86,88.49,87.45,87.9,435183
2015-08-19,87.43,88.0476,86.86,87.4,588566
2015-08-20,86.64,86.73,85.68,85.68,543016
2015-08-21,84.86,85.58,83.37,83.43,886473
2015-08-24,80.1,82.95,78.76,81.19,1359998
2015-08-25,83.54,83.68,79.47,79.53,849326
2015-08-26,81.12,81.43,79.28,81.06,1011823
2015-08-27,81.78,83.67,81.57,83.53,762872
2015-08-28,83.0,83.8,82.975,83.71,561071
