Date,Open,High,Low,Close,Volume
2015-06-22,53.48,53.775,53.295,53.595,517502
2015-06-23,53.79,53.905,53.18,53.375,604280
2015-06-24,53.365,53.5399,52.785,52.855,636992
2015-06-25,52.89,53.055,52.705,52.945,693186
2015-06-26,53.065,53.28,52.605,52.66,975872
2015-06-29,52.065,52.525,51.375,51.385,981354
2015-06-30,51.845,51.91,51.482,51.725,1697808
2015-07-01,52.235,52.925,52.155,52.545,1124044
2015-07-02,52.555,52.58,51.8851,52.285,670544
2015-07-06,51.87,52.585,51.7,52.28,596236
2015-07-07,52.755,52.83,51.835,52.62,1472220
2015-07-08,52.185,52.435,51.54,51.9,1002070
2015-07-09,52.685,53.125,52.24,52.255,706258
2015-07-10,52.66,53.055,52.38,52.975,581990
2015-07-13,53.3,53.39,52.615,53.225,597558
2015-07-14,53.26,53.4492,53.0508,53.245,414556
2015-07-15,53.22,53.525,52.965,53.2,509552
2015-07-16,53.615,54.095,53.205,53.77,1045602
2015-07-17,53.77,53.87,53.035,53.29,562134
2015-07-20,53.385,54.54,53.005,54.0,1596942
2015-07-21,54.0,54.225,53.265,53.42,627100
2015-07-22,53.325,53.99,53.075,53.21,895500
2015-07-23,53.15,53.375,52.565,52.69,755258
2015-07-24,52.7,52.92,51.95,52.23,917072
2015-07-27,51.825,52.265,51.0725,51.085,1621196
2015-07-28,51.86,55.4,51.06,54.955,3883708
2015-07-29,55.105,57.16,55.0825,55.855,3327214
2015-07-30,55.665,56.1,55.33,55.92,1669088
2015-07-31,56.3,56.475,55.64,56.045,1850814
2015-08-03,56.05,56.53,55.75,56.135,1168610
2015-08-04,56.195,56.825,56.03,56.25,851760
2015-08-05,56.67,57.275,56.485,56.655,1087608
2015-08-06,56.825,57.07,55.95,56.26,984808
2015-08-07,56.185,56.49,55.94,56.37,719604
2015-08-10,56.76,57.5125,56.745,57.345,850724
2015-08-11,56.625,57.185,56.54,57.04,705810
2015-08-12,56.765,57.58,55.99,57.29,712964
2015-08-13,57.34,58.05,57.035,58.0,964440
2015-08-14,57.85,58.64,57.475,58.475,1155396
2015-08-17,58.16,58.7875,57.75,58.61,654836
2015-08-18,58.62,59.15,58.51,58.81,1168376
2015-08-19,58.435,59.295,58.14,58.955,786110
2015-08-20,58.365,58.625,57.975,58.125,1036068
2015-08-21,57.34,57.635,55.96,55.965,1786980
2015-08-24,53.155,54.995,50.695,52.95,2252418
2015-08-25,54.955,54.995,52.945,53.02,1545152
2015-08-26,54.35,54.735,52.91,54.56,1157276
2015-08-27,55.13,56.27,54.875,55.995,689696
2015-08-28,55.745,56.715,55.405,56.235,755576
2015-08-31,56.015,56.2475,55.535,55.695,709646
2015-09-01,54.48,55.05,54.03,54.18,729192
2015-09-02,55.0,55.24,54.235,55.24,633814
2015-09-03,55.57,56.21,55.3451,55.5,778654
2015-09-04,54.96,55.485,54.741,55.145,720222
2015-09-08,56.25,56.86,55.67,56.715,882972
2015-09-09,57.235,57.41,55.96,56.07,831896
2015-09-10,55.9,57.09,55.541,56.465,757310
2015-09-11,56.155,57.055,55.825,57.04,664488
2015-09-14,57.025,57.22,56.265,56.3,1011152
2015-09-15,56.745,57.465,56.14,57.21,746588
2015-09-16,57.185,57.42,56.72,57.255,837952
2015-09-17,57.375,57.925,57.16,57.315,840046
2015-09-18,56.685,57.365,56.65,56.87,1699948
2015-09-21,57.395,58.364,57.3,58.12,1016706
2015-09-22,57.485,58.105,57.255,58.03,1162252
2015-09-23,58.265,59.015,57.955,58.64,773248
2015-09-24,58.03,58.345,57.25,57.755,1033178
2015-09-25,58.28,58.86,57.55,57.87,743508
2015-09-28,57.675,57.82,55.75,56.0,1184018
2015-09-29,56.12,57.045,55.885,56.975,1399372
2015-09-30,57.34,57.95,56.46,57.365,1111382
2015-10-01,57.98,58.34,56.98,58.27,1499022
