Date,Open,High,Low,Close,Volume
2015-06-22,243.78,244.69,242.73,244.12,399130
2015-06-23,244.78,245.87,244.555,245.41,526789
2015-06-24,245.31,246.0,243.41,243.63,320276
2015-06-25,243.69,243.98,239.18,239.53,536921
2015-06-26,239.32,241.17,238.88,240.33,664858
2015-06-29,239.28,239.8,236.25,236.71,596101
2015-06-30,238.65,239.35,236.33,236.65,568203
2015-07-01,238.5,238.74,236.4,236.7,577655
2015-07-02,237.59,237.99,234.18,235.5,555614
2015-07-06,233.79,235.82,232.9028,233.87,593054
2015-07-07,234.19,237.6399,232.5,236.98,874511
2015-07-08,235.45,236.51,233.83,234.39,714449
2015-07-09,236.98,238.75,235.7,235.7,442011
2015-07-10,237.62,238.365,235.41,236.5,619628
2015-07-13,237.66,240.0,236.29,238.0,425698
2015-07-14,236.81,237.51,232.51,233.27,1017318
2015-07-15,232.63,233.26,229.9,230.78,808446
2015-07-16,232.67,233.34,231.07,232.36,770379
2015-07-17,229.25,234.465,227.18,233.36,1071052
2015-07-20,233.25,237.19,233.09,235.1,667984
2015-07-21,234.83,236.32,229.4,229.94,592308
2015-07-22,229.63,230.0,221.67,224.7,1235561
2015-07-23,224.52,228.12,224.1,226.18,1111343
2015-07-24,226.46,227.31,225.01,225.77,596814
2015-07-27,224.18,226.65,223.96,225.87,587471
2015-07-28,225.87,227.458,225.63,225.95,478132
2015-07-29,225.89,227.69,224.7,226.96,697064
2015-07-30,224.64,226.7,221.81,225.01,833668
2015-07-31,226.59,230.0,225.35,228.71,539088
2015-08-03,227.29,228.5,223.9,224.85,462067
2015-08-04,225.48,227.69,224.85,226.13,414035
2015-08-05,227.52,228.18,224.75,227.05,554004
2015-08-06,226.64,227.6199,224.57,226.07,438120
2015-08-07,225.62,227.29,224.88,225.96,377166
2015-08-10,227.32,230.99,226.35,230.9,403692
2015-08-11,228.49,229.888,226.53,228.05,486855
2015-08-12,226.68,231.01,226.13,230.41,791300
2015-08-13,228.0,230.14,224.91,225.86,700005
2015-08-14,226.2,227.86,223.76,224.78,714868
2015-08-17,223.88,227.04,223.04,226.46,733270
2015-08-18,225.65,227.8,225.53,226.73,339305
2015-08-19,226.25,227.13,223.95,225.6,377951
2015-08-20,223.67,226.794,223.32,224.04,505683
2015-08-21,223.23,224.64,219.56,219.85,731908
2015-08-24,212.9,219.36,194.42,213.16,1075918
2015-08-25,218.42,218.42,213.32,213.32,1026848
2015-08-26,217.18,218.01,214.46,217.67,763758
2015-08-27,220.17,224.28,218.58,223.74,738321
2015-08-28,222.99,224.66,222.04,223.23,569187
2015-08-31,222.32,224.4,220.525,223.44,520489
2015-09-01,219.68,223.87,217.75,218.74,997643
2015-09-02,222.23,223.66,219.56,223.03,769529
2015-09-03,220.8,223.9,219.01,220.69,824479
2015-09-04,218.73,219.7,217.2,218.4,621490
2015-09-08,221.97,225.27,221.57,225.27,484733
2015-09-09,227.17,227.2,222.49,222.87,799425
2015-09-10,222.97,224.76,220.55,222.61,538679
2015-09-11,221.8,222.99,220.6,221.93,537262
2015-09-14,221.93,222.022,213.84,218.14,801451
2015-09-15,218.55,222.89,217.93,222.03,613850
2015-09-16,221.63,223.87,221.63,222.43,639987
2015-09-17,221.64,223.0,218.16,218.67,669492
2015-09-18,216.24,216.47,213.94,214.25,896661
2015-09-21,214.29,216.0,213.26,214.25,601776
2015-09-22,211.86,214.01,210.71,212.66,551845
2015-09-23,212.79,213.744,209.8475,210.88,595172
2015-09-24,208.55,214.135,208.1,213.37,686473
2015-09-25,214.26,215.1,212.1,213.77,686200
2015-09-28,212.11,214.78,210.895,211.77,719923
2015-09-29,211.83,213.15,209.72,211.93,717644
2015-09-30,214.17,217.71,209.37,215.01,968211
2015-10-01,214.01,215.73,207.62,209.46,1288350
2015-10-02,207.69,215.16,204.13,215.15,1057955
2015-10-05,216.35,220.04,215.92,219.82,602694
2015-10-06,219.93,226.22,219.93,223.73,761718
2015-10-07,225.1,228.16,223.75,227.84,628311
2015-10-08,227.28,232.64,227.15,231.44,653138
2015-10-09,231.0,233.0,228.1,229.2,739564
2015-10-12,229.02,229.02,224.27,225.09,934626
2015-10-13,222.93,226.05,220.16,222.68,1098127
2015-10-14,222.21,224.29,219.92,221.45,942415
2015-10-15,222.11,222.785,217.77,221.63,1197954
2015-10-16,211.15,217.06,203.9,207.65,2539202
2015-10-19,206.68,208.4864,200.34,201.96,1833729
2015-10-20,200.54,205.19,198.94,201.75,1058360
2015-10-21,201.85,204.5,199.15,201.67,986673
2015-10-22,203.01,213.21,202.078,209.42,1328269
2015-10-23,209.57,211.13,206.245,207.85,853485
2015-10-26,208.03,209.54,205.88,206.28,538019
2015-10-27,204.22,205.496,202.13,202.46,831355
2015-10-28,203.3,208.19,202.39,207.29,1018103
2015-10-29,207.12,209.54,205.4501,208.28,509090
2015-10-30,208.79,210.99,208.23,210.0,866487
2015-11-02,210.03,211.9,206.76,211.13,595465
2015-11-03,211.83,212.55,209.8,211.05,753684
2015-11-04,211.83,213.965,209.97,210.65,701946
2015-11-05,209.63,211.75,206.66,209.78,763638
2015-11-06,208.8,212.33,206.85,212.19,623932
2015-11-09,211.01,211.27,206.9501,208.75,458648
2015-11-10,209.02,212.1699,207.15,210.94,717969
2015-11-11,211.05,212.72,208.54,211.18,600818
2015-11-12,209.45,212.15,199.09,199.83,1880108
2015-11-13,199.0,200.97,196.58,197.01,1278146
2015-11-16,197.0,199.67,196.41,198.28,750425
2015-11-17,197.9,198.855,192.495,193.26,927474
2015-11-18,194.25,198.64,193.61,198.25,729441
2015-11-19,198.1,198.61,196.51,198.31,540268
2015-11-20,199.13,201.06,198.46,199.19,515897
2015-11-23,198.84,199.625,197.45,198.06,484215
2015-11-24,197.11,199.5,197.0,198.46,485854
2015-11-25,199.05,199.62,197.54,198.68,255314
2015-11-27,199.2,199.9899,196.93,199.65,312784
2015-11-30,199.7,201.05,198.75,200.54,605213
2015-12-01,200.09,202.17,199.87,201.64,575130
2015-12-02,201.29,202.36,199.06,199.56,633473
2015-12-03,200.47,201.34,196.88,198.8,800243
2015-12-04,198.88,201.12,197.55,200.86,699049
2015-12-07,200.07,200.07,197.0975,198.43,794299
2015-12-08,196.72,197.855,193.82,195.06,830155
2015-12-09,193.86,197.56,192.44,193.12,1450168
2015-12-10,193.46,195.2757,192.235,194.47,588030
2015-12-11,192.32,194.35,189.6,190.83,921250
2015-12-14,191.2,194.74,189.805,194.13,1359121
2015-12-15,194.28,195.95,192.22,194.58,624567
2015-12-16,196.2,197.22,193.496,196.79,511567
2015-12-17,196.72,196.72,193.49,194.85,784136
2015-12-18,193.8,195.49,192.7,193.93,1587383
