Date,Open,High,Low,Close,Volume
2015-06-22,43.92,44.21,43.45,44.11,10713400
2015-06-23,43.85,44.56,43.83,44.49,10613210
2015-06-24,44.16,44.67,44.11,44.25,9833827
2015-06-25,44.16,44.23,43.5,43.5,8680144
2015-06-26,43.5,43.52,42.76,43.12,28296430
2015-06-29,42.56,43.18,42.46,42.69,11069150
2015-06-30,43.07,43.23,42.75,43.07,10627270
2015-07-01,43.23,43.27,41.2,41.56,16558880
2015-07-02,41.66,42.18,41.33,41.91,10445770
2015-07-06,40.83,41.74,40.62,40.72,13445450
2015-07-07,40.63,42.0599,40.24,41.88,18271420
2015-07-08,41.39,41.975,40.71,40.94,15204130
2015-07-09,41.54,41.82,41.26,41.31,10729940
2015-07-10,41.57,41.77,41.17,41.33,10403310
2015-07-13,41.41,41.93,41.04,41.87,11041330
2015-07-14,41.79,42.98,41.72,42.56,10097430
2015-07-15,42.31,42.32,41.06,41.07,14548630
2015-07-16,41.41,41.52,40.16,40.21,14985130
2015-07-17,39.99,40.42,39.55,39.99,14929130
2015-07-20,40.44,41.6,40.44,40.72,19133660
2015-07-21,40.78,42.59,40.74,41.86,22005310
2015-07-22,41.85,42.89,39.315,41.54,47527570
2015-07-23,42.19,42.97,41.69,42.33,16662150
2015-07-24,42.42,42.61,41.24,41.72,11570970
2015-07-27,40.92,41.33,40.24,40.98,12228610
2015-07-28,41.31,42.0,40.25,41.92,16020880
2015-07-29,41.5,43.39,41.5,43.29,16790640
2015-07-30,43.28,43.71,42.17,42.29,10659550
2015-07-31,42.07,42.4,41.69,41.79,8703767
2015-08-03,41.3,41.34,39.91,40.12,19209780
2015-08-04,40.35,40.8,39.37,39.6,14778700
2015-08-05,40.04,40.98,39.86,40.61,14648150
2015-08-06,40.57,41.0,39.8,40.85,11875570
2015-08-07,40.58,41.0799,39.58,39.76,7807309
2015-08-10,39.86,41.7,39.82,41.62,10579250
2015-08-11,40.57,42.0,40.44,41.95,12507290
2015-08-12,41.83,43.02,40.81,42.71,17503670
2015-08-13,42.34,42.44,41.59,41.76,11072940
2015-08-14,41.71,42.64,41.69,41.99,8995938
2015-08-17,41.63,41.87,40.89,41.29,9169457
2015-08-18,41.13,41.73,40.81,41.01,9634593
2015-08-19,40.37,40.85,39.03,39.3,15504910
2015-08-20,39.13,39.69,37.66,37.7,17175430
