Date,Open,High,Low,Close,Volume
2015-06-22,11.45,11.58,11.43,11.57,8566200
2015-06-23,11.6,11.71,11.595,11.68,5378962
2015-06-24,11.67,11.72,11.55,11.58,5867243
2015-06-25,11.63,11.68,11.42,11.43,13886270
2015-06-26,11.49,11.52,11.43,11.46,11165350
2015-06-29,11.29,11.41,11.18,11.2,8400398
2015-06-30,11.32,11.41,11.2,11.31,10193590
2015-07-01,11.44,11.48,11.375,11.47,8389406
2015-07-02,11.47,11.482,11.27,11.35,6485526
2015-07-06,11.21,11.39,11.14,11.34,7086448
2015-07-07,11.31,11.35,11.08,11.22,8670636
2015-07-08,11.04,11.16,11.01,11.05,9571508
2015-07-09,11.19,11.22,11.0635,11.12,7771547
2015-07-10,11.23,11.28,11.12,11.21,6750369
2015-07-13,11.31,11.37,11.26,11.36,5779321
2015-07-14,11.33,11.46,11.26,11.44,6445944
2015-07-15,11.5,11.605,11.42,11.53,8976283
2015-07-16,11.59,11.65,11.55,11.58,5939615
2015-07-17,11.54,11.55,11.41,11.54,6951750
2015-07-20,11.55,11.65,11.53,11.62,8143154
2015-07-21,11.67,11.72,11.54,11.58,7876932
2015-07-22,11.61,11.69,11.55,11.6,13232320
2015-07-23,11.78,11.9,11.65,11.73,12862180
2015-07-24,11.79,11.84,11.69,11.76,9155011
2015-07-27,11.7,11.73,11.58,11.6,7186485
2015-07-28,11.7,11.73,11.59,11.69,7266583
2015-07-29,11.7,11.77,11.63,11.73,9866334
2015-07-30,11.68,11.77,11.65,11.77,8228780
2015-07-31,11.78,11.78,11.65,11.67,8886456
2015-08-03,11.7,11.71,11.5812,11.7,8219734
2015-08-04,11.73,11.83,11.66,11.67,7776624
2015-08-05,11.7,11.84,11.68,11.77,8733625
2015-08-06,11.82,11.835,11.675,11.73,5621201
2015-08-07,11.71,11.79,11.53,11.6,9609554
2015-08-10,11.62,11.83,11.62,11.83,7147887
2015-08-11,11.8,11.84,11.59,11.64,10487250
2015-08-12,11.6,11.67,11.33,11.51,9866275
2015-08-13,11.49,11.65,11.45,11.62,7866795
2015-08-14,11.66,11.82,11.61,11.8,6390352
2015-08-17,11.69,11.88,11.61,11.79,8603966
2015-08-18,11.76,11.86,11.76,11.84,7234913
2015-08-19,11.83,11.84,11.64,11.64,10886640
2015-08-20,11.51,11.54,11.32,11.32,7808529
2015-08-21,11.2,11.25,11.0,11.0,12411800
2015-08-24,10.44,10.79,10.0,10.44,17256260
2015-08-25,10.73,10.76,10.21,10.21,14235790
2015-08-26,10.45,10.59,10.25,10.58,12418620
2015-08-27,10.69,10.8668,10.62,10.86,13179780
2015-08-28,10.85,10.945,10.7739,10.91,9608978
2015-08-31,10.84,10.95,10.77,10.91,6308942
2015-09-01,10.7,10.73,10.41,10.45,9841488
2015-09-02,10.6,10.66,10.42,10.585,7884077
2015-09-03,10.61,10.815,10.58,10.705,6348692
2015-09-04,10.6,10.645,10.45,10.545,6630960
2015-09-08,10.78,10.85,10.65,10.84,6747138
2015-09-09,10.99,10.99,10.67,10.71,8412894
2015-09-10,10.7,10.89,10.64,10.82,7077608
2015-09-11,10.74,10.81,10.6701,10.81,6583642
2015-09-14,10.79,10.9,10.74,10.86,6779803
2015-09-15,10.83,10.96,10.81,10.94,5694470
2015-09-16,10.9,11.04,10.82,11.04,9061014
2015-09-17,11.02,11.05,10.65,10.69,15592460
2015-09-18,10.55,10.59,10.34,10.36,14840070
2015-09-21,10.42,10.555,10.4,10.52,9817383
2015-09-22,10.34,10.42,10.25,10.33,6864617
2015-09-23,10.32,10.46,10.28,10.36,8463756
2015-09-24,10.27,10.34,10.16,10.32,7808296
2015-09-25,10.45,10.55,10.41,10.49,7981583
2015-09-28,10.47,10.49,10.26,10.29,7362436
2015-09-29,10.28,10.45,10.205,10.44,14828950
2015-09-30,10.5,10.61,10.4,10.6,10269670
2015-10-01,10.62,10.7,10.53,10.69,10751770
2015-10-02,10.42,10.58,10.21,10.58,11686810
2015-10-05,10.64,10.81,10.64,10.78,6747867
2015-10-06,10.73,10.82,10.69,10.77,6130083
2015-10-07,10.86,10.96,10.755,10.9,7448125
2015-10-08,10.84,10.955,10.8,10.92,7009067
2015-10-09,10.87,10.99,10.75,10.79,4400553
2015-10-12,10.79,10.87,10.73,10.86,3605224
2015-10-13,10.83,10.865,10.73,10.74,5441140
2015-10-14,10.66,10.78,10.48,10.53,9011781
2015-10-15,10.62,10.74,10.535,10.72,10919030
2015-10-16,10.77,10.8,10.65,10.7,8528289
2015-10-19,10.65,10.77,10.65,10.7,6545244
2015-10-20,10.74,10.855,10.67,10.82,7953907
2015-10-21,10.84,10.93,10.565,10.62,12488770
2015-10-22,10.5,11.04,10.48,10.87,14853110
2015-10-23,10.97,11.135,10.92,11.13,12389660
2015-10-26,11.09,11.13,10.87,10.97,9644837
2015-10-27,10.91,11.03,10.84,10.9,10119170
2015-10-28,10.96,11.35,10.91,11.35,10597120
2015-10-29,11.32,11.44,11.25,11.3,10116410
2015-10-30,11.31,11.32,10.92,10.97,10364450
2015-11-02,11.04,11.16,11.0,11.11,8979637
2015-11-03,11.06,11.24,11.05,11.13,7410623
2015-11-04,11.16,11.26,11.121,11.2,5945949
2015-11-05,11.21,11.42,11.21,11.33,8479920
2015-11-06,11.52,11.75,11.495,11.65,11335050
2015-11-09,11.69,11.73,11.48,11.57,7652888
2015-11-10,11.54,11.65,11.47,11.61,4780404
2015-11-11,11.68,11.69,11.52,11.55,6584278
2015-11-12,11.49,11.55,11.32,11.32,8214690
2015-11-13,11.38,11.41,11.2,11.22,8240249
2015-11-16,11.19,11.42,11.17,11.42,7790481
2015-11-17,11.47,11.595,11.37,11.47,8573889
2015-11-18,11.52,11.72,11.47,11.71,9609383
2015-11-19,11.73,11.7465,11.615,11.73,6810890
2015-11-20,11.77,11.79,11.6,11.67,7611095
2015-11-23,11.68,11.76,11.61,11.65,5793528
2015-11-24,11.57,11.695,11.54,11.66,6624003
2015-11-25,11.7,11.75,11.61,11.66,4402774
2015-11-27,11.66,11.76,11.595,11.76,4225028
2015-11-30,11.76,11.785,11.62,11.69,8315043
2015-12-01,11.75,11.85,11.66,11.8,7448920
2015-12-02,11.85,11.87,11.66,11.67,7848551
2015-12-03,11.7,11.8,11.385,11.43,10719140
2015-12-04,11.51,11.78,11.425,11.75,15299270
2015-12-07,11.69,11.75,11.515,11.56,12361800
2015-12-08,11.47,11.51,11.2,11.23,14829340
2015-12-09,11.21,11.33,10.9801,11.06,11645790
2015-12-10,10.94,11.22,10.91,11.09,12857490
2015-12-11,10.96,11.07,10.76,10.82,10566720
2015-12-14,10.88,10.96,10.68,10.84,13307090
2015-12-15,11.01,11.29,10.9725,11.23,11177150
2015-12-16,11.3,11.39,11.06,11.33,12696190
2015-12-17,11.32,11.36,11.11,11.12,10936040
2015-12-18,11.08,11.09,10.82,10.82,25255580
