Date,Open,High,Low,Close,Volume
2015-06-22,112.93,113.62,112.78,113.07,3190171
2015-06-23,113.24,113.59,112.93,113.18,3075714
2015-06-24,112.94,113.68,112.35,112.35,3716056
2015-06-25,113.24,113.71,112.24,112.24,4466982
2015-06-26,112.77,113.34,112.23,112.6,4169908
2015-06-29,111.56,112.32,110.46,110.54,5185549
2015-06-30,111.15,111.76,110.59,111.13,5938639
2015-07-01,112.45,112.81,111.47,112.07,4213677
2015-07-02,112.58,112.75,111.1,111.49,3845043
2015-07-06,110.27,111.93,110.17,111.32,3864564
2015-07-07,111.72,112.6399,110.7,112.4,5515747
2015-07-08,111.72,112.46,110.8,111.0,3793965
2015-07-09,112.32,112.59,111.2,111.38,3642461
2015-07-10,112.67,113.48,112.09,113.1,4631403
2015-07-13,114.21,115.02,114.0655,114.9,4168032
2015-07-14,114.5,115.53,114.39,115.36,3688831
2015-07-15,115.42,116.15,115.07,115.58,3365021
2015-07-16,115.87,115.91,113.83,114.73,5234624
2015-07-17,114.49,115.0,114.0,114.47,5497466
2015-07-20,112.25,114.1095,112.17,113.41,6107437
2015-07-21,113.41,113.97,112.678,113.86,4658165
2015-07-22,113.96,115.08,113.8,114.9,5483043
2015-07-23,115.21,116.11,114.43,114.59,4308850
2015-07-24,114.74,115.23,113.43,113.59,4427420
2015-07-27,113.37,113.89,112.71,113.07,4465267
2015-07-28,113.76,115.03,113.18,114.84,4176783
2015-07-29,115.16,116.76,115.11,116.37,5100276
2015-07-30,115.94,116.74,115.345,116.46,3290936
2015-07-31,116.98,118.13,116.37,117.03,4301048
2015-08-03,117.62,117.7,116.16,116.89,3645105
2015-08-04,116.63,117.82,116.25,117.53,3005356
2015-08-05,118.38,118.53,117.1001,118.0,4299026
2015-08-06,118.39,118.5,116.07,116.56,4768769
2015-08-07,116.7,117.16,115.78,116.93,3985469
2015-08-10,117.53,118.34,117.36,117.6,3408870
2015-08-11,117.02,118.14,116.76,117.69,4080003
2015-08-12,117.13,117.88,115.7,117.69,4619961
2015-08-13,118.0,120.14,117.79,119.02,6255309
2015-08-14,119.3,119.89,118.46,119.75,5133922
2015-08-17,119.1,120.75,118.73,119.7,7236355
2015-08-18,121.83,123.8,121.15,122.8,11020570
2015-08-19,122.67,123.79,122.13,122.76,6487106
2015-08-20,121.98,122.53,120.54,120.54,5554262
2015-08-21,119.54,120.36,116.15,116.16,10180150
2015-08-24,110.05,115.88,92.1685,112.54,13981320
2015-08-25,117.0,117.0,110.89,110.97,10211810
2015-08-26,114.06,116.03,112.08,115.93,9309031
2015-08-27,117.5,118.09,115.33,117.66,7569258
2015-08-28,117.43,118.46,116.92,117.52,5015891
2015-08-31,117.01,117.49,115.93,116.46,5443965
2015-09-01,113.99,114.75,112.56,113.07,7388487
2015-09-02,114.83,116.48,114.32,116.48,6486188
2015-09-03,117.03,118.08,116.18,116.6,5290782
2015-09-04,114.68,115.69,113.49,114.42,5748848
2015-09-08,115.69,116.64,114.73,116.43,5775492
2015-09-09,117.11,117.47,113.7,113.97,5286652
2015-09-10,114.0,115.41,113.69,114.49,5253580
2015-09-11,113.97,115.46,113.7,115.44,4472436
2015-09-14,115.5,115.68,114.415,114.73,4247741
2015-09-15,114.78,116.63,113.9,116.18,4991266
2015-09-16,116.08,118.025,115.97,117.82,5282176
2015-09-17,118.33,119.82,117.271,117.91,6547673
2015-09-18,116.51,117.2,114.98,115.12,11364370
2015-09-21,115.96,117.11,115.27,116.58,5201539
2015-09-22,115.4,116.39,114.89,115.8,4629943
2015-09-23,115.85,116.55,115.66,116.17,4084807
2015-09-24,115.34,116.65,114.8401,116.34,5169510
2015-09-25,117.23,118.165,116.04,116.74,5477767
2015-09-28,116.53,117.38,113.85,114.1,5990974
2015-09-29,114.21,114.93,111.8,112.91,7904719
2015-09-30,114.37,115.63,114.0,115.49,5389841
2015-10-01,116.23,117.13,114.74,117.03,5208609
2015-10-02,115.56,117.9,114.71,117.81,4359213
2015-10-05,118.75,119.29,117.91,119.2,4528383
2015-10-06,119.1,119.2,117.97,118.68,5272348
2015-10-07,119.2,119.84,118.49,119.65,4810650
2015-10-08,119.31,121.23,119.15,121.06,4954066
2015-10-09,121.27,121.5,120.47,121.33,3893261
2015-10-12,121.49,122.45,121.0,121.9,2861888
2015-10-13,121.77,122.29,121.14,121.61,2968903
2015-10-14,121.33,121.88,119.56,120.27,5200401
2015-10-15,120.62,122.03,120.4,121.81,3444075
2015-10-16,121.63,122.82,121.63,122.74,4064197
2015-10-19,122.61,123.2,122.2,123.1,3096601
2015-10-20,122.89,123.17,122.35,122.85,3318157
2015-10-21,123.29,124.02,122.75,123.3,3491996
2015-10-22,123.9,124.48,122.88,124.36,5854207
2015-10-23,125.01,125.75,122.97,124.61,5278729
2015-10-26,124.55,125.66,124.02,125.01,4550013
2015-10-27,124.51,125.09,123.82,124.47,3674795
2015-10-28,124.38,124.59,122.22,123.82,6821538
2015-10-29,123.42,124.07,122.75,123.63,4635293
2015-10-30,123.27,124.75,123.27,123.64,4991511
2015-11-02,124.24,124.64,123.38,124.41,3715524
2015-11-03,124.23,126.04,123.81,125.66,4313696
2015-11-04,125.48,125.87,124.62,125.38,4101588
2015-11-05,125.46,126.008,124.95,125.72,3080925
2015-11-06,125.27,126.1092,124.82,125.98,3751456
2015-11-09,125.8,126.12,123.71,124.5,4988613
2015-11-10,124.49,125.41,124.04,125.26,3872569
2015-11-11,125.43,125.43,124.52,124.71,3247436
2015-11-12,124.18,124.97,123.06,123.81,4282942
2015-11-13,123.1,123.25,119.9,120.0,8718716
2015-11-16,120.05,121.03,118.61,120.84,7769342
2015-11-17,124.86,126.34,123.1,126.18,10508290
2015-11-18,126.44,126.73,124.66,126.54,6489105
2015-11-19,126.53,127.62,125.95,126.86,4658096
2015-11-20,127.36,130.21,127.09,130.21,8187484
2015-11-23,130.21,132.64,130.21,132.5,6328626
2015-11-24,131.93,133.93,131.74,133.6,6670001
2015-11-25,133.69,135.24,133.55,134.65,5299413
2015-11-27,134.81,135.47,134.53,134.74,3337790
2015-11-30,135.2,135.32,133.01,133.88,7922742
2015-12-01,133.52,134.63,133.26,134.43,5267125
2015-12-02,134.56,134.65,133.57,133.81,5021711
2015-12-03,133.52,134.12,130.8,130.93,6687458
2015-12-04,131.55,134.8299,131.35,134.53,5386788
2015-12-07,134.0,134.79,133.1896,133.93,5443157
2015-12-08,132.71,134.56,132.41,133.84,4731195
2015-12-09,133.21,134.78,131.51,131.9,5054959
2015-12-10,131.96,133.59,131.8,132.54,4186201
2015-12-11,131.09,132.19,130.31,130.44,5300539
2015-12-14,131.09,132.1255,130.71,132.01,5954492
2015-12-15,132.62,133.49,131.19,131.29,4921673
2015-12-16,132.17,133.28,130.36,132.9,4707901
2015-12-17,133.06,133.54,130.995,131.35,4342642
