Date,Open,High,Low,Close,Volume
2015-06-22,104.51,104.8159,103.1777,103.987,2188870
2015-06-23,103.8981,103.9671,103.1481,103.385,1809210
2015-06-24,103.3751,103.8784,102.7336,102.7336,2295473
2015-06-25,103.6909,103.6909,101.8652,102.0033,1449591
2015-06-26,102.3685,102.3907,101.8257,102.181,1958797
2015-06-29,101.579,101.7961,100.4737,100.5132,2138359
2015-06-30,101.3224,101.7665,100.2368,100.6316,2195484
2015-07-01,101.6283,102.1218,101.1349,101.4902,2171453
2015-07-02,101.7862,101.954,100.8487,101.1645,1792716
2015-07-06,100.1678,101.6086,100.0296,101.0362,2262346
2015-07-07,101.0757,101.6283,99.7237,101.4902,2365298
2015-07-08,100.6612,101.0461,99.4276,99.6447,2345123
2015-07-09,100.977,101.3717,99.8125,99.852,2719826
2015-07-10,100.6513,101.3224,100.2467,101.0658,2574253
2015-07-13,101.9836,102.5067,101.7666,102.408,1608582
2015-07-14,102.3586,103.0396,102.0428,102.7139,1443184
2015-07-15,102.7139,103.0889,102.2007,102.477,2735062
2015-07-16,103.5133,103.5133,101.6777,102.2106,4618697
2015-07-17,103.5429,105.2206,102.9014,104.1547,5182418
2015-07-20,104.3126,105.3883,104.1449,104.9738,4522601
2015-07-21,104.6284,105.0034,103.8093,104.0166,3717092
2015-07-22,103.9771,104.135,103.1383,103.3652,3121391
2015-07-23,103.4047,104.0807,102.8422,102.9507,2366020
2015-07-24,102.8027,103.1481,100.9573,101.4211,2787997
2015-07-27,100.6612,100.7105,100.0247,100.3059,3286694
2015-07-28,101.352,103.1501,100.9573,102.8323,3928774
2015-07-29,102.8323,104.4508,102.5856,104.1547,2558528
2015-07-30,103.6416,104.3817,103.2419,103.9968,2212355
2015-07-31,104.3718,104.5297,103.5527,103.6712,1969928
2015-08-03,103.6416,103.6416,102.5363,103.3258,2343565
2015-08-04,103.3455,104.0166,102.7238,103.2468,2874673
2015-08-05,104.1153,104.8752,103.8685,104.3422,1951440
2015-08-06,104.4113,104.9018,104.0166,104.4015,2125112
2015-08-07,104.2732,104.5495,103.612,104.0758,1821847
2015-08-10,105.0528,106.0002,104.9344,105.8916,2212247
2015-08-11,104.7173,105.0627,103.1383,103.987,3234406
2015-08-12,103.908,104.3916,102.2698,104.1547,3677381
2015-08-13,103.6021,104.51,103.2468,104.135,2072322
2015-08-14,104.2732,104.8159,104.056,104.6876,1573463
2015-08-17,104.1745,104.9541,103.3356,104.885,2282090
2015-08-18,104.3817,105.2699,104.1843,104.8159,3427834
2015-08-19,104.1153,104.5988,103.4244,103.6613,2488520
2015-08-20,102.7238,102.9409,101.2533,101.2928,3987710
2015-08-21,100.5329,100.7105,97.5525,97.5822,7349334
2015-08-24,91.1181,97.1973,85.8581,94.0294,7689635
2015-08-25,97.0591,97.2466,92.5787,92.6971,6080358
2015-08-26,95.0064,96.5953,93.8518,96.5459,5259485
2015-08-27,97.8387,99.1809,97.0788,98.5789,5034615
2015-08-28,98.2138,98.9342,97.8091,98.7072,3456302
2015-08-31,98.3026,99.0625,97.7943,97.967,4241766
2015-09-01,95.7071,96.1611,94.1676,94.7005,4274708
2015-09-02,95.7564,96.7236,95.2433,96.7236,3815506
2015-09-03,97.2269,98.3519,97.0788,97.2762,3124310
2015-09-04,96.0328,96.4176,94.7992,95.3222,3653721
2015-09-08,97.5131,98.5098,97.0986,98.4999,3714953
2015-09-09,99.1217,99.6941,97.3453,97.5624,3293440
2015-09-10,97.4243,98.8305,96.9703,98.2434,3523906
2015-09-11,98.1644,98.3322,97.1381,98.3124,2556996
2015-09-14,98.6973,98.6973,97.6315,97.9177,2504383
2015-09-15,98.3322,99.4177,97.9769,99.0032,2997930
2015-09-16,99.3684,99.8026,99.0625,99.6348,3244243
2015-09-17,99.6052,100.9474,98.9934,99.2105,2665887
2015-09-18,97.9868,98.0559,96.467,96.7532,4899899
2015-09-21,96.8913,97.296,95.9242,96.4571,2683029
2015-09-22,95.0163,95.1347,93.9672,94.7794,4581479
2015-09-23,94.9571,95.184,92.8945,93.3485,5715795
2015-09-24,92.4208,92.7169,90.5359,92.3912,5575359
2015-09-25,93.5162,93.5458,91.8188,92.2925,3898497
2015-09-28,91.6116,92.1642,90.3681,90.3878,4362443
2015-09-29,90.7628,91.878,90.5064,91.3056,3452374
2015-09-30,92.4208,93.5902,92.253,93.4471,4397466
2015-10-01,93.4965,94.8189,92.3715,93.4669,3315389
2015-10-02,92.1445,95.3419,91.7892,95.2729,3817534
2015-10-05,95.8058,97.6315,95.6281,97.0887,3703253
2015-10-06,97.0887,97.7795,96.8617,96.9209,2605829
2015-10-07,97.7302,99.0329,97.4637,98.1841,2982974
2015-10-08,97.7697,100.0691,97.7302,99.7434,3084548
2015-10-09,99.7927,100.7698,99.6842,99.8322,3311419
2015-10-12,99.9605,100.3454,99.5164,100.1678,1762118
2015-10-13,99.3585,99.763,98.4111,98.5098,3660208
2015-10-14,98.5493,98.6874,96.9506,96.9703,3551091
2015-10-15,97.5328,97.5328,96.1314,97.2071,6012775
2015-10-16,98.6874,99.5263,94.0787,95.7564,12646040
2015-10-19,95.5196,96.2499,95.2334,95.9045,5948137
2015-10-20,95.9242,97.5377,95.9242,96.99,4649258
2015-10-21,97.5723,98.5986,96.9407,97.4736,3640999
2015-10-22,97.967,101.5494,97.967,101.2336,4416131
2015-10-23,101.954,102.4376,100.75,101.7764,4108784
2015-10-26,102.0626,102.0626,101.204,101.431,1901753
2015-10-27,101.2336,101.6382,100.6908,101.1053,2452424
2015-10-28,101.1645,102.2895,100.8684,102.2205,2516035
2015-10-29,101.8849,102.477,100.9869,101.5889,3129146
2015-10-30,101.9343,102.63,101.5889,101.9244,2923259
2015-11-02,101.9145,102.9804,101.6481,102.8126,2448775
2015-11-03,102.6053,102.8422,102.033,102.2895,2466438
2015-11-04,102.329,102.8511,101.8553,102.0132,1940602
2015-11-05,102.0231,102.556,101.5099,102.2402,2224436
2015-11-06,101.5198,102.6349,101.2632,102.6349,2456134
2015-11-09,101.9935,102.2599,100.6809,101.3619,3274264
2015-11-10,100.9277,101.5099,99.9803,101.0559,2757440
2015-11-11,101.5296,102.7632,101.1053,101.9047,2306258
2015-11-12,101.1152,101.2928,100.2961,100.6316,3478172
2015-11-13,100.4145,101.1645,99.4671,99.7533,2446173
2015-11-16,99.7533,101.6382,99.6348,101.6086,2297949
2015-11-17,101.8257,101.8257,100.602,100.9474,2423980
2015-11-18,101.2731,102.783,101.0741,102.6942,2562642
2015-11-19,102.8915,103.7995,102.704,103.6613,3408742
2015-11-20,104.0067,104.7469,103.9672,104.2436,2561981
2015-11-23,104.1745,104.5418,102.477,103.2172,3134552
2015-11-24,101.9441,102.4376,100.75,101.8158,5749398
2015-11-25,102.1218,102.5461,101.5593,102.2698,3725060
2015-11-27,102.2994,103.0297,102.0724,102.6942,1144656
2015-11-30,102.931,103.1679,102.4573,102.5856,2848517
2015-12-01,102.5363,103.8883,102.4081,102.783,3264538
2015-12-02,102.5461,102.9211,101.5691,101.7468,2479791
2015-12-03,102.0527,102.3191,100.523,101.0559,2702815
2015-12-04,101.431,103.3356,101.0658,103.1777,3552293
2015-12-07,103.1777,103.4738,102.2501,102.8126,2298449
2015-12-08,101.6777,102.2007,101.0411,101.3125,2711874
2015-12-09,100.7599,102.1909,100.0789,100.5526,2464636
2015-12-10,100.8191,100.9967,99.9704,100.4243,2812330
2015-12-11,98.9539,99.6645,96.6249,96.9407,5553674
2015-12-14,97.0492,97.7598,96.3782,97.6808,5756805
2015-12-15,98.1249,98.6381,97.0887,97.1775,5086055
2015-12-16,100.3947,103.0343,99.9704,102.7139,7360232
2015-12-17,102.8323,103.158,100.9178,100.9671,3743224
2015-12-18,100.75,101.6382,100.1184,100.4934,5473669
2015-12-21,101.3717,102.3882,100.5921,101.2533,3062604
2015-12-22,101.579,103.0988,101.1645,102.7928,2551826
2015-12-23,103.3159,103.9376,102.8619,103.5823,3650299
2015-12-24,103.4935,103.612,103.1086,103.2764,793858
2015-12-28,102.8619,103.2468,102.4672,102.9606,1435086
2015-12-29,103.8192,104.3324,102.8718,103.9574,2013709
2015-12-30,104.0166,104.056,102.8225,103.0889,2225209
2015-12-31,102.704,103.2073,102.1218,102.2106,2079409
2016-01-04,100.2862,101.2928,99.6645,101.2237,3335938
2016-01-05,101.2928,102.2303,100.9277,102.0527,2551317
2016-01-06,100.7994,101.1546,100.148,100.898,2321637
2016-01-07,99.2204,99.7829,97.4144,97.9276,3415974
2016-01-08,98.6085,99.023,96.8913,97.1381,4027172
2016-01-11,97.5229,98.1132,96.1611,97.1282,3130669
2016-01-12,97.9374,98.2828,96.543,97.8683,3139393
2016-01-13,98.4407,98.5888,95.4505,95.8255,2971806
2016-01-14,96.0624,98.1743,95.2531,97.444,5446969
2016-01-15,95.0459,96.3091,94.6413,95.9834,4802964
2016-01-19,97.1282,97.2565,94.9472,96.0525,3718285
2016-01-20,94.2366,95.6183,92.4794,94.9768,4965120
2016-01-21,95.5492,96.3584,94.6314,95.3123,3042195
2016-01-22,96.8519,97.2367,95.4998,96.5361,3189215
2016-01-25,96.2992,96.4374,95.1051,95.2137,2351855
2016-01-26,95.4801,97.3453,95.1248,97.217,3257783
2016-01-27,96.4867,97.4835,95.0558,95.6874,5059649
2016-01-28,96.6348,97.2565,95.8255,96.6841,4497796
2016-01-29,99.6645,102.0724,98.569,101.8454,6638389
2016-02-01,100.8586,101.8454,99.3585,101.5296,5394062
2016-02-02,100.4638,100.4638,98.7763,99.3388,3816291
2016-02-03,100.1184,100.9375,98.1151,100.8191,3758733
2016-02-04,100.3553,102.3586,100.2862,101.204,5039900
2016-02-05,101.3125,101.4112,99.8914,100.7895,3669710
2016-02-08,99.6743,100.3059,98.57,100.1974,3449826
2016-02-09,98.9243,102.1909,98.9243,101.3717,3707456
2016-02-10,101.7862,103.1975,101.1201,101.2533,4040774
2016-02-11,99.0921,100.9671,98.6184,100.2072,5051314
2016-02-12,101.3323,102.4178,100.5625,102.1218,4443747
2016-02-16,103.0988,104.6087,102.7904,103.5725,5216232
2016-02-17,104.0067,105.2008,103.8883,104.737,6038303
2016-02-18,104.5396,105.6548,104.3422,105.0725,4095222
2016-02-19,104.7469,106.1087,104.0166,105.862,4420577
2016-02-22,106.5824,110.3918,103.2764,103.7896,15115900
