Date,Open,High,Low,Close,Volume
2015-10-19,10.9931,10.9931,9.7928,9.8344,1581576
2015-10-20,9.6561,10.0602,9.6561,10.0245,709632
2015-10-21,10.2503,10.3097,9.7452,9.7928,78598
2015-10-22,9.9294,10.1315,9.6502,10.0721,110000
2015-10-23,10.2503,10.2503,10.0126,10.1018,59910
2015-10-26,10.1671,10.1671,9.6918,9.7571,514799
2015-10-27,9.8403,9.9532,9.2699,9.3471,636017
2015-10-28,9.4481,9.7155,9.4154,9.6739,296321
2015-10-29,9.5135,9.668,9.2401,9.4778,290446
2015-10-30,9.4481,9.567,8.7469,8.7469,2443578
2015-11-02,8.9074,9.0143,8.2359,8.6103,40741940
2015-11-03,8.3607,8.741,8.126,8.533,40205410
2015-11-04,8.5509,8.6222,8.0874,8.1171,31515470
2015-11-05,8.1052,8.2537,7.7962,7.8913,22189960
2015-11-06,7.8318,8.6043,7.814,8.5568,30011850
2015-11-09,8.4736,8.6043,8.3964,8.4379,17528090
2015-11-10,8.3964,8.5806,8.325,8.5627,14777770
2015-11-11,8.4379,8.5033,8.3726,8.3845,10987630
2015-11-12,8.2062,8.2121,8.0755,8.1408,20370670
2015-11-13,8.0874,8.1765,7.814,7.9566,14924490
2015-11-16,7.9447,8.0874,7.8081,7.9507,13780980
2015-11-17,7.9507,8.0161,7.7962,7.8556,12420760
2015-11-18,8.0101,8.1587,7.837,8.1052,13020480
2015-11-19,8.0398,8.2537,8.0339,8.1884,13171490
2015-11-20,8.1884,8.6935,8.129,8.4439,18558040
2015-11-23,8.4201,8.4439,8.0636,8.23,15317140
2015-11-24,8.0695,8.334,8.022,8.1349,24100850
2015-11-25,8.2656,8.8301,8.224,8.3904,22674590
2015-11-27,8.3904,8.6994,8.3488,8.5271,6041718
2015-11-30,8.4558,8.9133,8.4261,8.8301,28978510
2015-12-01,8.842,9.4362,8.8242,9.2758,25106260
2015-12-02,9.1332,9.2342,8.8361,8.8836,12681070
2015-12-03,8.9133,9.1154,8.6638,8.6875,18880250
2015-12-04,8.5509,9.0886,8.4617,9.0441,12001090
2015-12-07,8.9133,9.1986,8.8658,9.1807,9545947
2015-12-08,8.9668,9.0857,8.6875,9.0143,11617600
2015-12-09,8.9074,9.1451,8.7232,8.8242,14261930
2015-12-10,8.7885,8.8004,8.634,8.7469,11350210
2015-12-11,8.9074,9.151,8.4023,8.4261,10614460
2015-12-14,8.4974,8.6162,8.2716,8.5806,11525820
2015-12-15,8.6222,8.9014,8.6073,8.6519,12888740
2015-12-16,8.6875,8.8004,8.6459,8.7351,7827068
2015-12-17,8.6816,8.7469,8.4498,8.5033,7625454
2015-12-18,8.4795,8.5479,8.3191,8.4142,19307230
2015-12-21,8.3904,8.5568,8.2419,8.331,9863253
2015-12-22,8.3429,8.4023,8.2716,8.3548,7292476
2015-12-23,8.432,8.8955,8.3488,8.8598,11252030
2015-12-24,8.8004,9.0143,8.7886,8.9252,2178459
2015-12-28,8.848,9.0797,8.8064,9.05,5930636
2015-12-29,9.0857,9.1731,9.0203,9.0322,6275539
2015-12-30,9.0857,9.1986,9.0025,9.0797,6275778
2015-12-31,9.05,9.0975,8.9727,9.0322,6767773
2016-01-04,8.8955,9.0025,8.7588,8.9906,15005340
2016-01-05,8.9906,9.0619,8.8777,8.9312,10285830
2016-01-06,8.6875,8.9133,8.6222,8.7945,11314540
2016-01-07,8.6162,8.6519,8.1111,8.1468,19777720
2016-01-08,8.1824,8.331,7.9091,8.0458,16395090
2016-01-11,7.9804,8.1468,7.7665,7.8794,15110820
2016-01-12,7.9329,7.9745,7.7784,7.8794,12458350
2016-01-13,7.9329,7.9329,7.4456,7.5763,17720470
2016-01-14,7.5763,7.8259,7.5169,7.7249,13352500
2016-01-15,7.4872,7.606,7.4218,7.4515,19702480
2016-01-19,7.5347,7.5942,7.2495,7.3208,12925130
2016-01-20,7.1307,7.2495,6.9078,7.1663,16639960
2016-01-21,7.1307,7.4515,7.0237,7.3743,16728140
2016-01-22,7.5466,7.9804,7.5169,7.9329,15226810
2016-01-25,7.8972,8.0517,7.7962,7.9269,11183430
2016-01-26,7.9329,8.1557,7.9329,8.0814,10725530
2016-01-27,8.0398,8.0874,7.6981,7.9566,18484500
2016-01-28,7.9923,8.1408,7.7665,7.8378,9874424
2016-01-29,7.9685,8.2478,7.9329,8.1765,11338060
2016-02-01,8.123,8.2478,8.0398,8.1943,9549644
2016-02-02,8.1408,8.3013,7.9388,7.9923,9677516
2016-02-03,8.1171,8.1824,7.7902,7.9447,7553022
2016-02-04,7.9091,8.2537,7.9091,8.23,6499149
2016-02-05,8.1349,8.1705,7.7457,7.8437,13227680
2016-02-08,7.7249,7.7546,7.3505,7.4337,14815850
2016-02-09,7.3505,7.6417,7.3149,7.5585,6659478
2016-02-10,7.5882,7.7665,7.5526,7.6417,5982701
2016-02-11,7.4694,7.5288,7.1396,7.3684,9834281
