Date,Open,High,Low,Close,Volume
2015-06-22,14.7827,14.8012,14.6578,14.6624,9656022
2015-06-23,14.7503,14.7549,14.5861,14.63,11875740
2015-06-24,14.593,14.6948,14.5792,14.5884,10235080
2015-06-25,14.6671,14.6671,14.371,14.4358,9529229
2015-06-26,14.1444,14.4358,14.001,14.1213,20279560
2015-06-29,14.0288,14.0658,13.8299,13.8622,16507330
2015-06-30,13.9085,13.9732,13.6541,13.8807,19344870
2015-07-01,14.0288,14.1305,13.853,14.1166,18350220
2015-07-02,14.1999,14.3433,14.1721,14.1953,15700020
2015-07-06,14.0519,14.1675,13.7466,14.1398,11561260
2015-07-07,14.1166,14.3849,13.9732,14.2461,18129750
2015-07-08,14.1028,14.1906,14.0241,14.0843,15465110
2015-07-09,14.2138,14.2646,14.0334,14.0565,13029150
2015-07-10,14.2461,14.2831,14.0334,14.1768,9277877
2015-07-13,14.3109,14.3294,14.1143,14.2184,6708463
2015-07-14,14.186,14.2138,14.0889,14.112,8297533
2015-07-15,14.1305,14.1952,14.0611,14.1074,11882940
2015-07-16,14.1675,14.223,14.0334,14.038,10711570
2015-07-17,14.0334,14.0843,13.853,14.0426,12333450
2015-07-20,14.0611,14.1259,13.9201,14.0843,11963590
2015-07-21,13.9455,14.1953,13.9177,14.1814,17029890
2015-07-22,14.0704,14.2415,14.038,14.2323,12184940
2015-07-23,14.3479,14.5514,14.2461,14.445,15156990
2015-07-24,14.4219,14.5283,14.1259,14.2508,23313990
2015-07-27,14.1028,14.1028,13.9132,13.9917,9920119
2015-07-28,14.112,14.1213,13.8808,14.001,8032598
2015-07-29,13.9779,14.0843,13.9177,14.0149,8543901
2015-07-30,13.9779,14.186,13.9131,14.1629,7053021
2015-07-31,14.2045,14.2554,14.0986,14.1166,11911760
2015-08-03,14.149,14.1814,13.7975,13.8854,11502850
2015-08-04,13.8992,13.9686,13.6541,13.7651,12617210
2015-08-05,13.8854,14.0519,13.8622,14.0149,10342330
2015-08-06,14.0611,14.2369,13.927,13.9409,10596170
2015-08-07,13.8854,13.9732,13.5986,13.6032,10377840
2015-08-10,13.631,14.0102,13.6263,13.9871,9889656
2015-08-11,13.8484,13.8622,13.5523,13.5616,9350650
2015-08-12,13.4552,13.4737,13.1268,13.4598,13263490
2015-08-13,13.4136,13.6032,13.1546,13.1592,8507528
2015-08-14,13.1592,13.3349,13.1407,13.2794,7581970
2015-08-17,13.1823,13.3211,13.0805,13.2332,8206972
2015-08-18,13.1129,13.217,13.0459,13.1314,10735180
2015-08-19,13.0389,13.1209,12.7706,12.8308,16245050
2015-08-20,12.7244,12.8863,12.5856,12.6504,16563860
2015-08-21,12.4654,13.6125,12.4607,12.7059,36932100
2015-08-24,11.8456,12.84,11.4954,12.3035,35287340
2015-08-25,12.5718,12.662,11.8641,11.8826,23005270
2015-08-26,12.1925,12.5486,12.0121,12.5348,21275460
2015-08-27,12.6689,12.8863,12.5718,12.8539,17118590
2015-08-28,12.8123,13.0112,12.7938,12.9649,14857080
2015-08-31,12.8632,13.0065,12.8169,12.9788,14717690
2015-09-01,12.6689,13.0204,12.6365,12.8632,17966470
2015-09-02,13.0204,13.025,12.6781,12.951,11294560
2015-09-03,12.9649,13.2748,12.9233,13.0112,10873440
2015-09-04,12.6828,12.755,12.4746,12.4839,14848140
2015-09-08,12.6874,12.7776,12.5949,12.7614,10281020
2015-09-09,12.9002,12.9557,12.5856,12.6088,11677890
2015-09-10,12.5764,12.7198,12.4191,12.6411,10329130
2015-09-11,12.5718,12.6319,12.4515,12.5579,11460270
2015-09-14,12.5764,12.7244,12.47,12.507,12974260
2015-09-15,12.47,12.6134,12.4237,12.5394,15957890
2015-09-16,12.8354,13.2031,12.7336,13.1684,32239270
2015-09-17,12.8493,13.0736,12.7244,12.7521,16973510
2015-09-18,12.7198,12.7336,12.2341,12.2757,29439450
2015-09-21,12.1092,12.3497,12.1092,12.2295,16010370
2015-09-22,11.9751,12.1601,11.7392,11.8641,31932420
2015-09-23,11.8641,11.915,11.6976,11.7901,11138110
2015-09-24,11.6467,11.7161,11.5357,11.6837,13839490
2015-09-25,11.7531,11.7716,11.4524,11.5681,12693820
2015-09-28,11.3275,11.5172,11.2859,11.3645,15035230
2015-09-29,11.3229,11.5403,11.2397,11.4015,16988910
2015-09-30,11.5958,11.8918,11.5357,11.8456,19302690
2015-10-01,11.8039,11.8918,11.5981,11.7253,12500650
2015-10-02,11.5681,12.0583,11.5634,12.0583,15557530
2015-10-05,12.1879,12.5995,12.137,12.5718,15871220
2015-10-06,12.5579,13.0065,12.5394,12.951,21023780
2015-10-07,13.0019,13.0713,12.8355,12.9557,17174720
2015-10-08,12.9464,13.5061,12.9048,13.4968,20047950
2015-10-09,13.4783,13.7697,13.4367,13.5523,23810190
2015-10-12,13.5107,13.5801,13.3257,13.5523,8504511
2015-10-13,13.4228,13.6911,13.3812,13.52,8800438
2015-10-14,13.4737,13.6287,13.3858,13.6078,8606873
2015-10-15,13.4321,13.5338,13.2887,13.3072,11802550
2015-10-16,13.3581,13.3951,13.1916,13.3488,12046420
2015-10-19,13.2286,13.4413,13.1869,13.4043,12492260
2015-10-20,13.3303,13.3904,13.1638,13.2101,8254295
2015-10-21,13.2239,13.3118,13.0482,13.0574,8289674
2015-10-22,13.1176,13.3766,13.1176,13.3072,7965921
2015-10-23,13.4043,13.5281,13.2887,13.4275,8324451
2015-10-26,13.3858,13.4228,12.9603,12.9834,9912953
2015-10-27,12.914,12.9672,12.6481,12.6966,15160620
2015-10-28,12.729,12.951,12.6712,12.9418,8310636
2015-10-29,12.7799,12.8447,12.6134,12.6596,9991244
2015-10-30,12.544,12.6689,12.359,12.47,26370160
2015-11-02,12.47,14.0,12.41,13.83,51550670
2015-11-03,13.73,14.5,13.55,14.29,39576250
2015-11-04,14.25,14.43,13.91,14.14,34907410
2015-11-05,14.21,14.25,13.96,14.05,16651400
2015-11-06,13.96,14.06,13.83,14.01,21712710
2015-11-09,14.25,14.35,13.84,13.87,19631330
2015-11-10,13.87,14.14,13.83,14.12,15740260
2015-11-11,14.13,14.21,13.9,13.92,9758000
2015-11-12,13.79,13.8,13.29,13.31,20429640
2015-11-13,13.36,13.45,13.03,13.11,17492820
2015-11-16,13.15,13.43,13.11,13.35,12704930
