Date,Open,High,Low,Close,Volume
2015-06-22,89.54,89.59,88.78,89.24,2170279
2015-06-23,89.35,89.48,89.1,89.12,1133444
2015-06-24,89.1,89.11,88.18,88.24,1235775
2015-06-25,88.43,88.5,87.79,87.86,1395758
2015-06-26,88.29,88.87,88.12,88.55,987525
2015-06-29,87.81,88.76,87.8,87.91,1193225
2015-06-30,88.44,89.66,88.08,88.83,1401967
2015-07-01,89.21,89.56,88.52,89.56,1184527
2015-07-02,89.81,90.39,89.6,90.04,1253485
2015-07-06,89.69,89.93,88.254,88.92,1018807
2015-07-07,89.21,91.42,88.95,91.29,1592542
2015-07-08,90.9,91.18,90.04,90.37,954070
2015-07-09,91.2,91.4301,90.62,90.81,1155604
2015-07-10,92.15,92.39,91.12,91.87,1164883
2015-07-13,92.0,92.47,91.74,92.13,738834
2015-07-14,92.21,92.9,92.16,92.43,766370
2015-07-15,92.42,92.45,91.52,91.68,813684
2015-07-16,92.33,92.53,91.98,92.32,641520
2015-07-17,91.72,91.75,90.96,91.51,619043
2015-07-20,91.51,91.6,91.094,91.33,570143
2015-07-21,91.38,91.38,90.37,90.72,783792
2015-07-22,90.73,91.3395,90.524,91.09,575813
2015-07-23,90.97,91.31,90.49,90.65,428686
2015-07-24,90.3,90.48,89.75,90.2,537984
2015-07-27,89.95,91.07,89.5,90.67,721369
2015-07-28,91.04,92.0399,90.74,92.02,767505
2015-07-29,92.09,92.63,91.71,92.5,614051
2015-07-30,92.43,93.01,92.13,92.86,714394
2015-07-31,93.14,93.3399,92.78,92.89,1217643
2015-08-03,92.88,92.89,91.84,92.52,859658
2015-08-04,92.42,92.9,92.17,92.8,889379
2015-08-05,91.6,93.01,91.1,92.66,1449874
2015-08-06,92.81,93.19,91.48,92.2,2026960
2015-08-07,90.84,91.2985,88.04,89.73,1997025
2015-08-10,90.16,92.45,90.16,91.81,1496250
2015-08-11,91.43,91.72,90.8,91.44,814269
2015-08-12,91.04,92.29,90.29,92.26,995167
2015-08-13,91.87,92.02,90.46,90.48,952699
2015-08-14,90.54,91.45,90.273,91.35,835619
2015-08-17,91.09,92.51,90.8,92.31,1244153
