Date,Open,High,Low,Close,Volume
2015-06-22,27.8268,27.8268,27.3357,27.4994,8028153
2015-06-23,27.5696,27.6631,27.3825,27.4527,5484878
2015-06-24,27.3825,27.7099,27.3357,27.4527,6009760
2015-06-25,27.4994,27.5228,27.0084,27.0551,5159338
2015-06-26,27.0785,27.4994,27.0318,27.3357,5407789
2015-06-29,26.8447,27.1487,26.5173,26.5407,6640034
2015-06-30,26.7745,26.8914,26.073,26.073,7539045
2015-07-01,26.1899,26.2599,25.582,25.8859,9443166
2015-07-02,25.9327,26.2601,25.8158,25.9561,4815559
2015-07-06,25.6053,26.0262,25.5352,25.7924,6012070
2015-07-07,25.6287,25.9795,24.7401,25.8626,10462889
2015-07-08,25.6053,25.7106,24.2958,24.5531,15258681
2015-07-09,25.1143,25.6521,24.7167,24.7635,13404159
2015-07-10,25.1844,25.4183,24.8103,24.8571,7932021
2015-07-13,25.1844,25.3481,24.9974,25.3013,6351393
2015-07-14,25.1844,25.3949,24.9038,25.1844,5787039
2015-07-15,25.1844,25.2312,24.5998,24.7167,6426056
2015-07-16,24.9038,24.9038,24.3894,24.5764,5441472
2015-07-17,24.5297,24.67,24.2257,24.5297,5333490
2015-07-20,24.4361,24.4829,23.8048,23.8515,7588114
2015-07-21,23.8515,24.4128,23.758,23.9217,8068123
2015-07-22,23.758,23.758,23.2903,23.3605,13522405
2015-07-23,23.5943,23.8282,23.15,23.2903,7330097
2015-07-24,23.1734,23.1734,22.5654,22.9396,9200921
2015-07-27,22.7057,23.3605,22.4251,22.4953,9272797
2015-07-28,22.7993,23.2202,22.4602,23.0799,9040686
2015-07-29,23.1968,23.8983,23.1266,23.758,10533445
2015-07-30,23.8282,23.9685,23.0916,23.3371,6609937
2015-07-31,23.5943,23.7112,23.0565,23.0799,6111289
2015-08-03,22.963,22.963,22.4017,22.542,7176758
2015-08-04,23.2436,23.5476,22.6356,22.7525,8164592
2015-08-05,23.1734,23.7346,22.7993,22.8227,8310454
2015-08-06,22.8227,23.2786,22.542,23.1734,7550624
2015-08-07,22.963,23.5242,21.8873,22.0042,11077839
2015-08-10,22.2848,23.5943,22.0042,23.5709,9308240
2015-08-11,22.6824,22.7759,22.0276,22.1679,13258751
2015-08-12,21.9575,22.355,21.7002,22.2381,9576818
2015-08-13,22.2614,22.2614,21.747,21.7704,4822272
2015-08-14,21.7938,22.051,21.7002,22.0042,4413223
2015-08-17,21.7704,22.1913,21.6535,22.051,3641237
2015-08-18,21.747,21.8756,21.6067,21.6768,5405623
2015-08-19,21.4664,21.7236,21.2793,21.3027,6197541
2015-08-20,21.4898,21.5599,20.9987,21.1156,5898854
2015-08-21,20.9753,21.0076,20.4141,20.4141,8391156
2015-08-24,19.1748,19.9698,18.6369,19.1748,13710033
2015-08-25,20.1803,20.2504,18.9643,18.9643,8699100
2015-08-26,19.3151,19.3852,18.7422,19.3151,9217448
2015-08-27,19.6424,20.8584,19.5957,20.7181,9115589
2015-08-28,20.7649,22.0276,20.5778,22.0042,14025723
2015-08-31,21.6768,22.2848,21.5599,22.0978,10154388
2015-09-01,21.3962,21.7938,21.2092,21.5599,10873965
2015-09-02,21.9575,21.9575,21.0689,21.7938,13459045
2015-09-03,21.9808,22.7993,21.8642,22.3784,9403806
2015-09-04,21.9575,22.542,21.747,22.1913,16012110
2015-09-08,23.0799,23.0799,22.4485,22.7291,6001517
2015-09-09,23.1968,23.2319,22.2848,22.3784,9805602
2015-09-10,22.355,22.7291,22.2381,22.5187,9827368
2015-09-11,22.4485,22.7993,22.3082,22.5654,6516182
2015-09-14,22.4017,22.4719,21.7938,21.9341,10402883
2015-09-15,21.9575,22.7057,21.9107,22.5187,5980534
2015-09-16,22.6824,23.1033,22.6824,23.0565,6628794
2015-09-17,22.9396,23.758,22.7993,23.2669,8147939
2015-09-18,23.0331,23.454,22.8227,23.3137,9696913
2015-09-21,23.3371,23.6177,23.15,23.15,5902648
2015-09-22,22.4485,22.5187,21.9341,22.2147,8429382
2015-09-23,22.4017,22.4251,21.4898,21.5132,6978550
2015-09-24,21.2092,21.6535,20.7181,21.4664,8585857
2015-09-25,21.6301,21.7236,20.9519,21.2092,6333540
2015-09-28,22.1211,22.542,21.5132,22.4251,31867438
2015-09-29,22.4953,22.846,21.8873,22.0978,13099196
2015-09-30,22.4719,22.7057,22.051,22.5888,13982947
2015-10-01,22.7057,23.0331,21.4898,21.6535,12282221
2015-10-02,21.3962,22.2614,21.2793,22.2614,9378790
2015-10-05,22.4719,24.4361,22.4485,24.3426,16141479
2015-10-06,24.3894,25.7924,24.3426,25.6755,19082133
2015-10-07,26.073,26.1432,24.9272,25.582,13867055
2015-10-08,25.3715,25.9795,24.8571,25.7456,12011057
2015-10-09,24.9506,25.5352,23.9685,23.9918,26218574
2015-10-12,24.0386,24.062,23.302,23.5709,10479175
2015-10-13,23.2903,23.8983,23.0565,23.454,12076643
2015-10-14,23.5943,23.6411,23.1734,23.2669,14085232
2015-10-15,23.2202,23.3839,22.5187,22.6824,16597807
2015-10-16,22.8694,22.8928,22.051,22.3316,9105276
2015-10-19,22.051,22.3784,21.8873,22.0276,7678393
2015-10-20,21.8873,22.1211,21.7704,22.0042,8565601
2015-10-21,21.9575,22.051,21.3027,21.3027,6826275
2015-10-22,21.4196,22.1913,21.1647,21.2559,11338823
2015-10-23,21.4196,21.7002,21.1858,21.3729,6764169
2015-10-26,21.3495,21.4898,20.3673,20.5077,8627284
2015-10-27,20.5544,20.9054,20.1569,20.4141,8978037
2015-10-28,20.4609,21.3495,20.3673,21.0221,11078626
2015-10-29,20.8116,21.0689,20.6246,20.9286,9809749
2015-10-30,20.9753,21.1741,20.7415,20.8818,11646214
2015-11-02,20.9286,21.6067,20.8818,21.443,9992327
2015-11-03,21.5132,22.4017,21.4898,21.9341,8535851
2015-11-04,22.0978,22.2381,21.6768,21.9341,7389946
2015-11-05,21.6768,21.7938,21.1858,21.5132,7500468
2015-11-06,21.3027,21.4664,20.9987,21.2559,7786342
2015-11-09,20.9753,21.0455,19.8763,20.1335,14485628
2015-11-10,20.1101,20.1335,19.5021,19.5255,9437152
2015-11-11,19.5957,19.8061,18.8942,18.8942,11162025
2015-11-12,18.7071,18.7146,18.2628,18.2862,13046483
2015-11-13,18.3563,18.8474,18.2862,18.6837,8693536
2015-11-16,18.6369,19.4554,18.6136,19.3852,11214238
2015-11-17,19.4788,19.7828,19.2683,19.3385,11550708
2015-11-18,19.432,19.6658,19.2215,19.6658,7927117
2015-11-19,19.8997,20.531,19.8763,20.4843,10836338
