Date,Open,High,Low,Close,Volume
2015-06-22,162.2696,162.9374,161.834,162.347,2335796
2015-06-23,162.9762,164.5151,162.1951,163.2085,3700989
2015-06-24,163.2956,163.4214,161.476,161.6114,3548079
2015-06-25,162.4148,162.7342,160.75,160.75,2408705
2015-06-26,160.8952,161.4581,159.9273,160.1499,8925498
2015-06-29,158.6593,160.0434,157.6624,157.7398,3313914
2015-06-30,158.7271,158.7367,156.9171,157.4397,3597257
2015-07-01,158.7077,160.2951,158.3496,159.211,3214437
2015-07-02,159.753,160.0144,159.1433,159.7918,2851396
2015-07-06,158.5722,159.9273,158.2721,159.4433,3077410
2015-07-07,159.6466,160.0434,157.0252,159.7046,3549861
2015-07-08,158.7367,159.6466,157.4591,157.9237,2776271
2015-07-09,160.0337,160.1983,158.4464,158.5915,4199088
2015-07-10,160.3435,162.0276,160.2031,161.5921,4538349
2015-07-13,162.5406,164.4377,162.1438,163.9441,4225488
2015-07-14,163.9925,164.0989,162.8407,163.1988,3021166
2015-07-15,163.073,163.8376,162.6084,163.1213,1997729
2015-07-16,164.0312,165.5992,163.7311,165.5121,3529424
2015-07-17,164.8636,166.9833,164.641,166.9736,4346777
2015-07-20,167.2446,168.2029,166.6155,167.6608,7251305
2015-07-21,159.0658,161.0113,156.8203,157.8366,13727110
2015-07-22,157.5075,157.8361,154.5747,155.2039,7173079
2015-07-23,155.1264,157.5268,154.7006,156.5396,5028356
2015-07-24,156.1137,156.7332,154.294,154.6231,3770407
2015-07-27,153.8972,155.0393,153.51,153.965,3705475
2015-07-28,154.778,155.049,153.4132,154.9135,2720720
2015-07-29,154.8651,156.317,154.2747,155.9201,3376951
2015-07-30,155.3491,156.2202,154.6231,155.7943,1994600
2015-07-31,156.2202,156.859,155.4749,156.7912,3580225
2015-08-03,156.5105,156.6557,152.8325,153.6165,4611807
2015-08-04,153.3165,153.723,151.8356,152.5421,5253212
2015-08-05,153.994,154.4199,152.426,152.8325,3469300
2015-08-06,152.0872,152.4841,151.1677,151.3032,3004487
2015-08-07,150.887,151.2355,149.3819,150.1417,3794472
2015-08-10,151.7388,152.4117,151.1096,151.7194,4610586
2015-08-11,150.9548,150.9838,149.8901,150.5192,3158019
2015-08-12,149.3093,151.4968,149.0093,151.1483,3621923
2015-08-13,151.0516,151.0806,149.3646,150.0933,2533318
2015-08-14,150.0256,151.1967,149.619,150.7515,3222424
2015-08-17,150.2192,151.6613,149.7352,151.2935,2243551
2015-08-18,150.5192,151.4968,150.2675,151.0032,2018032
2015-08-19,150.1708,150.6741,148.4866,148.9996,4203777
2015-08-20,147.8381,148.9706,147.6058,147.7607,3981843
2015-08-21,146.6379,148.2737,143.9278,144.0729,7344606
2015-08-24,138.8656,143.0179,137.7525,138.8656,10186520
2015-08-25,142.2242,142.3888,136.1071,136.4362,6898457
2015-08-26,139.4657,142.263,137.5783,141.9919,6197128
2015-08-27,143.7342,144.1891,140.9853,143.7729,4792185
2015-08-28,143.0082,143.4438,142.4565,143.2309,4061510
2015-08-31,142.6501,143.6374,141.5661,143.1438,4083861
2015-09-01,140.2594,140.3271,137.2976,138.101,5267687
2015-09-02,140.0948,140.4239,138.5849,140.3949,4250688
2015-09-03,141.3628,143.2793,141.0918,142.0694,3595764
2015-09-04,139.9303,140.7337,138.7204,139.0882,4192876
2015-09-08,141.1789,142.6114,140.9853,142.5049,3919644
2015-09-09,143.9665,144.2568,140.2013,140.3949,3399297
2015-09-10,141.1692,142.4372,139.8722,141.508,3458854
2015-09-11,141.2273,142.7663,140.995,142.6404,3113803
2015-09-14,142.6404,142.6404,140.7433,140.9756,3220004
2015-09-15,141.8952,143.1825,141.0821,142.7953,2713661
2015-09-16,143.0954,144.1117,142.805,143.6471,2799222
2015-09-17,143.347,144.8763,142.5727,143.3857,3959184
2015-09-18,141.3628,141.6871,139.3592,139.8722,7939583
2015-09-21,140.724,142.263,140.2691,141.779,3824258
2015-09-22,139.9787,140.4046,139.1559,139.7948,3557686
2015-09-23,139.5819,139.9303,138.1687,139.0495,2674220
2015-09-24,138.0235,140.4143,137.3944,139.7754,3266646
2015-09-25,140.8788,141.5757,139.8916,140.753,3465167
2015-09-28,139.7851,140.7143,137.8977,137.9461,4314456
2015-09-29,137.4331,138.0816,136.6202,137.8977,4763509
2015-09-30,139.0785,141.0337,139.0495,140.3175,3943084
2015-10-01,140.6466,140.995,137.0459,138.9818,3876222
2015-10-02,136.5233,139.9497,136.049,139.94,3053628
2015-10-05,141.1402,145.082,141.1402,144.2568,5127784
2015-10-06,144.2762,145.3312,143.7245,144.0052,3011246
2015-10-07,145.2248,145.8926,144.0792,145.2731,2986110
2015-10-08,144.886,148.1081,144.4988,147.3929,4781062
2015-10-09,147.5671,148.232,146.4153,147.4993,3531007
2015-10-12,147.509,147.6832,146.0088,146.2894,3225252
2015-10-13,145.941,145.941,144.3924,144.8182,3915682
2015-10-14,144.7989,145.8152,144.2375,145.1957,3348472
2015-10-15,146.0668,146.3862,143.8116,145.2731,3475724
2015-10-16,145.6216,146.3475,144.4698,145.5635,3477632
2015-10-19,145.0408,145.157,143.618,144.4311,7784210
2015-10-20,137.9171,138.2945,135.7683,136.1264,15973290
2015-10-21,135.7489,138.0816,134.8294,136.3974,7124230
2015-10-22,137.1911,140.4143,137.075,139.4657,5568059
2015-10-23,139.969,140.8208,139.0882,140.0368,5363390
2015-10-26,140.1045,140.3465,138.6139,139.0495,3485906
2015-10-27,138.9043,139.214,132.9227,133.4356,14997830
2015-10-28,133.4937,136.6975,133.0872,136.3103,8502681
2015-10-29,135.8554,136.3006,134.5585,136.0393,3703215
2015-10-30,135.9328,136.7943,135.4102,135.5844,3975336
2015-11-02,135.9909,136.0069,135.0908,135.8651,3822205
2015-11-03,135.5263,138.2171,135.4102,137.3266,4349317
2015-11-04,137.9751,138.0719,136.7652,137.0847,3516890
2015-11-05,137.0653,137.8106,135.1488,135.4005,5089561
2015-11-06,134.1519,135.0714,133.4453,133.8131,4736805
2015-11-09,133.4937,133.6486,130.5513,130.9675,8068693
2015-11-10,131.0159,131.3788,129.8157,131.1223,4448658
2015-11-11,131.7225,131.8289,130.1835,130.6868,3164095
2015-11-12,130.3771,130.3771,128.7413,128.7703,4697877
2015-11-13,128.6832,128.7316,127.4249,127.5217,4582895
2015-11-16,127.5605,129.7866,127.5605,129.4188,4165133
2015-11-17,129.9125,130.4932,129.0317,129.5253,2801192
2015-11-18,130.4642,131.5482,129.9512,131.4611,4135085
2015-11-19,131.8386,133.3151,131.645,132.3516,4753303
2015-11-20,132.9614,134.4568,132.8452,134.0551,5174850
2015-11-23,134.0841,134.4132,132.7194,134.0164,5137820
2015-11-24,133.2324,134.8681,132.9033,134.1519,3407553
2015-11-25,133.9293,133.9874,132.9662,133.5712,3238166
2015-11-27,133.5712,134.3552,132.8065,134.0164,1415840
2015-11-30,134.1616,135.4102,134.0745,134.9456,4481989
2015-12-01,135.1004,136.862,135.1004,136.7459,4189424
2015-12-02,136.4071,136.6781,135.023,135.2166,3717357
2015-12-03,135.6038,136.2135,133.7551,134.4616,5904111
2015-12-04,133.6583,136.4942,133.5615,135.9232,4567252
2015-12-07,135.6618,135.9038,134.3552,135.0714,3279280
2015-12-08,133.8422,134.5971,133.1162,133.6195,3904753
2015-12-09,132.971,135.3521,131.858,132.2258,4614971
2015-12-10,132.6323,133.426,131.3644,132.3903,4221668
2015-12-11,130.8901,131.0933,129.6124,130.2512,5331017
2015-12-14,130.9675,131.7708,129.7189,131.5676,5139876
2015-12-15,132.9904,134.51,132.8743,133.3679,4234341
2015-12-16,134.6552,135.1682,133.3679,134.8198,4342627
2015-12-17,134.8778,135.023,131.933,132.3613,4088762
2015-12-18,132.0322,132.5645,129.9609,130.5706,9991752
2015-12-21,131.4708,131.4708,129.7189,131.1514,5595538
2015-12-22,131.5192,133.7551,131.2966,133.5034,4263538
2015-12-23,133.8615,134.8343,133.6776,134.0938,5164909
2015-12-24,133.9874,134.4229,133.6776,133.8131,1495226
2015-12-28,133.3195,133.6147,132.158,133.1937,3139777
2015-12-29,133.8131,135.565,133.7647,135.294,3943676
2015-12-30,135.1004,135.9328,134.752,134.8681,2985717
2015-12-31,134.6068,134.6358,133.155,133.2033,3461424
2016-01-04,131.2482,131.6063,129.9318,131.5869,5219709
2016-01-05,132.3709,132.4968,130.5223,131.4902,3924783
2016-01-06,130.0673,131.2288,129.3317,130.832,4306874
2016-01-07,129.4092,130.6868,128.1799,128.5961,7023888
2016-01-08,128.9058,129.5214,127.1055,127.4056,4758257
2016-01-11,127.5798,129.5253,127.5314,128.9542,4970242
2016-01-12,129.3608,129.4866,126.9216,128.6348,5075282
2016-01-13,129.2156,129.9704,126.8926,126.9603,4692792
2016-01-14,127.696,129.4963,127.0087,128.6445,5708406
2016-01-15,125.8376,126.6797,124.7342,125.8569,8976154
2016-01-19,125.9344,127.8605,123.9502,123.9986,9834476
2016-01-20,114.6583,120.0108,114.213,117.9491,16157470
2016-01-21,117.4071,121.0852,116.7055,118.9654,8851281
2016-01-22,120.669,120.7367,117.862,118.5686,9237925
2016-01-25,118.1814,120.2431,117.7362,118.1621,5442719
2016-01-26,118.3266,119.643,118.3169,118.6557,4614411
2016-01-27,118.7912,119.4107,116.778,117.078,5016159
2016-01-28,117.3684,118.888,117.1264,118.2976,3942527
2016-01-29,119.3236,120.7851,119.0138,120.7851,8246145
2016-02-01,120.4076,121.2691,119.7398,120.8238,3571590
2016-02-02,119.701,120.156,118.7041,118.9945,3287216
2016-02-03,120.0108,121.4238,118.3653,120.7173,6223424
2016-02-04,121.0658,124.376,120.9884,123.5533,5263233
2016-02-05,123.1371,124.5115,121.8111,124.4438,7176748
2016-02-08,121.9563,123.4178,120.1463,122.9048,7363878
2016-02-09,122.0724,122.8564,119.7978,120.0882,5956116
2016-02-10,120.9884,121.2691,115.994,116.3327,6456270
2016-02-11,114.968,115.8197,113.1493,114.0678,7304306
2016-02-12,115.4326,117.1651,114.5518,117.1555,4935186
2016-02-16,117.9201,119.1397,117.4458,118.8009,4061016
2016-02-17,119.7398,122.508,119.2945,122.0531,4820819
2016-02-18,125.8279,129.6995,125.5859,128.1993,9948776
2016-02-19,128.1122,129.3608,126.6409,128.8091,5122341
2016-02-22,129.5447,129.9996,128.1606,129.4769,4456242
2016-02-23,128.8671,129.1285,127.7734,128.1509,3437358
2016-02-24,127.3282,129.2059,125.5182,128.538,4119457
2016-02-25,129.0123,130.1932,126.6797,130.1835,4355009
2016-02-26,130.1932,130.59,127.7153,127.7927,4385699
2016-02-29,127.7637,129.0801,126.699,126.8248,4427070
2016-03-01,127.996,130.319,127.7927,130.0577,3786753
2016-03-02,129.4092,133.0291,128.9446,131.9257,5214679
2016-03-03,132.8162,133.5326,131.7031,133.3776,5150065
2016-03-04,133.1211,134.9456,132.6226,133.3776,3968423
2016-03-07,132.8743,136.0006,132.4792,135.6522,5165269
2016-03-08,135.2263,135.8457,133.0098,134.6068,5575635
2016-03-09,134.8391,137.6073,134.7617,135.9038,4402656
2016-03-10,136.7072,136.9298,133.6583,135.6909,4019924
2016-03-11,137.1814,138.3367,136.0006,137.7912,4418790
2016-03-14,137.4525,138.5946,136.5136,138.1977,4047564
2016-03-15,137.1911,138.7301,136.9975,138.372,3687331
2016-03-16,138.0429,140.2304,137.5492,140.1432,4221031
2016-03-17,140.1336,142.592,139.8142,142.321,5821136
2016-03-18,142.6695,142.7759,140.8401,142.3694,12088090
2016-03-21,142.5727,143.9374,142.0114,143.86,3721458
2016-03-22,143.3083,144.4891,143.0954,143.347,4079715
2016-03-23,143.2502,143.2793,140.4723,140.7337,4763922
2016-03-24,140.3271,143.4632,139.8529,143.2018,5043602
2016-03-28,143.0082,143.8794,142.5049,143.6374,3264984
2016-03-29,142.8534,144.9537,142.7663,144.5375,3138438
2016-03-30,145.1376,145.5829,143.56,143.6471,3329639
2016-03-31,144.9828,148.1865,144.5666,146.5895,6778508
2016-04-01,145.6797,148.051,145.428,147.6252,3921036
2016-04-04,147.4509,148.5931,147.0347,147.1896,3904536
