Date,Open,High,Low,Close,Volume
2015-06-22,80.27,80.3,79.62,79.89,253692
2015-06-23,79.88,80.08,79.755,80.0,141554
2015-06-24,79.8,80.05,78.43,79.43,175063
2015-06-25,79.52,79.53,78.7,79.07,291958
2015-06-26,79.22,79.86,79.07,79.57,443611
2015-06-29,78.97,79.19,78.0501,78.11,553117
2015-06-30,78.88,79.07,78.3,78.58,621935
2015-07-01,79.36,79.5,78.37,79.05,403647
2015-07-02,79.56,79.61,78.77,79.12,222223
2015-07-06,78.34,78.95,78.0,78.34,255340
2015-07-07,78.27,78.83,77.49,78.79,418944
2015-07-08,78.28,78.52,77.23,77.44,415240
2015-07-09,78.39,78.525,77.64,77.68,322706
2015-07-10,78.35,78.41,77.14,77.2,348096
2015-07-13,77.95,78.4,77.5501,78.22,340516
2015-07-14,78.03,78.74,77.8,78.37,248724
2015-07-15,78.33,78.425,77.48,77.61,353376
2015-07-16,78.23,78.3925,77.32,77.43,282267
2015-07-17,77.36,77.4,76.8,77.02,266436
2015-07-20,77.16,77.44,76.97,77.21,268716
2015-07-21,77.03,77.215,76.07,76.22,368067
2015-07-22,76.0,76.34,75.68,75.87,414188
2015-07-23,75.44,77.07,75.44,76.3,601057
2015-07-24,76.13,76.23,74.44,74.45,382947
2015-07-27,73.85,73.85,73.13,73.6,425497
2015-07-28,73.68,74.85,73.37,74.84,527518
2015-07-29,74.69,76.41,74.17,76.4,521519
2015-07-30,75.89,76.52,75.37,76.28,328842
2015-07-31,76.7,76.91,75.96,76.03,257626
2015-08-03,76.03,76.12,74.64,74.89,387554
2015-08-04,74.81,75.45,74.48,74.71,320195
2015-08-05,75.23,75.93,74.99,75.5,196940
2015-08-06,75.67,75.67,74.64,74.74,530166
2015-08-07,74.55,75.15,74.11,74.21,689015
2015-08-10,74.61,75.94,74.61,75.9,984070
2015-08-11,75.11,75.33,74.6,74.82,250853
2015-08-12,74.07,75.0,73.61,74.87,229157
2015-08-13,74.9,75.03,74.54,74.82,212321
2015-08-14,74.79,75.38,74.42,75.18,189259
2015-08-17,74.96,75.67,74.54,75.66,257089
2015-08-18,75.56,75.7,75.14,75.43,163025
2015-08-19,74.81,75.2123,74.45,74.71,341016
2015-08-20,74.0,74.35,72.55,72.56,246131
2015-08-21,72.06,72.49,70.84,70.84,354002
