Date,Open,High,Low,Close,Volume
2015-06-22,113.59,114.09,113.0,113.53,355592
2015-06-23,113.98,114.04,113.03,113.21,376398
2015-06-24,112.64,113.9,112.25,112.65,422197
2015-06-25,112.73,113.53,112.5,112.62,339327
2015-06-26,113.0,113.4,112.454,112.62,400965
2015-06-29,111.6,112.36,109.23,109.29,326223
2015-06-30,110.22,110.56,108.87,109.29,441270
2015-07-01,110.28,110.79,109.66,110.22,362337
2015-07-02,110.77,110.87,109.84,110.33,374495
2015-07-06,109.17,110.64,108.91,109.7,279066
2015-07-07,109.62,110.12,108.2,109.66,410792
2015-07-08,108.67,109.24,108.25,108.45,515243
2015-07-09,109.73,110.31,108.81,108.91,333776
2015-07-10,110.4,111.35,109.58,111.15,278089
2015-07-13,112.15,112.92,111.17,112.65,331171
2015-07-14,112.51,113.33,112.4,113.16,270706
2015-07-15,112.93,113.77,112.57,112.69,315030
2015-07-16,112.98,113.55,112.18,113.35,370510
2015-07-17,113.07,113.435,112.41,112.64,220291
2015-07-20,112.18,112.39,111.42,111.61,404083
2015-07-21,111.93,114.31,111.52,111.6,493579
2015-07-22,112.4,113.99,111.5,112.27,340185
2015-07-23,112.59,113.0,111.85,112.18,379976
2015-07-24,112.04,112.07,110.0,111.1,381417
2015-07-27,110.51,111.42,110.11,111.11,365470
2015-07-28,111.56,113.84,110.97,113.7,439867
2015-07-29,113.65,114.82,112.75,114.57,350865
2015-07-30,114.29,116.06,114.06,115.51,468147
2015-07-31,116.38,116.87,115.37,115.59,474645
2015-08-03,115.45,115.75,114.68,115.3,258431
2015-08-04,115.51,116.8,115.51,116.0,258603
2015-08-05,117.19,118.08,116.61,117.24,384513
2015-08-06,117.23,118.09,115.72,116.42,458997
2015-08-07,116.53,116.926,115.85,116.28,283293
2015-08-10,116.74,118.87,116.33,118.81,390909
2015-08-11,115.54,117.11,112.78,114.05,888108
2015-08-12,112.99,114.43,112.42,113.74,552176
2015-08-13,113.36,114.09,112.432,113.22,501792
2015-08-14,113.23,114.69,113.045,114.36,350052
2015-08-17,113.95,115.195,113.83,114.99,368233
2015-08-18,114.73,115.85,114.73,115.53,324676
2015-08-19,114.21,115.16,113.67,114.11,403558
2015-08-20,113.61,113.88,111.62,112.0,705497
2015-08-21,113.12,114.12,111.92,111.95,1065488
2015-08-24,106.87,110.45,106.2,108.0,1178260
2015-08-25,110.59,110.64,107.0,107.05,813169
2015-08-26,109.19,109.64,107.16,108.91,553839
2015-08-27,110.16,112.2476,108.94,110.7,495431
2015-08-28,110.44,111.01,109.58,110.96,350251
2015-08-31,110.61,110.61,109.49,109.55,297724
2015-09-01,107.07,107.96,105.83,106.23,546258
2015-09-02,107.93,108.54,106.51,108.5,549891
2015-09-03,109.4,110.43,108.89,109.46,316503
2015-09-04,107.78,108.105,106.65,106.95,493695
