Date,Open,High,Low,Close,Volume
2015-06-22,20.2,20.3,20.11,20.21,1504909
2015-06-23,20.21,20.255,19.92,19.93,3147574
2015-06-24,19.88,19.965,19.63,19.64,4644662
2015-06-25,19.75,19.95,19.66,19.79,4209595
2015-06-26,19.82,19.85,19.61,19.7,3524397
2015-06-29,19.52,19.73,19.09,19.1,4138915
2015-06-30,19.24,19.33,19.075,19.27,8261841
2015-07-01,19.42,19.51,19.26,19.4,2652908
2015-07-02,19.35,19.47,19.14,19.27,3725811
2015-07-06,19.07,19.17,18.98,19.07,5387853
2015-07-07,19.14,19.37,18.83,19.34,4683880
2015-07-08,19.19,19.24,18.97,19.0,4345924
2015-07-09,19.29,19.51,19.26,19.29,5112955
2015-07-10,19.55,19.7,19.49,19.65,2543082
2015-07-13,19.78,19.91,19.7,19.88,2465140
2015-07-14,19.82,19.995,19.82,19.91,2398785
2015-07-15,19.92,20.0,19.72,19.78,2273404
2015-07-16,19.89,20.12,19.75,20.11,3376836
2015-07-17,20.12,20.14,19.88,20.12,3891769
2015-07-20,20.06,20.12,19.89,19.99,2707438
2015-07-21,19.97,20.01,19.625,19.8,4118098
2015-07-22,19.78,20.9,19.78,20.87,9344995
2015-07-23,20.96,21.16,20.69,20.77,4374649
2015-07-24,20.88,21.12,20.72,20.8,3458932
2015-07-27,20.71,20.82,20.59,20.62,4365397
2015-07-28,20.76,21.11,20.59,21.08,4426443
2015-07-29,21.05,21.225,21.01,21.19,2917684
2015-07-30,21.13,21.27,20.87,21.22,2487673
2015-07-31,21.31,21.395,21.22,21.3,2779280
2015-08-03,21.32,21.44,21.0,21.1,3132647
2015-08-04,21.1,21.28,20.955,21.1,2189347
2015-08-05,21.24,21.33,21.01,21.15,4898124
2015-08-06,21.17,21.17,20.2,20.75,6837595
2015-08-07,20.75,21.03,20.71,20.9,3599333
2015-08-10,21.12,21.44,21.09,21.16,4776772
2015-08-11,21.02,21.33,20.93,21.27,4624073
2015-08-12,20.97,21.325,20.86,21.3,2804014
2015-08-13,21.32,21.35,21.07,21.08,2460721
2015-08-14,21.1,21.16,20.85,21.15,2284505
2015-08-17,21.1,21.28,20.96,21.22,1656613
2015-08-18,21.2,21.25,20.92,21.01,1465598
2015-08-19,20.92,21.12,20.7,20.96,2156611
2015-08-20,20.7,20.7,20.23,20.24,2352641
2015-08-21,20.0,20.08,19.6,19.61,3109007
2015-08-24,18.63,19.21,18.42,18.74,6702063
2015-08-25,19.35,19.35,18.46,18.49,5059401
2015-08-26,18.93,19.13,18.43,19.1,4675040
2015-08-27,19.28,19.41,18.88,19.24,5731075
2015-08-28,19.17,19.27,19.01,19.18,3179724
2015-08-31,19.15,19.19,18.86,18.88,2616393
2015-09-01,18.44,18.645,18.16,18.27,4114463
2015-09-02,18.5,18.9,18.41,18.89,4242273
2015-09-03,18.93,19.265,18.83,19.14,3989186
2015-09-04,18.8,19.08,18.7,18.83,4738275
2015-09-08,19.17,19.51,19.06,19.45,4897860
2015-09-09,19.6,19.65,19.11,19.15,3276396
2015-09-10,19.09,19.41,19.015,19.22,1931438
2015-09-11,19.35,19.67,19.12,19.66,4537939
2015-09-14,19.62,19.81,19.53,19.8,5494929
2015-09-15,19.83,19.93,19.64,19.86,3044526
2015-09-16,19.9,20.32,19.9,20.28,2944167
2015-09-17,20.3,20.715,20.25,20.48,4446283
2015-09-18,20.19,20.5,20.07,20.13,5480418
2015-09-21,20.25,20.33,20.05,20.12,3145994
2015-09-22,19.75,19.91,19.62,19.7,5858448
2015-09-23,19.68,19.77,19.56,19.62,2752813
2015-09-24,19.53,19.53,19.23,19.47,5527055
2015-09-25,19.57,19.6,19.19,19.3,3527757
2015-09-28,19.21,19.28,18.75,18.84,2622914
2015-09-29,18.91,18.91,18.54,18.74,3165459
2015-09-30,18.95,19.15,18.89,19.13,3946306
2015-10-01,19.11,19.23,18.81,19.19,4556634
2015-10-02,18.89,19.64,18.84,19.64,3916925
2015-10-05,19.73,20.11,19.7,20.03,5027681
2015-10-06,20.02,20.42,20.0,20.06,3170911
2015-10-07,20.15,20.32,20.06,20.26,5066943
2015-10-08,20.16,20.92,20.15,20.89,6173556
2015-10-09,20.93,21.05,20.67,21.04,3440863
2015-10-12,21.06,21.09,20.91,20.96,3341673
2015-10-13,20.83,21.12,20.79,20.96,3954201
2015-10-14,20.94,21.01,20.77,20.85,2305096
2015-10-15,20.99,21.32,20.83,21.24,4952050
2015-10-16,21.37,21.46,21.05,21.19,3212682
2015-10-19,21.14,21.41,21.03,21.4,3421854
2015-10-20,21.41,21.68,21.3,21.39,3965337
2015-10-21,21.75,22.31,21.6,21.72,7652653
2015-10-22,21.96,22.24,21.87,22.18,5186150
2015-10-23,22.38,22.44,22.09,22.4,4263285
2015-10-26,22.41,22.7,22.39,22.62,3508442
2015-10-27,22.54,22.6,22.32,22.48,2657671
2015-10-28,22.6,22.71,22.41,22.71,3858499
2015-10-29,22.63,22.87,22.55,22.76,3740074
2015-10-30,22.77,23.0,22.64,22.93,3597812
2015-11-02,22.91,23.63,22.883,23.47,4194042
2015-11-03,23.41,23.475,23.04,23.28,4913148
2015-11-04,23.31,23.43,22.96,23.0,3604141
2015-11-05,23.0,23.06,22.76,22.76,3619050
2015-11-06,22.71,22.83,22.5,22.82,3055793
2015-11-09,22.76,22.89,22.495,22.67,2855663
2015-11-10,22.62,23.08,22.62,23.03,2603464
2015-11-11,23.15,23.2,22.97,23.04,2558461
2015-11-12,22.81,23.1,22.73,22.87,2481313
2015-11-13,22.86,22.95,22.39,22.45,4682276
2015-11-16,22.44,22.865,22.38,22.81,2645493
2015-11-17,22.83,22.888,22.62,22.67,2447000
2015-11-18,22.75,23.14,22.7,23.12,2480828
2015-11-19,23.11,23.43,23.08,23.3,2628052
2015-11-20,23.44,23.57,23.3,23.35,2651760
2015-11-23,23.37,23.42,23.175,23.35,1570451
2015-11-24,23.15,23.16,22.84,22.97,4218467
2015-11-25,23.0,23.255,22.95,23.16,2309043
2015-11-27,23.05,23.2,22.9,23.15,1044040
2015-11-30,23.22,23.31,22.92,23.0,2780796
2015-12-01,23.14,23.4,23.04,23.34,4012858
2015-12-02,23.28,23.3,23.01,23.05,1955134
2015-12-03,23.17,23.27,22.785,22.95,3566673
2015-12-04,23.03,23.59,23.02,23.44,4092165
2015-12-07,23.44,23.66,23.41,23.52,4349285
2015-12-08,23.37,23.67,23.28,23.55,2866976
2015-12-09,23.38,23.59,23.02,23.15,2882543
2015-12-10,23.21,23.46,23.105,23.29,2900902
2015-12-11,22.94,22.95,22.23,22.39,4802581
