Date,Open,High,Low,Close,Volume
2015-06-22,47.0378,48.0768,46.4278,47.3428,8371206
2015-06-23,47.4572,47.7146,46.8853,46.9902,3577503
2015-06-24,46.9806,47.4572,46.7519,46.79,2923602
2015-06-25,46.8091,46.9234,46.0942,46.1037,4412679
2015-06-26,46.323,46.4659,45.9608,45.9894,8450413
2015-06-29,45.8273,45.9894,45.4365,45.4651,4238332
2015-06-30,45.9512,46.1133,45.1697,45.3603,3430129
2015-07-01,45.7606,46.4278,45.6653,46.2753,2803004
2015-07-02,46.2753,46.5327,45.7129,45.7129,2745769
2015-07-06,45.4175,45.894,45.2268,45.4365,2613743
2015-07-07,45.5033,45.7892,44.7789,45.7511,3043375
2015-07-08,45.2268,45.4556,44.5882,44.6264,2720565
2015-07-09,45.1506,45.2078,44.3976,44.4167,2659769
2015-07-10,44.9314,45.1315,44.5882,44.7407,2576953
2015-07-13,45.1125,45.6271,45.0362,45.5604,2432397
2015-07-14,45.4651,45.7414,45.4175,45.5128,2335574
2015-07-15,45.5033,45.5986,44.7503,45.0076,2774793
2015-07-16,44.96,46.1609,44.96,45.8559,3488979
2015-07-17,45.6462,45.8464,45.3031,45.4079,2537100
2015-07-20,45.589,46.6184,45.5795,46.3706,3242497
2015-07-21,46.1133,46.1895,45.6081,45.8369,2444222
2015-07-22,46.7042,47.1713,46.2562,46.5231,4040063
2015-07-23,46.5327,46.8091,46.1514,46.3325,2672295
2015-07-24,46.0847,46.3706,45.3126,45.5128,2778490
2015-07-27,45.0934,45.7511,45.0457,45.1411,2960075
2015-07-28,45.3412,46.6756,45.3031,46.4469,3399929
2015-07-29,45.5223,45.9274,43.9687,44.7884,7015966
2015-07-30,44.5692,45.284,44.5692,45.2459,3202071
2015-07-31,45.4556,45.8464,45.3222,45.6272,2757290
2015-08-03,45.6367,45.6367,44.6283,45.122,2165545
2015-08-04,44.9028,45.4747,44.8837,45.1887,2291446
2015-08-05,45.5128,45.9131,45.2268,45.5509,3039201
2015-08-06,45.57,45.8083,44.7979,45.0553,2082724
2015-08-07,44.96,45.4651,44.8218,45.3126,2618042
2015-08-10,45.5414,45.9703,45.5413,45.7415,1727667
