Date,Open,High,Low,Close,Volume
2015-06-22,32.61,32.91,32.48,32.78,2533981
2015-06-23,32.88,32.88,32.5,32.57,1735696
2015-06-24,32.58,32.59,31.6,31.65,1781024
2015-06-25,31.69,31.82,31.445,31.45,1109638
2015-06-26,31.52,32.21,31.47,31.86,3569286
2015-06-29,31.68,32.1199,31.0,31.09,2319539
2015-06-30,31.4,31.63,30.95,31.0,2101090
2015-07-01,30.95,31.6,30.89,31.48,2319338
2015-07-02,31.67,32.25,31.13,31.55,1798421
2015-07-06,31.32,31.76,31.17,31.23,1752890
2015-07-07,31.35,31.65,30.71,30.96,2210198
2015-07-08,30.62,30.94,30.425,30.54,1227875
2015-07-09,30.89,31.19,30.65,30.67,995375
2015-07-10,30.97,31.18,30.87,30.92,778315
2015-07-13,31.08,31.38,30.93,31.15,712250
2015-07-14,31.25,31.63,31.06,31.51,1505325
2015-07-15,31.41,31.62,31.275,31.41,2356347
2015-07-16,31.62,31.8,31.45,31.77,910099
2015-07-17,31.75,31.84,31.53,31.73,965880
2015-07-20,31.74,31.79,31.36,31.4,885754
2015-07-21,31.43,31.71,31.3,31.36,1538296
2015-07-22,31.33,31.7,31.23,31.58,1038148
2015-07-23,31.51,31.58,31.12,31.2,1229210
2015-07-24,31.15,31.23,31.0,31.12,1387426
2015-07-27,31.08,31.23,30.64,30.76,1801577
2015-07-28,30.86,30.97,30.67,30.9,975052
2015-07-29,31.0,31.01,30.29,30.66,2259620
2015-07-30,29.21,29.945,28.34,29.91,2305812
2015-07-31,30.09,30.43,29.9,30.05,1266355
2015-08-03,30.09,30.43,30.03,30.23,1052901
2015-08-04,30.16,30.43,29.895,29.97,889326
2015-08-05,30.0,30.22,29.72,29.81,858013
2015-08-06,29.87,29.87,28.9899,29.27,1285465
2015-08-07,29.23,29.35,28.95,29.27,803543
2015-08-10,29.51,29.54,28.92,29.07,1219750
2015-08-11,28.93,29.1,28.72,28.91,1896419
2015-08-12,28.76,29.84,28.68,29.75,3226494
2015-08-13,29.71,29.94,29.48,29.52,1134026
2015-08-14,29.53,30.29,29.28,30.19,1268938
2015-08-17,30.11,30.3,29.88,30.29,881005
2015-08-18,30.27,30.41,30.09,30.22,1397833
2015-08-19,30.06,30.18,29.6,30.15,1323807
2015-08-20,29.85,30.62,29.71,30.24,2062869
2015-08-21,30.15,30.235,29.18,29.24,1610748
2015-08-24,28.88,29.06,27.37,27.62,1996403
2015-08-25,28.52,29.83,26.49,26.52,1962718
2015-08-26,27.39,28.47,26.79,27.41,3145972
2015-08-27,27.75,28.35,27.61,28.21,1741501
2015-08-28,28.18,28.56,27.95,28.54,1803771
2015-08-31,28.42,28.625,28.15,28.34,2662495
2015-09-01,27.72,28.11,27.39,27.63,2095922
2015-09-02,27.88,28.13,27.59,28.12,1145020
2015-09-03,28.17,28.7,28.12,28.44,1611821
2015-09-04,27.94,28.22,27.705,28.21,2420445
