Date,Open,High,Low,Close,Volume
2015-06-22,55.3056,55.7594,54.9611,55.4944,1705968
2015-06-23,55.3967,55.9278,55.1111,55.18,1589949
2015-06-24,55.2967,55.5489,54.7044,54.7167,1103067
2015-06-25,54.7944,56.1111,54.7944,54.9844,2327130
2015-06-26,55.27,55.9144,55.0406,55.2389,3351582
2015-06-29,54.6567,55.0222,53.6978,53.7533,1740330
2015-06-30,54.2689,54.2689,53.3433,53.8333,2894310
2015-07-01,54.1589,54.4722,53.6422,53.9822,2497887
2015-07-02,54.2067,54.2489,53.5667,54.0322,1957428
2015-07-06,53.07,53.6239,52.31,53.1222,4224573
2015-07-07,53.3822,53.5489,52.3478,53.4967,1650726
2015-07-08,53.3733,53.8022,52.7469,53.1833,1841688
2015-07-09,53.8767,54.0622,53.2856,53.4967,1211202
2015-07-10,54.0556,54.3533,53.7778,54.2078,1145592
2015-07-13,53.45,55.4533,53.45,55.2822,1990269
2015-07-14,55.4444,55.4889,54.2947,54.6611,2924217
2015-07-15,54.8233,55.1289,54.3289,54.4978,2905623
2015-07-16,54.7567,54.9289,54.3067,54.4456,1979028
2015-07-17,54.4344,54.6444,54.0933,54.4233,2667726
2015-07-20,54.3789,55.4422,54.1589,55.29,1976616
2015-07-21,55.2989,56.41,55.1074,56.1211,4182138
2015-07-22,62.3333,62.7619,60.82,61.0978,11731942
2015-07-23,61.11,62.2855,60.6178,61.9111,4451463
2015-07-24,58.7878,61.4,58.1711,60.6755,6120532
2015-07-27,59.9167,60.6111,59.7555,60.4611,4217904
2015-07-28,60.1444,60.3889,59.7778,60.0289,3214206
2015-07-29,59.8444,60.485,59.5355,60.0322,1646478
2015-07-30,60.0122,60.1911,59.5717,59.9578,1627722
2015-07-31,60.0089,60.0089,59.11,59.2411,2163078
2015-08-03,59.0733,59.2772,57.9055,58.5,2940579
2015-08-04,58.24,58.7744,58.0178,58.5278,1640160
2015-08-05,58.8167,59.3833,58.8167,59.0078,1671264
2015-08-06,58.8511,59.1694,58.1667,58.23,1585143
2015-08-07,58.2378,59.3322,57.9033,59.2211,2170080
2015-08-10,59.3278,59.3333,58.7867,59.14,2571588
2015-08-11,59.1111,59.3333,58.4355,58.8711,1682847
2015-08-12,58.6567,58.9344,58.3333,58.8089,2582667
2015-08-13,58.7578,59.0655,58.4222,58.6522,1569051
