Date,Open,High,Low,Close,Volume
2015-06-22,93.49,93.84,93.13,93.76,1349966
2015-06-23,93.66,93.79,93.13,93.32,1273685
2015-06-24,93.33,94.7199,93.14,94.17,2072270
2015-06-25,94.48,94.5,92.799,92.91,1800960
2015-06-26,92.79,93.02,92.45,92.78,1463714
2015-06-29,91.72,92.73,91.41,91.45,1623999
2015-06-30,92.08,92.6,91.57,91.79,1702431
2015-07-01,92.4,93.64,91.97,93.43,2583395
2015-07-02,93.52,93.84,92.81,93.4,1662855
2015-07-06,92.3,93.609,92.3,93.12,1344311
2015-07-07,93.23,93.99,92.21,93.83,1892154
2015-07-08,93.19,93.34,91.51,91.93,1801613
2015-07-09,92.96,93.35,91.86,91.86,1439575
2015-07-10,93.2,93.55,92.5,92.58,1668716
2015-07-13,93.59,93.85,93.2,93.74,1362566
2015-07-14,93.66,94.32,93.527,94.04,1198008
2015-07-15,94.07,94.23,93.14,93.37,1455360
2015-07-16,94.26,94.33,93.4,93.61,1265168
2015-07-17,93.48,94.11,92.85,93.02,1379075
2015-07-20,92.97,93.77,92.74,93.46,1764117
2015-07-21,93.15,93.31,91.88,92.16,2055712
2015-07-22,92.77,93.61,88.86,89.58,4548705
2015-07-23,90.06,90.84,89.19,89.4,2469612
2015-07-24,89.27,89.31,87.85,88.27,1920135
2015-07-27,87.66,87.85,87.01,87.26,2596560
2015-07-28,87.6,89.1,87.36,88.74,1921249
2015-07-29,88.72,89.49,88.37,89.34,1254989
2015-07-30,88.92,89.55,88.77,89.28,1411873
2015-07-31,89.72,89.87,89.23,89.47,1702080
2015-08-03,89.49,89.6,88.243,88.66,1427892
2015-08-04,88.92,89.03,88.19,88.34,1690180
2015-08-05,89.17,90.38,89.1,89.59,1344841
2015-08-06,89.6,89.83,89.1201,89.22,1026647
2015-08-07,89.14,89.73,88.94,89.3,1342292
2015-08-10,89.77,91.4,89.77,91.38,1258368
2015-08-11,90.28,90.32,89.0,89.22,1513161
2015-08-12,92.06,92.06,87.87,89.34,1635583
2015-08-13,89.04,89.8363,88.603,89.43,968773
2015-08-14,89.36,89.83,89.2,89.76,824516
2015-08-17,89.28,90.22,88.68,90.04,752829
2015-08-18,90.04,90.2,89.51,89.93,764833
2015-08-19,89.12,89.61,88.5,88.85,956564
