Date,Open,High,Low,Close,Volume
2015-06-22,39.28,39.4,38.885,38.93,4362627
2015-06-23,39.03,39.29,38.98,39.15,3310185
2015-06-24,39.06,39.14,38.79,38.85,2947403
2015-06-25,38.67,38.9,38.5,38.54,2753477
2015-06-26,38.69,38.81,38.38,38.56,2586735
2015-06-29,38.04,38.25,37.35,37.4,3024498
2015-06-30,37.8,38.03,37.29,37.49,3142210
2015-07-01,37.97,38.13,37.58,37.81,2576177
2015-07-02,37.8,37.92,37.36,37.62,2250337
2015-07-06,36.75,37.29,36.37,37.26,3025042
2015-07-07,37.28,37.28,36.48,37.15,3678971
2015-07-08,36.73,36.91,36.2,36.22,2452136
2015-07-09,36.81,37.035,36.3,36.45,3280757
2015-07-10,37.62,37.69,36.75,36.93,2744653
2015-07-13,37.32,37.565,36.95,37.49,3501221
2015-07-14,37.39,38.28,37.39,38.0,4568761
2015-07-15,38.05,38.255,37.88,37.95,2658333
2015-07-16,38.31,38.69,38.29,38.6,2970937
2015-07-17,38.5,38.55,38.17,38.49,1902571
2015-07-20,38.56,38.63,38.22,38.34,1915451
2015-07-21,38.23,38.43,38.0501,38.42,2037190
2015-07-22,38.32,38.62,38.3,38.5,2505488
2015-07-23,38.58,38.58,37.89,38.0,1967905
2015-07-24,37.99,37.99,37.34,37.48,1731217
2015-07-27,37.15,37.24,36.82,36.94,2363971
2015-07-28,37.21,37.36,36.91,37.27,2046074
2015-07-29,37.36,37.8,37.1,37.71,2725357
2015-07-30,38.59,39.48,38.49,38.99,5325366
2015-07-31,39.07,39.11,38.55,38.6,4027036
2015-08-03,38.67,38.71,38.255,38.55,2567712
2015-08-04,38.59,38.69,38.28,38.41,2072789
2015-08-05,38.82,38.97,38.52,38.73,2431251
2015-08-06,38.67,38.78,38.31,38.6,2471456
2015-08-07,38.49,38.61,38.02,38.21,2979144
2015-08-10,38.59,38.97,38.59,38.87,1649847
2015-08-11,38.46,38.56,38.1599,38.33,1847798
2015-08-12,37.96,37.96,37.01,37.84,2362461
2015-08-13,37.84,37.94,37.43,37.46,2165852
2015-08-14,37.4,37.77,37.11,37.51,2447845
2015-08-17,37.31,37.68,37.165,37.66,1571737
2015-08-18,37.37,37.45,37.01,37.22,1995694
2015-08-19,37.01,37.09,36.5,36.66,2707827
2015-08-20,36.26,36.35,35.86,35.89,3050831
2015-08-21,35.54,35.6957,34.58,34.6,6412065
2015-08-24,32.17,34.075,31.03,32.88,7096536
