Date,Open,High,Low,Close,Volume
2015-06-22,66.45,66.45,65.69,66.02,355794
2015-06-23,66.19,66.25,65.47,65.71,349443
2015-06-24,65.44,65.95,65.38,65.83,274318
2015-06-25,65.85,66.37,65.8,66.09,271203
2015-06-26,65.98,66.534,65.73,66.05,892274
2015-06-29,65.65,66.02,65.01,65.36,735376
2015-06-30,65.78,65.89,64.57,64.7,661389
2015-07-01,64.76,65.77,64.76,65.68,341791
2015-07-02,65.84,66.045,65.14,65.64,287863
2015-07-06,64.99,65.9,64.515,65.8,650712
2015-07-07,65.59,66.02,65.06,65.94,331681
2015-07-08,65.35,65.79,65.04,65.72,548485
2015-07-09,66.09,66.34,65.82,65.97,465366
2015-07-10,66.55,66.92,66.11,66.86,329544
2015-07-13,67.41,67.43,66.97,67.15,384940
2015-07-14,67.5,67.77,67.42,67.65,280400
2015-07-15,67.62,68.22,67.4501,68.03,300008
2015-07-16,68.29,68.97,68.1,68.93,536677
2015-07-17,69.15,69.368,68.25,68.42,366331
2015-07-20,68.74,69.23,68.61,69.05,360906
2015-07-21,69.27,69.27,68.41,68.91,354494
2015-07-22,69.06,69.81,68.94,69.7,398046
2015-07-23,69.7,70.0,69.2,69.38,365273
2015-07-24,69.61,69.87,69.06,69.42,407828
2015-07-27,68.97,69.22,68.51,68.76,231364
2015-07-28,68.91,69.26,68.5,69.1,286948
2015-07-29,68.97,70.03,68.97,69.95,248321
2015-07-30,69.73,70.5,67.8101,70.09,394121
2015-07-31,70.41,70.42,69.73,69.86,351237
2015-08-03,69.9,69.9,69.175,69.71,245591
2015-08-04,69.82,70.36,69.79,69.97,235795
2015-08-05,70.22,70.78,70.15,70.45,186429
2015-08-06,70.4,70.81,69.5,69.72,342326
2015-08-07,69.67,70.48,69.64,70.24,300897
2015-08-10,70.75,71.3599,70.39,71.11,267333
2015-08-11,70.42,71.01,69.97,70.23,294787
2015-08-12,70.1,70.99,69.07,70.83,339915
2015-08-13,70.58,71.57,70.38,71.31,210823
2015-08-14,71.03,71.47,70.8,71.22,251143
2015-08-17,71.02,71.65,70.52,71.63,284116
2015-08-18,71.48,71.75,71.39,71.59,110541
2015-08-19,71.41,71.5599,70.81,71.22,138593
2015-08-20,70.97,71.37,70.13,70.14,228574
2015-08-21,69.68,70.0,68.25,68.27,431784
2015-08-24,65.5,67.632,63.84,65.95,663267
2015-08-25,67.76,67.76,65.83,65.88,458346
2015-08-26,67.83,69.15,66.0,68.71,1155611
2015-08-27,69.25,69.505,67.3,67.82,681296
2015-08-28,67.4,68.83,67.4,68.78,336568
2015-08-31,68.5,68.53,67.74,67.96,337942
2015-09-01,66.88,67.14,65.07,65.61,779095
2015-09-02,66.24,66.98,65.35,66.9,560811
2015-09-03,67.12,67.69,67.08,67.47,476769
2015-09-04,66.8,67.14,66.0,66.44,210954
2015-09-08,67.46,68.4,66.64,68.35,345925
2015-09-09,68.9,69.07,67.59,67.67,465411
2015-09-10,67.47,68.76,67.31,68.12,360314
2015-09-11,67.87,69.13,67.77,69.1,371903
2015-09-14,69.22,69.22,68.4746,68.59,293977
2015-09-15,68.7,69.64,68.46,69.59,282521
2015-09-16,69.54,70.2,69.31,70.08,192863
2015-09-17,70.12,70.84,69.81,70.0,243516
2015-09-18,68.93,69.84,68.92,69.51,2214344
2015-09-21,69.9,70.95,69.675,70.0,258735
2015-09-22,69.5,69.8847,68.96,69.56,487416
2015-09-23,69.83,70.05,69.31,69.82,156065
2015-09-24,69.25,69.92,68.93,69.61,237860
2015-09-25,70.21,70.82,69.6,69.93,372696
2015-09-28,69.6,69.99,68.41,68.45,328971
2015-09-29,68.33,69.15,68.09,68.89,572285
2015-09-30,69.55,69.9,69.01,69.61,314501
2015-10-01,69.75,69.89,69.04,69.67,281956
2015-10-02,68.64,70.91,68.31,70.87,369902
2015-10-05,71.46,72.29,71.065,72.09,423121
2015-10-06,72.14,72.35,71.44,71.97,394623
2015-10-07,72.17,72.58,71.86,72.57,550306
2015-10-08,72.47,73.56,72.17,73.51,337311
2015-10-09,73.72,73.93,73.43,73.89,186741
2015-10-12,74.13,75.032,73.89,74.08,219615
2015-10-13,73.5,74.13,73.44,73.55,218881
2015-10-14,73.5,74.12,72.95,73.03,232483
2015-10-15,73.12,73.6,73.03,73.4,251209
2015-10-16,73.28,73.635,73.09,73.54,200437
2015-10-19,73.35,74.21,73.2585,74.09,386946
2015-10-20,74.0,74.22,73.88,74.0,285130
2015-10-21,74.1,74.29,73.3101,73.37,129865
2015-10-22,73.85,75.71,73.8,75.22,446569
2015-10-23,75.52,76.13,74.94,76.1,211624
2015-10-26,76.0,76.55,75.76,76.33,259653
2015-10-27,75.97,76.44,75.26,75.41,374176
2015-10-28,75.52,77.46,75.47,77.46,291393
2015-10-29,77.1,77.78,76.93,77.71,225032
2015-10-30,77.92,78.275,77.34,77.34,294317
2015-11-02,77.3,77.93,76.67,77.55,281401
2015-11-03,77.12,77.73,77.07,77.13,293112
2015-11-04,77.18,77.995,77.075,77.59,487319
2015-11-05,77.55,78.69,76.7426,77.19,389616
