Date,Open,High,Low,Close,Volume
2015-06-22,100.6,100.84,99.99,100.09,5055446
2015-06-23,100.1,100.36,99.48,99.78,6046622
2015-06-24,99.51,99.81,99.07,99.33,7254677
2015-06-25,99.5,99.98,99.11,99.12,6570601
2015-06-26,99.43,100.13,99.12,99.64,9018215
2015-06-29,98.98,99.35,97.62,97.68,11132800
2015-06-30,98.43,98.45,97.3,97.46,8956530
2015-07-01,98.3,98.675,97.64,98.47,6724281
2015-07-02,98.85,99.02,98.32,98.44,6087797
2015-07-06,97.71,98.5,96.64,98.2,6817541
2015-07-07,98.63,98.98,97.52,98.92,7122269
2015-07-08,98.42,98.59,97.69,97.77,6845206
2015-07-09,99.05,99.5398,98.4,98.4,7314565
2015-07-10,99.78,99.89,99.09,99.53,6968679
2015-07-13,100.05,100.48,99.87,100.27,6978304
2015-07-14,99.26,99.88,98.55,99.78,9885388
2015-07-15,99.76,100.94,99.63,100.42,7990272
2015-07-16,100.95,101.36,100.78,101.11,5772568
2015-07-17,100.89,100.91,99.96,100.08,8047991
2015-07-20,100.5,100.65,100.1,100.37,5000296
2015-07-21,100.6,100.81,100.07,100.34,5889666
2015-07-22,100.41,100.71,99.73,100.18,6717738
2015-07-23,100.5,100.6,100.0,100.2,5010727
2015-07-24,99.75,99.95,99.05,99.15,6517910
2015-07-27,98.97,98.99,97.915,98.28,8726945
2015-07-28,98.89,99.23,98.42,99.02,7757020
2015-07-29,99.26,100.05,99.05,99.73,7853279
2015-07-30,99.8,100.0,99.38,99.84,5517401
2015-07-31,100.34,100.98,99.96,100.21,6216815
2015-08-03,100.0,100.21,99.23,100.02,6166269
2015-08-04,100.41,100.5,99.65,99.8,5998184
2015-08-05,100.57,101.0,100.35,100.52,4570565
2015-08-06,100.49,100.6,99.01,99.07,6983120
2015-08-07,99.02,99.07,98.16,98.85,6027461
2015-08-10,99.57,100.06,99.45,99.79,6133408
2015-08-11,99.05,99.34,98.77,99.01,6677622
2015-08-12,98.4,98.73,97.41,98.71,7597359
2015-08-13,98.74,98.98,98.15,98.48,5043744
2015-08-14,98.33,98.825,97.8728,98.81,5174168
2015-08-17,98.44,99.88,98.06,99.87,6893851
2015-08-18,99.24,99.68,99.02,99.37,7614675
2015-08-19,99.18,99.99,98.78,99.31,7638886
2015-08-20,98.95,100.1199,98.79,98.79,10617930
2015-08-21,97.22,98.52,95.51,95.56,16122570
2015-08-24,91.08,95.21,81.79,92.82,25633180
2015-08-25,95.69,95.7,90.4,90.73,15567920
2015-08-26,92.91,95.22,91.46,95.11,14694170
2015-08-27,96.1,96.4,94.35,96.22,11025180
2015-08-28,95.93,96.29,94.38,95.17,9200169
2015-08-31,94.88,95.17,93.58,93.98,9082886
2015-09-01,92.29,92.89,91.4601,92.09,14591660
2015-09-02,93.17,93.47,92.5,93.35,11510140
2015-09-03,93.66,94.09,92.26,92.64,9013115
2015-09-04,91.58,91.88,90.5728,91.31,10982300
2015-09-08,93.09,93.98,92.51,93.94,11375930
2015-09-09,94.99,95.16,92.03,92.22,7375730
2015-09-10,92.11,93.48,91.615,92.72,8326216
2015-09-11,92.44,93.0,91.8,92.93,7375188
2015-09-14,92.9,93.91,92.51,93.32,7944009
2015-09-15,93.79,94.745,93.19,94.4,7025137
2015-09-16,94.49,94.82,93.82,94.61,5623649
2015-09-17,94.53,96.19,94.32,94.84,8079443
2015-09-18,94.08,94.7185,93.25,93.39,14201010
2015-09-21,93.87,94.6,92.37,93.13,7036952
2015-09-22,92.26,93.44,91.8799,93.24,10617370
2015-09-23,93.21,93.7,92.56,92.99,5608070
2015-09-24,92.52,92.94,91.775,92.48,7397756
2015-09-25,92.93,93.125,90.76,91.0,10776420
2015-09-28,90.7,92.07,89.9,91.37,14308120
2015-09-29,92.24,93.84,91.83,93.04,11499950
2015-09-30,94.13,94.47,92.59,93.35,10969900
2015-10-01,93.43,93.85,91.76,93.17,9675937
2015-10-02,92.14,93.97,91.84,93.93,8339070
2015-10-05,94.19,94.82,94.075,94.76,9413928
2015-10-06,94.52,94.66,92.58,93.42,8353571
2015-10-07,94.26,95.42,93.44,94.98,9461194
2015-10-08,94.71,95.195,93.81,95.08,7085844
2015-10-09,95.14,95.96,94.7775,95.37,8257971
2015-10-12,95.07,96.47,94.98,95.99,8951828
2015-10-13,94.79,96.23,94.31,95.45,12759090
2015-10-14,95.21,95.96,94.12,94.53,8881850
2015-10-15,95.0,97.35,94.86,97.15,9552449
2015-10-16,97.87,98.31,97.4,98.24,9159855
2015-10-19,98.05,98.2,97.31,97.94,8725230
2015-10-20,97.95,98.25,97.31,97.59,6041685
2015-10-21,97.64,98.22,97.07,97.63,7093295
2015-10-22,97.85,99.81,97.13,99.53,9874342
2015-10-23,99.88,100.88,99.53,100.31,9166544
2015-10-26,100.05,100.28,99.49,99.94,7561530
2015-10-27,99.92,100.9,99.7,100.19,8880554
2015-10-28,100.45,100.48,99.5,100.48,7252871
2015-10-29,100.47,101.53,100.12,101.37,6339462
2015-10-30,101.53,102.12,101.01,101.03,10514570
2015-11-02,101.18,102.34,100.84,102.17,6292873
2015-11-03,101.84,102.3,101.11,101.96,6229002
2015-11-04,101.9,102.39,101.69,101.94,5592279
2015-11-05,102.25,102.49,101.42,102.33,6545545
2015-11-06,101.57,101.92,100.86,101.92,6220878
2015-11-09,101.39,101.59,100.55,100.84,6622305
2015-11-10,101.0,101.76,100.68,101.45,5113804
2015-11-11,101.78,102.355,101.5,101.86,6278355
2015-11-12,101.14,101.605,100.22,100.27,6911742
2015-11-13,100.04,100.94,99.74,99.88,8517022
2015-11-16,100.38,101.29,100.04,101.22,5754304
2015-11-17,101.34,101.71,100.88,101.5,5120241
2015-11-18,101.53,102.8,101.31,102.67,7134599
2015-11-19,102.66,102.68,102.06,102.49,5161454
2015-11-20,102.49,102.8,102.2,102.48,7595464
2015-11-23,102.39,103.0,102.19,102.77,6717911
2015-11-24,101.81,102.79,101.81,102.04,7492381
2015-11-25,102.17,102.33,101.96,101.96,5401228
2015-11-27,102.28,102.62,101.79,102.37,2353779
2015-11-30,102.48,102.48,101.24,101.24,8788967
2015-12-01,101.73,102.49,101.12,102.36,7545982
2015-12-02,102.5,102.93,101.99,102.05,6623500
2015-12-03,102.27,102.37,100.31,100.79,12008730
2015-12-04,101.4,103.0,101.28,102.95,7841202
