Date,Open,High,Low,Close,Volume
2015-06-22,26.89,27.18,26.66,27.02,8598323
2015-06-23,27.04,27.2,26.93,27.19,4081460
2015-06-24,27.15,27.3,26.785,26.88,4820051
2015-06-25,26.82,27.12,26.78,26.96,3403759
2015-06-26,26.93,26.93,26.32,26.59,6455222
2015-06-29,26.32,26.465,26.03,26.11,4607300
2015-06-30,26.28,26.3,25.96,25.97,4493467
2015-07-01,26.32,26.44,26.07,26.3,3708764
2015-07-02,26.34,26.39,25.99,26.11,4327430
2015-07-06,25.9,25.91,25.51,25.75,5210848
2015-07-07,25.77,25.97,25.085,25.89,4510872
2015-07-08,25.7,25.9,25.49,25.61,4803188
2015-07-09,26.01,26.21,25.61,25.71,5845379
2015-07-10,26.0,26.25,25.92,26.15,4682616
2015-07-13,26.21,26.3,25.98,26.14,3564010
2015-07-14,26.16,26.265,25.91,26.06,5192117
2015-07-15,26.05,26.38,26.02,26.15,2929294
2015-07-16,26.27,26.545,26.2,26.35,3646161
2015-07-17,26.44,26.535,26.18,26.39,3261488
2015-07-20,26.4,26.56,26.3,26.36,6132916
2015-07-21,26.29,26.59,26.1501,26.34,3935975
2015-07-22,26.05,26.19,25.85,26.19,4267567
2015-07-23,26.39,26.61,26.34,26.49,5931328
2015-07-24,28.63,29.13,27.37,27.54,35124010
2015-07-27,27.51,27.75,27.37,27.43,10584540
2015-07-28,27.59,27.6199,27.07,27.57,15045030
2015-07-29,27.35,27.6,26.95,27.48,10531310
2015-07-30,27.47,27.99,27.24,27.96,6947896
2015-07-31,28.0,28.6,27.98,28.42,8134487
2015-08-03,28.35,28.38,28.02,28.17,5259467
2015-08-04,28.24,28.29,27.955,27.98,4090508
2015-08-05,28.25,28.565,28.125,28.25,5924917
2015-08-06,28.36,28.46,27.96,28.01,4192748
2015-08-07,27.95,28.11,27.74,28.06,4085080
2015-08-10,28.22,28.4325,28.12,28.39,5460030
2015-08-11,28.26,28.26,27.69,27.88,2573221
2015-08-12,27.73,28.18,27.42,28.15,4986941
2015-08-13,28.4,28.61,28.14,28.17,3649538
2015-08-14,28.15,28.26,27.97,28.19,2772607
2015-08-17,28.0,28.345,27.93,28.32,2234800
2015-08-18,28.32,28.34,28.1,28.12,3746211
2015-08-19,28.07,28.26,27.9417,28.05,5208599
2015-08-20,27.88,28.0,27.145,27.36,6168091
2015-08-21,27.14,27.28,26.53,26.56,6069877
2015-08-24,25.43,26.24,24.78,25.56,11250680
2015-08-25,26.21,26.29,24.86,24.88,6940684
2015-08-26,25.57,25.605,24.79,25.57,6444660
2015-08-27,25.82,26.23,25.47,26.0,5284154
2015-08-28,25.88,26.09,25.71,25.98,5214272
2015-08-31,25.72,26.0,25.64,25.71,3166449
2015-09-01,25.13,25.534,24.74,24.94,6496152
2015-09-02,25.34,25.35,24.82,25.31,4232833
2015-09-03,25.21,25.55,25.07,25.27,5024597
2015-09-04,24.98,25.265,24.89,25.06,4442184
2015-09-08,25.4,25.58,25.14,25.55,4157413
2015-09-09,25.89,26.0,25.2,25.25,4724269
2015-09-10,25.33,25.77,25.225,25.62,4333736
2015-09-11,25.29,25.45,25.07,25.26,3083798
2015-09-14,25.37,25.4,25.1532,25.33,3569275
2015-09-15,25.34,25.855,25.32,25.8,3766676
2015-09-16,25.79,26.02,25.75,25.96,4660496
2015-09-17,25.83,26.15,25.7,25.81,4389047
2015-09-18,25.5,25.97,25.45,25.54,7523729
2015-09-21,25.6,26.0,25.55,25.76,4944026
2015-09-22,25.37,25.49,25.03,25.25,4036092
2015-09-23,25.33,25.45,25.13,25.36,3768802
2015-09-24,25.13,25.365,24.84,25.31,3936840
2015-09-25,25.53,25.68,25.14,25.28,4795462
2015-09-28,25.22,25.44,24.875,24.91,4140275
2015-09-29,24.91,25.209,24.84,25.04,5227191
2015-09-30,25.31,25.81,25.31,25.71,7296840
2015-10-01,25.71,26.06,25.48,26.04,6796943
2015-10-02,25.74,27.19,25.56,27.17,9329685
2015-10-05,27.62,28.61,27.5,28.5,8571182
2015-10-06,28.5,28.78,28.16,28.42,7160946
2015-10-07,29.21,29.55,28.43,29.42,13832980
2015-10-08,29.38,30.03,29.3,29.8,8679017
2015-10-09,29.76,29.81,29.11,29.4,5825271
