Date,Open,High,Low,Close,Volume
2015-06-22,15.38,15.43,15.32,15.43,5306857
2015-06-23,15.49,15.67,15.47,15.65,11432250
2015-06-24,15.63,15.7,15.43,15.43,6929008
2015-06-25,15.52,15.58,15.31,15.37,9773576
2015-06-26,15.43,15.54,15.34,15.36,7906233
2015-06-29,15.17,15.295,14.96,14.97,8719795
2015-06-30,15.08,15.2901,14.98,15.02,10361570
2015-07-01,15.27,15.35,15.205,15.31,8132467
2015-07-02,15.26,15.26,14.99,15.08,8059738
2015-07-06,14.94,15.04,14.85,15.01,7355217
2015-07-07,14.97,15.01,14.6434,14.91,9274082
2015-07-08,14.78,14.83,14.62,14.63,6480280
2015-07-09,14.96,14.96,14.74,14.82,5912039
2015-07-10,15.04,15.09,14.87,14.92,10266430
2015-07-13,15.09,15.16,15.0,15.04,10180220
2015-07-14,14.96,15.18,14.91,15.18,7509700
2015-07-15,15.25,15.39,15.18,15.29,10271260
2015-07-16,15.33,15.39,15.0085,15.17,14573290
2015-07-17,15.1,15.14,14.8,14.94,11328410
2015-07-20,14.98,15.25,14.98,15.2,8310234
2015-07-21,15.22,15.3458,15.04,15.04,11250940
2015-07-22,15.03,15.385,15.03,15.33,10169660
2015-07-23,15.34,15.46,15.13,15.15,11038640
2015-07-24,15.11,15.19,15.0,15.02,7648990
2015-07-27,14.91,14.93,14.75,14.78,7661720
2015-07-28,14.77,14.92,14.69,14.81,7338960
2015-07-29,14.82,15.0,14.76,14.96,8982451
2015-07-30,14.92,15.01,14.87,14.97,5161179
2015-07-31,14.97,15.0,14.81,14.84,7105645
2015-08-03,14.83,14.89,14.66,14.75,6480036
2015-08-04,14.78,14.97,14.745,14.85,6261007
2015-08-05,14.91,15.09,14.86,14.9,6301141
2015-08-06,14.95,15.01,14.81,14.81,6766465
2015-08-07,14.83,14.935,14.54,14.64,11498790
2015-08-10,14.73,15.0,14.72,14.96,9839674
2015-08-11,14.76,14.83,14.615,14.72,12112360
2015-08-12,14.6,14.64,14.23,14.4,12028350
2015-08-13,14.45,14.62,14.42,14.59,6548639
2015-08-14,14.61,14.78,14.55,14.77,6173506
2015-08-17,14.65,14.82,14.57,14.75,5420758
2015-08-18,14.76,14.86,14.72,14.81,5561433
2015-08-19,14.74,14.82,14.63,14.64,10323030
2015-08-20,14.52,14.56,14.22,14.22,11441480
2015-08-21,14.05,14.1,13.79,13.79,13565680
2015-08-24,13.1,13.4,12.77,12.94,23878660
2015-08-25,13.26,13.39,12.67,12.67,14227640
2015-08-26,13.07,13.48,12.865,13.43,20050770
2015-08-27,13.64,13.9,13.6,13.88,16690800
2015-08-28,13.68,13.85,13.59,13.78,8406006
