Date,Open,High,Low,Close,Volume
2015-07-06,71.0,74.29,71.0,72.96,3809580
2015-07-07,73.73,74.71,72.96,74.63,5794411
2015-07-08,74.3,75.5,74.04,75.4,4276656
2015-07-09,76.47,77.066,74.5,74.8,4255122
2015-07-10,75.05,77.8,75.0,77.31,4963167
2015-07-13,79.5,79.7,77.91,78.83,9078574
2015-07-14,79.45,79.5,77.65,78.0,18743510
2015-07-15,77.65,78.17,76.4,76.71,5653196
2015-07-16,76.97,78.84,76.9501,78.75,5628915
2015-07-17,79.43,79.69,77.26,79.63,6094721
2015-07-20,79.95,81.2,79.13,80.11,10279270
2015-07-21,79.97,80.68,79.4,80.22,6090213
2015-07-22,80.83,80.9,78.58,78.64,5196266
2015-07-23,78.42,78.57,76.64,76.74,2975649
2015-07-24,76.92,77.43,75.95,76.41,3114482
2015-07-27,76.63,77.98,76.29,77.38,5772511
2015-07-28,78.44,78.65,77.5,78.32,1882354
2015-07-29,78.26,78.2999,77.0,77.91,2252378
2015-07-30,78.21,79.69,77.6,79.21,3246837
2015-07-31,79.94,79.94,78.865,79.47,2685285
2015-08-03,80.0,81.03,79.91,80.37,2674858
2015-08-04,80.57,81.0,79.67,79.81,2425506
2015-08-05,80.01,81.0,79.85,80.48,4324567
2015-08-06,81.05,81.19,79.51,79.76,3708640
2015-08-07,79.14,79.38,77.29,78.46,3271335
2015-08-10,79.43,79.8,78.57,78.81,3245197
2015-08-11,77.63,80.48,77.07,77.97,3888772
2015-08-12,77.83,78.31,76.09,76.69,3688888
2015-08-13,77.01,77.07,75.8,75.99,2916085
2015-08-14,76.07,76.74,75.117,76.42,2573335
2015-08-17,75.86,76.41,75.51,75.8,2260346
2015-08-18,75.72,75.953,75.06,75.19,2009645
2015-08-19,75.0,75.29,73.92,74.78,3025732
2015-08-20,74.02,74.7644,73.78,74.25,2206710
2015-08-21,73.31,74.25,72.26,72.27,5561109
2015-08-24,68.24,72.24,61.42,70.87,9833527
2015-08-25,71.54,72.4,70.0,70.21,4419153
2015-08-26,71.72,74.11,69.53,73.91,5356315
2015-08-27,73.17,75.25,73.12,75.18,5937763
2015-08-28,74.4,75.19,73.82,74.69,2150122
2015-08-31,74.21,74.43,72.57,72.66,2688401
