Date,Open,High,Low,Close,Volume
2015-06-22,23.14,23.15,22.95,23.13,1355475
2015-06-23,23.16,23.37,23.11,23.28,2096291
2015-06-24,23.23,23.29,23.07,23.29,2656975
2015-06-25,23.3,23.4,23.16,23.26,5208617
2015-06-26,23.33,23.37,22.96,23.09,1649457
2015-06-29,22.85,23.03,22.63,22.79,2735688
2015-06-30,23.0,23.0,22.65,22.85,1479383
2015-07-01,23.08,23.09,22.89,23.03,1462910
2015-07-02,23.07,23.27,22.93,23.27,1661933
2015-07-06,23.1,23.27,23.01,23.15,1554676
2015-07-07,23.23,23.27,22.75,23.08,2219863
2015-07-08,22.96,22.99,22.35,22.42,2416565
2015-07-09,22.61,22.81,22.52,22.81,1456804
2015-07-10,23.05,23.255,22.81,23.17,2218146
2015-07-13,23.23,23.56,23.2,23.51,2232764
2015-07-14,23.51,23.82,23.46,23.82,2958553
2015-07-15,23.82,24.12,23.7401,24.04,2909792
2015-07-16,24.15,24.19,23.93,24.14,2188032
2015-07-17,24.14,24.15,24.0,24.15,1263206
2015-07-20,24.19,24.2,23.7,23.76,1892054
2015-07-21,23.83,24.24,23.76,24.2,2291030
2015-07-22,24.14,24.33,23.97,24.09,2235167
2015-07-23,24.4,24.79,24.18,24.27,4224439
2015-07-24,24.52,24.67,24.08,24.12,2936140
2015-07-27,23.95,23.96,23.505,23.75,3287557
2015-07-28,24.0,24.31,23.8,24.2,3450098
2015-07-29,24.32,24.7,24.2801,24.6,3227765
2015-07-30,24.29,24.39,24.02,24.04,2034071
2015-07-31,24.08,24.19,23.86,23.9,1897622
2015-08-03,23.9,24.06,23.76,23.99,1930993
2015-08-04,24.01,24.12,23.85,23.94,1498296
2015-08-05,23.97,24.0,23.625,23.8,2948402
2015-08-06,23.93,23.99,23.04,23.25,2964978
2015-08-07,23.27,23.47,22.6,23.0,2824345
2015-08-10,23.19,23.33,23.02,23.27,2374991
2015-08-11,22.84,23.0,22.71,22.78,1911254
2015-08-12,22.57,22.695,21.9,22.64,3443153
2015-08-13,22.74,22.82,22.33,22.74,1788564
2015-08-14,22.8,22.92,22.61,22.86,1694064
2015-08-17,22.12,22.49,22.12,22.19,4749303
2015-08-18,22.15,22.15,21.6663,21.9,4210229
2015-08-19,21.8,21.89,21.41,21.5,3407677
2015-08-20,21.26,21.26,20.05,20.27,6820215
2015-08-21,19.94,20.04,19.18,19.55,7910466
2015-08-24,17.73,19.43,8.0,18.69,7069560
2015-08-25,19.5,19.76,18.89,18.9,5529857
2015-08-26,19.51,19.72,18.95,19.55,4871300
2015-08-27,20.0,20.75,19.77,20.34,4435834
2015-08-28,20.24,20.33,19.86,19.91,1888616
2015-08-31,19.83,19.88,19.08,19.09,2935816
2015-09-01,18.79,19.1302,18.4,18.52,3738697
2015-09-02,18.91,18.93,18.21,18.52,3645594
2015-09-03,18.62,19.28,18.55,18.94,3926354
2015-09-04,18.77,18.93,18.457,18.74,2674311
2015-09-08,19.12,19.55,18.97,19.48,1799995
2015-09-09,19.8,19.99,18.74,18.91,2880786
2015-09-10,18.93,19.02,18.31,18.37,4040793
2015-09-11,18.35,18.57,18.25,18.5,2459556
2015-09-14,18.51,18.68,18.23,18.4,1166501
2015-09-15,18.44,18.94,18.33,18.89,1492767
2015-09-16,18.85,19.0038,18.6,18.96,1464965
2015-09-17,18.97,19.715,18.84,19.46,2592899
2015-09-18,19.15,19.15,18.64,18.84,2129421
2015-09-21,18.93,19.06,18.65,18.84,2088343
2015-09-22,18.54,18.6,18.3,18.43,1786767
2015-09-23,18.48,18.52,17.8549,17.99,3608565
2015-09-24,17.79,17.81,17.2,17.65,2769584
2015-09-25,17.9,18.03,17.39,17.45,2417908
2015-09-28,17.39,17.45,16.38,16.52,3817700
2015-09-29,16.6,16.66,15.97,16.13,4767473
2015-09-30,16.25,16.855,16.02,16.78,3064242
2015-10-01,16.81,17.28,16.7,17.16,3509300
2015-10-02,16.9,17.45,16.63,17.44,1805492
2015-10-05,17.58,18.27,17.5,18.26,2183838
2015-10-06,18.24,18.63,18.2,18.34,4527157
2015-10-07,18.49,19.08,18.45,18.62,2519014
2015-10-08,18.55,18.94,18.42,18.76,1447612
2015-10-09,18.9,18.95,18.59,18.67,1214591
2015-10-12,18.68,18.6999,18.0699,18.35,2016023
2015-10-13,18.14,18.34,17.83,17.9,1970349
2015-10-14,18.0,18.13,17.56,17.61,2292052
2015-10-15,17.7,17.82,17.42,17.7,4154496
2015-10-16,17.8,17.855,17.585,17.8,2723107
2015-10-19,17.8,17.8,17.22,17.23,3285690
2015-10-20,17.25,17.35,16.91,16.97,4146015
2015-10-21,17.04,17.2865,17.0,17.05,1723715
2015-10-22,17.21,17.5406,17.14,17.39,1915893
2015-10-23,17.64,18.0,17.57,17.79,2232555
2015-10-26,17.8,17.92,17.66,17.77,3010480
2015-10-27,17.69,17.85,17.24,17.6,1966064
2015-10-28,15.97,17.23,15.89,16.85,15253740
2015-10-29,16.5,17.97,16.14,17.3,11625740
2015-10-30,17.38,17.77,16.95,17.15,6738819
2015-11-02,17.33,18.79,17.3,18.33,8433239
2015-11-03,18.29,19.14,18.16,18.9,5826660
2015-11-04,18.75,18.79,17.96,18.45,6086402
2015-11-05,18.72,19.2,18.64,18.88,5082397
2015-11-06,18.89,19.09,18.48,18.99,5875691
2015-11-09,18.95,18.95,18.01,18.21,2569241
2015-11-10,18.21,18.54,17.76,18.04,2556509
2015-11-11,18.13,18.15,17.78,18.02,7651468
2015-11-12,17.99,18.21,17.86,17.9,3364840
2015-11-13,17.84,18.23,17.43,17.63,2937431
2015-11-16,17.5,17.8,17.36,17.65,2915318
2015-11-17,17.68,17.8,17.13,17.27,3327630
2015-11-18,17.38,17.68,17.29,17.48,3149884
2015-11-19,17.5,17.84,17.44,17.54,2230735
2015-11-20,17.6,17.69,17.41,17.45,2501957
2015-11-23,17.46,17.6,17.02,17.1,2619385
2015-11-24,17.0,17.1,16.89,17.03,2435310
2015-11-25,17.09,17.22,16.96,17.09,4866908
2015-11-27,17.1,17.2,16.95,17.1,687824
2015-11-30,17.1,17.14,16.85,16.91,2351415
2015-12-01,17.02,17.08,16.74,16.92,2723989
2015-12-02,16.91,16.9699,16.53,16.58,2263243
2015-12-03,16.68,16.75,16.18,16.38,3543734
2015-12-04,16.38,16.63,16.15,16.33,3742776
2015-12-07,16.17,16.35,15.76,16.16,4418514
2015-12-08,15.85,16.15,15.77,16.02,4218951
2015-12-09,15.99,16.316,15.7,15.74,4013133
2015-12-10,15.83,16.54,15.79,16.41,4542835
2015-12-11,16.1,16.25,15.16,15.2,6861068
2015-12-14,15.16,15.25,14.33,14.45,6581285
2015-12-15,14.6,15.41,14.53,15.23,5410322
2015-12-16,15.4,15.5,15.01,15.38,3874501
2015-12-17,15.48,15.88,15.47,15.76,3623085
2015-12-18,15.62,15.99,15.47,15.56,4412099
2015-12-21,15.64,16.08,15.61,15.85,3580204
2015-12-22,15.89,15.89,15.62,15.71,2712213
2015-12-23,15.82,16.23,15.75,16.19,3594914
2015-12-24,16.09,16.16,15.92,16.04,2752966
2015-12-28,15.96,15.98,15.695,15.8,4003894
2015-12-29,15.91,15.97,15.395,15.66,3852031
2015-12-30,15.38,15.73,15.37,15.61,2911693
2015-12-31,15.52,15.87,15.42,15.59,3330299
2016-01-04,15.3,15.875,15.21,15.78,2812389
2016-01-05,15.8,15.97,15.34,15.45,3557023
2016-01-06,15.12,15.395,14.9,15.14,4825184
2016-01-07,14.79,15.08,14.3839,14.49,3450769
2016-01-08,14.68,14.7155,14.13,14.16,4457335
2016-01-11,14.2,14.34,13.47,13.68,6041173
2016-01-12,13.8,13.98,13.15,13.54,5400306
2016-01-13,13.64,14.0,13.32,13.32,5184364
2016-01-14,13.38,14.2,12.71,13.95,6963870
2016-01-15,13.25,13.62,13.195,13.44,6807787
