Date,Open,High,Low,Close,Volume
2015-06-22,108.8,109.55,108.71,108.97,754812
2015-06-23,109.31,109.42,108.21,108.36,1014429
2015-06-24,108.42,108.69,108.07,108.28,1035162
2015-06-25,108.37,108.45,107.47,107.51,1413031
2015-06-26,107.63,108.46,107.55,107.9,1505815
2015-06-29,107.42,107.99,106.06,106.12,1003786
2015-06-30,106.95,107.32,105.77,105.97,1243868
2015-07-01,106.72,107.95,106.04,107.85,1239428
2015-07-02,108.34,108.61,107.35,107.55,1159484
2015-07-06,107.38,108.22,107.25,107.6,976434
2015-07-07,107.59,109.9,107.36,109.77,1513914
2015-07-08,109.11,109.73,108.89,109.03,1475148
2015-07-09,110.07,110.17,108.67,108.7,1680783
2015-07-10,109.58,110.17,109.165,109.72,900648
2015-07-13,110.33,110.95,109.95,110.86,805099
2015-07-14,110.98,111.29,110.16,110.95,1019731
2015-07-15,110.81,111.43,110.39,111.2,874475
2015-07-16,111.74,112.48,111.41,112.03,1042262
2015-07-17,111.62,112.47,111.36,112.4,1800424
2015-07-20,112.33,113.0,112.09,112.94,1060445
2015-07-21,112.85,112.9,111.76,112.49,2033253
2015-07-22,112.51,113.41,111.74,112.2,2196174
2015-07-23,112.54,112.54,110.52,111.63,1476282
2015-07-24,111.73,112.67,111.51,111.84,1222865
2015-07-27,111.72,112.54,111.19,112.36,1691861
2015-07-28,112.56,113.42,112.2931,113.29,1270707
2015-07-29,113.09,113.9,112.99,113.5,1309270
2015-07-30,112.93,114.77,112.41,114.57,1746939
2015-07-31,114.83,115.63,114.61,114.97,2061971
2015-08-03,114.75,115.7,114.38,115.69,1217090
2015-08-04,115.46,116.25,115.34,116.0,1604110
2015-08-05,116.5,117.83,115.91,117.61,1432487
2015-08-06,117.65,117.95,116.58,116.66,1369236
2015-08-07,116.53,116.76,115.96,116.71,1354038
2015-08-10,117.28,117.47,116.71,116.9,946702
2015-08-11,116.18,116.67,115.85,116.64,1152671
2015-08-12,115.75,116.0,114.2,115.65,1632587
2015-08-13,115.9,116.31,115.52,115.78,949190
2015-08-14,115.72,116.34,115.46,116.16,994555
2015-08-17,115.74,116.26,115.25,116.23,704435
2015-08-18,115.23,116.43,115.23,116.04,878632
2015-08-19,115.6,116.11,114.89,115.37,1200597
2015-08-20,114.47,115.16,113.96,114.05,1038893
2015-08-21,113.48,113.71,111.36,111.41,2150088
2015-08-24,105.82,108.69,104.12,106.38,3546703
2015-08-25,109.08,109.45,103.19,103.35,2617314
2015-08-26,105.16,106.45,103.1105,106.18,2322513
2015-08-27,106.81,108.11,105.8141,107.73,2116908
2015-08-28,107.17,107.64,106.48,107.21,1605107
2015-08-31,106.9,107.05,106.23,106.53,1365921
2015-09-01,104.9,105.63,103.46,104.03,1929983
2015-09-02,104.43,104.94,103.6,104.79,1734860
2015-09-03,105.21,106.25,105.0201,105.64,1139242
2015-09-04,104.23,104.55,103.16,103.52,1201733
2015-09-08,105.42,106.21,105.02,105.98,1437623
2015-09-09,107.08,107.2,103.62,103.87,1246427
2015-09-10,103.41,104.57,103.04,103.66,1326275
2015-09-11,103.6,104.08,103.16,104.05,928533
2015-09-14,104.05,104.13,103.36,103.78,1011401
2015-09-15,105.23,106.08,104.25,105.64,1381480
2015-09-16,105.9,107.5901,105.81,107.26,1408079
2015-09-17,107.33,109.0711,106.97,107.84,1477702
2015-09-18,107.71,108.8,107.085,107.85,2907075
2015-09-21,108.45,109.075,108.01,108.77,1259707
2015-09-22,107.67,108.09,107.0,107.84,1473109
2015-09-23,107.68,108.15,107.14,107.86,1499575
2015-09-24,107.28,108.48,107.014,108.17,2118803
2015-09-25,108.99,109.95,108.39,108.71,2106543
2015-09-28,108.43,108.79,106.75,106.81,1388373
2015-09-29,106.8,107.97,106.66,107.74,1966978
2015-09-30,108.81,109.2,108.3651,109.04,1649578
2015-10-01,108.33,108.86,107.98,108.74,2569469
2015-10-02,108.19,109.62,107.79,109.14,2897104
2015-10-05,110.06,112.16,109.815,112.02,2491249
2015-10-06,111.75,112.28,111.215,111.47,1116986
2015-10-07,111.64,112.595,111.24,112.03,1475261
2015-10-08,112.0,113.82,112.0,113.8,1035097
2015-10-09,114.0,114.9,113.77,114.73,1412552
2015-10-12,114.54,115.88,114.52,115.43,1031611
2015-10-13,114.98,115.625,114.8301,115.05,985768
2015-10-14,115.12,115.41,114.36,114.71,1377126
2015-10-15,115.42,116.27,115.24,116.13,1507770
2015-10-16,116.84,117.48,116.38,117.28,1223073
2015-10-19,117.0,117.52,116.5,117.45,1372374
2015-10-20,117.2,117.46,116.52,117.22,1931282
2015-10-21,117.61,120.0,117.01,118.09,2292038
2015-10-22,118.92,121.16,118.1,120.8,2533450
2015-10-23,121.69,122.73,120.63,121.24,2277527
2015-10-26,121.3,121.8142,120.78,121.34,1439983
2015-10-27,120.87,121.38,120.36,121.04,1167429
2015-10-28,121.49,121.5,119.53,120.86,1146981
2015-10-29,120.55,122.13,120.17,121.77,1194113
2015-10-30,121.72,121.97,119.71,119.71,2415944
2015-11-02,120.61,121.59,120.42,121.56,1672344
2015-11-03,120.86,121.42,120.02,121.03,1157522
2015-11-04,121.28,121.28,119.55,119.86,1429665
2015-11-05,119.99,120.1475,119.02,119.88,1769663
2015-11-06,119.28,119.65,117.1496,118.58,1424241
2015-11-09,117.99,118.58,117.43,118.02,1152221
2015-11-10,117.81,119.2,117.5,118.92,992928
2015-11-11,119.22,119.99,118.92,119.36,897702
2015-11-12,118.7,119.28,117.44,117.69,1040933
2015-11-13,117.62,118.32,116.97,117.32,1299834
2015-11-16,117.32,119.685,117.13,119.53,1612032
2015-11-17,119.69,120.16,118.81,119.18,1558391
2015-11-18,119.34,121.13,118.97,120.94,1409677
2015-11-19,121.26,122.48,121.2001,121.66,1234444
2015-11-20,122.4,122.97,120.08,120.23,2111560
2015-11-23,120.37,121.83,120.32,121.59,963668
2015-11-24,120.77,121.52,120.38,121.11,1088442
2015-11-25,121.12,121.53,120.26,120.47,1084957
2015-11-27,120.77,121.08,120.31,120.85,526790
2015-11-30,121.06,121.13,119.05,119.15,2528736
2015-12-01,120.0,121.94,119.32,121.13,1835879
2015-12-02,120.26,121.22,119.56,119.77,1324654
2015-12-03,120.28,120.56,117.52,118.25,2186076
2015-12-04,119.16,121.37,118.76,121.3,2473126
2015-12-07,121.15,122.15,120.8,122.11,1983852
2015-12-08,121.08,121.975,120.1,121.56,1452520
2015-12-09,120.63,122.77,119.836,120.28,1298423
2015-12-10,120.39,121.45,119.77,120.33,1589966
2015-12-11,119.18,119.68,118.57,119.2,1224323
2015-12-14,120.58,122.84,120.58,122.65,2285901
2015-12-15,123.19,125.08,122.82,124.44,2146163
2015-12-16,124.75,126.11,123.81,125.92,1671820
2015-12-17,125.8,126.23,125.1501,125.84,2014158
