Date,Open,High,Low,Close,Volume
2015-06-22,39.8,40.28,39.54,39.65,15373740
2015-06-23,39.71,39.805,39.36,39.43,10056030
2015-06-24,39.42,39.68,39.25,39.45,10459510
2015-06-25,39.5,39.6,38.92,38.98,9187991
2015-06-26,38.88,39.3,38.56,38.96,35904680
2015-06-29,38.74,39.11,38.33,38.36,12265730
2015-06-30,38.62,38.7,38.35,38.39,10803210
2015-07-01,38.45,38.52,37.74,37.98,10623630
2015-07-02,38.43,38.5,37.9175,38.03,8738957
2015-07-06,37.62,37.9,37.19,37.5,9553625
2015-07-07,37.54,37.8373,37.1,37.74,12950340
2015-07-08,37.66,37.88,37.16,37.3,10495640
2015-07-09,37.54,37.915,37.48,37.5,9086420
2015-07-10,37.65,38.17,37.61,38.09,8792292
2015-07-13,38.28,38.575,38.041,38.19,10243320
2015-07-14,37.87,38.39,37.8,38.02,10260220
2015-07-15,37.9,38.22,37.48,37.58,10421530
2015-07-16,37.84,38.02,37.24,37.4,13584230
2015-07-17,37.21,37.25,36.45,36.89,13913900
2015-07-20,36.88,36.89,36.25,36.3,12922450
2015-07-21,36.24,36.24,35.56,35.84,17692730
2015-07-22,35.72,35.83,35.25,35.36,15380280
2015-07-23,35.31,35.5,34.65,34.95,16304220
2015-07-24,34.97,35.26,34.76,34.85,13052940
2015-07-27,34.65,35.41,34.12,35.22,18823500
2015-07-28,35.51,35.92,35.13,35.57,17055630
2015-07-29,34.9,35.28,34.59,35.24,19880390
2015-07-30,35.27,35.39,34.89,35.03,12761890
2015-07-31,34.87,35.1492,34.5738,34.64,14204210
2015-08-03,34.35,34.38,33.71,33.75,19047160
2015-08-04,33.89,34.02,33.45,33.66,12604770
2015-08-05,33.78,34.09,32.19,32.24,25121480
2015-08-06,32.01,32.74,31.09,32.69,24380080
2015-08-07,32.53,32.82,32.06,32.14,13377300
2015-08-10,32.23,32.62,32.15,32.5,16654150
2015-08-11,32.28,32.95,32.06,32.89,15578950
2015-08-12,32.59,34.06,32.59,33.85,21227960
2015-08-13,33.81,33.87,32.97,33.14,11529600
2015-08-14,34.26,34.3,33.85,33.96,17764760
2015-08-17,34.01,34.81,33.96,34.36,15872020
2015-08-18,34.43,34.44,33.71,33.94,11528930
2015-08-19,33.81,33.98,33.17,33.58,13181140
2015-08-20,33.35,33.49,32.69,32.69,13771650
2015-08-21,32.5,32.75,31.79,31.79,17672780
2015-08-24,29.55,31.445,28.5,30.28,21735470
2015-08-25,31.5,31.54,29.93,29.93,17583460
2015-08-26,30.27,30.91,29.86,30.79,16885180
2015-08-27,31.38,32.17,31.1,32.0,18972990
2015-08-28,32.0,33.07,32.0,32.63,16667980
2015-08-31,32.44,32.8299,31.725,32.41,19073030
2015-09-01,31.82,32.09,31.07,31.39,16980960
2015-09-02,31.77,31.77,30.7501,31.31,13792530
2015-09-03,31.47,31.79,30.91,31.08,12123140
2015-09-04,30.78,31.03,30.6,30.77,12071370
2015-09-08,31.04,31.21,30.661,31.09,13803610
2015-09-09,31.34,31.53,30.6,30.64,11297900
2015-09-10,30.74,30.93,30.335,30.5,11381650
2015-09-11,30.26,30.3,29.81,30.1,13885430
2015-09-14,29.99,30.17,29.7,29.86,9655714
2015-09-15,29.86,30.22,29.86,30.19,10583560
2015-09-16,30.38,30.785,30.31,30.69,14039350
2015-09-17,30.75,31.28,30.56,30.83,15784240
2015-09-18,30.41,30.88,30.3,30.38,30588630
2015-09-21,30.51,30.87,30.3431,30.67,9634200
2015-09-22,30.31,30.635,29.95,30.11,9836519
2015-09-23,30.18,30.25,29.05,29.06,13006470
2015-09-24,29.01,29.39,28.36,29.34,24926240
2015-09-25,29.61,29.68,29.115,29.42,13193540
2015-09-28,29.17,29.26,27.54,27.55,21303470
2015-09-29,27.63,27.81,25.81,26.16,31522900
2015-09-30,26.97,27.73,26.4533,27.68,28015980
2015-10-01,28.22,28.42,27.69,28.13,17190230
2015-10-02,27.89,29.64,27.76,29.63,21930000
2015-10-05,30.01,31.09,29.95,30.95,20112400
2015-10-06,30.99,31.845,30.93,31.78,16968590
2015-10-07,32.04,32.74,31.52,32.14,20801910
2015-10-08,32.15,32.89,31.79,32.68,13546780
2015-10-09,32.78,32.87,32.06,32.35,11711760
2015-10-12,32.43,32.48,31.805,32.29,10830830
2015-10-13,32.03,32.28,31.45,31.48,11640070
2015-10-14,31.42,31.81,31.19,31.73,10164930
2015-10-15,31.86,32.32,31.181,32.23,8694992
2015-10-16,32.57,32.79,31.78,32.21,9741727
2015-10-19,31.68,32.11,31.135,31.72,11210610
2015-10-20,31.5,32.04,31.32,31.93,9147288
2015-10-21,31.94,32.2,31.31,31.42,12019440
2015-10-22,29.64,30.32,28.92,29.75,42026420
2015-10-23,29.71,29.75,28.96,29.23,19728460
2015-10-26,28.07,28.54,27.48,27.56,41035920
2015-10-27,27.3,27.52,26.96,27.28,28010320
2015-10-28,27.35,27.8,27.27,27.74,23594020
2015-10-29,27.25,27.55,27.07,27.2,15676720
2015-10-30,27.34,27.4899,26.6,27.35,19808970
2015-11-02,26.36,27.12,26.28,26.62,26259820
2015-11-03,26.66,27.78,26.43,27.51,20127940
2015-11-04,27.52,27.64,26.45,26.81,22764780
2015-11-05,26.8,27.0,25.57,25.91,22997690
2015-11-06,25.66,26.09,25.2,26.06,23290930
2015-11-09,26.14,26.3,25.4,25.56,15609220
2015-11-10,25.55,25.7554,25.31,25.45,13288730
2015-11-11,25.41,25.48,24.23,24.4,24791340
2015-11-12,24.15,24.15,23.39,23.46,26235930
2015-11-13,23.45,23.81,22.57,23.35,26393000
2015-11-16,23.35,24.065,23.305,24.03,20658150
2015-11-17,24.05,24.07,23.11,23.36,17979670
2015-11-18,23.48,24.33,23.47,24.3,25298840
2015-11-19,24.2,24.31,23.46,23.66,16080620
2015-11-20,23.7,23.91,23.35,23.39,19739560
2015-11-23,23.48,24.09,23.275,23.67,17785590
2015-11-24,23.69,24.43,23.62,24.41,24218000
2015-11-25,24.3,24.6199,24.0,24.1,15937220
2015-11-27,23.98,24.09,23.8,23.87,7419657
2015-11-30,23.82,23.99,23.51,23.57,21237280
2015-12-01,23.6,23.62,22.36,22.42,29348430
2015-12-02,22.18,22.19,20.39,20.66,67405970
2015-12-03,20.61,20.66,19.14,19.26,73661450
2015-12-04,18.91,19.0,16.56,16.82,152978500
2015-12-07,15.66,16.59,15.13,16.42,136545100
2015-12-08,15.29,16.16,15.06,15.72,157802600
2015-12-09,16.03,17.35,15.9,16.81,196199400
2015-12-10,16.55,17.45,16.5,17.01,77627360
2015-12-11,16.48,17.08,16.03,16.66,85324500
2015-12-14,16.31,16.485,15.5,16.0,70600700
2015-12-15,16.1,16.47,15.81,15.84,46943020
2015-12-16,15.73,16.22,15.64,15.94,41540620
2015-12-17,15.86,15.94,15.11,15.37,42600160
2015-12-18,15.37,15.6018,15.01,15.14,59342120
2015-12-21,15.07,15.18,14.22,15.14,42252240
2015-12-22,15.03,15.92,15.03,15.32,34615010
2015-12-23,15.57,16.59,15.52,16.41,49412470
2015-12-24,16.36,16.66,15.921,16.08,16650570
2015-12-28,15.79,15.83,15.16,15.26,28992930
2015-12-29,15.47,15.75,14.91,15.1,31500940
2015-12-30,14.6,15.15,14.47,14.54,35196040
2015-12-31,14.4,15.045,14.395,14.92,30242830
