Date,Open,High,Low,Close,Volume
2015-06-22,37.145,37.3,36.9575,37.145,5237662
2015-06-23,37.16,37.175,36.64,36.725,7116980
2015-06-24,36.77,36.8,36.44,36.47,6848738
2015-06-25,36.495,37.16,36.23,36.475,10387764
2015-06-26,36.595,36.985,36.47,36.555,17715768
2015-06-29,36.485,36.78,36.2305,36.335,6718830
2015-06-30,36.515,36.655,36.245,36.255,7072574
2015-07-01,36.545,36.735,36.32,36.615,6849508
2015-07-02,36.715,36.85,36.43,36.555,3867792
2015-07-06,36.395,36.905,36.38,36.785,5766596
2015-07-07,36.95,37.8,36.75,37.695,9202176
2015-07-08,37.535,37.805,37.275,37.575,7201136
2015-07-09,37.975,38.125,37.755,37.785,7666322
2015-07-10,38.0,38.41,37.98,38.17,4920230
2015-07-13,38.48,38.645,38.2287,38.475,5120184
2015-07-14,38.41,38.5,38.12,38.2,4061723
2015-07-15,38.08,38.62,38.08,38.33,5207047
2015-07-16,38.35,38.69,38.32,38.59,4228065
2015-07-17,38.59,38.77,38.5,38.72,4400147
2015-07-20,38.84,39.3441,38.72,39.17,5143238
2015-07-21,39.21,39.32,38.75,38.96,5365372
2015-07-22,38.95,39.3,38.76,39.01,4139265
2015-07-23,39.13,39.28,38.62,38.67,4604832
2015-07-24,38.65,38.92,38.33,38.36,4356658
2015-07-27,38.17,38.41,37.39,38.2,5173859
2015-07-28,38.51,38.865,38.28,38.72,4434495
2015-07-29,38.78,39.0,38.65,38.8,4490444
2015-07-30,38.55,39.07,38.19,39.0,4464621
2015-07-31,39.11,39.26,38.85,39.24,4999658
2015-08-03,39.23,39.4,39.02,39.4,4268068
2015-08-04,39.25,39.27,38.25,38.56,8632722
2015-08-05,38.8,39.17,38.51,39.08,7534767
2015-08-06,39.11,39.15,38.38,38.72,6629656
2015-08-07,38.62,38.66,37.51,37.82,9151648
2015-08-10,38.08,38.24,37.39,37.54,8510632
2015-08-11,37.39,37.84,37.21,37.39,6188266
2015-08-12,37.12,39.43,37.09,37.8,9907849
2015-08-13,37.84,38.22,37.6821,38.21,6558256
2015-08-14,38.02,38.36,37.97,38.35,4163255
2015-08-17,38.19,38.67,38.03,38.65,4250705
2015-08-18,38.53,38.73,38.44,38.6,4156500
2015-08-19,38.43,38.45,37.15,37.36,8804272
2015-08-20,37.17,37.73,36.64,36.68,8071075
2015-08-21,35.93,36.28,34.91,34.93,12061890
2015-08-24,30.0,34.84,27.32,33.77,14377320
2015-08-25,35.19,35.19,33.66,33.66,8651998
2015-08-26,34.39,35.15,33.78,35.08,10214190
2015-08-27,35.63,36.0,34.83,35.53,9007635
2015-08-28,35.5,35.55,34.7,34.94,7224154
2015-08-31,34.87,35.04,34.33,34.5,7899973
2015-09-01,33.98,34.08,33.63,33.85,8425886
2015-09-02,34.31,34.95,34.2033,34.65,7547408
2015-09-03,34.75,35.0425,34.41,34.57,5743035
2015-09-04,34.3,34.36,33.91,34.07,5895027
2015-09-08,34.66,35.07,34.47,35.05,8392859
2015-09-09,35.35,35.37,34.4,34.4,7976981
2015-09-10,34.43,35.61,34.31,35.4,13532950
2015-09-11,37.41,37.75,36.09,37.29,18434130
2015-09-14,37.27,37.72,31.31,37.42,8570543
2015-09-15,37.43,37.49,36.74,37.16,8286028
2015-09-16,37.4,37.4,36.95,37.18,5448777
2015-09-17,37.25,37.95,37.055,37.5,4977133
2015-09-18,37.26,37.61,36.6,36.73,10156820
2015-09-21,37.06,37.13,36.37,36.66,6180673
2015-09-22,36.37,36.46,35.85,36.41,6102590
2015-09-23,36.47,36.515,35.95,36.38,5020496
2015-09-24,36.04,36.31,35.6901,35.96,6554330
2015-09-25,36.22,36.74,35.87,36.11,4300467
2015-09-28,35.88,35.99,35.56,35.75,6347494
2015-09-29,35.75,36.17,35.29,35.61,6487802
2015-09-30,35.98,36.25,35.64,36.07,7100704
2015-10-01,36.12,36.795,35.691,36.68,7629244
2015-10-02,36.35,37.16,35.78,37.14,5472757
2015-10-05,37.22,38.1,37.0,38.07,6235597
2015-10-06,38.03,38.09,37.04,37.13,5122488
2015-10-07,37.35,37.8,37.12,37.51,3587715
2015-10-08,37.49,38.06,37.34,38.0,7381310
2015-10-09,38.04,38.3499,37.74,38.03,5881581
2015-10-12,38.02,38.4,37.79,38.2,5285662
2015-10-13,38.16,38.38,37.34,37.44,6424952
2015-10-14,37.48,37.58,35.855,36.33,14497500
2015-10-15,36.64,37.08,36.295,37.07,12291280
2015-10-16,37.17,37.54,36.8899,37.51,6128950
2015-10-19,37.5,38.05,37.35,37.83,5976479
2015-10-20,37.93,37.99,37.58,37.72,9169477
2015-10-21,37.85,38.1,37.7,38.08,7268544
2015-10-22,38.26,38.51,38.09,38.29,13412460
2015-10-23,38.5,38.51,37.68,37.82,9870258
2015-10-26,37.9,37.98,37.485,37.55,5737505
2015-10-27,37.24,37.34,36.2,36.99,8212790
2015-10-28,37.17,37.77,36.81,37.7,10626700
2015-10-29,37.7,37.81,37.53,37.65,5909271
2015-10-30,37.55,37.94,37.37,37.8,6502716
2015-11-02,37.8,38.21,37.55,38.2,6024098
2015-11-03,37.96,38.15,37.67,37.76,4937386
2015-11-04,37.93,37.9899,36.88,37.01,6061790
2015-11-05,37.19,37.2,36.69,37.07,7525004
2015-11-06,37.05,37.58,36.87,37.57,9654927
2015-11-09,37.35,37.5,36.93,37.2,6826523
2015-11-10,37.15,37.4098,37.03,37.27,4597366
2015-11-11,37.43,37.5,36.82,37.03,7537656
2015-11-12,36.99,37.24,36.5,36.51,23726410
2015-11-13,36.45,36.67,36.0,36.05,8769507
2015-11-16,36.05,36.595,36.0201,36.54,15015810
2015-11-17,36.68,37.125,36.42,37.02,7165111
2015-11-18,37.02,37.57,36.95,37.54,7738354
2015-11-19,37.55,37.75,37.07,37.32,4862416
2015-11-20,37.45,37.71,37.15,37.31,6585208
2015-11-23,37.29,37.38,37.025,37.25,4236908
2015-11-24,37.02,37.32,37.02,37.12,8125114
2015-11-25,37.12,37.4,37.11,37.17,5036251
2015-11-27,37.37,38.17,37.24,38.01,4311990
2015-11-30,38.05,38.25,37.51,37.66,10028220
2015-12-01,38.01,38.35,37.855,38.2,10858160
2015-12-02,38.24,38.34,37.9,38.11,10428140
2015-12-03,38.72,40.33,38.3595,39.91,15214210
2015-12-04,39.9,40.58,39.68,40.55,9624588
2015-12-07,40.88,41.68,40.84,41.43,11457570
2015-12-08,41.28,41.6,40.8,41.41,10734490
2015-12-09,41.11,41.65,40.71,41.25,7319577
2015-12-10,41.36,41.6,41.06,41.13,12587130
2015-12-11,40.72,41.445,40.72,41.08,15765490
2015-12-14,41.23,41.87,41.11,41.86,7604915
2015-12-15,42.09,42.5768,41.92,42.31,10443890
2015-12-16,42.48,42.56,41.85,42.43,9160021
2015-12-17,42.37,42.38,41.93,41.94,5612031
2015-12-18,41.56,41.73,40.64,40.64,12789210
2015-12-21,41.06,41.24,40.64,41.21,7826889
2015-12-22,41.48,42.14,41.41,42.1,5900546
2015-12-23,42.28,42.459,42.03,42.31,4511124
2015-12-24,42.31,42.67,42.27,42.46,1718663
2015-12-28,42.3,42.6,42.15,42.45,3138716
2015-12-29,42.59,42.67,42.33,42.64,4014896
2015-12-30,42.69,42.75,42.255,42.31,3417999
2015-12-31,42.09,42.14,41.67,41.83,4331672
2016-01-04,41.16,41.27,40.67,41.16,9928682
2016-01-05,41.29,42.11,41.26,42.09,7329298
2016-01-06,41.76,42.42,41.75,42.05,9802666
2016-01-07,41.33,41.52,40.88,41.07,9431140
2016-01-08,41.26,41.35,40.65,40.8,8231034
2016-01-11,41.08,41.44,40.86,41.28,6391076
