Date,Open,High,Low,Close,Volume
2015-06-22,104.3691,104.6425,102.8657,103.1562,638491
2015-06-23,103.1134,103.4551,102.1359,102.4215,846680
2015-06-24,102.2507,102.2934,101.3367,101.3367,861768
2015-06-25,101.704,104.2666,101.2341,103.3185,1327648
2015-06-26,103.6174,104.0189,103.1562,103.8908,1248605
2015-06-29,103.1092,103.6345,101.9004,101.9859,1168961
2015-06-30,102.6863,103.6003,102.1055,103.5491,1242616
2015-07-01,103.9079,105.36,103.1391,104.3777,1415907
2015-07-02,104.1385,104.3264,102.8572,103.1476,1299151
2015-07-06,102.0627,102.7034,101.7894,102.7034,1381370
2015-07-07,103.0366,103.1818,101.5588,102.9853,1377093
2015-07-08,102.3446,102.7205,100.5935,100.8241,1208735
2015-07-09,101.7467,102.5497,101.704,102.0286,1096318
2015-07-10,103.0622,103.5406,102.6265,102.729,663972
2015-07-13,103.3953,104.5315,103.075,104.3521,645409
2015-07-14,104.4631,106.0947,104.2581,105.7017,822312
2015-07-15,105.6078,105.9153,104.3948,104.8646,646842
2015-07-16,105.0013,105.7615,104.446,105.659,614001
2015-07-17,105.3003,105.454,104.4119,104.4717,1220013
2015-07-20,104.4717,104.8561,103.2245,104.5827,565463
2015-07-21,104.7963,104.95,102.8828,103.421,976482
2015-07-22,103.1476,103.7627,103.0892,103.5149,659178
2015-07-23,103.4295,105.9922,103.4295,104.8817,980048
2015-07-24,104.6254,104.8475,104.1385,104.3691,527932
2015-07-27,104.2154,104.4717,103.4466,103.9677,1152876
2015-07-28,104.13,104.6254,100.6704,104.3948,2544879
2015-07-29,104.9756,108.3328,104.839,107.9056,1821889
2015-07-30,107.8629,108.273,106.6798,107.3077,1104245
2015-07-31,107.5981,109.3322,107.5383,108.7342,1265361
2015-08-03,109.187,110.0583,108.3925,108.7855,1351367
2015-08-04,108.888,109.1528,108.1619,108.4951,865178
2015-08-05,108.9136,109.2639,107.4614,108.7769,1031132
2015-08-06,108.9222,109.0161,106.667,107.2052,919026
2015-08-07,107.2564,107.2821,105.36,106.556,671679
