Date,Open,High,Low,Close,Volume
2015-06-22,29.87,29.87,29.47,29.775,1130395
2015-06-23,29.8,30.105,29.71,30.03,911002
2015-06-24,30.04,30.24,29.86,30.03,1330508
2015-06-25,30.25,30.5,30.08,30.33,1747167
2015-06-26,30.4,30.82,30.25,30.79,2662802
2015-06-29,30.54,30.71,30.185,30.21,1427886
2015-06-30,30.42,30.49,30.03,30.245,1658831
2015-07-01,30.47,30.8,30.35,30.6,2175982
2015-07-02,30.81,30.95,30.205,30.41,1566236
2015-07-06,30.15,30.66,30.12,30.25,2975847
2015-07-07,30.38,30.65,29.927,30.6,1986276
2015-07-08,30.31,30.5,30.11,30.355,3210444
2015-07-09,30.74,30.74,30.01,30.08,2489112
2015-07-10,30.27,30.43,30.0,30.33,1388346
2015-07-13,30.58,30.78,30.39,30.76,1936561
2015-07-14,30.69,31.05,30.51,30.92,1730223
2015-07-15,30.98,31.18,30.77,31.05,1275238
2015-07-16,31.26,31.33,31.07,31.17,849980
2015-07-17,31.25,31.36,30.99,31.12,947539
2015-07-20,31.25,31.36,31.1,31.26,792227
2015-07-21,31.3,31.42,31.14,31.21,1101098
2015-07-22,31.18,31.39,31.075,31.19,2534616
2015-07-23,31.3,31.52,31.25,31.4,1312502
2015-07-24,31.46,31.46,30.78,30.9,1352446
2015-07-27,30.7,30.92,30.47,30.73,1690995
2015-07-28,30.86,30.97,30.61,30.87,2243061
2015-07-29,30.92,31.43,30.92,31.37,2063359
2015-07-30,31.13,32.25,30.9,31.34,3115307
2015-07-31,31.5,31.94,31.01,31.46,1893117
2015-08-03,31.52,31.69,31.08,31.36,1790137
2015-08-04,31.48,31.96,31.41,31.72,1625704
2015-08-05,31.77,31.954,31.61,31.75,1495896
2015-08-06,31.64,31.9899,31.2309,31.49,1013414
2015-08-07,31.44,31.63,31.24,31.41,990967
2015-08-10,31.66,31.84,31.35,31.64,1178253
2015-08-11,31.46,31.48,31.06,31.45,1027441
2015-08-12,31.18,31.45,30.9,31.11,1850387
2015-08-13,31.05,31.57,30.96,31.355,917242
2015-08-14,31.44,31.72,31.24,31.53,1103635
2015-08-17,31.37,31.5372,31.16,31.44,1182382
2015-08-18,31.41,31.55,31.2,31.2,782660
2015-08-19,31.14,31.14,30.72,30.84,906594
2015-08-20,30.51,30.77,30.171,30.42,1242582
2015-08-21,30.06,30.19,29.46,29.47,1857706
2015-08-24,27.9,29.47,26.67,28.69,2552390
2015-08-25,29.51,29.95,28.46,28.48,2228128
2015-08-26,29.07,29.2457,28.65,29.07,2168343
2015-08-27,29.33,29.91,29.3,29.85,1805563
2015-08-28,29.72,30.16,29.72,29.93,1060634
2015-08-31,29.9,30.272,29.75,29.99,1034556
2015-09-01,29.45,29.75,29.305,29.45,1429673
2015-09-02,29.82,30.12,29.47,30.12,1363221
2015-09-03,30.23,30.76,30.22,30.37,1868660
2015-09-04,30.04,30.7299,29.67,29.81,1644152
2015-09-08,30.42,30.58,29.96,30.49,1261386
2015-09-09,30.62,30.82,30.13,30.25,1399284
2015-09-10,30.26,30.58,30.14,30.35,1032968
2015-09-11,30.22,30.36,29.86,30.31,1158158
2015-09-14,30.35,30.51,30.125,30.36,978794
2015-09-15,30.6,30.6,30.25,30.5,1134008
2015-09-16,30.55,30.76,30.15,30.67,1304461
2015-09-17,30.6,31.04,30.56,30.66,1107569
2015-09-18,30.17,30.35,29.89,29.94,1852677
2015-09-21,30.23,30.72,30.14,30.59,1957524
2015-09-22,30.18,30.35,29.46,29.84,1577161
2015-09-23,29.74,29.86,29.42,29.49,1132084
2015-09-24,29.21,29.29,28.74,29.17,1703766
2015-09-25,29.38,29.44,29.07,29.13,1329681
2015-09-28,28.9,28.94,28.175,28.26,1259959
2015-09-29,28.35,28.38,27.81,27.94,1856562
2015-09-30,28.24,28.41,27.89,28.36,2766510
2015-10-01,28.37,28.7,28.13,28.44,1499338
2015-10-02,28.1,28.63,28.03,28.62,1692617
2015-10-05,28.83,29.97,28.78,29.08,1441174
2015-10-06,29.1,29.25,28.75,28.95,6135201
2015-10-07,29.07,29.21,28.71,28.83,1860895
2015-10-08,28.82,29.06,28.65,28.89,1580748
2015-10-09,28.88,29.2784,28.45,28.56,1247564
2015-10-12,28.57,28.7,28.4,28.46,714240
2015-10-13,28.43,28.63,28.19,28.22,1059974
2015-10-14,28.19,28.28,27.74,27.79,1533857
2015-10-15,27.87,28.11,27.68,28.07,1161259
2015-10-16,28.15,28.15,27.74,27.8,1468011
2015-10-19,27.72,28.02,27.6,27.96,1512683
2015-10-20,28.0,28.06,27.73,27.85,1047376
2015-10-21,28.03,28.09,27.56,27.63,860772
2015-10-22,27.82,28.1801,27.71,28.1,1249657
2015-10-23,27.93,28.34,27.82,28.28,1471513
2015-10-26,28.23,28.57,28.22,28.55,1733032
2015-10-27,28.53,28.59,28.09,28.19,1604610
2015-10-28,28.29,29.5,28.14,29.47,2646965
2015-10-29,29.33,30.318,29.058,29.94,1856291
2015-10-30,29.89,29.95,27.71,29.61,1877992
2015-11-02,29.69,29.9,29.395,29.86,1360401
2015-11-03,29.9,29.99,29.81,29.94,1302680
2015-11-04,29.95,30.09,29.7,30.04,1665455
2015-11-05,30.07,30.125,29.72,30.09,1347273
2015-11-06,30.04,30.14,29.88,30.08,1056610
2015-11-09,29.98,30.165,29.52,30.11,1405124
2015-11-10,30.01,30.4,29.92,30.4,1430788
2015-11-11,30.38,30.5,30.18,30.2,1021333
2015-11-12,29.89,30.07,29.61,29.62,1156212
2015-11-13,29.56,29.84,28.76,28.8,1799874
2015-11-16,28.8,29.42,28.685,29.4,1429246
2015-11-17,29.52,29.65,29.26,29.51,1282769
2015-11-18,29.69,29.69,29.12,29.45,1475365
2015-11-19,29.47,29.63,29.23,29.48,1006099
2015-11-20,29.67,29.86,29.39,29.57,909283
2015-11-23,29.53,29.965,29.24,29.79,903860
2015-11-24,29.5,29.83,29.4,29.79,1187007
2015-11-25,29.72,29.93,29.69,29.76,768974
2015-11-27,29.75,30.1279,29.68,30.07,476010
2015-11-30,30.2,30.2,29.39,29.49,1741496
2015-12-01,29.55,29.88,29.475,29.7,1435484
2015-12-02,29.72,29.85,29.02,29.08,761463
2015-12-03,29.28,29.28,28.38,28.56,1721132
2015-12-04,28.55,29.09,28.55,29.03,1230929
2015-12-07,28.96,29.17,28.75,29.13,1197859
2015-12-08,29.01,29.42,28.83,29.36,1311087
2015-12-09,29.22,29.49,28.63,28.67,1209934
2015-12-10,28.74,28.78,28.3,28.65,1184016
2015-12-11,28.28,28.41,28.02,28.14,906190
2015-12-14,28.11,28.53,28.08,28.45,1194627
2015-12-15,28.69,28.95,28.51,28.54,1366170
2015-12-16,28.71,28.89,28.2,28.73,1254977
2015-12-17,28.74,28.79,27.97,27.99,1054495
2015-12-18,27.85,27.98,27.1,27.31,3349726
2015-12-21,27.37,27.91,27.08,27.35,1691888
2015-12-22,27.44,28.96,27.39,28.84,2217126
2015-12-23,29.03,29.63,28.96,29.46,1578201
2015-12-24,29.37,29.75,29.3,29.49,552919
2015-12-28,29.34,29.69,29.23,29.69,1141823
2015-12-29,29.83,30.11,29.705,30.03,1070843
2015-12-30,30.0,30.26,29.71,29.76,931510
2015-12-31,29.76,30.17,29.55,29.63,1182544
2016-01-04,29.27,29.49,28.61,28.84,2449224
2016-01-05,28.82,29.24,28.385,28.62,1171140
2016-01-06,28.05,28.5451,28.03,28.41,1692336
2016-01-07,27.79,28.28,27.55,28.19,2903954
2016-01-08,28.46,28.7,27.06,27.11,1950956
2016-01-11,27.21,27.36,26.46,26.73,1889681
2016-01-12,27.02,27.375,26.54,27.02,1825420
2016-01-13,27.07,27.09,25.31,25.38,2225612
2016-01-14,25.38,26.065,25.28,25.82,2535058
2016-01-15,25.39,25.98,25.01,25.96,2706184
2016-01-19,26.2,26.36,25.405,25.74,1997883
2016-01-20,25.48,26.31,25.01,26.06,1951780
2016-01-21,26.1,26.66,25.9006,26.34,2611729
2016-01-22,26.69,26.97,26.19,26.77,1649806
2016-01-25,26.72,26.9,25.52,26.06,1543543
2016-01-26,26.25,26.81,26.12,26.79,1358622
2016-01-27,26.66,26.72,25.96,26.15,1242414
2016-01-28,26.44,26.5,25.97,26.46,1301413
2016-01-29,26.5,27.41,26.5,27.4,1870353
2016-02-01,27.23,27.48,26.87,27.34,1520494
2016-02-02,27.11,27.51,26.75,26.78,1149677
2016-02-03,26.94,27.42,25.99,26.56,1499961
2016-02-04,26.41,26.55,25.84,26.4,1695747
2016-02-05,26.35,26.35,25.16,25.22,1511441
2016-02-08,24.82,25.0,24.44,24.92,1490204
2016-02-09,24.63,24.885,24.18,24.19,1981758
2016-02-10,24.41,25.01,24.11,24.54,1567032
2016-02-11,24.19,24.97,23.95,24.41,2057706
2016-02-12,24.72,26.3,24.43,25.03,1182215
2016-02-16,25.51,25.82,25.1414,25.67,981616
2016-02-17,25.91,26.13,25.6,26.02,1147350
2016-02-18,25.98,26.46,25.77,25.94,991632
2016-02-19,25.85,26.33,25.68,26.31,845799
2016-02-22,26.52,26.78,25.77,26.0,2321334
2016-02-23,25.94,26.54,25.76,26.17,2171122
2016-02-24,25.78,26.04,24.83,25.94,3256898
2016-02-25,27.45,27.86,26.54,27.75,3683959
2016-02-26,28.02,28.2,27.36,28.16,1680083
2016-02-29,28.88,29.0,27.47,27.6,2893363
2016-03-01,27.79,28.55,27.66,28.54,2109381
2016-03-02,28.76,28.97,28.32,28.96,3231762
2016-03-03,28.85,29.42,28.58,29.41,1627958
2016-03-04,29.58,30.15,29.41,30.03,2550463
2016-03-07,29.96,30.47,29.6011,30.44,1615993
2016-03-08,30.37,30.62,30.15,30.41,2496482
2016-03-09,30.7,30.76,30.265,30.42,1403530
2016-03-10,30.48,30.68,29.96,30.5,1247730
2016-03-11,30.75,31.18,30.56,31.15,1724431
2016-03-14,31.2,31.3,30.8,30.83,2221503
2016-03-15,29.78,30.85,29.78,30.49,1936182
2016-03-16,30.53,30.84,30.27,30.81,1509423
2016-03-17,30.73,31.0,30.54,30.95,1365775
2016-03-18,30.8,31.24,30.28,30.83,2537806
2016-03-21,30.74,30.96,30.27,30.87,1722220
2016-03-22,30.64,31.105,30.495,30.81,1653202
2016-03-23,30.73,30.81,30.18,30.21,3080294
2016-03-24,29.99,30.17,29.82,30.12,2075055
2016-03-28,30.37,30.84,30.21,30.61,1660045
2016-03-29,30.62,30.93,30.395,30.9,2404070
2016-03-30,31.0,31.21,30.7911,31.12,2040572
2016-03-31,31.12,32.12,31.08,31.93,2790233
2016-04-01,31.75,32.17,31.65,32.16,3573302
2016-04-04,32.14,32.35,31.74,32.29,2347321
2016-04-05,32.55,32.55,31.49,31.5,2410550
2016-04-06,31.48,31.67,31.08,31.64,1964949
2016-04-07,31.57,31.59,31.02,31.37,2155046
2016-04-08,31.54,31.76,31.26,31.64,1846392
2016-04-11,31.92,32.0,31.36,31.36,1951016
2016-04-12,31.57,32.4,31.36,32.29,2044165
2016-04-13,32.5,33.23,32.29,33.2,1702552
2016-04-14,33.3,33.4,32.99,33.07,1323521
2016-04-15,33.1,33.355,33.05,33.2,1242482
2016-04-18,33.04,33.45,32.98,33.21,1128053
2016-04-19,33.5,33.62,33.19,33.35,1256327
2016-04-20,33.31,33.64,32.97,33.55,1032681
2016-04-21,33.64,33.84,33.46,33.51,1381059
2016-04-22,33.51,33.7,33.235,33.26,2465814
2016-04-25,33.34,33.4199,32.995,33.08,2209896
2016-04-26,33.31,34.06,33.19,33.95,1958232
2016-04-27,33.94,34.26,33.82,34.16,2168722
2016-04-28,33.92,34.21,32.74,32.89,2962053
2016-04-29,32.92,33.09,31.47,32.05,3832499
2016-05-02,32.05,32.47,31.72,32.46,3468542
2016-05-03,32.17,32.575,31.98,32.5,2149144
2016-05-04,32.24,32.71,32.24,32.44,1788100
2016-05-05,32.52,32.74,32.29,32.34,1903532
2016-05-06,32.16,32.58,32.0,32.51,917935
2016-05-09,32.4,32.87,32.35,32.61,1778512
2016-05-10,32.79,33.135,32.625,33.0,2214395
2016-05-11,33.05,33.19,32.51,32.57,1591679
2016-05-12,32.63,33.23,32.61,33.0,2038131
2016-05-13,32.97,32.98,32.245,32.3,1381397
2016-05-16,32.42,33.05,32.42,32.71,2231322
2016-05-17,32.55,32.92,31.94,32.18,1888829
2016-05-18,32.06,32.175,31.79,31.99,1550343
2016-05-19,31.7,31.76,31.23,31.46,5400411
2016-05-20,31.52,31.69,31.24,31.42,61570020
2016-05-23,31.61,32.25,31.31,31.9,3927044
2016-05-24,32.01,32.51,32.01,32.26,2445572
2016-05-25,32.26,33.0,32.15,32.93,2597099
2016-05-26,31.88,33.24,31.88,32.74,2363123
2016-05-27,32.91,33.19,32.58,33.19,1863502
2016-05-31,33.3,33.475,32.88,33.07,1499833
2016-06-01,32.78,33.19,32.465,32.69,1559406
2016-06-02,32.49,33.09,32.49,33.09,1977865
2016-06-03,32.85,32.97,32.48,32.93,1298956
2016-06-06,32.9,32.9,32.45,32.5,2153741
2016-06-07,32.47,33.24,32.47,33.05,2553802
2016-06-08,33.01,33.21,32.91,33.21,1659992
2016-06-09,33.02,33.32,32.98,33.11,2147813
2016-06-10,32.4,32.7,32.1611,32.23,1471832
2016-06-13,32.22,32.445,32.0,32.14,1589948
2016-06-14,32.05,32.26,31.91,32.12,1349692
2016-06-15,32.19,32.75,32.108,32.44,1597070
2016-06-16,32.26,32.75,32.05,32.52,1264167
2016-06-17,32.52,32.755,32.27,32.58,1995890
2016-06-20,32.91,33.23,32.85,32.89,1723885
2016-06-21,32.92,33.23,32.56,32.77,1448929
2016-06-22,32.75,33.225,32.5584,32.84,1644164
2016-06-23,33.22,33.62,33.05,33.61,2146673
2016-06-24,32.07,32.26,31.02,31.04,5765107
2016-06-27,30.88,30.93,29.37,29.52,4438604
2016-06-28,29.94,30.68,29.68,30.42,2083558
2016-06-29,30.81,31.55,30.54,31.35,2026073
2016-06-30,31.52,32.61,31.19,31.7,2498883
2016-07-01,31.7,32.15,31.49,32.12,2093976
2016-07-05,31.98,32.05,31.18,31.59,2483969
2016-07-06,31.48,31.95,31.41,31.76,3830794
2016-07-07,32.0,32.03,31.625,31.97,1393170
2016-07-08,32.39,33.16,32.1,33.09,2379358
2016-07-11,33.89,33.95,33.42,33.67,3117126
2016-07-12,33.85,34.02,33.37,33.39,1505276
2016-07-13,33.45,33.635,33.06,33.16,1402208
2016-07-14,33.48,33.53,33.195,33.4,1517415
2016-07-15,33.53,33.58,32.991,33.08,1488418
2016-07-18,33.03,33.19,32.64,32.67,1911776
2016-07-19,32.64,32.91,32.37,32.53,2067871
2016-07-20,32.67,32.94,32.51,32.89,853520
2016-07-21,32.89,33.2,32.78,32.98,1852444
2016-07-22,33.03,33.385,32.99,33.34,1079114
2016-07-25,33.24,33.745,33.24,33.62,1373401
2016-07-26,33.72,33.88,33.58,33.84,1826003
2016-07-27,33.91,34.24,33.84,34.14,2032194
2016-07-28,33.8,33.895,32.45,33.62,2385611
2016-07-29,33.66,34.51,33.63,34.39,2493812
2016-08-01,34.4,34.56,34.25,34.48,1917395
2016-08-02,34.46,34.65,34.25,34.5,2853527
2016-08-03,34.56,34.86,34.42,34.86,2007668
2016-08-04,34.92,35.08,34.59,34.67,2351852
2016-08-05,34.83,35.29,34.75,35.19,1512664
2016-08-08,35.33,35.51,34.82,34.92,1613919
2016-08-09,34.91,35.124,34.65,34.71,1477000
2016-08-10,34.83,35.01,34.69,34.95,2154978
2016-08-11,35.15,35.41,34.68,34.69,1137710
2016-08-12,34.69,35.33,34.45,34.65,1255275
2016-08-15,34.81,35.38,34.81,35.35,1472017
2016-08-16,35.27,35.46,35.07,35.17,1028346
2016-08-17,35.05,35.46,35.05,35.4,1906752
2016-08-18,35.33,35.46,35.135,35.46,1048346
2016-08-19,35.39,35.7,35.251,35.675,1288458
2016-08-22,35.67,35.7,35.39,35.6,1268012
2016-08-23,35.76,35.84,35.61,35.79,833555
2016-08-24,35.81,35.96,35.67,35.88,1153940
2016-08-25,35.77,35.99,35.65,35.86,1019279
2016-08-26,35.99,36.13,35.48,35.69,1300639
2016-08-29,35.74,36.14,35.71,35.98,1067462
2016-08-30,35.95,36.24,35.935,36.23,1220762
2016-08-31,36.27,36.35,35.86,36.09,1596464
2016-09-01,35.9,36.05,35.5,35.56,1805587
2016-09-02,35.7,35.8889,35.5,35.79,1311962
2016-09-06,35.85,36.07,35.62,36.04,1606438
2016-09-07,36.06,36.269,35.98,36.22,991022
2016-09-08,36.18,36.3,35.73,35.73,1867477
2016-09-09,35.38,35.605,34.91,34.91,2183542
2016-09-12,34.85,35.47,34.69,35.43,1750330
2016-09-13,34.99,35.49,34.03,35.18,1951115
2016-09-14,35.19,35.57,35.1,35.43,1682801
2016-09-15,35.35,35.86,35.0101,35.69,1641459
2016-09-16,35.24,35.54,34.94,35.46,2794906
2016-09-19,35.54,35.98,35.51,35.62,1741561
2016-09-20,35.77,35.91,35.27,35.29,1828472
2016-09-21,35.42,35.575,35.04,35.4,2155625
2016-09-22,35.62,35.86,35.35,35.74,2364347
2016-09-23,35.67,35.76,35.44,35.68,1561328
2016-09-26,35.57,35.65,35.05,35.3,1561663
2016-09-27,35.25,35.44,35.07,35.41,1860415
