Date,Open,High,Low,Close,Volume
2015-06-22,29.69,29.69,29.445,29.525,691410
2015-06-23,29.485,29.5,29.025,29.06,1135056
2015-06-24,29.005,29.2,28.835,28.84,959452
2015-06-25,28.86,28.94,28.65,28.685,1059252
2015-06-26,28.615,28.965,28.53,28.92,1019506
2015-06-29,28.905,29.23,28.76,28.77,1208578
2015-06-30,28.945,29.005,28.725,28.86,1752286
2015-07-01,28.945,29.12,28.7937,29.065,1241774
2015-07-02,29.255,29.55,29.09,29.505,1427454
2015-07-06,29.52,29.63,29.255,29.55,1133510
2015-07-07,29.695,30.425,29.67,30.39,1388152
2015-07-08,30.265,30.43,30.115,30.205,949594
2015-07-09,30.29,30.385,29.715,29.795,802752
2015-07-10,29.795,30.21,29.565,30.045,1074300
2015-07-13,30.135,30.285,29.965,30.135,1120792
2015-07-14,30.12,30.285,30.0615,30.15,963842
2015-07-15,30.095,30.215,29.925,30.2,1699774
2015-07-16,30.235,30.74,30.235,30.67,1234932
2015-07-17,30.56,30.67,30.215,30.235,1361896
2015-07-20,30.215,30.215,29.915,30.125,561510
2015-07-21,30.09,30.178,29.705,29.815,734436
2015-07-22,29.81,30.18,29.805,30.035,833026
2015-07-23,29.935,29.935,29.42,29.585,1148282
2015-07-24,29.595,29.765,29.43,29.63,938234
2015-07-27,29.685,30.19,29.5,30.125,1186658
2015-07-28,30.095,30.295,29.96,30.27,1238294
2015-07-29,29.925,30.22,29.715,30.21,1220870
2015-07-30,30.125,30.625,30.065,30.485,970064
2015-07-31,30.73,31.035,30.59,30.755,866302
2015-08-03,30.75,31.03,30.625,30.795,768246
2015-08-04,30.72,30.72,30.335,30.4,805028
2015-08-05,30.52,30.75,30.4,30.54,1109170
2015-08-06,30.235,30.545,29.8775,30.315,3701698
2015-08-07,30.295,30.605,30.04,30.36,2373698
2015-08-10,30.4,30.585,30.225,30.315,1271580
2015-08-11,30.385,30.695,30.195,30.325,1301630
2015-08-12,30.28,30.73,30.22,30.66,1592772
2015-08-13,30.56,30.89,30.35,30.76,1617682
2015-08-14,30.68,30.9,30.52,30.87,1642028
2015-08-17,30.99,31.47,30.865,31.46,1944172
2015-08-18,31.46,31.46,31.145,31.165,1168542
2015-08-19,31.045,31.405,30.945,31.245,1517802
2015-08-20,31.08,31.33,30.855,30.92,1197176
2015-08-21,30.77,30.93,30.36,30.365,1571134
2015-08-24,29.615,29.95,28.92,29.02,2026934
2015-08-25,29.385,29.395,27.99,28.05,2495344
2015-08-26,28.24,28.42,27.76,28.33,1695182
2015-08-27,28.425,28.88,28.325,28.865,1902122
2015-08-28,28.79,28.985,28.485,28.9,1311114
2015-08-31,28.785,28.785,28.115,28.335,1442808
2015-09-01,28.055,28.055,27.44,27.56,1497942
2015-09-02,27.85,27.955,27.33,27.565,1632494
2015-09-03,27.61,27.88,27.58,27.69,1188332
2015-09-04,27.455,27.52,27.135,27.275,1190538
2015-09-08,27.48,27.82,27.425,27.8,1171632
2015-09-09,27.87,27.96,27.4662,27.505,1209808
2015-09-10,27.39,27.74,27.35,27.42,984280
2015-09-11,27.325,27.63,27.25,27.625,985840
2015-09-14,27.7,27.84,27.505,27.7,1018666
2015-09-15,27.695,27.8525,27.465,27.8,712056
2015-09-16,27.795,28.17,27.705,28.105,1002716
2015-09-17,28.055,28.91,28.0475,28.54,1100986
2015-09-18,28.245,28.71,28.19,28.375,1771722
2015-09-21,28.475,28.75,28.395,28.575,942058
2015-09-22,28.375,28.6,28.28,28.35,774224
2015-09-23,28.36,28.51,28.275,28.39,1096790
2015-09-24,28.325,28.735,28.2565,28.68,1085786
2015-09-25,28.73,29.32,28.555,28.99,881670
2015-09-28,28.895,29.0975,28.8,29.02,1265014
2015-09-29,29.005,29.16,28.68,28.87,1315952
2015-09-30,29.03,29.305,28.93,29.245,1696290
2015-10-01,29.28,29.305,28.59,28.795,1453518
2015-10-02,28.985,29.185,28.635,29.185,1800636
2015-10-05,29.285,29.53,29.1,29.48,1363020
2015-10-06,29.41,29.495,29.135,29.235,1165530
2015-10-07,29.29,29.35,29.02,29.11,954024
2015-10-08,29.05,29.54,29.0075,29.47,743498
2015-10-09,29.475,29.5149,29.29,29.36,829816
2015-10-12,29.44,29.835,29.405,29.685,818624
2015-10-13,29.65,29.83,29.565,29.7,1502118
2015-10-14,29.775,30.015,29.725,29.765,1248660
2015-10-15,29.91,30.2849,29.765,30.265,1082642
2015-10-16,30.32,30.51,30.205,30.36,1033126
2015-10-19,30.28,30.495,30.075,30.495,818752
2015-10-20,30.41,30.7395,30.34,30.6,911316
2015-10-21,30.66,30.83,30.385,30.41,735602
2015-10-22,30.46,30.835,30.405,30.77,837048
2015-10-23,30.72,30.755,30.15,30.18,1009576
2015-10-26,30.22,30.325,29.955,30.295,842632
2015-10-27,30.21,30.39,30.0741,30.19,943916
2015-10-28,30.03,30.115,29.22,29.65,1037324
2015-10-29,29.41,29.495,29.025,29.335,1412020
2015-10-30,29.435,29.59,29.265,29.51,1678362
2015-11-02,29.535,29.8,29.29,29.77,1112098
2015-11-03,29.69,29.915,29.51,29.86,905394
2015-11-04,29.85,30.17,29.85,30.055,833522
2015-11-05,29.99,30.22,29.9,30.015,1139792
2015-11-06,29.115,29.4225,28.375,28.495,2495146
2015-11-09,28.36,28.51,28.07,28.405,1789074
2015-11-10,28.38,29.075,28.38,29.075,1527332
2015-11-11,29.175,29.4655,29.13,29.415,1127698
2015-11-12,29.28,29.6381,29.097,29.215,1358944
2015-11-13,29.24,29.5,29.09,29.245,1736808
2015-11-16,29.48,30.015,29.32,29.99,1266756
2015-11-17,29.93,30.185,29.385,29.49,931956
2015-11-18,29.405,29.69,29.2,29.65,934998
2015-11-19,29.67,30.295,29.655,30.225,1214800
2015-11-20,30.265,30.58,30.265,30.54,883326
2015-11-23,30.445,30.56,30.11,30.125,754254
2015-11-24,29.98,30.17,29.755,30.045,807156
2015-11-25,30.01,30.01,29.755,29.855,558046
2015-11-27,29.89,30.14,29.89,29.94,404674
2015-11-30,29.935,30.275,29.88,30.095,1826322
2015-12-01,30.305,30.71,30.285,30.7,1781462
2015-12-02,30.615,30.67,30.105,30.31,1660482
2015-12-03,30.26,30.26,29.585,29.695,1756556
2015-12-04,29.785,30.1925,29.78,30.175,816600
2015-12-07,30.045,30.195,29.9,30.165,1115882
2015-12-08,30.085,30.415,29.915,30.345,1054898
2015-12-09,30.185,30.67,30.13,30.14,1461090
2015-12-10,30.16,30.1741,29.34,29.405,1396210
2015-12-11,29.28,29.64,29.08,29.295,1173222
2015-12-14,29.215,29.495,29.065,29.395,1111604
2015-12-15,29.49,29.86,29.36,29.655,1284928
2015-12-16,29.78,30.465,29.78,30.38,1219308
2015-12-17,30.705,32.125,30.625,31.855,4542006
2015-12-18,31.745,31.855,31.205,31.23,3157296
2015-12-21,31.375,31.52,30.785,30.965,1409688
2015-12-22,31.01,31.22,30.715,31.145,1415730
2015-12-23,31.25,31.495,31.185,31.44,1081724
2015-12-24,31.345,31.475,31.2175,31.345,369340
2015-12-28,31.33,31.7,31.2,31.615,1270148
2015-12-29,31.74,31.9037,31.66,31.69,939866
2015-12-30,31.73,31.825,31.6,31.725,636684
2015-12-31,31.68,31.725,30.95,31.225,1001554
2016-01-04,31.26,31.31,30.845,31.14,1263058
2016-01-05,31.15,31.375,30.6,31.28,1136274
2016-01-06,31.23,31.45,30.935,31.32,717980
2016-01-07,30.96,31.345,30.95,30.99,1240620
2016-01-08,31.18,31.3,30.946,30.98,1195554
2016-01-11,31.05,31.225,30.905,31.08,1088000
2016-01-12,31.27,31.27,30.6,30.83,1476832
2016-01-13,30.895,31.165,30.755,30.85,2084638
2016-01-14,30.855,31.52,30.71,31.315,1107224
2016-01-15,31.145,31.215,30.6375,31.21,1427354
2016-01-19,31.51,31.625,31.21,31.54,1223520
2016-01-20,31.38,31.695,30.375,30.88,1347332
2016-01-21,30.87,31.0925,30.5,30.785,1303400
2016-01-22,30.88,31.6075,30.81,31.56,1221628
2016-01-25,31.545,31.6,31.035,31.18,1164556
2016-01-26,31.26,31.685,31.214,31.45,902514
2016-01-27,31.11,31.45,30.805,31.14,1140096
2016-01-28,31.305,31.965,31.005,31.815,1358246
2016-01-29,32.125,32.675,32.075,32.67,1970404
2016-02-01,32.485,33.202,32.38,32.98,2758578
2016-02-02,32.82,33.29,32.69,33.23,1390588
2016-02-03,33.42,34.045,33.195,33.9,1800606
2016-02-04,33.845,34.06,33.5551,33.735,2176722
2016-02-05,33.605,34.125,33.195,33.885,3208340
2016-02-08,33.945,34.22,33.645,33.975,2606262
2016-02-09,33.9,34.33,33.81,34.175,2402352
2016-02-10,34.065,34.4,33.605,34.145,2427416
2016-02-11,34.03,34.2358,33.585,33.59,1764058
2016-02-12,33.565,33.85,33.11,33.48,1391834
2016-02-16,33.75,33.75,33.24,33.485,1912550
2016-02-17,33.545,33.72,33.18,33.21,1447666
2016-02-18,33.17,33.89,33.075,33.7,1266058
2016-02-19,33.575,33.7525,33.345,33.56,993036
2016-02-22,33.675,34.075,33.675,33.9,1377876
2016-02-23,33.595,34.5,33.53,34.38,1837728
2016-02-24,34.275,34.78,34.2375,34.585,1261308
2016-02-25,34.625,35.125,34.625,35.015,1060868
2016-02-26,34.855,34.94,33.975,34.055,1119026
2016-02-29,33.97,34.42,33.85,33.975,1388288
2016-03-01,34.135,34.48,33.83,33.975,1841044
2016-03-02,33.87,34.255,33.26,34.25,2114326
2016-03-03,34.31,34.34,33.71,34.34,863502
2016-03-04,34.125,34.735,34.04,34.68,1368422
2016-03-07,34.6,34.87,34.535,34.78,704718
2016-03-08,34.85,35.245,34.705,35.21,905370
2016-03-09,35.07,35.5,34.73,35.415,870892
2016-03-10,35.405,35.535,34.885,35.36,796420
2016-03-11,35.595,35.65,35.345,35.425,1194092
2016-03-14,35.365,35.525,35.155,35.39,1624922
2016-03-15,35.29,35.775,35.29,35.71,1203520
2016-03-16,35.555,36.05,35.33,36.025,735630
2016-03-17,36.025,36.4025,35.945,36.32,1052570
2016-03-18,36.265,36.395,36.03,36.21,2838206
2016-03-21,36.21,36.21,35.75,35.995,957474
2016-03-22,35.95,36.29,35.855,35.965,764972
2016-03-23,35.995,36.41,35.735,36.3,1181798
2016-03-24,36.19,36.54,36.0992,36.495,954038
2016-03-28,36.39,36.79,36.225,36.41,959772
2016-03-29,36.455,37.105,36.2825,37.075,1399604
2016-03-30,37.04,37.155,36.805,36.945,726516
2016-03-31,36.95,37.175,36.7875,37.14,1670482
2016-04-01,37.06,37.52,36.837,37.515,1472460
2016-04-04,37.47,37.59,37.05,37.455,1098986
2016-04-05,37.3,37.405,36.68,36.755,2135150
2016-04-06,36.685,36.83,36.505,36.735,1006702
2016-04-07,36.69,36.94,36.435,36.71,1638132
2016-04-08,36.86,37.03,36.76,36.885,1030390
2016-04-11,36.93,37.12,36.495,36.57,1002856
2016-04-12,36.645,36.895,36.3532,36.825,837546
2016-04-13,36.95,36.95,36.215,36.46,1015038
2016-04-14,36.44,36.61,36.245,36.31,603914
2016-04-15,36.365,36.7,36.1875,36.655,838668
2016-04-18,36.635,36.8,36.4301,36.71,891002
2016-04-19,36.855,36.855,36.3875,36.605,1835830
2016-04-20,36.69,36.715,35.39,35.45,1450964
2016-04-21,35.55,35.725,34.36,34.39,1955676
2016-04-22,34.595,34.845,34.3225,34.55,1564100
2016-04-25,34.55,34.655,34.335,34.48,1631318
2016-04-26,34.61,34.79,34.425,34.525,1440406
2016-04-27,34.345,34.81,34.075,34.655,1241458
2016-04-28,34.43,34.845,34.36,34.765,1475312
2016-04-29,34.7,35.305,34.4875,35.26,1429908
2016-05-02,35.25,35.79,35.155,35.64,1029934
2016-05-03,35.675,35.805,35.33,35.655,787288
2016-05-04,35.545,36.285,35.455,36.075,1224918
2016-05-05,36.06,36.47,35.575,36.25,1291782
2016-05-06,36.12,36.33,35.755,36.215,1546846
2016-05-09,36.21,36.555,36.1475,36.47,669410
2016-05-10,36.675,36.705,36.445,36.6,694024
2016-05-11,36.75,36.965,36.38,36.7,1002326
2016-05-12,36.675,37.08,36.585,37.05,1467276
2016-05-13,36.92,37.105,36.61,36.885,826342
2016-05-16,36.785,36.99,36.505,36.985,806028
2016-05-17,36.9,36.925,35.82,35.99,1356858
2016-05-18,35.76,36.25,35.19,35.35,1061648
2016-05-19,35.19,35.785,35.085,35.74,1231722
2016-05-20,35.8,36.32,35.55,35.91,997954
2016-05-23,35.91,36.09,35.74,35.75,1090320
2016-05-24,35.81,36.44,35.8,36.39,1143051
2016-05-25,36.43,36.6,36.11,36.43,1705007
2016-05-26,36.4,36.86,36.37,36.73,1300423
2016-05-27,36.72,36.94,36.565,36.84,1023981
2016-05-31,36.77,37.21,36.64,37.05,3092273
2016-06-01,36.97,37.32,36.92,37.3,1149554
2016-06-02,37.17,37.42,36.93,37.4,1198293
2016-06-03,37.9,38.57,37.81,38.31,1384095
2016-06-06,38.29,38.47,38.03,38.28,1291422
2016-06-07,38.27,38.699,38.215,38.52,1267201
2016-06-08,38.46,38.915,38.425,38.88,913749
2016-06-09,38.86,39.49,38.785,39.42,1093769
2016-06-10,39.13,39.41,38.53,38.99,1202307
2016-06-13,38.94,39.2,38.79,38.82,863559
2016-06-14,39.0,39.18,38.65,39.11,1310799
2016-06-15,39.23,39.23,38.49,38.68,930342
2016-06-16,38.7,38.945,38.535,38.82,829511
2016-06-17,38.7,38.91,38.46,38.91,1491471
2016-06-20,38.93,39.09,38.4801,38.89,1033736
2016-06-21,38.97,39.25,38.645,39.05,1313659
2016-06-22,39.12,39.16,38.62,38.64,1064132
2016-06-23,38.68,38.85,38.5,38.8,1003513
2016-06-24,38.48,39.525,38.15,39.28,1565116
2016-06-27,39.26,39.97,39.14,39.85,1425513
2016-06-28,39.86,39.96,39.3375,39.81,1676395
2016-06-29,40.02,40.24,39.75,39.82,866580
2016-06-30,39.52,40.24,39.5,39.7,51880620
2016-07-01,39.98,40.55,39.81,40.39,3185170
2016-07-05,40.45,40.98,40.35,40.87,1851970
2016-07-06,40.91,40.99,40.42,40.78,2133678
2016-07-07,40.47,40.7,39.69,39.85,2742003
2016-07-08,39.74,40.56,39.34,40.55,2592758
