Date,Open,High,Low,Close,Volume
2015-06-22,8.377,8.423,8.279,8.367,11204810
2015-06-23,8.363,8.424,8.334,8.378,12040180
2015-06-24,8.359,8.389,8.297,8.321,10909880
2015-06-25,8.361,8.434,8.32,8.373,14583270
2015-06-26,8.324,8.4258,8.237,8.286,31095530
2015-06-29,8.183,8.207,7.996,8.02,16885210
2015-06-30,8.12,8.212,8.084,8.135,17076240
2015-07-01,8.292,8.413,8.182,8.227,18436580
2015-07-02,8.245,8.33,8.194,8.323,15208190
2015-07-06,8.222,8.348,8.088,8.114,30651890
2015-07-07,8.089,8.096,7.773,8.016,28643020
2015-07-08,7.956,7.998,7.774,7.795,23079560
2015-07-09,7.985,8.037,7.759,7.763,18501260
2015-07-10,7.823,7.889,7.767,7.853,18257580
2015-07-13,7.9,7.978,7.796,7.927,22186850
2015-07-14,7.95,8.073,7.81,7.985,38662330
2015-07-15,7.988,8.025,7.875,7.949,20026720
2015-07-16,7.934,7.959,7.551,7.735,38768450
2015-07-17,7.751,7.754,7.69,7.726,16613620
2015-07-20,7.793,7.823,7.698,7.708,9702470
2015-07-21,7.7,7.823,7.684,7.737,12633560
2015-07-22,7.656,7.688,7.506,7.648,14197730
2015-07-23,7.67,7.81,7.642,7.702,12399520
2015-07-24,7.693,7.713,7.488,7.545,17050750
2015-07-27,7.482,7.591,7.381,7.545,15533090
2015-07-28,7.57,7.829,7.478,7.775,23214290
2015-07-29,7.812,7.812,7.597,7.767,29748830
2015-07-30,7.844,8.087,7.834,7.857,33938510
2015-07-31,7.896,7.978,7.651,7.687,25138070
2015-08-03,7.671,7.688,7.533,7.574,26459220
2015-08-04,7.444,7.587,7.288,7.309,35036250
2015-08-05,7.344,7.458,7.3285,7.405,22141340
2015-08-06,7.442,7.442,7.229,7.252,19518200
2015-08-07,7.215,7.243,7.137,7.242,17658870
2015-08-10,7.334,7.518,7.293,7.487,20716970
2015-08-11,7.425,7.444,7.288,7.3,20357520
2015-08-12,7.195,7.306,7.081,7.261,24953310
2015-08-13,7.275,7.34,7.193,7.201,19089760
2015-08-14,7.189,7.355,7.081,7.271,38627960
2015-08-17,7.261,7.453,7.22,7.439,19815720
2015-08-18,7.457,7.472,7.204,7.227,19708890
2015-08-19,7.225,7.339,7.146,7.241,19078190
2015-08-20,7.173,7.193,7.083,7.102,25867210
2015-08-21,7.025,7.188,6.97,6.975,29157460
2015-08-24,6.634,7.067,6.285,6.732,32085510
