Date,Open,High,Low,Close,Volume
2015-06-22,66.37,66.91,66.0,66.34,1753911
2015-06-23,66.72,68.83,66.72,68.8,4438921
2015-06-24,68.83,68.88,67.36,67.42,1638848
2015-06-25,67.67,68.13,67.2,67.56,1414760
2015-06-26,67.14,68.48,66.6,67.09,10089360
2015-06-29,66.5,66.71,64.73,64.8,1613071
2015-06-30,65.46,65.474,64.25,65.3,1688326
2015-07-01,65.69,65.99,64.75,65.05,1462912
2015-07-02,64.92,65.45,63.95,65.175,1365728
2015-07-06,64.87,65.55,63.95,64.3,1855760
2015-07-07,64.73,65.94,63.17,65.68,2141490
2015-07-08,65.04,65.63,63.83,63.97,1399612
2015-07-09,64.81,65.2,62.39,62.46,2206394
2015-07-10,63.23,63.48,62.17,62.995,2090114
2015-07-13,63.44,64.48,63.39,64.11,1311817
2015-07-14,64.21,64.4,63.68,63.92,1127357
2015-07-15,63.77,64.1,63.31,63.42,1426143
2015-07-16,63.31,63.57,62.28,62.78,1372447
2015-07-17,62.9,63.17,62.256,62.94,1360216
2015-07-20,62.9,63.73,62.77,63.36,888829
2015-07-21,63.43,63.74,62.34,62.77,1415830
2015-07-22,62.45,63.275,62.2203,62.86,1461906
2015-07-23,63.29,64.82,61.9,62.0,1953990
2015-07-24,62.07,62.75,60.48,61.24,1991489
2015-07-27,60.79,61.44,59.86,61.17,2211511
2015-07-28,61.29,63.73,61.25,63.22,2047675
2015-07-29,63.17,63.86,62.45,63.74,1355125
2015-07-30,63.67,63.83,62.835,63.07,1614783
2015-07-31,63.29,63.575,62.59,62.86,1486599
2015-08-03,62.78,62.96,61.13,61.87,1653483
2015-08-04,62.26,63.24,61.85,62.57,1452010
2015-08-05,62.43,63.13,62.43,62.69,1433708
2015-08-06,62.91,62.98,61.94,62.27,1608125
2015-08-07,62.16,62.48,61.34,62.37,1327887
2015-08-10,63.05,64.4,62.62,63.99,1626215
2015-08-11,63.34,64.75,62.76,64.45,1519851
2015-08-12,63.72,64.12,61.38,63.02,2099061
2015-08-13,63.3,64.95,63.2,64.5,1316869
2015-08-14,64.27,65.37,64.1501,65.17,1196678
2015-08-17,65.15,66.5,64.5735,66.37,1712219
2015-08-18,66.35,66.98,66.15,66.7,1712641
2015-08-19,66.43,66.43,65.05,65.36,1387889
2015-08-20,64.81,64.875,62.8,62.96,1677954
2015-08-21,62.37,63.06,60.62,61.95,2081012
2015-08-24,58.4,60.8,55.16,59.07,3455153
2015-08-25,61.5,61.9,58.69,58.7,1857373
2015-08-26,60.33,60.77,59.05,60.31,2525313
2015-08-27,61.6,63.7,61.3,62.64,2906202
2015-08-28,62.62,63.48,61.97,63.17,1456135
2015-08-31,63.08,64.429,63.08,64.01,2125307
2015-09-01,62.82,63.76,62.22,63.07,1858846
2015-09-02,63.85,65.48,63.66,65.36,3224745
2015-09-03,66.05,66.879,64.6,64.95,3005621
2015-09-04,64.59,66.11,64.32,65.68,2221186
2015-09-08,66.33,66.99,65.33,65.89,3116090
2015-09-09,66.39,66.44,61.22,64.05,4517356
2015-09-10,60.07,60.8,52.88,53.54,31669900
2015-09-11,54.6,54.65,52.91,54.01,12921530
