Date,Open,High,Low,Close,Volume
2015-06-22,34.71,35.01,34.6,34.79,7635199
2015-06-23,34.81,35.03,34.49,34.58,8031995
2015-06-24,34.53,34.68,34.18,34.35,7059852
2015-06-25,34.55,35.02,34.45,34.49,5936883
2015-06-26,34.6,34.85,34.28,34.32,7405569
2015-06-29,33.72,34.22,33.16,33.18,6420285
2015-06-30,33.56,33.75,33.09,33.09,10600880
2015-07-01,33.86,33.9701,31.36,32.62,17939550
2015-07-02,32.74,33.03,32.25,32.51,9446797
2015-07-06,32.47,33.16,32.39,33.03,9840585
2015-07-07,33.29,33.62,32.676,33.41,8256584
2015-07-08,32.96,33.09,32.31,32.36,6700336
2015-07-09,32.79,32.89,32.4601,32.52,8007315
2015-07-10,33.16,34.02,33.13,33.83,9103261
2015-07-13,34.87,34.9,33.88,33.93,9931597
2015-07-14,33.69,34.06,33.23,33.86,7440478
2015-07-15,33.51,34.2,33.27,33.92,8497955
2015-07-16,34.13,34.82,33.84,34.57,8271917
2015-07-17,34.58,35.21,34.42,34.76,8699220
2015-07-20,34.9,34.95,34.25,34.31,4810859
2015-07-21,34.31,34.73,34.22,34.71,6093261
2015-07-22,34.69,35.2,34.52,35.12,7562388
2015-07-23,37.59,38.695,36.28,36.48,15717410
2015-07-24,36.87,36.87,34.94,35.0,10684990
2015-07-27,34.82,35.31,34.33,35.09,8717308
2015-07-28,35.34,36.22,35.06,36.06,9829999
2015-07-29,36.04,36.17,35.2,35.52,5287107
2015-07-30,35.9,36.54,35.815,36.31,9051857
2015-07-31,36.46,36.51,35.86,36.2,5307187
2015-08-03,36.66,37.835,36.54,37.53,9900828
2015-08-04,37.83,38.37,37.48,37.93,9200985
2015-08-05,38.03,38.16,37.67,37.89,7189741
2015-08-06,37.99,38.5,37.43,37.81,7094527
2015-08-07,37.63,38.25,37.28,37.58,7381872
2015-08-10,37.95,38.495,37.7,37.79,6916036
2015-08-11,37.63,38.89,37.63,38.36,8736504
2015-08-12,37.97,38.86,36.8382,38.68,8971187
2015-08-13,38.92,39.27,38.33,38.97,7180072
2015-08-14,38.9,39.41,38.71,39.36,5714852
2015-08-17,39.3,40.7,39.07,40.45,9329834
2015-08-18,40.65,40.87,39.97,40.19,6824931
2015-08-19,39.9,40.85,39.77,40.45,8802314
2015-08-20,39.8,40.15,38.94,39.06,8658286
2015-08-21,38.62,39.04,37.82,37.91,14470610
2015-08-24,35.19,38.18,32.94,37.21,11953160
2015-08-25,38.34,38.34,36.52,36.52,9189867
2015-08-26,37.55,37.62,35.89,37.39,15118590
2015-08-27,37.78,38.09,36.58,37.31,10535440
2015-08-28,37.37,37.73,36.8,37.1,6960365
2015-08-31,37.07,37.6,36.57,36.7,7040453
2015-09-01,36.17,36.78,36.0,36.36,8752608
2015-09-02,36.93,37.73,36.69,37.72,10394850
2015-09-03,37.9,38.17,37.32,37.43,6202848
2015-09-04,36.85,37.72,36.74,37.23,5651050
2015-09-08,37.78,38.3168,37.68,38.11,6164341
2015-09-09,38.44,38.93,37.74,38.3,7342937
2015-09-10,38.4,38.99,38.18,38.36,5762650
2015-09-11,38.18,38.77,38.1,38.54,7217805
2015-09-14,38.53,39.05,38.46,38.87,5458799
2015-09-15,38.98,39.12,38.51,38.9,5932147
2015-09-16,38.76,39.458,38.5,39.14,6382688
2015-09-17,39.3,40.0,39.2,39.49,5476103
2015-09-18,39.35,39.78,38.83,39.47,9841273
2015-09-21,39.49,39.87,39.0701,39.38,6247634
