Date,Open,High,Low,Close,Volume
2015-06-22,53.56,53.56,52.35,52.83,3294458
2015-06-23,52.73,53.0,51.91,52.81,3157496
2015-06-24,52.82,53.04,51.81,51.9,3958273
2015-06-25,52.13,52.26,51.493,51.58,2951318
2015-06-26,51.41,51.48,50.82,51.2,3987162
2015-06-29,50.13,50.91,49.94,50.14,4339785
2015-06-30,51.27,53.03,51.22,52.57,8615359
2015-07-01,54.41,54.7,53.71,54.18,19221220
2015-07-02,54.87,55.25,53.6,53.82,5805868
2015-07-06,53.08,54.79,53.0,54.49,6298790
2015-07-07,54.5,56.92,54.05,56.59,9563643
2015-07-08,55.58,56.23,53.3601,53.8,5994338
2015-07-09,54.84,55.47,54.04,54.38,4321031
2015-07-10,55.48,55.56,54.48,54.84,2669386
2015-07-13,56.53,57.77,56.26,57.23,10972360
2015-07-14,57.16,57.2,55.4,55.47,10020040
2015-07-15,55.42,55.47,53.76,54.45,6831488
2015-07-16,54.8,55.1399,54.28,54.92,3425501
2015-07-17,54.87,54.92,54.13,54.27,2553141
2015-07-20,54.37,55.19,53.86,54.63,3138499
2015-07-21,54.62,55.35,54.4479,54.83,2793300
2015-07-22,54.09,55.3,53.85,54.96,5276089
2015-07-23,57.41,57.5,54.72,55.73,7755929
2015-07-24,55.99,56.0,54.57,54.81,3397527
2015-07-27,53.78,54.49,53.36,53.59,5271951
2015-07-28,54.0,54.83,53.85,54.14,4995856
2015-07-29,54.35,54.99,53.99,54.27,4130145
2015-07-30,54.81,56.42,54.56,56.01,6908059
2015-07-31,56.2,56.62,55.72,56.04,3558881
2015-08-03,55.84,56.02,55.08,55.25,3485077
2015-08-04,55.53,56.0998,54.65,55.0,4777364
2015-08-05,55.78,56.69,55.6057,55.97,3894404
2015-08-06,55.67,56.5,55.17,56.03,3504732
2015-08-07,56.25,57.48,56.06,56.8,3915948
2015-08-10,57.36,57.38,56.41,56.75,5160796
2015-08-11,55.99,55.99,54.04,54.36,5715991
2015-08-12,53.29,53.57,52.07,53.48,5909556
2015-08-13,53.7,53.82,53.1,53.12,3713236
2015-08-14,53.28,53.71,52.3,52.41,4323201
2015-08-17,51.9,52.47,51.72,52.19,4183033
2015-08-18,52.0,52.16,51.57,51.82,3109518
2015-08-19,51.51,51.59,50.49,50.69,5025371
2015-08-20,50.0,50.35,48.89,48.9,6874054
2015-08-21,48.03,48.87,47.135,47.99,8981628
2015-08-24,43.11,48.09,40.0,46.05,8054435
2015-08-25,48.05,48.06,44.72,44.73,6054868
2015-08-26,45.53,45.86,43.7,45.18,8622715
2015-08-27,46.1,47.43,46.1,47.26,9839445
2015-08-28,46.65,47.56,46.62,47.36,2971103
2015-08-31,46.75,47.05,46.02,46.23,3911359
2015-09-01,45.12,46.09,44.647,45.33,6086128
2015-09-02,45.87,46.06,45.16,45.89,5305463
2015-09-03,46.16,48.03,46.07,47.67,6817019
2015-09-04,46.88,48.4,46.62,47.57,4507893
2015-09-08,48.51,48.86,47.59,48.48,4651974
2015-09-09,49.0,49.35,47.79,47.88,4089009
2015-09-10,47.29,47.74,45.86,46.54,7945442
2015-09-11,46.2,47.0999,46.14,46.88,3245211
2015-09-14,46.91,46.954,46.1,46.72,4167808
2015-09-15,46.84,47.58,46.35,47.48,3946337
2015-09-16,47.92,48.87,47.64,48.71,6018236
2015-09-17,48.7,48.71,47.63,47.65,5843664
2015-09-18,46.49,46.78,45.06,45.26,6597332
2015-09-21,45.24,45.61,44.43,44.67,4558670
2015-09-22,43.71,43.75,43.0,43.42,6519841
2015-09-23,43.18,43.39,41.46,41.77,7778156
2015-09-24,41.64,42.27,41.51,41.9,5584578
2015-09-25,42.35,42.37,41.4,41.65,4371700
2015-09-28,41.47,41.62,40.11,40.26,4581130
2015-09-29,39.47,40.1599,37.685,37.81,10709740
2015-09-30,38.27,39.09,37.4,37.97,9423952
2015-10-01,38.37,38.4899,36.53,36.98,7567799
2015-10-02,38.5,41.25,37.94,40.87,17673530
2015-10-05,41.33,44.88,41.255,43.89,17993850
2015-10-06,43.72,45.065,42.88,44.88,10373460
2015-10-07,45.5,46.63,44.71,45.82,9398583
2015-10-08,45.24,47.42,45.14,47.09,5997483
2015-10-09,46.57,47.34,46.07,46.98,6336499
2015-10-12,46.98,47.82,45.74,46.13,5768777
2015-10-13,46.1,47.81,46.0,46.95,6386592
2015-10-14,46.76,48.48,46.73,48.08,7741696
2015-10-15,49.9,50.5,48.82,49.46,8539202
2015-10-16,47.4,50.33,47.25,49.72,9521153
2015-10-19,48.86,48.99,46.735,47.54,9677718
2015-10-20,47.55,48.07,46.87,47.32,4766120
2015-10-21,46.98,47.51,46.11,46.84,5885235
2015-10-22,48.32,48.6,45.95,46.6,9268482
2015-10-23,47.24,49.54,46.93,49.19,7444761
2015-10-26,49.2,49.41,48.25,48.83,4029971
2015-10-27,47.91,48.82,47.15,47.54,4993733
2015-10-28,47.95,48.68,47.41,48.44,3075786
2015-10-29,49.0,49.69,48.26,48.85,3842736
2015-10-30,48.93,49.78,48.78,49.51,4147728
2015-11-02,49.75,51.64,49.7,50.61,5289917
2015-11-03,49.89,51.49,49.7,50.91,4598902
2015-11-04,51.69,52.14,49.28,49.69,6498259
2015-11-05,49.63,50.46,49.2,49.55,3673414
2015-11-06,49.31,49.88,49.0,49.78,2935647
2015-11-09,48.8,48.9,46.15,46.61,7662592
2015-11-10,46.32,46.94,45.77,46.93,3967636
2015-11-11,47.07,47.1,46.18,46.49,3269279
2015-11-12,46.1,47.38,45.7,46.03,2934585
2015-11-13,45.81,46.4,45.24,45.69,2893869
2015-11-16,45.58,46.2,44.83,46.02,3130993
2015-11-17,46.2,46.36,45.06,45.35,5166038
2015-11-18,45.37,46.06,44.53,45.99,4378793
2015-11-19,45.96,46.27,45.47,46.07,3150739
2015-11-20,46.18,46.33,44.6,45.08,5729964
2015-11-23,44.88,46.0,44.88,45.19,8027317
2015-11-24,44.98,45.27,44.39,44.9,7365452
2015-11-25,45.17,45.23,44.41,44.82,4180941
2015-11-27,44.54,44.62,43.65,44.32,2493641
2015-11-30,44.43,45.038,43.95,44.06,5929536
2015-12-01,44.5,44.96,43.61,44.8,6000222
2015-12-02,44.53,46.22,44.36,45.18,5699566
2015-12-03,45.45,45.5,43.13,43.54,4195887
2015-12-04,43.53,44.02,42.8,43.69,4563780
2015-12-07,43.46,43.69,42.83,43.12,4632904
2015-12-08,42.45,42.82,41.56,42.55,3411750
2015-12-09,43.35,45.25,43.1,43.7,7648193
2015-12-10,43.85,44.35,42.51,42.8,6188703
2015-12-11,42.04,42.22,41.03,41.26,5525013
2015-12-14,41.02,42.02,40.215,40.42,6336316
2015-12-15,40.93,42.21,40.69,41.49,5699707
2015-12-16,42.0,43.65,41.67,43.4,5576126
2015-12-17,43.72,43.91,41.8,41.82,4815650
2015-12-18,41.21,42.179,41.16,41.53,5550064
2015-12-21,41.83,42.45,41.45,42.04,3837161
2015-12-22,42.15,43.165,41.91,42.93,4937166
2015-12-23,43.39,44.9,43.26,44.51,5807341
2015-12-24,44.33,44.71,43.51,44.36,2251434
2015-12-28,43.81,44.2899,43.2,44.12,3346346
2015-12-29,44.44,44.995,43.98,44.38,3096402
2015-12-30,44.28,44.48,43.765,43.99,2296669
2015-12-31,43.65,44.25,43.51,43.84,2970461
2016-01-04,42.8,43.4,41.45,43.4,6463242
2016-01-05,43.64,44.85,43.39,44.04,5243220
2016-01-06,43.1,43.35,42.07,42.69,5001279
2016-01-07,41.28,41.35,38.75,38.78,13414710
2016-01-08,39.3,40.6,38.91,39.01,6677538
2016-01-11,39.59,40.41,38.56,38.99,5966563
2016-01-12,39.31,40.0,38.1601,38.91,6084961
2016-01-13,39.15,39.4,36.73,36.97,5742201
2016-01-14,37.3,37.81,35.97,37.45,7293795
2016-01-15,37.47,39.45,37.14,38.72,10744540
2016-01-19,39.54,39.59,37.67,38.43,5249561
2016-01-20,37.59,37.69,34.88,37.21,7464949
2016-01-21,37.07,37.9,36.3,37.64,4490161
2016-01-22,39.26,39.68,38.38,39.03,7328295
2016-01-25,39.02,40.13,38.92,39.11,5972255
2016-01-26,39.13,41.08,38.32,40.87,6402078
2016-01-27,41.01,42.37,40.63,41.59,9527351
2016-01-28,42.46,43.87,42.01,42.79,7992263
2016-01-29,43.0,45.11,42.94,45.1,8822059
2016-02-01,44.78,44.91,43.55,44.63,6102847
2016-02-02,44.0,44.0,41.705,42.2,8292987
2016-02-03,42.41,42.855,40.67,42.56,6812825
