Date,Open,High,Low,Close,Volume
2015-06-22,237.54,238.5,235.57,235.76,564345
2015-06-23,236.43,236.48,234.19,235.54,637105
2015-06-24,235.0,235.76,230.52,230.53,1347984
2015-06-25,230.75,232.1299,228.815,229.33,1472254
2015-06-26,230.11,230.474,227.63,227.92,1263895
2015-06-29,226.09,227.82,224.19,224.28,1220508
2015-06-30,225.8,226.14,223.0001,224.81,1396131
2015-07-01,226.9,227.245,225.01,225.78,928259
2015-07-02,226.79,227.15,223.0,224.26,923069
2015-07-06,222.25,225.18,221.62,224.58,1056488
2015-07-07,225.64,228.32,223.77,228.23,1474856
2015-07-08,226.55,227.362,224.22,224.52,1150587
2015-07-09,227.39,228.06,226.25,226.9,1255421
2015-07-10,230.0,230.13,228.645,229.56,831736
2015-07-13,231.73,231.989,229.45,231.43,658852
2015-07-14,231.64,233.86,230.155,233.83,941022
2015-07-15,233.7,235.19,230.96,234.44,919881
2015-07-16,236.31,236.86,234.21,235.02,832261
2015-07-17,234.42,235.68,233.26,234.46,955970
2015-07-20,235.24,235.24,233.25,234.55,819397
2015-07-21,234.96,234.98,230.57,232.49,943296
2015-07-22,232.44,235.23,232.06,235.13,950592
2015-07-23,235.06,235.09,229.01,229.48,1283770
2015-07-24,230.1,230.4,226.24,226.66,910724
2015-07-27,225.71,226.62,224.19,224.76,956849
2015-07-28,226.22,226.97,223.7476,226.74,1077240
2015-07-29,227.32,227.63,224.06,226.85,1397874
2015-07-30,221.48,222.81,215.6,217.36,4628265
2015-07-31,218.1,220.73,216.973,220.57,2082126
2015-08-03,221.54,223.63,220.57,223.48,1753592
2015-08-04,223.25,224.19,222.01,222.91,898909
2015-08-05,224.73,224.73,222.14,223.4,925295
2015-08-06,223.33,223.6,218.23,218.39,1179905
2015-08-07,218.13,218.3699,213.73,216.14,1904527
2015-08-10,217.62,219.0,216.17,217.34,937465
2015-08-11,216.35,217.13,213.539,215.52,885417
2015-08-12,213.94,215.63,212.04,215.18,1159529
2015-08-13,215.21,216.39,214.2,214.29,841372
2015-08-14,214.24,215.52,213.17,215.28,636670
2015-08-17,214.24,216.4,212.39,216.29,1251936
2015-08-18,215.79,216.416,213.86,215.51,1000350
2015-08-19,213.89,216.91,212.88,215.51,1079087
2015-08-20,213.43,214.229,210.33,210.49,944458
2015-08-21,208.59,209.49,202.12,202.53,1962229
2015-08-24,191.87,202.28,160.1001,197.8,2667906
2015-08-25,203.47,204.9,188.16,188.44,4397969
2015-08-26,194.49,198.37,188.93,197.89,4232809
2015-08-27,200.36,201.25,195.43,198.87,2351639
2015-08-28,199.0,201.01,198.01,200.8,1896429
2015-08-31,200.8,203.2,197.0,197.58,2178643
2015-09-01,195.0,199.03,193.0325,195.78,2416125
2015-09-02,198.52,200.01,195.74,197.0,1613042
2015-09-03,198.2,199.52,194.16,194.97,2070790
2015-09-04,193.23,194.56,189.95,192.82,2254190
2015-09-08,196.35,196.82,193.6,195.39,1655064
2015-09-09,197.33,198.9,192.585,192.85,2069991
2015-09-10,192.6,196.255,190.97,195.11,2901047
2015-09-11,194.22,197.75,194.15,197.64,1479362
2015-09-14,198.03,198.3099,195.41,196.61,1310062
2015-09-15,197.36,200.74,195.67,200.41,1537723
2015-09-16,202.68,205.0,201.1301,204.24,2467484
2015-09-17,204.02,207.49,202.66,204.7,1434978
2015-09-18,203.79,208.03,202.05,203.73,2487059
2015-09-21,203.88,206.63,200.7,201.3,1737935
2015-09-22,198.86,199.399,195.821,198.98,1702331
2015-09-23,198.77,199.93,197.09,198.22,771876
2015-09-24,196.78,198.11,193.49,197.24,1401511
2015-09-25,198.26,198.85,191.3401,192.23,1602309
2015-09-28,191.61,192.3,182.7,184.26,3131419
2015-09-29,185.16,187.1599,183.23,184.77,2465134
2015-09-30,185.88,187.22,182.66,185.03,1786396
2015-10-01,184.76,186.24,183.02,186.07,2008656
2015-10-02,184.2,186.55,182.18,186.54,1831364
2015-10-05,187.24,190.39,185.97,189.71,1958514
2015-10-06,189.56,189.67,182.6,184.0,2143535
2015-10-07,184.49,185.61,182.61,184.98,2386106
2015-10-08,184.42,187.0299,183.39,186.29,2010838
2015-10-09,186.21,190.4,186.1,189.95,2783049
2015-10-12,189.79,191.3,189.21,190.61,1241877
2015-10-13,190.53,194.36,190.09,191.91,2081248
2015-10-14,191.32,193.2,188.96,189.78,1573876
2015-10-15,190.25,193.99,189.89,193.75,1542128
