Date,Open,High,Low,Close,Volume
2015-06-22,110.83,111.06,109.96,110.82,703433
2015-06-23,110.75,111.06,109.96,110.57,552322
2015-06-24,110.2,111.0,109.91,109.95,520498
2015-06-25,110.04,110.31,109.23,109.24,470860
2015-06-26,109.63,110.6,109.268,110.55,735693
2015-06-29,109.54,109.9,106.9588,107.17,803681
2015-06-30,108.0,108.44,107.14,107.96,1059958
2015-07-01,108.72,109.36,108.15,108.99,654472
2015-07-02,109.29,109.31,108.12,108.71,565972
2015-07-06,107.86,109.19,107.85,108.45,1025177
2015-07-07,108.76,109.67,107.4,109.46,787706
2015-07-08,108.38,109.11,107.69,108.07,871577
2015-07-09,109.33,110.0,107.94,108.38,929842
2015-07-10,109.44,110.8,108.71,110.48,797382
2015-07-13,111.48,111.7,110.72,111.18,633059
2015-07-14,111.32,112.48,110.94,112.1,482952
2015-07-15,112.05,112.4,111.53,112.33,756151
2015-07-16,112.99,113.33,112.7,112.75,853380
2015-07-17,112.72,112.97,112.08,112.74,536725
2015-07-20,112.87,113.54,112.38,112.9,641379
2015-07-21,113.1,113.865,112.04,112.31,880513
2015-07-22,111.9,112.87,111.73,112.37,726928
2015-07-23,112.46,112.74,111.23,111.76,869003
2015-07-24,111.27,113.44,111.02,111.82,994421
2015-07-27,111.56,111.92,109.83,110.32,1394171
2015-07-28,111.06,111.06,109.36,109.75,653856
2015-07-29,109.93,110.5,109.38,110.33,669132
2015-07-30,110.21,111.76,109.73,111.53,643481
2015-07-31,111.78,111.93,110.32,110.43,729420
2015-08-03,110.66,110.66,109.34,110.62,837850
2015-08-04,110.4,111.76,110.4,111.19,544589
2015-08-05,111.8,112.58,111.34,111.8,732470
2015-08-06,111.87,111.87,110.14,110.31,573239
2015-08-07,110.31,110.34,109.28,109.81,509948
2015-08-10,110.66,111.74,110.54,111.67,630790
2015-08-11,110.83,111.44,110.21,110.54,511233
2015-08-12,109.61,110.0525,108.01,109.43,886426
2015-08-13,109.66,110.61,109.242,110.18,711461
2015-08-14,110.06,111.5,110.06,110.81,804172
2015-08-17,110.11,111.35,109.53,111.28,475483
2015-08-18,110.97,111.69,110.76,110.98,397153
2015-08-19,110.76,111.48,109.84,110.6,619807
2015-08-20,109.53,109.78,107.54,107.57,788874
2015-08-21,107.0,107.56,103.58,103.63,1258596
2015-08-24,98.33,103.0,96.0,99.47,1831411
2015-08-25,102.2,104.895,98.82,98.94,1809453
2015-08-26,100.84,102.77,98.84,102.52,1256776
2015-08-27,103.55,104.86,102.755,104.57,1264090
2015-08-28,104.57,104.73,103.45,104.39,872035
2015-08-31,103.83,104.38,102.26,102.31,840942
2015-09-01,99.91,101.06,98.41,98.99,1264179
2015-09-02,99.95,101.18,98.44,100.56,1084944
2015-09-03,100.84,102.34,100.61,100.94,1020902
2015-09-04,99.59,101.06,98.55,99.2,923302
2015-09-08,101.1,101.59,100.01,101.41,1139422
2015-09-09,102.53,102.97,99.93,100.17,679901
2015-09-10,99.86,101.49,99.86,100.82,1075556
2015-09-11,100.33,101.83,100.0,101.56,693312
2015-09-14,101.57,101.98,100.7,100.92,828631
2015-09-15,101.23,102.73,100.99,102.43,796642
2015-09-16,102.43,103.24,102.16,102.9,801675
2015-09-17,103.07,103.91,102.0,102.31,865083
2015-09-18,99.84,102.23,99.84,100.75,1829068
2015-09-21,101.52,102.64,100.98,101.78,600220
2015-09-22,100.41,101.05,99.89,100.63,632584
2015-09-23,100.5,101.56,99.55,101.12,492572
2015-09-24,100.1,100.38,98.71,99.94,1112744
2015-09-25,101.0,101.28,99.68,100.42,661507
2015-09-28,99.61,100.04,96.86,96.89,2040861
2015-09-29,97.28,97.7499,96.85,97.53,993346
2015-09-30,98.5,99.01,96.95,98.2,1375175
2015-10-01,98.04,98.76,96.23,97.49,1457963
2015-10-02,95.89,99.19,95.64,99.05,1401136
2015-10-05,100.37,101.96,99.82,101.08,1368078
2015-10-06,100.61,101.08,99.03,99.1,875722
2015-10-07,99.64,100.13,98.19,99.44,1119977
2015-10-08,99.22,99.6,98.07,98.38,1922781
2015-10-09,98.42,99.38,98.4,98.88,896200
2015-10-12,98.91,99.46,98.668,99.04,292478
2015-10-13,98.76,99.28,97.98,98.09,666498
2015-10-14,97.85,99.14,97.13,97.63,782662
2015-10-15,98.59,100.05,97.65,100.04,699877
2015-10-16,100.54,101.0,100.01,100.58,768141
2015-10-19,100.04,100.59,99.29,99.91,807374
2015-10-20,99.65,100.43,99.64,100.15,510553
2015-10-21,100.45,100.46,97.69,97.73,656911
2015-10-22,98.09,99.57,98.07,99.02,799605
