Date,Open,High,Low,Close,Volume
2015-06-22,41.17,41.45,41.0,41.05,5133736
2015-06-23,41.0,41.24,40.88,41.095,3397442
2015-06-24,41.18,41.29,40.98,41.08,6041144
2015-06-25,41.19,41.47,41.03,41.08,6529641
2015-06-26,41.01,41.35,40.99,41.11,9251144
2015-06-29,40.85,41.05,40.7,40.84,9411971
2015-06-30,41.3,41.34,40.9,41.14,11851590
2015-07-01,41.2,41.64,41.2,41.61,6014433
2015-07-02,41.73,41.84,41.26,41.55,5568892
2015-07-06,41.2,41.4799,40.98,41.26,9044670
2015-07-07,41.48,41.89,40.99,41.78,6261733
2015-07-08,41.68,41.75,41.31,41.41,5908710
2015-07-09,41.73,41.85,41.24,41.25,5366960
2015-07-10,41.51,41.69,41.34,41.41,4902892
2015-07-13,41.71,41.73,41.55,41.6,5668805
2015-07-14,41.69,41.99,41.48,41.88,7545988
2015-07-15,41.85,41.9,41.18,41.34,9244476
2015-07-16,41.6,42.0,41.47,41.97,5020469
2015-07-17,41.96,41.96,41.42,41.89,4635569
2015-07-20,41.65,41.87,41.59,41.81,3877691
2015-07-21,41.85,42.24,41.79,42.07,5854851
2015-07-22,42.4,43.0,42.12,42.25,6676579
2015-07-23,42.02,42.4,42.0,42.12,5399159
2015-07-24,42.13,42.23,41.825,42.03,5256604
2015-07-27,41.87,42.09,41.27,42.03,7906747
2015-07-28,42.33,42.8725,42.06,42.8,8605318
2015-07-29,42.63,43.29,42.61,43.1,12188590
2015-07-30,44.21,45.31,44.05,45.27,17981450
2015-07-31,45.02,45.21,44.66,45.13,10816060
2015-08-03,45.28,45.51,45.0,45.49,7251650
2015-08-04,45.39,45.72,45.26,45.6,7543274
2015-08-05,45.765,46.59,45.765,46.29,11656160
2015-08-06,48.55,48.58,46.11,46.81,24204640
2015-08-07,46.81,46.9245,45.82,46.11,15729320
2015-08-10,45.68,46.45,45.6,46.41,10377690
2015-08-11,46.21,46.21,45.7,46.1,9691654
2015-08-12,45.54,46.57,45.35,46.53,10157050
2015-08-13,46.63,46.82,46.01,46.01,14828240
2015-08-14,46.13,46.54,45.95,46.485,9418274
2015-08-17,46.35,46.5,46.12,46.2,9300853
2015-08-18,46.16,46.44,45.95,46.15,10318990
2015-08-19,45.92,46.0,45.13,45.21,12392980
2015-08-20,44.95,45.14,43.92,44.0,17063880
2015-08-21,43.6,44.07,43.18,43.2,18104040
2015-08-24,41.12,42.79,38.91,41.96,27476320
2015-08-25,42.54,43.11,41.28,41.31,29988790
2015-08-26,42.15,42.33,41.055,42.2,17712680
2015-08-27,42.43,42.94,41.92,42.76,15432550
2015-08-28,42.44,43.13,42.3891,42.8,8975455
2015-08-31,42.68,42.78,42.24,42.36,9401198
2015-09-01,41.69,42.0,40.73,41.01,12393950
2015-09-02,41.44,42.3,41.31,42.27,13783260
2015-09-03,42.54,43.91,42.49,43.24,15184720
2015-09-04,42.64,43.03,42.3,42.57,11486770
2015-09-08,43.29,43.31,42.36,42.93,9975250
2015-09-09,43.46,43.46,41.81,41.99,8490712
2015-09-10,41.78,42.73,41.76,42.38,12386490
2015-09-11,42.58,42.71,42.18,42.68,8581819
2015-09-14,42.72,42.75,42.08,42.28,6910698
2015-09-15,42.49,43.05,42.16,42.99,19708410
2015-09-16,43.1,43.38,42.955,43.04,10158400
2015-09-17,43.25,44.29,43.18,43.72,13375020
2015-09-18,43.25,43.731,42.77,42.85,14947630
2015-09-21,42.98,43.1,42.73,42.85,6320063
2015-09-22,42.35,42.43,41.7,41.99,8455727
2015-09-23,42.06,42.38,41.87,42.28,7634246
2015-09-24,42.06,42.3,41.52,42.13,12045840
2015-09-25,42.51,43.22,42.445,42.8,9682785
2015-09-28,42.4,42.98,41.44,41.47,14528960
2015-09-29,41.52,41.52,40.29,40.81,16511590
2015-09-30,41.24,42.0,41.16,41.87,14090720
2015-10-01,42.27,42.53,41.69,42.21,10225160
2015-10-02,41.86,43.57,41.55,43.56,11028560
2015-10-05,43.87,44.46,43.63,44.29,10625370
2015-10-06,44.3,44.41,43.83,43.9,7226935
2015-10-07,44.11,44.43,43.8,44.33,7653637
2015-10-08,44.36,45.32,44.08,45.305,7460713
2015-10-09,45.2,45.315,44.77,45.0,6205804
2015-10-12,44.78,45.2156,44.75,45.05,4692579
2015-10-13,44.9,45.27,44.69,44.84,6391478
2015-10-14,44.48,44.98,44.48,44.74,4641990
2015-10-15,44.94,44.99,44.12,44.98,9113916
2015-10-16,45.11,45.86,45.07,45.85,9058962
2015-10-19,45.8,46.46,45.5,46.42,8055884
2015-10-20,46.55,46.65,45.67,45.74,7418460
2015-10-21,45.88,46.02,45.05,45.45,12234310
2015-10-22,45.59,47.42,45.59,46.94,10967040
2015-10-23,46.88,47.0,46.4,46.53,9352005
2015-10-26,46.53,46.99,46.32,46.8,6450041
2015-10-27,46.81,46.97,46.45,46.6,9293874
2015-10-28,46.16,47.0,45.42,46.4,8464145
2015-10-29,46.32,46.44,45.47,46.28,5947248
2015-10-30,46.28,46.62,46.02,46.16,6352267
2015-11-02,46.36,46.63,45.0801,46.44,7200965
2015-11-03,46.31,46.5,45.88,46.4,6926262
2015-11-04,46.73,46.77,45.73,45.88,6504673
2015-11-05,45.86,45.93,45.385,45.88,5469816
2015-11-06,45.64,45.73,44.41,44.88,6989935
2015-11-09,44.69,44.78,43.89,44.39,9393334
2015-11-10,44.35,44.775,44.3,44.59,6647050
2015-11-11,44.84,44.96,44.44,44.47,5329984
2015-11-12,44.3,44.44,43.6,43.64,6861049
2015-11-13,43.5,43.88,43.12,43.27,7829120
2015-11-16,43.51,44.08,43.42,44.06,6078592
2015-11-17,44.08,44.33,43.69,43.82,6062500
2015-11-18,43.96,44.54,43.79,44.48,6146843
2015-11-19,44.59,44.81,44.43,44.58,5161489
2015-11-20,44.93,44.995,43.75,43.95,8757840
2015-11-23,43.88,44.265,43.75,44.08,10207620
2015-11-24,43.79,44.16,43.75,43.98,4507217
2015-11-25,43.95,44.15,43.85,43.93,5048842
2015-11-27,44.07,44.565,43.79,44.42,3258269
2015-11-30,44.42,44.5764,43.62,43.66,10957240
2015-12-01,44.08,44.54,43.76,44.32,10611810
2015-12-02,44.34,44.35,43.755,43.86,5366511
2015-12-03,43.91,44.13,42.41,42.61,13964840
2015-12-04,42.83,44.54,42.82,44.5,11277950
2015-12-07,44.43,44.5,43.73,44.03,9224570
2015-12-08,43.49,44.205,43.145,44.0,6575992
2015-12-09,43.76,44.25,43.3601,43.65,7023633
2015-12-10,43.58,44.34,43.52,43.98,8900126
2015-12-11,43.16,43.57,42.57,42.73,9961736
2015-12-14,43.07,43.39,42.63,43.32,9659434
2015-12-15,44.24,44.51,43.75,44.02,8153051
2015-12-16,43.98,44.94,43.97,44.845,9941975
2015-12-17,44.85,44.9,44.22,44.36,6994141
2015-12-18,43.93,44.26,42.95,43.3,21518050
2015-12-21,43.65,44.515,43.36,44.44,8812351
2015-12-22,44.48,44.81,44.0,44.71,6165556
2015-12-23,44.94,45.62,44.81,45.58,6618021
2015-12-24,45.57,45.67,45.34,45.35,2290249
2015-12-28,45.24,45.4801,44.96,45.07,3667588
2015-12-29,45.15,45.81,44.9016,45.75,5895852
2015-12-30,45.74,45.945,45.42,45.51,5596397
2015-12-31,45.21,45.449,44.76,44.84,4648435
2016-01-04,44.09,44.45,43.25,43.79,11420410
2016-01-05,43.79,44.45,43.65,44.15,15463550
2016-01-06,43.33,44.17,43.28,43.99,19644430
2016-01-07,43.04,43.04,41.35,41.59,19784270
2016-01-08,41.65,42.06,40.97,40.99,14464560
2016-01-11,41.33,41.795,41.04,41.68,10226880
2016-01-12,41.68,42.29,41.51,42.12,10947810
2016-01-13,42.11,42.33,40.52,40.59,14056760
2016-01-14,41.55,41.93,40.59,41.36,12285690
2016-01-15,40.56,40.86,39.79,40.31,19074390
2016-01-19,41.05,41.66,40.65,41.46,14058420
2016-01-20,40.89,41.15,39.68,40.67,12802820
2016-01-21,40.82,40.91,40.0,40.33,9485635
2016-01-22,41.09,41.735,40.4,41.6,9511000
2016-01-25,41.73,41.79,40.16,40.2,13465200
2016-01-26,40.24,41.55,40.24,41.35,8127473
2016-01-27,41.34,41.96,40.78,41.12,7742353
2016-01-28,41.81,42.5285,41.43,41.55,11620510
2016-01-29,42.08,43.1,41.83,43.1,14254490
2016-02-01,42.82,42.955,42.1,42.73,7959719
2016-02-02,42.12,42.7,41.67,41.95,11027900
2016-02-03,38.38,40.08,38.22,39.23,25929480
2016-02-04,39.01,39.09,37.86,38.02,18816270
2016-02-05,37.99,38.6799,37.37,37.7,30560530
2016-02-08,37.27,37.3278,35.88,36.34,24563460
