Date,Open,High,Low,Close,Volume
2015-06-22,77.25,77.445,76.92,77.21,3791640
2015-06-23,77.53,77.57,76.46,76.61,5044526
2015-06-24,77.02,77.02,75.26,75.27,4880699
2015-06-25,75.55,76.49,75.2001,75.48,5506285
2015-06-26,75.79,75.89,74.97,75.16,5995474
2015-06-29,74.38,74.79,73.24,73.3,5106495
2015-06-30,74.19,74.67,73.66,74.1,7613254
2015-07-01,74.28,74.71,73.75,74.08,5147176
2015-07-02,74.26,74.35,73.48,73.81,4589462
2015-07-06,73.08,73.98,72.8,73.53,6684251
2015-07-07,73.64,73.8,72.2009,73.46,7498759
2015-07-08,72.87,73.5399,72.79,72.85,5623757
2015-07-09,73.81,74.2,73.09,73.09,7005613
2015-07-10,74.09,74.46,73.88,74.37,6640789
2015-07-13,74.78,75.48,74.78,75.17,5796018
2015-07-14,75.38,75.91,75.21,75.89,5485955
2015-07-15,75.86,76.16,75.74,75.95,4601774
2015-07-16,76.62,77.05,76.57,76.8,4847274
2015-07-17,76.8,76.96,76.24,76.91,4656634
2015-07-20,77.11,77.15,76.71,77.0,3205352
2015-07-21,76.82,77.14,76.1903,76.54,3737460
2015-07-22,76.85,77.11,76.56,76.82,4578704
2015-07-23,76.74,77.1799,76.45,76.8,3647765
2015-07-24,76.36,76.62,75.8979,76.01,3887267
2015-07-27,75.72,75.96,75.33,75.66,4821494
2015-07-28,76.29,77.51,75.78,77.47,4902229
2015-07-29,77.53,77.945,77.0,77.88,4981263
2015-07-30,77.65,78.41,77.4,78.28,3842567
2015-07-31,78.49,78.9,78.16,78.39,5180294
2015-08-03,78.09,78.48,77.555,78.0,4195643
2015-08-04,78.06,78.2,77.49,77.77,2852901
2015-08-05,78.5,78.91,78.27,78.67,3561946
2015-08-06,78.6,78.8,77.13,77.41,4263268
2015-08-07,77.51,77.68,76.84,77.48,3233872
2015-08-10,77.73,78.24,77.58,77.62,3383277
2015-08-11,77.1,77.63,76.92,77.39,4643813
2015-08-12,76.95,77.4,76.08,77.39,4897725
2015-08-13,77.32,77.81,76.99,77.48,2989722
2015-08-14,77.1,77.73,77.1,77.58,2158070
2015-08-17,77.34,78.8,77.16,78.74,3622615
2015-08-18,78.38,78.72,78.03,78.09,3796812
2015-08-19,77.71,78.13,76.96,77.47,3836507
2015-08-20,76.61,77.01,76.44,76.49,5062041
2015-08-21,75.84,76.03,74.27,74.27,8814918
2015-08-24,67.8,72.9,55.54,70.91,13366530
2015-08-25,72.88,72.91,69.84,69.88,8197690
2015-08-26,71.81,72.39,70.27,72.24,10681460
2015-08-27,73.8,73.86,71.94,73.52,8603219
2015-08-28,73.48,73.85,72.89,73.56,5512563
2015-08-31,73.72,74.16,71.99,72.29,7462709
2015-09-01,70.665,71.06,69.0,69.53,8964580
2015-09-02,70.72,71.55,70.27,71.55,9123636
2015-09-03,72.15,72.5,69.83,69.98,9501283
2015-09-04,68.86,69.5,67.885,68.98,12536790
2015-09-08,70.34,70.86,69.52,70.8,7393335
2015-09-09,71.16,71.4,69.445,69.59,7820861
2015-09-10,69.67,70.71,69.21,70.01,6212620
2015-09-11,69.79,70.155,69.26,69.9,5707930
2015-09-14,69.77,69.89,68.505,68.73,6209552
2015-09-15,68.89,70.02,68.55,69.93,6391952
2015-09-16,69.69,70.42,69.56,70.12,5160105
2015-09-17,70.23,71.85,70.13,70.81,5966638
2015-09-18,70.02,70.76,69.96,70.33,11475620
2015-09-21,70.81,71.42,69.99,70.24,5614071
2015-09-22,69.52,70.25,69.31,70.14,7010254
2015-09-23,69.77,70.116,69.13,69.29,4513288
2015-09-24,68.58,68.88,67.86,68.38,6840710
2015-09-25,69.2,69.27,66.0775,66.53,8229175
2015-09-28,66.08,66.3,63.98,64.52,9901968
2015-09-29,65.02,68.01,64.95,66.37,11313500
2015-09-30,67.49,67.615,66.24,66.94,7986736
2015-10-01,66.86,68.48,66.35,68.4,10973170
2015-10-02,67.63,71.29,67.23,71.13,12342330
