Date,Open,High,Low,Close,Volume
2015-06-22,19.61,19.675,19.09,19.09,7359211
2015-06-23,19.1,19.47,18.97,19.38,9875037
2015-06-24,19.36,19.43,18.585,18.63,9659716
2015-06-25,18.75,18.8,18.45,18.64,6979176
2015-06-26,18.52,18.64,18.16,18.38,10898300
2015-06-29,18.06,18.15,17.495,17.58,13147130
2015-06-30,18.07,18.485,17.97,18.25,11971610
2015-07-01,18.71,18.96,18.46,18.55,8995833
2015-07-02,18.71,18.8,18.44,18.55,6538041
2015-07-06,18.3,18.56,18.165,18.27,7132130
2015-07-07,18.46,19.235,17.88,19.05,18898720
2015-07-08,18.53,18.76,17.49,17.57,23304270
2015-07-09,17.89,18.26,17.765,17.84,11139090
2015-07-10,18.15,18.24,18.02,18.15,7388692
2015-07-13,18.74,19.05,18.51,18.85,9869160
2015-07-14,18.85,19.24,18.74,18.92,8955435
2015-07-15,18.86,18.98,18.33,18.54,9166779
2015-07-16,18.69,18.95,18.53,18.69,7920670
2015-07-17,18.67,18.7,18.34,18.45,5981808
2015-07-20,18.5,18.57,18.24,18.46,10758040
2015-07-21,18.49,18.82,18.43,18.48,6812059
2015-07-22,18.28,18.73,18.21,18.52,7500681
2015-07-23,18.98,19.07,18.47,18.68,7962641
2015-07-24,18.8,18.8,18.09,18.11,7396241
2015-07-27,17.82,17.965,17.525,17.69,9880566
2015-07-28,17.87,18.11,17.57,18.01,8084849
2015-07-29,18.16,18.45,18.12,18.22,7041917
2015-07-30,18.43,19.79,16.84,19.65,16164780
2015-07-31,19.62,19.72,19.24,19.62,9327462
2015-08-03,19.59,20.045,19.5,19.85,18625650
2015-08-04,20.14,21.98,20.09,21.75,33514350
2015-08-05,22.0,22.755,21.99,22.36,15981030
2015-08-06,22.46,22.47,21.89,21.99,11853430
2015-08-07,21.96,22.39,21.95,22.2,9002790
2015-08-10,22.49,22.77,22.33,22.6,10822700
2015-08-11,22.12,22.58,21.77,22.18,10634910
2015-08-12,21.73,22.175,21.3,22.07,9874128
2015-08-13,22.12,22.41,21.92,22.25,8563105
2015-08-14,22.33,22.685,22.18,22.48,9937886
2015-08-17,22.47,22.75,22.17,22.64,4756825
2015-08-18,22.48,22.63,22.29,22.48,4687388
2015-08-19,22.25,22.46,21.74,22.07,5739224
2015-08-20,21.66,21.86,21.23,21.28,7694774
2015-08-21,20.83,20.95,20.42,20.59,10197890
2015-08-24,18.12,20.18,17.08,19.54,12990970
2015-08-25,20.35,20.4,19.2,19.21,7534538
2015-08-26,19.69,19.92,18.79,19.61,7615932
2015-08-27,20.0,20.64,19.92,20.54,7612330
2015-08-28,20.45,20.84,20.39,20.84,5246674
2015-08-31,20.57,20.99,20.21,20.43,7064713
2015-09-01,19.91,20.3379,19.71,19.87,7207252
2015-09-02,20.1,20.27,19.79,20.26,4828546
2015-09-03,20.35,20.91,20.35,20.49,4455423
2015-09-04,20.15,20.655,20.05,20.48,4591144
2015-09-08,21.08,21.58,21.04,21.47,8389887
2015-09-09,21.8,22.05,21.07,21.12,7402542
2015-09-10,21.18,21.25,20.37,20.72,8765649
2015-09-11,20.59,20.99,20.55,20.96,2961846
2015-09-14,20.88,21.0,20.6,21.0,3875025
2015-09-15,21.03,21.09,20.59,20.6,7476359
2015-09-16,20.68,21.26,20.52,21.19,8045865
2015-09-17,21.21,21.4,20.8501,20.96,5310916
2015-09-18,20.62,20.8799,20.5,20.66,6738051
2015-09-21,20.66,20.87,20.3,20.4,3520643
2015-09-22,19.94,20.06,19.43,19.63,6590643
2015-09-23,19.46,19.63,19.05,19.36,6641766
2015-09-24,19.21,19.78,19.15,19.55,5735038
2015-09-25,19.76,19.885,19.47,19.76,7843650
2015-09-28,19.56,19.61,18.55,18.59,9090910
2015-09-29,18.34,18.59,17.62,17.76,11463920
2015-09-30,18.18,18.5499,18.0,18.45,7603088
2015-10-01,18.5,18.74,18.19,18.67,6177265
2015-10-02,19.02,19.91,18.77,19.79,10619310
2015-10-05,19.82,20.49,19.38,20.3,10955710
2015-10-06,20.3,20.61,20.15,20.44,6535138
2015-10-07,20.68,21.09,20.31,20.72,7630286
2015-10-08,20.68,21.26,20.62,21.14,6121526
2015-10-09,21.2,21.32,20.72,21.23,5362076
2015-10-12,21.14,21.425,21.0,21.08,4679267
2015-10-13,20.93,21.63,20.81,21.13,6916723
2015-10-14,21.2,21.456,21.0,21.22,4192562
2015-10-15,21.85,21.95,21.19,21.63,6346398
2015-10-16,20.92,21.9,20.91,21.55,6857666
2015-10-19,21.31,21.36,20.72,21.0,4974933
2015-10-20,21.11,21.38,20.715,20.97,3700720
2015-10-21,20.94,20.95,20.23,20.26,4662879
2015-10-22,20.81,20.86,20.215,20.47,6905569
2015-10-23,20.83,21.36,20.68,21.29,8717367
2015-10-26,21.31,21.8265,21.3,21.7,8221296
2015-10-27,21.52,21.78,20.8,20.94,8444383
2015-10-28,21.11,21.8,21.1,21.76,11198130
2015-10-29,23.08,23.41,22.47,22.8,22151720
2015-10-30,22.97,23.41,22.665,23.19,9599292
2015-11-02,23.51,24.06,23.51,23.78,9844735
2015-11-03,23.68,24.19,23.29,24.14,8138067
2015-11-04,24.31,24.41,23.76,24.03,5485492
2015-11-05,24.02,24.34,23.8368,23.91,4177891
2015-11-06,23.98,24.23,23.72,23.84,5342994
2015-11-09,23.54,23.57,22.87,23.32,6073654
2015-11-10,23.04,23.475,22.97,23.43,4136594
2015-11-11,23.52,23.55,23.14,23.3,2687788
2015-11-12,23.11,23.47,22.77,22.8,4320210
2015-11-13,22.72,22.85,22.39,22.51,3807290
2015-11-16,22.43,22.63,22.09,22.63,5403211
2015-11-17,22.75,22.85,22.07,22.25,5824824
2015-11-18,22.27,22.78,22.03,22.72,5150991
2015-11-19,22.46,22.72,22.16,22.53,3534293
2015-11-20,22.69,22.75,22.19,22.46,3970182
2015-11-23,22.38,22.86,22.38,22.67,3267676
2015-11-24,22.39,23.09,22.39,22.96,3816749
2015-11-25,23.06,23.11,22.63,22.92,3235401
2015-11-27,22.66,22.98,22.51,22.77,1990340
2015-11-30,22.86,22.985,22.61,22.74,4016050
2015-12-01,22.95,23.33,22.81,23.28,4233232
2015-12-02,23.2,23.78,23.11,23.43,5795733
2015-12-03,23.58,23.6,22.29,22.39,6324115
2015-12-04,22.37,22.715,22.19,22.63,3944215
2015-12-07,22.63,22.69,22.185,22.32,3129630
2015-12-08,21.83,22.21,21.345,21.91,6003531
2015-12-09,22.27,22.64,21.61,22.06,7775945
2015-12-10,22.13,22.35,21.73,22.06,6631650
2015-12-11,21.71,21.8,20.99,21.05,8137225
2015-12-14,20.97,21.12,20.18,20.81,9212641
2015-12-15,21.01,21.41,20.94,21.15,5937286
2015-12-16,21.44,22.18,21.3,22.08,6284996
2015-12-17,22.23,22.24,21.44,21.45,3276210
2015-12-18,21.39,21.73,21.135,21.17,4898805
2015-12-21,21.18,21.64,21.05,21.62,3748894
2015-12-22,21.68,21.87,21.37,21.74,2474815
2015-12-23,21.98,22.62,21.68,22.5,3113366
2015-12-24,22.42,22.58,22.3,22.51,950725
2015-12-28,22.33,22.74,22.16,22.63,2671192
2015-12-29,22.79,23.045,22.6,22.94,2581016
2015-12-30,22.81,23.0,22.5,22.52,2899602
2015-12-31,22.43,23.0399,22.4,22.72,2406214
2016-01-04,22.06,22.29,21.75,22.25,7464481
2016-01-05,22.4,22.97,22.2101,22.75,8259672
2016-01-06,22.23,22.61,22.01,22.39,6746191
2016-01-07,21.72,21.8,20.35,20.62,12754100
2016-01-08,20.83,21.21,20.35,20.49,8428641
2016-01-11,20.78,21.09,20.41,20.83,6309062
2016-01-12,21.09,21.71,20.62,21.13,7422153
2016-01-13,21.35,21.5015,19.91,20.02,7811217
2016-01-14,20.02,20.5699,19.51,20.27,7306492
2016-01-15,20.08,20.4597,19.465,19.86,11495980
2016-01-19,20.3,20.3,19.26,19.63,7816311
2016-01-20,19.14,19.5,17.55,19.11,14054380
2016-01-21,19.16,19.37,18.66,19.02,6726300
2016-01-22,19.5,19.77,19.01,19.34,6052745
2016-01-25,19.4,19.75,18.86,18.89,4976022
2016-01-26,18.94,19.16,18.565,19.11,5805147
2016-01-27,19.22,19.79,19.13,19.47,7825510
2016-01-28,19.92,20.34,19.12,19.28,12525330
2016-01-29,19.47,20.17,19.44,20.08,8793812
2016-02-01,20.03,20.25,19.5,20.05,6807352
2016-02-02,19.81,19.87,18.96,19.09,7964216
2016-02-03,19.32,19.36,17.8899,18.55,9290574
2016-02-04,18.63,19.18,18.47,18.77,7514575
2016-02-05,18.76,18.76,17.62,17.88,10222580
2016-02-08,17.7,17.77,16.36,16.87,13192330
2016-02-09,16.5,17.21,16.18,16.56,9303071
2016-02-10,16.75,17.8,16.75,17.17,9199363
2016-02-11,16.76,17.15,16.505,16.93,8621100
2016-02-12,17.34,18.23,17.33,18.11,11436780
