Date,Open,High,Low,Close,Volume
2015-06-22,39.745,40.32,39.715,40.105,909372
2015-06-23,40.13,40.22,40.005,40.13,1394416
2015-06-24,40.565,41.13,40.565,40.71,2760032
2015-06-25,41.195,41.195,40.67,40.775,1163776
2015-06-26,40.895,40.955,40.62,40.73,1334282
2015-06-29,40.48,40.59,40.065,40.08,1372316
2015-06-30,40.25,40.68,40.2,40.475,2364644
2015-07-01,39.115,39.83,38.9275,39.785,4272244
2015-07-02,39.79,40.205,39.6101,39.98,2490044
2015-07-06,39.86,40.055,39.495,39.695,1973926
2015-07-07,39.69,40.305,39.38,40.29,1540998
2015-07-08,40.09,40.27,39.755,39.815,1903690
2015-07-09,40.04,40.115,39.665,39.695,1974598
2015-07-10,39.72,40.225,39.72,40.0,1360458
2015-07-13,40.275,40.32,40.14,40.3,754128
2015-07-14,40.31,40.495,40.26,40.36,799430
2015-07-15,40.385,40.385,39.98,40.015,708626
2015-07-16,40.255,40.39,40.115,40.3,928724
2015-07-17,40.14,40.295,39.835,40.005,895426
2015-07-20,40.005,40.12,39.85,40.005,806830
2015-07-21,40.06,40.23,39.96,40.09,1562262
2015-07-22,40.075,40.34,40.0005,40.23,1204022
2015-07-23,40.23,40.335,40.0,40.05,903990
2015-07-24,39.955,40.15,39.76,39.945,1204516
2015-07-27,39.845,40.0101,39.735,39.91,1592578
2015-07-28,40.035,40.585,39.87,40.565,1578908
2015-07-29,40.53,40.735,40.48,40.7,1217958
2015-07-30,40.54,41.03,40.42,41.005,1240962
2015-07-31,41.135,41.14,40.87,41.005,2230278
2015-08-03,40.905,41.155,40.905,41.02,1695170
2015-08-04,40.94,41.465,40.8775,41.305,1245774
2015-08-05,41.465,41.81,41.3875,41.77,1013702
2015-08-06,41.845,41.845,41.4905,41.715,938704
2015-08-07,41.545,41.805,41.505,41.79,1143106
2015-08-10,42.0,42.48,41.915,42.335,1650946
2015-08-11,42.05,42.39,41.91,42.305,1894150
2015-08-12,42.065,42.365,41.51,42.335,1895298
2015-08-13,42.335,42.495,42.18,42.255,1037992
2015-08-14,42.28,42.615,42.18,42.6,813216
2015-08-17,42.485,42.615,42.265,42.5,1085032
2015-08-18,42.495,42.65,42.295,42.375,1019326
2015-08-19,42.24,42.24,41.67,41.755,1554294
2015-08-20,41.58,41.685,40.965,40.995,1312982
2015-08-21,40.815,40.87,39.955,39.97,1670638
2015-08-24,38.4,39.4925,37.84,38.66,2669672
2015-08-25,39.31,39.37,38.01,38.01,1899852
2015-08-26,38.57,39.1325,38.055,39.05,1807018
2015-08-27,39.28,39.5705,38.96,39.535,1523222
2015-08-28,39.535,39.97,39.4,39.96,2291686
2015-08-31,39.665,39.825,39.42,39.64,2084100
2015-09-01,39.265,39.49,38.64,38.805,1985094
2015-09-02,39.16,39.59,39.02,39.59,1492710
2015-09-03,39.71,40.3449,39.6,40.04,1537782
2015-09-04,39.61,39.6756,39.11,39.385,1326748
2015-09-08,39.9,40.45,39.56,40.445,1744536
2015-09-09,40.685,40.875,39.835,39.94,1886882
2015-09-10,39.96,40.39,39.86,40.03,1101002
2015-09-11,39.97,40.445,39.7625,40.425,1197654
2015-09-14,40.45,40.725,40.17,40.55,1635454
2015-09-15,40.595,40.99,40.215,40.91,1196224
2015-09-16,41.02,41.655,40.76,41.6,2004626
2015-09-17,41.525,42.085,41.415,41.605,1738054
2015-09-18,41.225,41.665,41.055,41.32,6071616
2015-09-21,41.37,41.75,41.155,41.59,1741660
2015-09-22,41.15,41.49,40.87,41.235,1683838
2015-09-23,41.25,41.355,41.065,41.275,1331488
2015-09-24,41.13,41.625,40.88,41.575,1313678
2015-09-25,41.735,42.22,41.53,41.715,1399088
2015-09-28,41.61,41.805,40.73,40.75,1529366
2015-09-29,40.87,40.97,40.205,40.595,2150956
2015-09-30,40.915,41.175,39.815,41.09,2588570
2015-10-01,39.99,40.465,38.825,39.34,4871656
2015-10-02,38.86,39.81,38.86,39.81,2505630
2015-10-05,39.98,40.915,39.98,40.835,2512994
2015-10-06,40.79,40.895,40.375,40.72,2110052
2015-10-07,40.83,41.15,40.66,40.91,1596700
2015-10-08,40.7,41.635,40.66,41.375,1415838
2015-10-09,41.4,41.8,41.4,41.51,1317892
2015-10-12,41.515,41.875,41.43,41.675,996036
2015-10-13,41.57,41.73,41.21,41.28,1179302
2015-10-14,41.295,41.43,40.8075,40.88,1074726
2015-10-15,41.17,41.27,40.75,40.905,1433128
2015-10-16,41.05,41.545,41.0,41.335,1341358
2015-10-19,41.25,41.475,41.14,41.31,1312098
2015-10-20,41.21,41.47,41.025,41.175,1256482
2015-10-21,41.265,41.685,41.1275,41.465,1497878
2015-10-22,41.675,42.93,41.42,42.775,1659466
2015-10-23,42.9,42.995,42.38,42.585,735350
2015-10-26,42.655,42.715,42.46,42.61,1248838
2015-10-27,42.37,42.56,42.12,42.185,975358
2015-10-28,42.235,42.385,41.6987,42.15,1250484
2015-10-29,42.03,42.385,41.845,42.32,1036346
2015-10-30,42.255,42.6,41.99,41.99,1789994
2015-11-02,42.175,42.335,41.445,42.275,1535920
2015-11-03,42.13,42.505,41.8,42.485,1360608
2015-11-04,42.53,42.67,42.325,42.525,1062500
2015-11-05,42.6,43.105,42.525,42.93,1342896
2015-11-06,42.725,42.79,41.65,42.07,1479264
2015-11-09,42.01,42.02,41.465,41.775,996160
2015-11-10,41.725,42.02,41.515,41.895,857246
2015-11-11,42.05,42.375,41.81,42.115,688294
2015-11-12,41.945,42.16,41.14,41.175,1121072
2015-11-13,41.12,41.425,40.805,40.885,948846
2015-11-16,40.885,41.665,40.69,41.65,633804
2015-11-17,41.69,41.83,41.175,41.355,1013734
2015-11-18,41.525,42.43,41.36,42.345,1076282
2015-11-19,42.465,42.785,42.075,42.36,972058
2015-11-20,42.55,42.795,42.0325,42.09,847828
2015-11-23,42.19,42.77,42.17,42.57,692400
2015-11-24,42.41,42.82,42.39,42.64,1368916
2015-11-25,42.615,43.0,42.45,42.86,727506
2015-11-27,42.885,43.025,42.61,43.015,498720
2015-11-30,43.24,43.245,42.865,42.96,3502028
2015-12-01,42.825,43.575,42.825,43.36,2111414
2015-12-02,43.145,43.445,42.695,42.755,1296116
2015-12-03,42.735,43.075,41.975,42.27,1289938
2015-12-04,42.415,43.255,42.408,43.23,885710
2015-12-07,43.22,43.73,43.115,43.7,1432672
2015-12-08,43.48,43.48,43.145,43.27,1295434
2015-12-09,43.105,43.685,42.86,43.085,984726
2015-12-10,43.03,43.065,42.56,42.59,1304822
2015-12-11,42.27,42.4299,41.75,41.925,1449160
2015-12-14,42.015,42.325,41.785,42.295,1543814
2015-12-15,42.54,42.8025,42.043,42.37,1430868
2015-12-16,42.56,43.29,42.47,43.21,1401946
2015-12-17,43.165,43.165,42.395,42.395,2455900
2015-12-18,42.21,42.32,41.84,41.84,1873280
2015-12-21,42.04,42.355,41.97,42.315,689324
2015-12-22,42.545,42.855,42.03,42.765,947974
2015-12-23,42.96,43.5,42.895,43.43,839648
2015-12-24,43.355,43.505,43.135,43.35,458524
2015-12-28,43.16,43.605,43.11,43.595,1028066
2015-12-29,43.535,43.7275,43.325,43.63,715644
2015-12-30,43.63,43.641,43.215,43.3,693920
2015-12-31,43.085,43.14,42.725,42.78,705710
2016-01-04,42.225,42.46,41.775,42.14,1386306
2016-01-05,42.2,42.6275,42.0,42.21,1488448
2016-01-06,41.965,42.35,41.815,42.135,2561264
2016-01-07,41.9,42.155,41.555,41.845,1583878
2016-01-08,41.985,42.19,41.73,41.815,2029416
2016-01-11,41.925,42.22,41.48,42.05,1675972
2016-01-12,42.305,42.85,42.195,42.755,1270326
2016-01-13,42.87,43.1,42.365,42.44,1622144
2016-01-14,42.475,42.815,42.14,42.515,1638412
2016-01-15,41.995,42.07,41.321,41.855,1448216
2016-01-19,41.25,41.4,40.4008,40.64,3332266
2016-01-20,40.165,40.43,39.225,40.15,2705482
2016-01-21,40.15,40.345,39.275,39.89,2503934
2016-01-22,40.225,40.895,40.08,40.845,2261500
2016-01-25,40.83,40.9275,40.28,40.47,1725366
2016-01-26,40.525,41.455,40.525,41.385,1561848
2016-01-27,41.39,41.5,40.9375,41.095,2159414
2016-01-28,41.375,43.2,41.225,42.705,3452554
2016-01-29,43.09,44.405,43.055,43.985,4335096
2016-02-01,43.92,44.37,43.645,44.085,2083176
2016-02-02,44.055,44.34,43.66,43.845,1978640
2016-02-03,43.81,44.195,42.975,43.49,1662044
2016-02-04,43.45,43.7,42.6375,42.915,1671774
2016-02-05,42.96,43.335,42.6,42.945,1575744
2016-02-08,42.77,43.995,42.5475,43.935,1955494
2016-02-09,43.5825,44.42,43.3825,44.12,2554486
2016-02-10,44.395,45.625,44.265,45.25,2139670
2016-02-11,44.735,45.42,44.3851,45.17,2118582
2016-02-12,45.57,45.655,44.555,44.835,2387736
2016-02-16,45.125,45.21,44.6625,45.19,1542308
2016-02-17,45.425,45.765,44.885,45.63,2361872
2016-02-18,45.325,45.52,44.68,45.465,1475866
2016-02-19,45.41,46.05,45.0675,46.01,1855578
2016-02-22,46.12,46.245,45.67,45.765,1681214
2016-02-23,45.73,46.5125,45.73,46.435,2564286
2016-02-24,46.235,46.505,45.5,46.45,1596424
2016-02-25,46.47,47.085,46.44,47.05,1042994
2016-02-26,47.045,47.215,46.48,46.765,1149708
2016-02-29,46.69,47.175,46.505,46.63,1446056
2016-03-01,46.995,47.065,46.565,46.69,1683244
2016-03-02,46.61,46.8,46.065,46.76,1225086
2016-03-03,46.6,46.885,46.275,46.875,1034226
2016-03-04,46.9,46.99,46.585,46.965,1385850
2016-03-07,46.735,46.94,46.44,46.64,1242088
2016-03-08,46.455,46.92,46.215,46.8,1173454
2016-03-09,46.97,47.225,46.73,46.935,925450
2016-03-10,47.18,47.205,46.18,46.825,968874
2016-03-11,47.185,47.42,46.735,47.115,1199182
2016-03-14,46.995,47.28,46.58,47.155,837772
2016-03-15,46.905,47.046,46.5875,46.885,1544216
2016-03-16,46.8,47.46,46.565,47.375,899430
2016-03-17,47.42,48.095,47.275,47.87,1658078
2016-03-18,47.87,48.1,47.2,47.215,3061666
2016-03-21,47.085,47.27,46.875,47.07,1464458
2016-03-22,47.025,47.2775,46.545,47.01,1457690
