Date,Open,High,Low,Close,Volume
2015-06-22,149.15,149.88,147.19,148.48,551325
2015-06-23,148.34,149.03,147.2,148.13,317250
2015-06-24,148.05,148.2,144.18,145.91,532816
2015-06-25,146.2,146.205,144.35,145.22,608680
2015-06-26,145.72,146.28,144.27,144.88,1322215
2015-06-29,143.87,146.09,141.84,142.12,514212
2015-06-30,143.09,143.95,141.48,141.51,722259
2015-07-01,142.57,144.65,142.3,143.86,685396
2015-07-02,144.52,145.3,143.175,144.0,522843
2015-07-06,142.26,145.08,141.885,144.46,805008
2015-07-07,144.39,145.96,141.54,145.03,884093
2015-07-08,144.01,147.08,142.73,144.6,836572
2015-07-09,146.17,148.98,145.94,146.77,714604
2015-07-10,148.15,153.35,148.15,152.9,896500
2015-07-13,154.43,155.15,152.65,153.36,555735
2015-07-14,153.05,153.89,151.73,151.86,715437
2015-07-15,151.32,151.52,149.6,150.95,579608
2015-07-16,151.38,155.35,151.26,153.79,565538
2015-07-17,155.12,157.73,154.49,156.53,1082312
2015-07-20,156.96,160.46,155.61,160.23,885929
2015-07-21,160.26,161.38,158.22,160.24,795471
2015-07-22,159.22,162.09,158.77,160.84,828910
2015-07-23,161.5,162.75,158.76,159.28,847336
2015-07-24,159.28,159.88,155.67,157.83,670877
2015-07-27,156.82,157.11,153.22,153.6,672414
2015-07-28,155.01,157.28,153.0,156.01,659784
2015-07-29,156.56,159.47,155.12,157.38,828152
2015-07-30,156.63,157.71,155.37,157.47,445700
2015-07-31,158.26,158.78,156.45,156.82,453796
2015-08-03,156.63,158.61,155.06,156.52,740875
2015-08-04,153.64,165.57,152.0,165.43,2116247
2015-08-05,166.72,172.6,165.92,170.14,1632269
2015-08-06,170.15,172.84,167.09,167.72,1022472
2015-08-07,168.21,169.2,165.75,167.58,543888
2015-08-10,169.19,173.0299,168.9201,172.0,607205
2015-08-11,170.68,172.85,170.06,171.0,789572
2015-08-12,169.78,172.754,169.2,172.61,858916
2015-08-13,172.51,173.42,170.41,172.15,519292
2015-08-14,172.0,175.24,171.3525,175.03,804384
2015-08-17,175.53,176.04,173.11,175.12,498695
2015-08-18,174.95,177.59,173.91,175.69,439888
2015-08-19,174.9,175.09,169.78,170.89,638240
2015-08-20,170.0,170.86,166.11,166.95,533447
2015-08-21,165.28,166.515,159.85,161.64,969820
2015-08-24,152.98,162.39,143.1601,154.82,1334723
2015-08-25,158.75,163.82,154.34,154.34,950128
2015-08-26,158.33,158.33,152.78,157.94,770039
2015-08-27,159.79,166.9,159.79,164.99,792234
2015-08-28,163.63,167.03,162.69,165.5,706315
2015-08-31,164.98,169.38,164.04,167.8,783806
2015-09-01,164.39,166.64,162.71,163.72,676979
2015-09-02,166.31,168.61,164.58,168.55,555612
2015-09-03,169.41,172.0,167.72,167.91,708570
2015-09-04,166.09,168.58,164.19,166.46,614768
2015-09-08,168.42,170.4,167.38,169.99,551119
