Date,Open,High,Low,Close,Volume
2015-06-22,137.2145,137.9441,136.8711,137.0686,1447412
2015-06-23,137.6952,138.0901,136.9227,137.2059,2286400
2015-06-24,137.0686,137.3089,135.2316,135.2316,2860743
2015-06-25,135.4977,135.9012,133.841,133.841,2562072
2015-06-26,134.047,135.6179,133.8496,134.8453,2625489
2015-06-29,133.841,134.2874,132.1242,132.15,2474655
2015-06-30,133.0513,133.3088,132.253,132.4504,2561158
2015-07-01,134.0213,134.2788,132.7594,133.6092,1726721
2015-07-02,133.9784,133.9784,132.9654,133.3775,2022399
2015-07-06,132.0985,133.5492,132.047,133.12,2170979
2015-07-07,133.1715,133.5921,131.4718,133.4204,2865946
2015-07-08,132.2616,132.6221,131.077,131.0856,2613273
2015-07-09,132.6993,133.4805,131.9783,131.9783,2069217
2015-07-10,132.8281,133.7893,132.6222,133.0084,2061221
2015-07-13,134.2702,134.5706,133.6092,134.3131,2107208
2015-07-14,134.3303,134.8367,134.15,134.5792,1812274
2015-07-15,134.399,134.7681,133.8238,133.9097,1786207
2015-07-16,135.2659,135.575,134.502,134.914,2023869
2015-07-17,134.3389,135.0857,134.2788,134.502,2428931
2015-07-20,134.5706,135.326,134.1414,134.8711,2349080
2015-07-21,134.5535,134.9225,133.3431,133.7037,2743731
2015-07-22,133.5577,134.1758,132.5706,133.4032,3066350
2015-07-23,130.4074,131.9268,127.9181,128.3301,5167933
2015-07-24,127.7807,129.446,127.6434,128.1842,3433628
2015-07-27,127.5919,127.9009,126.785,127.652,3117241
2015-07-28,127.7722,130.2358,127.3215,129.7121,3277739
2015-07-29,129.9954,130.21,129.3688,130.004,2176623
2015-07-30,129.6177,130.2443,129.0426,130.107,2120011
2015-07-31,130.9311,131.1714,129.6435,129.9096,1619572
2015-08-03,129.4374,130.2873,127.8528,128.8623,2355525
2015-08-04,129.5576,130.0812,128.8537,129.1027,1802276
2015-08-05,130.3473,131.5405,129.549,129.6263,1765640
2015-08-06,129.5233,129.8066,127.8151,128.1241,1764614
2015-08-07,127.4545,128.7593,127.182,127.8065,1669711
2015-08-10,128.7593,129.9611,128.6649,129.8237,1571784
2015-08-11,128.7593,128.7593,127.2657,127.4545,1810485
2015-08-12,126.3901,127.652,125.3858,127.4889,2054319
2015-08-13,127.0425,127.5228,126.2545,126.5275,1792788
2015-08-14,126.7507,127.4803,126.4588,127.2829,1401860
2015-08-17,126.5532,128.167,125.6348,128.1069,1648944
