Date,Open,High,Low,Close,Volume
2015-06-22,22.4667,22.55,22.2283,22.25,4395350
2015-06-23,22.475,22.475,22.0117,22.2333,4882268
2015-06-24,22.24,22.24,22.0312,22.1592,5061422
2015-06-25,22.2383,22.8717,22.005,22.795,8920354
2015-06-26,22.9983,23.275,22.8383,23.235,15084342
2015-06-29,23.0283,23.1675,22.3283,22.3983,6200732
2015-06-30,22.6217,22.6533,22.25,22.3367,5639372
2015-07-01,22.3917,22.474,22.145,22.4167,5515754
2015-07-02,22.39,22.4483,22.0283,22.2667,4328864
2015-07-06,21.9683,22.4767,21.9567,22.47,7475055
2015-07-07,22.5433,22.7933,22.2783,22.7233,6091958
2015-07-08,22.64,22.64,22.1783,22.3,5238650
2015-07-09,22.6267,22.6467,22.2325,22.24,3911090
2015-07-10,22.4467,22.745,22.32,22.685,4576652
2015-07-13,22.9117,23.2583,22.8342,23.2317,4945892
2015-07-14,23.255,23.5433,23.2417,23.48,9531274
2015-07-15,23.4167,23.6617,23.31,23.3533,4245992
2015-07-16,23.41,23.4758,23.1067,23.28,4761674
2015-07-17,23.36,23.36,23.0301,23.3433,3623539
2015-07-20,23.3567,23.86,23.3567,23.7917,4363454
2015-07-21,23.81,24.07,23.68,24.0083,6048170
2015-07-22,24.1433,24.8167,24.0967,24.6417,6798543
2015-07-23,24.5933,24.96,24.4233,24.755,5380460
2015-07-24,24.5733,24.8783,24.5533,24.815,5291102
2015-07-27,24.79,24.925,24.5383,24.7933,5865938
2015-07-28,24.82,25.0967,24.58,24.9983,5142212
2015-07-29,24.99,25.3117,24.87,25.22,4976720
2015-07-30,25.1633,25.4217,24.9333,25.3633,3868958
2015-07-31,25.5283,25.6783,25.405,25.5917,4725950
2015-08-03,25.7683,25.9717,25.5917,25.9683,7067367
2015-08-04,25.92,25.92,25.2667,25.2867,10788172
2015-08-05,25.3333,25.7583,25.2517,25.6667,10143118
2015-08-06,25.65,25.65,24.0483,24.145,19631456
2015-08-07,24.8483,25.4567,24.3367,24.8617,15687612
2015-08-10,25.0617,25.1133,24.0283,24.1217,10827790
2015-08-11,23.8767,24.12,23.605,23.8,7279383
2015-08-12,23.4967,23.7217,23.1,23.6917,7481799
2015-08-13,23.9733,25.085,23.9617,24.8433,11933615
2015-08-14,24.7267,25.1117,24.6633,25.0667,7008213
2015-08-17,24.9267,25.1617,24.9,25.1183,4815452
2015-08-18,25.275,25.2833,24.9967,25.0867,4728974
2015-08-19,24.9217,25.11,24.5367,24.5417,7497711
2015-08-20,24.2733,24.545,24.1,24.1,6122744
2015-08-21,23.76,23.8667,23.15,23.1517,10126168
2015-08-24,21.42,22.9717,19.2705,22.5767,15487614
2015-08-25,23.04,23.155,22.3933,22.3933,10977130
2015-08-26,22.8117,23.1183,22.385,23.0983,9258118
2015-08-27,23.27,23.6433,22.8917,23.335,7332531
2015-08-28,23.1017,23.4183,22.9783,23.405,7214457
2015-08-31,23.3433,23.6292,22.75,23.0767,9925384
2015-09-01,22.6317,22.8933,22.4083,22.505,7139991
2015-09-02,22.73,22.7833,22.355,22.7333,8509377
2015-09-03,22.81,22.93,22.4983,22.6067,6375453
2015-09-04,22.28,22.65,22.1183,22.3733,6964599
2015-09-08,22.6817,23.0267,22.43,22.8167,10115512
