Date,Open,High,Low,Close,Volume
2015-06-22,44.93,45.06,44.73,44.99,2969332
2015-06-23,45.0,45.34,44.93,45.27,3390061
2015-06-24,45.39,45.56,45.165,45.24,4475210
2015-06-25,45.43,46.43,45.26,46.21,7110043
2015-06-26,46.48,47.13,46.21,46.55,9296854
2015-06-29,46.07,46.485,45.88,45.9,4772394
2015-06-30,46.13,47.129,46.06,46.85,5539296
2015-07-01,47.05,47.13,46.54,46.73,4422098
2015-07-02,46.65,46.8999,46.43,46.65,2617667
2015-07-06,46.26,46.94,46.19,46.45,2859470
2015-07-07,46.27,46.41,45.34,45.94,4127837
2015-07-08,45.6,45.73,45.005,45.1,3137638
2015-07-09,45.56,45.7,44.64,44.71,4591482
2015-07-10,45.58,45.74,44.97,45.04,4050910
2015-07-13,45.42,45.62,45.21,45.36,2999497
2015-07-14,45.41,45.98,45.28,45.73,3881938
2015-07-15,45.72,45.8,45.2497,45.45,3007736
2015-07-16,45.46,45.56,45.16,45.27,2216208
2015-07-17,45.0,45.87,44.93,45.26,4575123
2015-07-20,45.19,45.3,44.87,44.95,3442306
2015-07-21,45.03,45.25,44.82,44.85,2489878
2015-07-22,44.55,44.71,44.03,44.2,5401692
2015-07-23,44.21,44.43,43.82,43.96,3426812
2015-07-24,43.78,43.78,42.54,42.89,6087863
2015-07-27,42.49,42.69,42.14,42.29,5932849
2015-07-28,42.36,42.77,42.0,42.76,3971385
2015-07-29,42.85,42.93,42.55,42.72,5032681
2015-07-30,42.82,43.27,42.73,42.83,3984106
2015-07-31,43.04,43.3,42.905,42.94,3610863
2015-08-03,42.95,43.05,42.52,42.76,4786653
2015-08-04,42.89,44.12,42.28,43.98,4847936
2015-08-05,44.46,44.88,44.23,44.58,3922843
2015-08-06,44.77,44.85,44.17,44.64,3343129
2015-08-07,44.58,44.95,44.35,44.4,2891328
2015-08-10,44.61,45.355,44.4,45.28,2436676
2015-08-11,44.5,44.65,43.81,43.85,3796932
2015-08-12,43.53,43.88,43.15,43.55,3531395
2015-08-13,43.46,43.6,43.05,43.34,2370084
2015-08-14,43.48,43.59,43.06,43.28,2716633
2015-08-17,43.34,43.85,43.23,43.82,2819416
2015-08-18,43.57,43.79,43.3,43.59,2736230
2015-08-19,43.3,43.37,42.41,42.57,3635488
2015-08-20,42.26,42.49,41.48,41.48,3562830
2015-08-21,41.23,41.33,39.93,39.94,5549333
2015-08-24,38.0,39.65,37.2,38.24,8320176
2015-08-25,39.25,39.44,37.5,37.57,5656725
2015-08-26,38.32,38.99,37.98,38.92,5574566
2015-08-27,39.51,40.71,39.5,40.55,4929242
2015-08-28,40.35,41.05,40.11,41.04,3580711
2015-08-31,40.83,40.96,40.3,40.83,2816448
2015-09-01,39.57,40.03,38.92,39.21,3639603
2015-09-02,39.64,39.82,39.08,39.69,2621240
2015-09-03,39.8,40.63,39.69,40.37,2697231
2015-09-04,39.72,39.92,39.49,39.67,2964181
2015-09-08,40.64,41.345,39.6,40.3,4342767
2015-09-09,40.39,40.81,39.52,39.58,3099569
2015-09-10,39.41,39.87,39.17,39.45,3095987
2015-09-11,39.0,39.27,38.75,39.14,3216228
2015-09-14,39.19,39.27,38.61,38.68,2131779
2015-09-15,38.81,39.37,38.56,39.29,2818040
2015-09-16,39.25,39.665,39.16,39.41,2504520
2015-09-17,39.27,39.5,38.73,38.83,3154486
2015-09-18,38.38,38.38,36.92,36.98,10296050
2015-09-21,37.28,37.28,36.13,36.44,5172108
2015-09-22,35.24,35.39,33.35,33.88,9121218
2015-09-23,34.0,34.0,31.85,31.98,6815028
2015-09-24,31.76,32.575,31.12,32.45,8785947
2015-09-25,32.65,32.8,31.94,32.14,4812200
2015-09-28,31.95,31.96,30.9,30.96,4183507
2015-09-29,31.13,31.51,30.8,31.04,3769431
2015-09-30,31.37,31.6,30.53,31.11,4274682
2015-10-01,31.08,31.25,29.9199,30.14,5320429
2015-10-02,29.81,30.99,29.61,30.99,8769483
2015-10-05,31.48,32.17,31.17,32.06,5896064
2015-10-06,32.06,32.48,31.95,32.08,5879344
2015-10-07,32.13,33.59,32.02,33.49,7149333
2015-10-08,33.33,34.065,33.28,33.89,4452664
2015-10-09,34.05,34.26,33.69,33.93,4566163
2015-10-12,33.95,33.98,32.76,33.08,2928659
2015-10-13,32.79,33.89,32.76,33.44,5334068
2015-10-14,33.44,35.55,33.42,35.33,7785596
2015-10-15,35.32,35.47,34.65,34.93,5715903
2015-10-16,35.1,35.19,34.72,34.93,5224301
2015-10-19,34.6,34.8,33.95,34.16,3185948
2015-10-20,34.04,34.88,34.0,34.76,4201056
2015-10-21,34.79,34.9,34.05,34.41,3773996
2015-10-22,34.63,35.235,34.47,35.16,3592198
2015-10-23,35.44,35.7,34.9,35.62,3720322
2015-10-26,35.61,36.05,35.325,35.39,3432190
2015-10-27,35.1,35.147,33.76,34.27,4006078
2015-10-28,34.3,34.92,34.18,34.56,5443058
2015-10-29,34.21,34.92,33.75,34.66,3931300
2015-10-30,34.57,34.754,33.51,33.79,4941588
2015-11-02,33.86,34.68,33.73,34.48,3899314
2015-11-03,33.54,36.95,33.24,36.51,7134555
2015-11-04,36.52,36.53,33.19,33.38,8159380
2015-11-05,33.45,33.89,32.48,32.67,6327156
2015-11-06,32.67,32.91,32.15,32.5,4354909
2015-11-09,32.5,32.8,31.7,32.64,4515522
2015-11-10,32.61,32.74,31.34,31.76,4424056
2015-11-11,31.85,31.94,31.07,31.85,3598546
2015-11-12,31.46,32.14,31.26,31.66,3280692
2015-11-13,31.69,32.51,31.53,32.21,4389266
2015-11-16,32.26,32.97,32.13,32.68,3435536
2015-11-17,32.87,32.96,31.505,31.73,4526228
2015-11-18,31.71,32.13,31.53,31.95,4567061
2015-11-19,32.05,32.95,32.0,32.31,3625191
2015-11-20,32.45,32.66,31.09,31.26,4044334
2015-11-23,31.17,31.5,30.94,30.96,4505030
2015-11-24,30.91,31.78,30.67,31.53,4340561
2015-11-25,31.36,31.82,31.08,31.46,2881840
2015-11-27,31.47,31.52,30.82,31.05,1899121
2015-11-30,31.08,31.815,30.61,31.64,5511771
2015-12-01,31.5,32.25,31.28,31.82,5679144
2015-12-02,31.81,31.85,30.425,30.71,4906310
2015-12-03,30.94,31.15,30.54,31.03,5467063
2015-12-04,31.0,31.05,30.09,30.88,6470666
2015-12-07,30.72,32.26,30.37,32.05,9704998
2015-12-08,31.82,31.93,30.0,30.02,8153687
2015-12-09,30.23,30.99,30.19,30.84,5394222
2015-12-10,30.82,31.45,30.02,30.07,4687127
2015-12-11,29.86,29.94,29.28,29.37,4180056
2015-12-14,29.36,29.49,28.27,28.7,5007435
2015-12-15,28.84,29.62,28.84,29.47,4209906
2015-12-16,29.68,30.13,28.94,30.09,4557236
2015-12-17,30.03,30.14,28.82,28.84,4880750
2015-12-18,28.73,29.38,28.5,28.54,12432730
2015-12-21,28.71,28.8,26.96,27.24,8913215
2015-12-22,27.4,28.955,27.37,28.7,6796505
2015-12-23,28.96,30.5,28.9,30.01,6161353
2015-12-24,30.09,30.45,29.63,29.75,1668902
2015-12-28,29.6,29.63,28.62,28.98,3238082
2015-12-29,29.17,29.35,28.52,28.87,3260919
2015-12-30,28.91,29.08,28.17,28.35,3015257
2015-12-31,28.06,28.3,27.53,27.59,4235834
2016-01-04,27.31,28.43,27.22,28.42,7316363
2016-01-05,28.66,28.67,27.87,28.3,4995566
2016-01-06,27.83,27.85,26.265,26.44,5963854
2016-01-07,26.17,26.34,25.34,25.53,5552589
2016-01-08,25.5,25.6,24.77,24.91,5370278
2016-01-11,25.0,25.07,23.52,23.8,7972266
2016-01-12,24.3,24.765,23.65,24.56,8549868
2016-01-13,24.75,25.1699,24.03,24.14,6384269
2016-01-14,24.08,25.38,23.76,25.06,7342210
2016-01-15,24.44,25.675,24.23,25.47,9118903
2016-01-19,25.76,25.95,24.2507,24.83,7746554
2016-01-20,24.38,24.4,22.689,23.93,8875662
2016-01-21,24.11,24.97,23.79,24.62,5979173
2016-01-22,25.25,26.23,23.365,23.85,9015752
2016-01-25,23.22,23.22,22.16,22.4,7810170
2016-01-26,22.43,23.09,22.4,22.85,5043572
2016-01-27,22.81,23.2,22.16,22.57,5721879
2016-01-28,22.49,23.18,22.05,23.0,5406316
2016-01-29,23.44,24.1,22.79,24.1,7734413
2016-02-01,23.95,24.07,23.015,23.92,5736439
2016-02-02,23.63,23.63,22.02,22.1,6462891
2016-02-03,22.44,23.94,22.43,23.93,5728357
2016-02-04,24.0,25.37,23.96,24.8,8349726
2016-02-05,24.7,25.46,24.21,24.86,4653665
2016-02-08,24.5,24.59,23.06,23.58,6038458
2016-02-09,23.09,24.06,22.58,23.86,6325973
2016-02-10,24.19,24.5,23.34,23.42,5091788
2016-02-11,23.17,25.77,22.37,24.75,11169530
2016-02-12,24.68,24.91,22.51,22.91,12192540
2016-02-16,22.86,23.62,22.2,23.54,7380277
2016-02-17,23.79,25.51,23.68,25.3,7562605
2016-02-18,25.43,25.89,24.755,25.72,6359764
2016-02-19,25.59,25.6,24.1,24.4,6528572
2016-02-22,24.69,25.22,24.67,25.16,3693345
2016-02-23,25.06,25.069,24.12,24.38,5016444
2016-02-24,24.08,25.075,23.1077,24.97,6586801
2016-02-25,24.97,25.675,24.5,25.42,4698517
2016-02-26,25.73,27.07,25.62,26.82,8208111
2016-02-29,26.6,27.2,26.33,26.65,7683088
2016-03-01,26.56,27.35,26.48,27.1,5778023
2016-03-02,26.75,28.42,26.63,28.15,6619855
2016-03-03,28.19,28.615,27.89,28.49,4457890
2016-03-04,28.55,29.82,28.5,29.61,9121390
2016-03-07,29.59,31.1,29.59,30.37,9751717
2016-03-08,30.02,30.37,29.095,29.13,5955511
2016-03-09,29.35,30.16,29.04,30.13,5591461
2016-03-10,30.19,30.35,28.92,29.46,6894537
2016-03-11,29.5,29.8,28.5,28.7,7705408
2016-03-14,28.6,29.905,28.32,29.46,5219007
2016-03-15,29.03,29.19,28.27,28.54,4412482
2016-03-16,28.08,29.23,28.04,29.1,4646561
2016-03-17,29.51,30.25,29.29,29.87,5491971
2016-03-18,30.07,30.3,29.34,29.72,15197110
2016-03-21,29.58,30.21,29.505,29.72,3606447
2016-03-22,29.51,29.7,28.92,29.15,3961488
2016-03-23,28.7,28.83,27.89,28.02,5694514
2016-03-24,27.75,27.75,26.8635,27.26,6437136
2016-03-28,27.51,28.06,26.82,27.96,4624962
2016-03-29,27.64,28.055,26.95,27.97,4092572
2016-03-30,27.85,28.41,27.69,28.12,3778751
2016-03-31,28.16,28.305,26.88,27.0,6785199
2016-04-01,26.89,27.03,25.79,26.84,7021618
2016-04-04,26.38,26.65,25.65,25.81,4493310
2016-04-05,25.6,25.8016,25.165,25.37,3911940
2016-04-06,25.41,25.5,24.52,25.4,4730362
2016-04-07,25.19,25.4,24.52,24.75,4492284
2016-04-08,25.11,25.67,24.865,24.96,3946392
2016-04-11,24.96,25.15,24.65,24.87,4243802
2016-04-12,24.98,25.64,24.57,25.53,6008756
2016-04-13,25.89,26.555,25.68,26.52,5014272
2016-04-14,26.02,26.11,25.18,25.47,6128325
2016-04-15,25.42,26.24,25.11,26.11,4706290
2016-04-18,25.96,26.72,25.8,26.5,4539387
2016-04-19,26.44,28.25,26.38,28.22,7157291
2016-04-20,28.5,28.9333,28.06,28.52,6409696
2016-04-21,28.84,29.66,28.59,28.71,5772625
2016-04-22,28.8,29.17,28.3799,28.55,3494984
2016-04-25,28.28,29.16,28.09,28.28,4030726
2016-04-26,28.34,28.69,27.72,28.55,3989857
2016-04-27,28.58,28.83,28.24,28.54,5927571
2016-04-28,27.98,29.255,27.52,28.57,7435111
2016-04-29,28.42,28.74,27.7,27.99,7336114
2016-05-02,28.27,28.59,27.43,28.52,5288029
2016-05-03,28.19,28.39,27.405,27.51,4965580
2016-05-04,27.07,27.89,26.04,27.11,7040828
2016-05-05,27.28,27.33,25.96,26.08,6180692
2016-05-06,25.92,26.45,25.84,25.99,3613124
2016-05-09,25.74,25.74,24.91,24.93,5396395
2016-05-10,25.03,26.18,24.81,26.06,5092463
2016-05-11,26.05,26.67,25.67,26.07,6846106
2016-05-12,26.68,26.9,25.38,25.44,5245450
2016-05-13,25.31,25.6,24.75,24.84,4879465
2016-05-16,25.03,25.89,25.01,25.8,4577371
2016-05-17,25.78,26.585,25.67,26.2,5543647
2016-05-18,25.95,26.55,25.1,25.23,4776759
2016-05-19,25.22,25.82,25.05,25.67,4506616
2016-05-20,25.78,26.36,25.7,25.94,4125050
2016-05-23,25.8,26.72,25.65,26.31,4993524
2016-05-24,26.51,26.59,25.84,25.96,4217291
2016-05-25,26.14,26.63,26.03,26.49,5039249
2016-05-26,26.68,26.81,26.0,26.13,5229089
2016-05-27,26.17,26.27,25.61,25.69,3800816
2016-05-31,25.47,25.47,24.75,25.23,7569989
2016-06-01,25.0,25.305,24.42,25.23,7758849
2016-06-02,25.29,26.0,25.12,25.65,7305910
2016-06-03,25.28,26.73,25.25,26.7,6587553
2016-06-06,26.85,28.49,26.75,28.36,7450425
2016-06-07,28.52,29.39,28.47,29.03,6580357
2016-06-08,29.3,29.46,27.625,28.02,6700175
2016-06-09,28.05,28.13,27.105,27.53,5002949
2016-06-10,27.21,27.46,26.62,26.97,5135463
2016-06-13,27.22,28.08,26.89,26.91,4072998
2016-06-14,26.85,27.47,25.95,26.29,5538544
2016-06-15,26.4,27.04,26.24,26.3,3909899
2016-06-16,26.07,26.11,25.44,25.9,4591515
2016-06-17,25.93,26.87,25.93,26.74,6420672
2016-06-20,27.07,27.73,26.85,26.88,5225574
2016-06-21,26.86,27.145,26.08,26.97,6251217
2016-06-22,27.19,27.65,26.69,26.74,4821295
2016-06-23,27.57,28.7,27.55,28.0,9270414
2016-06-24,26.93,27.825,26.64,26.91,8695056
2016-06-27,26.43,26.497,24.53,24.69,7356921
2016-06-28,25.27,25.58,24.84,25.26,4953205
2016-06-29,25.58,25.73,25.04,25.62,4469735
2016-06-30,25.71,26.79,25.21,26.18,7548844
2016-07-01,26.03,26.87,26.02,26.57,3845867
2016-07-05,26.24,26.56,25.24,25.47,3895317
2016-07-06,25.44,25.48,24.45,25.23,4557780
2016-07-07,25.43,25.71,24.84,24.99,4477141
2016-07-08,25.39,25.6,24.99,25.48,4398682
2016-07-11,25.7,26.2,25.59,25.69,3562120
