Date,Open,High,Low,Close,Volume
2015-06-22,49.58,49.88,49.54,49.79,5228361
2015-06-23,49.99,49.99,49.04,49.08,5247905
2015-06-24,49.12,49.25,48.96,48.97,6495264
2015-06-25,49.06,49.27,48.96,49.16,5803048
2015-06-26,49.29,49.67,49.17,49.48,7631683
2015-06-29,49.25,49.51,48.64,48.67,7291935
2015-06-30,48.97,49.275,48.5699,48.91,8246396
2015-07-01,49.09,49.26,48.74,49.1,4897127
2015-07-02,49.28,49.45,48.7,48.99,4575136
2015-07-06,48.88,49.89,48.76,49.87,7861479
2015-07-07,49.97,51.82,49.94,51.68,13299890
2015-07-08,51.32,51.49,50.95,51.03,8154238
2015-07-09,51.63,51.8,50.93,50.95,7009978
2015-07-10,51.48,51.78,51.23,51.31,7262914
2015-07-13,51.56,51.8,51.26,51.33,8046000
2015-07-14,51.33,51.46,51.21,51.35,7413939
2015-07-15,51.36,51.52,51.13,51.23,6862371
2015-07-16,51.58,53.36,51.52,52.91,12339060
2015-07-17,52.77,53.34,52.52,53.22,7388497
2015-07-20,53.24,53.84,53.23,53.71,6481425
2015-07-21,53.67,53.7,53.43,53.55,5626026
2015-07-22,53.66,54.02,53.65,53.96,7858974
2015-07-23,53.95,53.97,53.48,53.82,4768831
2015-07-24,53.77,53.97,53.61,53.79,5422984
2015-07-27,53.53,54.13,53.51,53.95,5922426
2015-07-28,54.1,55.3,54.0,55.25,9298031
2015-07-29,55.51,55.72,54.052,54.4,9425468
2015-07-30,53.73,54.36,53.5,54.2,7259055
2015-07-31,54.55,54.59,54.26,54.38,4799061
2015-08-03,54.43,54.68,54.1,54.66,4003233
2015-08-04,54.55,55.08,54.5,54.92,4841176
2015-08-05,55.13,55.63,54.945,55.47,6200741
2015-08-06,55.65,55.795,55.48,55.57,5965465
2015-08-07,55.5,55.66,55.07,55.49,5507723
2015-08-10,55.7,55.985,55.51,55.71,4657344
2015-08-11,55.43,56.39,55.24,55.73,8357188
2015-08-12,55.31,55.74,55.2,55.74,5902809
2015-08-13,55.51,55.67,55.121,55.57,6067319
2015-08-14,55.57,55.7865,55.27,55.76,4103867
2015-08-17,55.5,55.77,55.1,55.67,3370601
2015-08-18,55.58,55.68,55.1,55.2,4944329
2015-08-19,55.0,55.28,54.17,54.81,8327582
2015-08-20,54.34,55.34,54.2,54.73,6009093
2015-08-21,54.22,54.99,53.9,53.94,10543340
2015-08-24,48.71,52.9,47.41,52.14,17160510
2015-08-25,53.51,53.83,51.82,51.82,9400714
2015-08-26,53.0,53.3,51.6043,53.21,9811356
2015-08-27,53.66,53.975,52.6786,53.71,7646264
2015-08-28,53.7,54.295,53.635,54.17,7450140
2015-08-31,53.97,54.12,53.5,53.58,5022989
2015-09-01,52.72,52.72,51.7,52.03,8702136
2015-09-02,52.57,53.2,52.46,53.13,6603621
