Date,Open,High,Low,Close,Volume
2015-06-22,52.16,52.21,51.54,51.89,2555432
2015-06-23,51.96,52.49,51.69,52.19,4048356
2015-06-24,52.08,52.6,51.66,51.68,3531380
2015-06-25,51.78,52.03,51.03,51.44,2813655
2015-06-26,51.23,52.27,51.17,51.97,9232148
2015-06-29,51.19,51.92,50.8,50.85,2819704
2015-06-30,51.35,52.87,51.32,52.31,3946697
2015-07-01,52.78,54.36,52.41,53.77,7556550
2015-07-02,53.88,54.74,53.8,54.01,3549754
2015-07-06,53.44,55.32,53.42,54.76,4621939
2015-07-07,54.94,55.9,53.9,55.54,6941585
2015-07-08,55.4,55.53,53.8,53.97,3632363
2015-07-09,54.68,54.71,53.23,53.38,5963233
2015-07-10,53.87,54.6551,53.81,54.49,4473380
2015-07-13,59.33,60.38,58.3,58.78,14307170
2015-07-14,58.93,59.51,58.22,58.79,7000597
2015-07-15,58.48,58.89,57.25,57.51,5316051
2015-07-16,57.99,58.59,57.62,58.48,5927762
2015-07-17,58.22,58.61,57.5,58.58,4507383
2015-07-20,58.61,59.05,57.43,57.53,4103498
2015-07-21,57.51,58.15,56.71,57.15,3330359
2015-07-22,57.15,57.99,56.77,57.07,4206305
2015-07-23,57.09,57.49,56.19,56.33,4170008
2015-07-24,56.49,56.79,55.505,56.32,5440636
2015-07-27,55.29,55.64,54.07,54.46,8150847
2015-07-28,54.5,54.93,53.79,54.51,6120404
2015-07-29,54.7,55.94,54.23,55.81,6770869
2015-07-30,53.26,54.63,52.75,53.94,8238219
2015-07-31,54.0,55.14,53.83,54.67,6042675
2015-08-03,54.73,55.19,53.1,53.2,6815918
2015-08-04,53.27,53.55,51.92,52.19,6698150
2015-08-05,52.53,53.2,51.59,51.68,6923749
2015-08-06,51.81,52.34,51.1,52.15,6241744
2015-08-07,51.74,52.42,51.11,51.17,5200128
2015-08-10,52.21,53.57,51.65,53.26,4884336
2015-08-11,52.37,55.92,52.26,55.86,7969195
2015-08-12,55.64,58.07,54.89,57.8,8129892
2015-08-13,57.54,58.27,56.61,56.99,4881001
2015-08-14,56.75,57.12,55.19,55.66,4516457
2015-08-17,55.06,56.3,54.77,55.87,2646443
2015-08-18,55.56,55.89,54.83,55.48,2966491
2015-08-19,55.39,55.5546,53.75,54.5,4167651
2015-08-20,54.19,54.81,53.25,53.29,4828559
2015-08-21,51.86,52.08,48.38,48.38,12525450
2015-08-24,44.5,47.15,43.53,45.82,13157760
2015-08-25,47.48,47.73,43.7,43.77,8902540
2015-08-26,45.09,45.6,43.42,45.52,9824389
2015-08-27,46.35,47.22,45.29,46.67,7716311
2015-08-28,46.72,47.7699,46.72,47.22,7196703
2015-08-31,47.27,48.09,46.43,47.31,7784167
2015-09-01,46.2,46.9099,45.69,46.06,6532360
2015-09-02,46.68,46.869,45.39,46.81,4961994
2015-09-03,47.02,47.97,46.72,46.98,5420137
2015-09-04,46.24,46.95,46.11,46.34,3585707
2015-09-08,46.62,47.82,46.59,47.72,4138570
2015-09-09,48.05,48.96,47.36,47.45,5942270
2015-09-10,47.58,48.61,47.22,48.16,5288482
2015-09-11,47.67,47.92,46.81,47.87,3643795
2015-09-14,47.71,47.74,46.37,46.52,4066382
2015-09-15,46.59,47.39,46.2,47.25,3745118
2015-09-16,47.34,47.46,45.71,46.67,7669242
2015-09-17,46.51,47.84,45.98,46.83,5169589
2015-09-18,45.88,47.44,45.74,46.09,6177030
2015-09-21,46.49,47.45,46.05,46.17,3237318
2015-09-22,45.48,46.64,45.34,45.94,4515755
2015-09-23,46.1,47.2,45.94,46.26,3288635
2015-09-24,46.08,46.98,45.55,46.67,3582127
2015-09-25,46.94,47.75,46.6,47.33,4721241
2015-09-28,46.74,47.69,44.57,45.03,4114796
2015-09-29,45.38,46.6,45.09,45.54,5430729
2015-09-30,46.14,47.05,45.57,46.33,5986790
2015-10-01,46.49,48.0,46.03,47.93,5406092
2015-10-02,46.92,48.44,46.7004,48.39,4627907
2015-10-05,48.95,50.67,48.72,50.58,4980560
2015-10-06,50.47,51.07,49.95,50.04,5697635
2015-10-07,50.66,51.13,48.93,50.29,4982651
2015-10-08,50.21,51.31,49.86,51.08,3564671
2015-10-09,51.07,51.25,48.98,49.64,4880612
2015-10-12,49.88,50.1,49.34,49.77,2778950
2015-10-13,49.56,50.11,48.62,48.78,3816425
2015-10-14,48.82,49.2,48.12,48.59,3630643
2015-10-15,48.82,50.16,48.53,50.1,4480135
2015-10-16,50.63,51.2,50.08,51.13,4609442
2015-10-19,50.66,50.87,48.8,49.06,4328311
2015-10-20,48.67,48.86,47.03,47.34,4983677
2015-10-21,47.52,47.89,46.56,46.78,4893069
2015-10-22,47.21,48.045,46.97,47.65,5508521
2015-10-23,47.83,48.97,47.61,48.59,3314226
2015-10-26,48.6,49.92,48.5,48.72,3695061
2015-10-27,48.34,49.03,48.02,48.98,5123144
2015-10-28,49.02,50.11,48.75,49.84,5032022
2015-10-29,48.95,51.38,48.84,51.24,4952772
2015-10-30,51.41,52.765,50.3,51.8,5376649
2015-11-02,51.77,53.37,51.37,52.92,4317159
2015-11-03,52.89,55.37,52.73,54.63,6035256
2015-11-04,54.64,55.4,54.14,54.8,4567681
2015-11-05,55.2,55.92,54.55,55.65,5881440
2015-11-06,55.45,56.04,55.07,55.97,3042975
2015-11-09,55.95,56.48,54.24,54.32,3187312
2015-11-10,54.32,55.03,53.83,54.77,2645059
2015-11-11,55.09,55.87,54.45,54.85,3072181
2015-11-12,54.07,55.1,53.13,54.71,5816906
2015-11-13,54.63,55.05,53.56,53.68,4010439
2015-11-16,53.5,53.92,52.6,53.77,4254414
2015-11-17,53.65,54.74,53.38,54.26,4274435
2015-11-18,54.27,55.76,54.0,55.68,3395608
2015-11-19,55.5,56.04,55.09,55.81,3559862
2015-11-20,55.97,56.37,55.7299,55.93,3573834
2015-11-23,54.78,56.4813,54.58,56.41,5122608
2015-11-24,56.35,57.663,56.08,57.19,3290597
2015-11-25,57.55,59.33,57.08,58.05,6585902
2015-11-27,57.47,58.9228,57.41,58.57,1718061
2015-11-30,58.66,59.29,58.04,58.41,5456442
2015-12-01,58.82,59.54,58.03,59.34,4660794
2015-12-02,59.11,59.99,57.53,58.01,5001061
2015-12-03,58.24,58.52,54.32,54.44,9480336
2015-12-04,54.83,56.31,54.4,55.63,7325169
2015-12-07,54.88,55.545,52.56,53.69,7250636
2015-12-08,52.82,53.53,52.52,52.73,4990872
2015-12-09,52.54,53.05,50.775,51.98,7146466
2015-12-10,52.24,53.23,51.63,52.35,4236081
2015-12-11,51.49,51.78,49.4299,49.62,6665221
2015-12-14,49.29,49.42,47.58,47.99,9458383
2015-12-15,48.96,49.74,48.35,49.16,9237928
2015-12-16,49.0,49.98,48.81,49.7,6942719
2015-12-17,49.93,51.9,49.87,51.32,6727947
2015-12-18,51.35,51.64,50.27,50.35,8322669
2015-12-21,50.58,51.42,50.225,51.4,5264584
2015-12-22,51.79,52.45,51.275,51.6,4618839
2015-12-23,52.02,52.73,51.53,52.71,4457698
2015-12-24,52.45,53.08,51.93,52.64,1372138
2015-12-28,52.09,52.25,51.11,51.6,2325778
2015-12-29,52.34,52.51,51.8,52.16,1927807
2015-12-30,51.93,53.18,51.85,52.3,2757735
2015-12-31,51.99,52.56,51.36,51.84,2567899
2016-01-04,51.68,52.83,50.6584,51.24,5497256
2016-01-05,51.4,52.22,50.04,50.6,5485056
2016-01-06,49.3,49.79,47.93,48.72,7328538
2016-01-07,47.84,48.86,47.29,47.99,7563519
2016-01-08,48.34,48.55,46.14,46.19,4964670
2016-01-11,46.44,46.97,44.285,45.72,7508740
2016-01-12,46.21,47.08,45.12,46.39,4931889
2016-01-13,46.71,46.77,41.85,42.28,9901520
2016-01-14,42.56,44.19,41.13,43.66,9075927
2016-01-15,41.86,42.75,41.04,41.42,7876122
2016-01-19,42.4,42.97,40.45,41.2,5645722
2016-01-20,40.17,41.14,38.95,40.5,7633724
2016-01-21,40.03,40.75,39.12,39.61,7611009
2016-01-22,40.69,43.98,40.5,42.83,9569587
2016-01-25,42.17,43.23,40.67,40.77,5793806
2016-01-26,41.08,41.58,40.37,41.56,5022212
2016-01-27,41.57,41.86,39.53,39.86,8372305
2016-01-28,41.14,41.48,39.5,40.22,4811048
2016-01-29,40.56,41.79,39.85,41.79,7007197
2016-02-01,41.65,42.195,40.8,41.77,6671641
2016-02-02,41.07,41.38,39.75,40.27,6799121
2016-02-03,39.8,40.07,35.4,37.2,15687520
2016-02-04,36.98,37.34,34.12,34.94,17636800
2016-02-05,34.54,34.65,32.04,32.3,15529380
2016-02-08,31.85,31.85,29.71,30.73,17269990
2016-02-09,30.29,31.83,29.24,31.4,16862190
2016-02-10,31.62,32.675,31.135,31.67,9776543
2016-02-11,30.97,31.38,29.25,30.83,11198730
2016-02-12,30.86,31.95,30.595,31.73,7303947
2016-02-16,32.31,32.73,31.64,32.54,7469657
2016-02-17,32.86,33.18,32.385,32.96,7617345
2016-02-18,33.51,33.56,30.82,31.37,7977259
2016-02-19,30.93,31.6,30.64,31.59,5887540
2016-02-22,31.79,33.45,31.77,33.38,6625947
2016-02-23,33.12,33.48,31.59,31.61,6632078
2016-02-24,31.15,34.09,30.95,33.97,9141446
2016-02-25,33.88,34.44,33.13,34.22,6777464
2016-02-26,34.71,35.46,34.04,34.22,5919413
2016-02-29,34.33,34.95,34.122,34.25,7611621
2016-03-01,34.23,34.85,34.03,34.63,7681450
2016-03-02,34.59,35.08,33.89,34.71,5810616
2016-03-03,36.13,37.455,35.42,37.32,9907317
2016-03-04,37.96,37.96,36.45,37.06,7527982
2016-03-07,37.08,37.44,35.895,36.86,6840381
2016-03-08,37.07,37.24,35.12,35.17,7230649
2016-03-09,35.86,37.42,35.58,37.06,7656703
2016-03-10,36.83,36.949,35.7,36.34,6048822
2016-03-11,36.95,37.92,36.2,37.72,5110165
2016-03-14,37.15,37.68,36.33,37.04,4473823
2016-03-15,36.38,36.89,35.92,36.63,4544765
2016-03-16,36.67,38.5927,36.67,38.39,7733683
2016-03-17,38.37,38.59,37.2333,37.52,7819836
2016-03-18,37.88,38.57,37.53,38.23,9248926
2016-03-21,38.06,38.6,37.843,38.42,4143718
2016-03-22,38.02,38.88,37.99,38.57,4779972
2016-03-23,38.41,38.5,36.79,37.24,5294378
2016-03-24,36.94,37.35,36.19,36.87,4944969
2016-03-28,37.02,37.25,36.43,36.98,3849659
2016-03-29,36.49,36.69,35.75,36.66,5832615
2016-03-30,37.11,37.17,35.995,36.58,5087840
2016-03-31,36.48,37.34,35.64,37.18,5148157
2016-04-01,36.28,36.62,35.91,36.39,4312641
2016-04-04,36.05,37.23,36.0,36.65,3225187
2016-04-05,36.34,37.01,35.74,36.28,4397449
2016-04-06,36.67,36.71,35.06,36.47,6859745
2016-04-07,36.25,37.56,36.18,37.46,8234164
2016-04-08,37.83,39.34,37.82,38.7,6047891
2016-04-11,38.98,39.13,37.96,37.99,4807759
2016-04-12,38.2,39.25,37.69,38.99,7376338
2016-04-13,39.21,39.91,38.73,39.66,4590077
2016-04-14,39.7,40.18,38.97,39.42,4263246
2016-04-15,39.34,39.5858,37.78,37.9,7521412
2016-04-18,37.43,38.49,37.11,38.42,3663809
2016-04-19,38.83,39.011,37.5,38.33,4934276
2016-04-20,38.2,39.5,37.74,39.45,4593726
2016-04-21,39.43,40.88,39.02,40.72,8872751
2016-04-22,40.84,41.92,40.73,41.46,6146040
2016-04-25,41.3,41.55,40.57,41.18,3947763
2016-04-26,41.4,41.69,40.84,41.46,3854460
2016-04-27,41.71,42.25,40.8,41.37,6778634
2016-04-28,40.49,43.26,40.17,40.98,7915402
2016-04-29,40.71,40.99,38.08,39.08,7847099
2016-05-02,39.03,39.23,37.63,38.58,7610783
2016-05-03,37.89,38.25,37.29,37.99,5564717
2016-05-04,37.83,38.0,35.94,36.22,5733509
2016-05-05,36.72,37.06,35.88,36.09,5097886
2016-05-06,35.89,36.97,35.78,35.88,4980205
2016-05-09,35.69,35.78,34.005,34.95,6539767
2016-05-10,35.42,35.67,34.71,35.45,5512275
2016-05-11,35.42,36.66,35.0601,35.9,5005302
2016-05-12,35.9,36.65,34.8,34.99,4563713
2016-05-13,34.83,35.94,34.67,35.49,6937372
2016-05-16,35.46,35.67,34.45,35.63,6189373
2016-05-17,35.64,36.85,35.53,36.07,5278557
2016-05-18,36.02,37.5399,36.005,36.74,4592876
2016-05-19,36.13,37.12,35.607,36.1,6881287
2016-05-20,36.28,36.64,35.5,36.63,4728654
2016-05-23,36.41,37.09,35.55,35.57,3577397
2016-05-24,35.77,36.19,35.4,35.81,4533299
2016-05-25,36.21,36.21,35.23,35.68,4667831
2016-05-26,35.9,35.904,34.38,34.55,3698441
2016-05-27,34.66,35.13,34.06,35.11,3097591
2016-05-31,35.16,35.56,34.39,34.83,6213458
2016-06-01,34.55,36.53,34.43,36.44,7371272
2016-06-02,36.48,37.49,36.12,36.68,6626011
2016-06-03,36.65,36.7099,35.17,35.46,5428269
2016-06-06,35.68,35.7,34.72,35.29,4916650
2016-06-07,35.46,36.875,35.34,36.65,5601826
2016-06-08,36.99,37.12,36.01,36.88,7201907
2016-06-09,36.35,37.17,35.795,36.95,6020643
2016-06-10,36.32,36.94,36.23,36.4,5102946
2016-06-13,36.06,36.22,33.93,33.96,8069697
2016-06-14,33.91,34.5,32.13,32.81,9838181
2016-06-15,32.38,34.55,32.02,33.2,8382511
2016-06-16,32.94,33.5,32.34,33.39,4410077
2016-06-17,33.54,34.27,33.17,33.5,7416786
2016-06-20,34.0,34.65,33.61,34.59,6164644
2016-06-21,34.61,35.38,34.3,35.2,5463340
2016-06-22,35.2,35.63,34.94,35.26,4888098
2016-06-23,35.87,36.63,35.44,36.62,5518083
2016-06-24,34.89,35.88,34.75,35.33,11571580
2016-06-27,34.83,34.835,32.84,32.93,8480098
2016-06-28,33.9,35.72,33.8,35.7,9479590
2016-06-29,36.06,37.67,35.8401,37.26,9061586
2016-06-30,37.16,37.99,36.0403,37.96,8065304
2016-07-01,37.66,39.44,37.64,39.27,7446104
2016-07-05,38.81,38.92,37.83,38.78,7322767
2016-07-06,38.56,38.58,35.94,36.5,10528580
2016-07-07,36.76,37.32,35.1565,35.48,9990724
2016-07-08,35.92,36.875,35.43,36.4,5719330
2016-07-11,36.42,37.11,36.085,36.44,5258099
2016-07-12,36.73,37.7564,36.51,37.54,5724370
2016-07-13,37.5,37.82,36.16,36.98,5998417
2016-07-14,37.25,37.78,36.94,37.39,7515821
2016-07-15,37.64,37.83,36.385,36.55,10004830
2016-07-18,36.58,37.48,35.97,37.04,6841389
2016-07-19,37.0,37.692,36.8901,37.53,4975529
2016-07-20,37.3,37.98,36.78,37.8,3505979
2016-07-21,37.89,38.205,37.07,37.13,3811270
2016-07-22,37.26,37.84,36.76,37.82,4291826
2016-07-25,37.43,37.47,36.725,36.9,5337212
2016-07-26,36.8,38.77,36.58,38.61,5789673
2016-07-27,38.66,39.03,37.65,37.83,7513817
2016-07-28,38.22,38.95,37.02,38.17,6363686
2016-07-29,38.01,39.61,37.635,39.39,8325849
2016-08-01,39.13,39.57,38.54,38.8,8869041
2016-08-02,39.31,39.78,38.23,38.79,6051975
2016-08-03,38.37,41.45,38.37,41.22,10374000
2016-08-04,41.19,41.66,40.32,40.63,7154527
2016-08-05,40.8,42.19,40.61,41.91,5781109
2016-08-08,42.24,42.59,41.69,41.93,5419335
2016-08-09,41.92,41.95,40.86,41.03,3642219
2016-08-10,41.17,42.17,40.79,40.99,5779303
2016-08-11,41.08,42.41,40.96,41.9,4496079
2016-08-12,42.14,42.17,41.01,41.71,5268151
2016-08-15,41.72,41.77,40.91,41.21,4106080
2016-08-16,41.16,42.39,41.1379,42.13,4935565
2016-08-17,42.19,42.44,41.78,42.21,4217917
2016-08-18,42.28,42.5,41.77,42.49,4337010
2016-08-19,42.15,42.33,41.81,42.01,2981790
2016-08-22,41.72,41.81,40.52,41.1,5527065
2016-08-23,41.54,42.24,41.32,41.93,4376428
2016-08-24,42.11,42.37,41.645,41.97,4420089
2016-08-25,42.06,42.2,41.47,41.9,3486296
2016-08-26,42.02,42.36,41.41,41.85,2890050
2016-08-29,41.85,42.65,41.82,42.29,2414603
2016-08-30,42.37,42.77,41.96,42.68,2866415
2016-08-31,42.54,42.97,41.95,42.51,3362760
2016-09-01,42.55,42.6,41.385,41.91,3870569
2016-09-02,42.37,42.53,41.77,42.32,3164782
2016-09-06,42.56,43.14,42.25,42.97,4003258
2016-09-07,42.99,43.44,42.77,43.09,4288197
2016-09-08,43.29,43.86,42.73,43.45,4807018
2016-09-09,42.94,43.25,42.23,42.24,4364618
2016-09-12,41.73,43.67,41.25,43.34,6157351
2016-09-13,42.58,43.11,42.05,42.5,4355689
2016-09-14,42.46,43.03,41.51,41.87,5301749
2016-09-15,42.04,44.14,42.04,43.74,6679305
2016-09-16,43.09,43.845,42.43,43.62,7023573
2016-09-19,43.96,44.56,43.405,43.73,6621347
2016-09-20,43.86,43.94,42.55,42.55,5471254
2016-09-21,42.92,43.27,42.57,43.21,4862622
2016-09-22,43.6,43.82,42.67,42.69,5650750
2016-09-23,42.29,42.97,41.44,42.28,7783910
2016-09-26,42.49,42.67,41.44,41.48,6050349
2016-09-27,41.18,42.04,40.81,41.85,4726435
2016-09-28,42.2,42.69,41.465,42.64,5304387
2016-09-29,42.42,42.71,39.29,39.74,13818090
2016-09-30,40.11,40.99,39.52,40.59,7692188
2016-10-03,40.77,41.03,40.27,40.96,5311938
2016-10-04,41.11,42.31,41.09,41.38,4106905
2016-10-05,41.84,42.6499,41.67,42.27,4099500
2016-10-06,42.61,42.7,41.64,42.36,5607275
2016-10-07,42.36,42.47,41.51,41.77,4427650
2016-10-10,42.48,42.63,42.02,42.47,3808282
2016-10-11,42.5,42.95,41.555,41.96,5130305
2016-10-12,41.81,41.99,40.95,41.66,3738604
2016-10-13,41.27,41.79,40.445,41.56,4310822
2016-10-14,41.94,41.98,41.14,41.65,4642061
2016-10-17,41.64,42.28,41.455,41.85,4099775
2016-10-18,42.23,43.04,42.15,42.73,3060650
2016-10-19,42.92,43.07,42.245,42.65,7261229
2016-10-20,42.41,43.24,42.22,43.05,3051056
2016-10-21,42.66,44.265,42.56,44.09,4808886
2016-10-24,44.14,44.325,43.57,43.78,5061663
2016-10-25,43.83,44.5925,43.38,43.69,6612655
2016-10-26,43.32,44.89,43.26,44.26,6606539
2016-10-27,44.05,44.16,41.5,42.81,13678590
2016-10-28,42.56,43.04,41.875,42.82,8268479
