Date,Open,High,Low,Close,Volume
2015-06-22,56.7366,57.1323,56.3891,56.7752,8362407
2015-06-23,56.8234,56.9875,56.476,56.9682,8370854
2015-06-24,56.862,56.9682,56.2058,56.2058,7908212
2015-06-25,56.2154,56.5484,55.6991,55.8777,9930325
2015-06-26,56.1865,56.4857,55.8294,56.447,13083740
2015-06-29,55.9066,56.1865,55.2504,55.289,9568592
2015-06-30,55.6943,55.6943,54.7244,54.9415,11832180
2015-07-01,54.9415,55.8487,54.6327,55.5881,9380029
2015-07-02,55.9163,56.2926,55.4916,55.6557,8518380
2015-07-06,55.2407,55.8198,54.6617,55.5399,8041820
2015-07-07,55.7329,56.0707,55.1782,55.9645,9034245
2015-07-08,55.7136,55.7232,55.1249,55.3469,9110397
2015-07-09,56.0128,56.1382,55.3469,55.3758,8677218
2015-07-10,56.0417,56.2154,55.5688,55.9259,8047091
2015-07-13,56.2154,56.505,55.6653,55.8487,9125481
2015-07-14,55.8777,56.2444,55.6653,56.1575,7225591
2015-07-15,56.1286,56.5146,56.0417,56.1865,5748728
2015-07-16,56.4664,56.809,56.3119,56.7655,5324634
2015-07-17,56.6497,56.862,56.5436,56.7655,6988852
2015-07-20,56.9006,57.1323,56.8041,56.9392,5697221
2015-07-21,56.9296,56.9585,56.6015,56.6208,6926378
2015-07-22,56.4664,56.9682,55.9838,56.0996,8593822
2015-07-23,56.4857,56.4857,55.9163,56.0417,6431936
2015-07-24,55.6943,55.8584,55.3179,55.4048,7837183
2015-07-27,55.4241,55.4434,54.652,54.9994,14886080
2015-07-28,54.5459,55.6267,53.88,55.5109,16371460
2015-07-29,55.675,56.7655,55.6267,56.4953,12860530
2015-07-30,56.5725,56.7655,56.2444,56.476,6978091
2015-07-31,56.9392,57.2577,56.6497,56.9006,8731871
2015-08-03,57.2288,57.3735,56.4374,56.9875,6793376
2015-08-04,57.3639,57.3928,56.3279,56.6497,6818747
2015-08-05,57.0164,57.2046,56.7124,57.0357,5692352
2015-08-06,57.0936,57.1805,56.283,56.3891,6991452
2015-08-07,56.3119,56.4084,55.6557,55.9452,9705690
2015-08-10,56.2251,56.558,56.2251,56.3698,5042075
2015-08-11,55.9066,56.1575,55.5495,55.7425,7053583
2015-08-12,55.2793,56.2444,55.1249,56.2251,7765234
2015-08-13,56.505,57.3735,56.4567,56.9199,10886870
2015-08-14,56.9489,57.4893,56.8138,57.1129,9459098
2015-08-17,56.7462,57.663,56.5339,57.6244,6091141
2015-08-18,57.5858,57.8561,57.4797,57.5762,6797381
2015-08-19,57.2481,57.9719,57.1226,57.5762,7982358
2015-08-20,56.254,56.505,54.7582,54.9608,23636660
2015-08-21,54.6134,55.6123,53.8124,53.8221,17487650
2015-08-24,51.2164,53.2044,44.0941,52.1042,24838400
2015-08-25,53.4553,53.4746,49.2187,49.3827,22697040
2015-08-26,51.5348,52.7026,50.6566,52.5192,22846740
2015-08-27,53.3492,53.465,51.7665,53.0307,15959920
2015-08-28,52.8666,53.4746,52.6872,53.436,12796950
2015-08-31,53.1948,53.3665,51.7471,51.9691,12839550
2015-09-01,50.8207,51.3708,50.3767,50.6952,15700370
2015-09-02,51.3129,51.4094,50.5215,51.1295,13113830
2015-09-03,51.4094,51.6796,50.7628,50.811,12110630
2015-09-04,50.2802,50.4154,49.3924,49.7881,14455050
2015-09-08,51.1585,51.1681,50.3719,50.8496,14960550
2015-09-09,51.3515,51.4673,50.0004,50.1162,11075590
2015-09-10,50.203,51.3418,50.0486,50.8786,14065040
2015-09-11,50.3864,50.618,49.9039,50.2706,12072780
2015-09-14,50.2995,50.8882,50.1741,50.5119,8761632
2015-09-15,50.9365,52.0029,50.8303,51.6796,11778790
2015-09-16,51.641,52.0801,51.4577,51.9884,8568404
2015-09-17,51.9691,52.5964,51.1681,52.0753,22654500
2015-09-18,51.8051,51.9884,50.0969,50.3092,28970650
2015-09-21,50.6084,50.6084,48.9195,49.1994,17227690
2015-09-22,48.7844,49.2187,48.5045,48.9677,12794980
2015-09-23,48.9677,49.6433,48.63,49.2476,10044900
2015-09-24,48.7651,49.0836,48.4659,48.823,10465250
2015-09-25,49.1415,49.5275,47.414,47.8676,15287100
2015-09-28,47.578,47.6456,46.4103,46.7288,20137030
2015-09-29,46.8832,47.578,46.5116,46.9507,12792490
2015-09-30,47.6745,47.8097,47.1389,47.6649,12655960
2015-10-01,47.6263,47.8386,46.8446,47.6456,14403880
2015-10-02,47.0859,48.3984,46.6612,48.3887,24268810
2015-10-05,49.2862,49.5275,48.9195,49.4406,15864260
2015-10-06,49.595,49.595,47.5983,48.0606,16478010
2015-10-07,48.6975,49.3345,48.0316,49.1704,14525360
2015-10-08,48.8905,49.402,48.3887,49.238,12522370
2015-10-09,49.209,49.7108,48.9195,49.1704,10921360
2015-10-12,47.9737,49.0739,47.9544,48.9388,11643240
2015-10-13,49.0063,49.1318,47.6359,47.7421,14835310
2015-10-14,47.8579,48.3694,47.7228,47.8097,13730090
2015-10-15,47.9351,49.2959,47.5298,48.9484,14026070
2015-10-16,49.5082,49.9135,49.2959,49.6819,11073360
2015-10-19,49.5371,49.7495,49.1511,49.6047,8441884
2015-10-20,49.595,49.6719,48.3501,48.63,9944920
2015-10-21,48.9774,49.1994,48.3984,48.823,11316160
2015-10-22,49.0449,50.7242,48.5431,50.1934,18436110
2015-10-23,50.5215,51.3901,50.3188,51.033,15675850
2015-10-26,50.811,51.3129,50.6406,51.0619,10961900
2015-10-27,51.8823,52.2104,50.9365,51.6024,13946500
2015-10-28,52.1042,53.2141,51.6796,53.1755,14709950
2015-10-29,53.0403,53.6966,52.5675,52.9535,8907257
2015-10-30,52.8763,53.3347,52.7508,52.7508,10999670
2015-11-02,52.7798,53.3926,52.5096,53.1851,10553150
2015-11-03,53.1562,53.4457,52.5723,53.1851,9216178
2015-11-04,53.5325,53.8172,53.2527,53.5904,7748312
2015-11-05,53.5229,53.7387,52.7701,53.1272,9046521
2015-11-06,52.8763,52.9631,52.1235,52.7026,10722690
2015-11-09,52.1428,52.5096,51.8633,52.3455,9140088
2015-11-10,52.4806,52.6929,52.1332,52.5289,7462188
2015-11-11,52.8956,53.0789,51.8051,51.8437,8544307
2015-11-12,51.7182,52.085,51.1778,51.1778,8556756
2015-11-13,51.5927,51.8437,51.0523,51.1778,11384600
2015-11-16,50.3671,51.9305,50.3092,51.8244,6900278
2015-11-17,51.834,52.4034,51.4287,51.834,7120938
2015-11-18,51.9788,52.4227,51.8244,52.3358,10800060
2015-11-19,52.5385,52.6243,52.0381,52.3841,6829167
2015-11-20,52.7026,52.9438,52.1139,52.2104,8926043
2015-11-23,52.1863,52.308,51.9016,52.1235,8687456
2015-11-24,51.6892,51.8051,51.2453,51.612,10507170
2015-11-25,51.7471,52.0367,51.5927,51.8437,6069260
2015-11-27,51.4962,52.3069,51.4962,52.0753,2981642
2015-11-30,52.1525,52.22,51.1488,51.1585,13047130
2015-12-01,51.8919,52.7315,51.5734,52.664,12979280
2015-12-02,52.7508,53.0693,51.8726,51.9402,10081130
2015-12-03,52.1814,52.2007,50.4154,50.7531,13594890
2015-12-04,51.0233,51.8051,50.9847,51.7665,13686940
2015-12-07,52.1332,52.3358,51.3177,51.8051,8691015
2015-12-08,51.6989,52.4999,51.3611,51.6024,7573121
2015-12-09,51.419,51.7385,50.6856,50.9751,10355880
2015-12-10,51.1681,52.0946,50.9751,51.8147,11445360
2015-12-11,51.1488,51.419,50.203,50.3285,10397890
