Date,Open,High,Low,Close,Volume
2015-06-22,62.0,62.515,61.7,62.0,645036
2015-06-23,62.13,63.24,62.13,63.23,834424
2015-06-24,63.22,63.33,62.94,63.1,358694
2015-06-25,63.23,63.37,63.1,63.32,335436
2015-06-26,63.51,63.91,63.23,63.75,1506883
2015-06-29,63.12,63.43,61.77,61.79,483574
2015-06-30,62.16,62.3,61.53,61.55,601718
2015-07-01,62.12,62.53,61.98,62.21,663485
2015-07-02,62.3,62.37,61.74,62.02,370383
2015-07-06,61.41,62.2,61.35,62.11,489328
2015-07-07,62.02,63.0,61.31,62.91,702723
2015-07-08,62.38,62.49,61.53,61.69,762613
2015-07-09,62.36,62.37,61.83,62.23,596763
2015-07-10,62.92,63.91,62.82,63.79,492558
2015-07-13,64.16,64.49,63.9,64.14,416709
2015-07-14,64.24,64.53,64.0,64.51,776795
2015-07-15,64.63,65.11,64.51,64.81,401165
2015-07-16,65.04,66.34,64.93,66.24,453642
2015-07-17,66.18,66.25,65.66,66.02,386499
2015-07-20,65.98,66.54,65.95,66.36,323859
2015-07-21,66.27,66.53,66.07,66.3,668342
2015-07-22,66.17,66.565,66.17,66.49,449276
2015-07-23,66.5,67.17,66.38,66.55,635582
2015-07-24,66.46,67.24,66.46,66.89,554528
2015-07-27,66.35,66.44,65.54,65.73,354320
2015-07-28,65.92,66.245,65.42,66.0,525804
2015-07-29,65.98,67.03,65.7,66.91,359845
2015-07-30,66.44,68.38,65.94,67.97,495271
2015-07-31,68.36,68.83,68.08,68.16,324981
2015-08-03,68.19,68.34,67.3,67.54,434363
2015-08-04,67.82,68.17,66.72,66.96,728139
2015-08-05,67.38,68.31,66.43,67.6,993427
2015-08-06,67.59,68.16,66.2,66.51,515304
2015-08-07,66.44,66.64,66.02,66.22,339198
2015-08-10,66.8,67.37,66.412,66.79,760123
2015-08-11,66.38,66.38,65.43,65.55,511162
2015-08-12,64.95,65.06,63.78,63.95,957393
2015-08-13,63.83,64.0,63.39,63.4,1086829
2015-08-14,63.47,64.28,63.17,64.08,782391
2015-08-17,63.78,64.5,63.49,64.45,615352
2015-08-18,64.56,64.75,64.25,64.42,353594
2015-08-19,64.27,64.74,63.68,64.28,336036
2015-08-20,63.59,63.66,62.74,62.74,418586
2015-08-21,62.28,62.51,61.3,61.35,776449
2015-08-24,58.03,60.32,57.84,58.18,904082
2015-08-25,59.65,59.65,57.71,57.78,1096506
2015-08-26,58.79,60.41,58.21,60.14,806104
2015-08-27,60.91,61.89,60.52,61.65,744442
2015-08-28,61.26,62.18,60.65,62.16,675422
2015-08-31,60.97,61.93,60.44,60.52,886584
2015-09-01,59.18,59.73,58.43,58.56,887289
2015-09-02,59.31,59.9,58.89,59.89,654706
2015-09-03,60.06,60.48,59.58,59.67,897569
2015-09-04,58.89,59.31,58.49,58.66,628089
2015-09-08,59.69,61.01,59.38,60.92,748828
2015-09-09,61.45,61.67,59.99,60.09,648137
2015-09-10,60.05,61.23,60.025,60.86,508282
2015-09-11,60.59,61.09,59.95,61.02,721573
2015-09-14,61.06,61.178,59.79,59.85,816841
2015-09-15,60.06,61.0,60.0,60.73,692014
2015-09-16,60.64,60.85,60.42,60.65,581364
2015-09-17,60.74,61.65,60.59,60.71,665697
2015-09-18,59.93,60.62,59.8,60.12,2635254
2015-09-21,60.43,62.38,59.55,61.82,775957
2015-09-22,61.01,61.14,60.5,60.97,505051
2015-09-23,61.01,61.82,60.71,61.41,701199
2015-09-24,60.66,61.1825,60.37,60.47,911672
2015-09-25,61.1,62.07,60.63,61.32,989546
2015-09-28,60.89,61.09,58.9,58.94,567118
2015-09-29,59.1,59.1,57.91,58.24,606655
2015-09-30,58.79,59.57,58.49,59.46,849384
2015-10-01,59.16,59.54,57.59,57.95,1319239
2015-10-02,57.04,58.57,56.87,58.57,1261007
