Date,Open,High,Low,Close,Volume
2015-06-22,126.75,127.23,126.59,127.02,565702
2015-06-23,127.6,128.62,127.27,128.16,642435
2015-06-24,127.84,128.7,127.49,127.51,516291
2015-06-25,128.12,128.45,127.01,127.3,562258
2015-06-26,127.99,128.48,127.64,127.96,349288
2015-06-29,126.57,127.04,124.62,124.66,512518
2015-06-30,126.11,126.89,124.58,124.93,750056
2015-07-01,126.57,127.41,125.84,127.29,794254
2015-07-02,126.95,127.54,125.27,125.91,426922
2015-07-06,124.34,125.69,123.97,125.64,411062
2015-07-07,125.33,125.48,123.07,125.03,593823
2015-07-08,123.89,124.56,122.65,123.01,455887
2015-07-09,124.7,125.11,123.43,124.19,490150
2015-07-10,126.01,126.48,125.3,126.21,603966
2015-07-13,127.31,127.75,126.95,127.31,466423
2015-07-14,126.76,127.69,126.56,127.18,869944
2015-07-15,127.43,128.45,126.84,127.98,789747
2015-07-16,127.11,131.11,126.1201,130.81,1140141
2015-07-17,130.31,131.445,129.99,131.22,906672
2015-07-20,131.5,132.44,130.99,132.0,763776
2015-07-21,132.12,133.19,131.08,131.86,861055
2015-07-22,131.77,133.78,131.77,133.2,553704
2015-07-23,133.63,134.0,132.06,132.27,489697
2015-07-24,131.94,132.37,131.29,131.61,459603
2015-07-27,130.61,131.05,130.0,130.73,548219
2015-07-28,131.58,131.88,130.26,131.81,588357
2015-07-29,131.99,132.8,130.605,132.16,787993
2015-07-30,132.0,132.73,131.59,132.22,426825
2015-07-31,132.21,132.31,130.98,131.15,511894
2015-08-03,131.1,131.37,129.53,130.65,624691
2015-08-04,130.95,132.01,130.36,131.05,418690
2015-08-05,131.7,133.15,131.48,132.24,444684
2015-08-06,132.46,132.46,131.17,131.62,490319
2015-08-07,131.55,132.0,129.75,130.77,414630
2015-08-10,131.2,132.83,130.98,132.74,466248
2015-08-11,131.87,131.93,130.47,130.98,530863
2015-08-12,129.98,129.98,127.37,128.95,556871
2015-08-13,129.28,129.8,128.66,129.52,491983
2015-08-14,129.55,130.89,129.49,130.47,536467
2015-08-17,129.59,131.61,129.1101,130.91,500881
2015-08-18,131.1,131.77,130.23,131.17,413229
2015-08-19,130.85,131.35,129.65,129.91,906486
2015-08-20,128.01,129.31,125.44,125.44,879388
2015-08-21,124.83,124.98,122.27,122.29,873732
2015-08-24,117.84,119.85,114.24,116.11,1090752
2015-08-25,121.49,121.49,112.86,112.96,911118
2015-08-26,115.66,117.8,113.91,117.69,1224036
2015-08-27,119.32,121.145,118.485,120.67,814945
2015-08-28,119.52,119.932,118.13,119.02,594415
2015-08-31,118.2,118.824,117.62,118.24,838835
2015-09-01,115.47,116.22,111.86,112.65,779664
2015-09-02,114.46,115.27,112.785,115.27,904642
2015-09-03,115.53,118.69,115.49,118.26,1483944
2015-09-04,117.12,117.68,116.3,117.06,1603666
2015-09-08,119.62,120.42,118.76,120.14,650657
2015-09-09,121.97,122.69,120.2,120.41,979459
2015-09-10,120.03,121.39,119.8,120.4,591742
2015-09-11,119.89,121.08,118.89,121.03,629773
2015-09-14,120.97,122.3,120.26,121.77,634699
2015-09-15,121.89,123.18,121.46,122.8,815496
2015-09-16,122.53,122.78,120.805,122.08,922121
2015-09-17,122.14,123.89,119.59,120.38,972139
2015-09-18,118.74,118.795,116.87,118.33,1860944
2015-09-21,119.16,120.44,118.77,120.06,988679
2015-09-22,118.23,119.0799,117.07,117.99,544851
2015-09-23,117.67,118.74,117.09,117.99,381464
2015-09-24,116.62,119.88,115.57,119.05,1514441
2015-09-25,120.88,121.97,120.52,121.21,779844
2015-09-28,120.4,121.15,119.76,119.92,943510
2015-09-29,120.13,120.635,118.88,120.1,725461
2015-09-30,121.04,123.3,119.33,121.95,4744249
2015-10-01,121.62,122.2,116.27,117.15,3195105
2015-10-02,114.44,116.66,111.5,116.66,2426076
2015-10-05,117.32,118.59,117.06,118.28,862557
2015-10-06,118.01,118.86,116.46,117.43,1096991
2015-10-07,118.27,119.64,117.86,119.62,925615
2015-10-08,118.87,120.6,118.48,120.2,985142
2015-10-09,120.0,120.94,118.97,119.58,926218
2015-10-12,119.57,120.36,119.03,120.17,513238
2015-10-13,119.47,120.295,118.97,119.25,740900
2015-10-14,119.03,119.076,115.99,116.11,882123
2015-10-15,117.03,119.38,116.55,119.31,1529118
2015-10-16,119.82,119.99,117.0,117.0,1233366
2015-10-19,117.25,118.11,112.61,113.42,2864750
2015-10-20,113.54,115.745,113.25,115.5,2676048
2015-10-21,115.5,116.96,114.9,115.17,1904218
2015-10-22,115.98,119.4,115.98,118.8,2265573
2015-10-23,120.11,122.6,119.47,122.6,1880237
2015-10-26,122.22,123.22,120.94,123.22,1775768
2015-10-27,122.29,123.54,121.51,123.16,1704029
2015-10-28,122.39,125.56,122.27,125.56,2318822
2015-10-29,125.36,126.16,122.78,123.02,1975123
2015-10-30,123.1,123.69,119.85,119.85,3524076
2015-11-02,120.93,121.57,120.06,120.27,1883212
2015-11-03,120.37,120.9,119.66,120.14,956904
2015-11-04,120.32,120.7,119.14,119.56,820272
2015-11-05,119.57,121.31,119.5,120.6,969410
2015-11-06,122.5,124.41,122.01,123.66,1483117
2015-11-09,122.98,123.79,121.61,123.63,2899459
2015-11-10,123.0,124.1199,122.07,123.5,2384819
2015-11-11,124.1,125.35,123.57,124.56,1412933
2015-11-12,123.79,124.6,123.39,124.05,1794265
2015-11-13,123.72,124.38,121.61,122.46,1674643
2015-11-16,122.38,123.625,121.79,123.48,995573
2015-11-17,124.06,125.81,123.08,124.27,1152682
2015-11-18,124.79,125.3,122.43,125.3,1226380
2015-11-19,125.42,126.125,124.425,125.43,694325
2015-11-20,126.26,126.4899,124.48,125.08,734404
2015-11-23,125.26,125.85,124.57,125.08,564144
2015-11-24,123.98,124.81,123.01,124.59,1055231
2015-11-25,124.65,125.41,123.87,124.94,690143
2015-11-27,125.2,125.51,124.165,125.45,236373
2015-11-30,125.43,125.96,124.66,125.33,1080447
