Date,Open,High,Low,Close,Volume
2015-06-22,16.8767,17.0,16.8167,16.8733,1633737
2015-06-23,16.9267,16.952,16.8233,16.8467,1460475
2015-06-24,16.8267,16.8767,16.5767,16.58,2252526
2015-06-25,16.6267,16.78,16.6,16.6533,2286888
2015-06-26,16.6733,16.7233,16.55,16.5667,2238666
2015-06-29,16.4367,16.5033,16.1767,16.1833,2342535
2015-06-30,16.29,16.4033,16.21,16.27,2462022
2015-07-01,16.2667,16.36,16.1,16.2367,3515553
2015-07-02,16.36,16.3983,16.23,16.3767,3364935
2015-07-06,16.36,16.3987,16.1467,16.2533,3587940
2015-07-07,16.23,16.298,15.9367,16.28,3951504
2015-07-08,16.19,16.2067,15.9533,15.9533,5290042
2015-07-09,16.2133,16.6167,16.1667,16.4067,4334019
2015-07-10,16.7233,16.88,16.5133,16.8267,3041466
2015-07-13,16.99,17.06,16.89,16.8933,2334192
2015-07-14,16.89,17.095,16.84,17.0533,1588794
2015-07-15,17.02,17.1333,16.9367,17.0767,1891596
2015-07-16,17.1867,17.29,17.1317,17.29,2045496
2015-07-17,17.24,17.3,17.155,17.28,1560564
2015-07-20,17.2633,17.3367,17.21,17.25,1414089
2015-07-21,17.25,17.27,17.0267,17.07,2216304
2015-07-22,16.99,17.26,16.99,17.2433,2736531
2015-07-23,16.9633,17.4067,16.9533,17.1767,2194977
2015-07-24,17.2167,17.4733,17.2067,17.2967,1992705
2015-07-27,17.2533,17.3,17.0267,17.0567,2822340
2015-07-28,17.1033,17.2247,16.82,16.88,4165494
2015-07-29,16.86,17.0767,16.2567,16.9967,2286699
2015-07-30,16.9633,17.0633,16.91,16.9967,3338361
2015-07-31,17.1933,17.21,16.93,17.01,3163512
2015-08-03,16.8967,17.01,16.8967,16.9967,2771904
2015-08-04,17.0333,17.2,16.9767,17.1267,6824890
2015-08-05,17.1933,17.5167,17.15,17.49,3986220
2015-08-06,17.5733,17.8333,17.45,17.5933,4526031
2015-08-07,17.51,17.6667,17.4867,17.6433,3034722
2015-08-10,17.78,17.9833,17.6967,17.85,2677371
2015-08-11,17.7733,17.8367,17.6467,17.77,2508528
2015-08-12,17.5867,17.72,17.3367,17.68,2465298
2015-08-13,17.6933,17.9933,17.6467,17.8767,2440953
2015-08-14,17.8767,18.115,17.8167,18.0867,2537529
2015-08-17,18.0167,18.1333,17.85,18.0567,2829897
2015-08-18,18.0933,18.2267,18.02,18.1033,2628009
2015-08-19,18.02,18.0867,17.8603,18.01,4240083
2015-08-20,17.82,17.9067,17.6867,17.6867,3754035
2015-08-21,17.55,17.6833,17.1233,17.1833,12306082
2015-08-24,16.36,17.1567,15.9833,16.5467,7356667
2015-08-25,16.96,17.0367,16.28,16.28,10006342
2015-08-26,16.71,16.83,16.0667,16.5633,17339933
2015-08-27,16.7467,17.1033,16.7467,17.1,5383672
2015-08-28,17.0367,17.18,17.0033,17.1633,3827889
2015-08-31,17.0433,17.1833,17.0033,17.0633,4213194
2015-09-01,16.6967,16.88,16.6067,16.6733,4813464
2015-09-02,16.8767,16.9467,16.6933,16.9267,2865867
2015-09-03,16.9967,17.25,16.9567,17.05,2300385
2015-09-04,16.8967,16.9533,16.68,16.7667,2308119
2015-09-08,17.02,17.3267,16.9856,17.32,2464050
2015-09-09,17.47,17.4933,16.935,16.9833,3019278
2015-09-10,16.9633,17.1833,16.8467,17.11,2158410
2015-09-11,17.06,17.2533,16.97,17.25,1654758
2015-09-14,17.2533,17.2723,17.0833,17.1233,2660373
2015-09-15,17.24,17.3333,17.1467,17.2433,2799258
2015-09-16,17.1633,17.3017,17.0833,17.28,3104598
2015-09-17,17.28,17.3933,16.9467,16.9833,3839250
2015-09-18,16.7167,16.8833,16.63,16.8233,5665606
2015-09-21,16.9533,17.07,16.8833,17.0567,3173865
2015-09-22,16.83,17.0167,16.8133,17.0133,3139296
2015-09-23,17.0,17.3667,16.9933,17.3267,2973576
2015-09-24,17.2033,17.4067,17.14,17.3133,4536126
2015-09-25,17.4833,18.0,17.32,17.8267,3211500
2015-09-28,17.7667,17.8067,17.3333,17.34,3085572
2015-09-29,17.3433,17.41,17.14,17.27,3955095
2015-09-30,17.4767,17.8133,17.3767,17.7767,3933039
