Date,Open,High,Low,Close,Volume
2015-06-22,25.3675,25.4,25.135,25.19,4985308
2015-06-23,25.15,25.22,24.805,24.8225,6798896
2015-06-24,24.8525,24.9775,24.6325,24.6325,6317528
2015-06-25,24.7125,24.7575,24.465,24.4975,5919232
2015-06-26,24.475,24.6975,24.3075,24.675,6910792
2015-06-29,24.4275,24.9525,24.4275,24.5425,8041132
2015-06-30,24.645,24.76,24.4513,24.5075,10800848
2015-07-01,24.6025,24.6975,24.48,24.6075,7578616
2015-07-02,24.7425,25.1425,24.7375,25.055,8877944
2015-07-06,25.005,25.215,24.835,25.115,6876452
2015-07-07,25.0625,25.925,25.0625,25.72,12375744
2015-07-08,25.6,25.7275,25.4875,25.4875,10838572
2015-07-09,25.565,25.705,25.205,25.295,11294588
2015-07-10,25.2875,25.5688,25.135,25.41,6037056
2015-07-13,25.5025,25.6025,25.33,25.4925,5685128
2015-07-14,25.49,25.635,25.4075,25.4975,4930908
2015-07-15,25.51,25.695,25.355,25.6925,5037340
2015-07-16,25.7,26.2312,25.6775,26.1075,9913208
2015-07-17,26.1075,26.1275,25.8725,25.9125,6275300
2015-07-20,25.9325,25.995,25.675,25.7875,8994544
2015-07-21,25.785,25.87,25.445,25.5325,8643208
2015-07-22,25.545,25.855,25.535,25.7,8381772
2015-07-23,25.7,25.7125,25.305,25.5175,7789812
2015-07-24,25.4575,25.705,25.4425,25.57,4232052
2015-07-27,25.61,25.97,25.6025,25.875,5823356
2015-07-28,25.8625,26.065,25.755,26.0225,11233516
2015-07-29,25.935,26.17,25.7625,26.1475,8348956
2015-07-30,26.055,26.325,25.9875,26.2225,7009344
2015-07-31,26.425,26.58,26.265,26.3,10185164
2015-08-03,27.12,27.3275,26.6388,26.9275,18270152
2015-08-04,26.93,26.995,26.595,26.635,12726252
2015-08-05,26.73,26.785,26.485,26.49,7557716
2015-08-06,26.5625,26.5813,26.3225,26.4375,11786468
2015-08-07,26.435,26.9125,26.31,26.75,6700928
2015-08-10,26.7725,26.8725,26.5075,26.6325,12003316
2015-08-11,26.6675,27.0225,26.53,26.6575,7881892
2015-08-12,26.5875,27.1425,26.5,27.1,14127756
2015-08-13,27.095,27.3025,26.805,27.23,7236248
2015-08-14,27.1825,27.265,26.9775,27.26,5754032
2015-08-17,27.3075,27.495,27.275,27.3825,5935464
2015-08-18,27.2975,27.4675,27.18,27.3775,7287476
2015-08-19,27.2525,27.4025,26.995,27.2675,9686292
2015-08-20,27.135,27.4175,27.045,27.0625,8223672
2015-08-21,26.9625,27.0625,26.6975,26.74,11028056
2015-08-24,25.7525,26.4675,25.0,25.76,19775416
2015-08-25,26.175,26.2075,25.11,25.1275,15192208
2015-08-26,25.2825,25.4838,24.9175,25.415,13412180
2015-08-27,25.59,25.6565,25.25,25.565,12068632
2015-08-28,25.5525,25.605,25.145,25.455,9229956
2015-08-31,25.3425,25.3694,24.405,24.6025,20435188
2015-09-01,24.33,24.3575,23.6625,23.8375,14445316
2015-09-02,23.9925,24.105,23.5875,23.76,13181056
2015-09-03,23.8775,24.0,23.6825,23.7925,10100560
2015-09-04,23.55,23.815,23.51,23.655,11545716
2015-09-08,23.95,24.2875,23.925,24.2725,11679360
2015-09-09,24.4575,24.4825,23.785,23.825,9557688
2015-09-10,23.7975,24.04,23.75,23.8375,9977472
2015-09-11,23.4475,23.9825,23.435,23.9625,18495680
2015-09-14,23.965,24.185,23.895,24.0325,12264504
2015-09-15,24.0525,24.0938,23.8125,24.0575,13068388
2015-09-16,24.0775,24.4575,24.075,24.3775,11133468
2015-09-17,24.3375,25.055,24.3,24.675,11893536
2015-09-18,24.685,24.9825,24.315,24.3225,25546080
2015-09-21,24.3775,24.645,24.3525,24.5125,7881724
2015-09-22,24.32,24.48,24.145,24.2625,10011788
2015-09-23,24.2775,24.3575,24.165,24.245,6479640
