Date,Open,High,Low,Close,Volume
2015-06-22,24.27,24.29,23.87,23.95,6532246
2015-06-23,23.92,24.41,23.91,24.13,6100294
2015-06-24,24.21,24.39,23.985,24.12,3704935
2015-06-25,24.11,24.17,23.81,23.94,4113679
2015-06-26,23.88,24.05,23.73,23.83,2941851
2015-06-29,23.91,24.02,23.43,23.53,4718591
2015-06-30,23.41,23.605,23.1,23.36,5751521
2015-07-01,23.25,23.4,22.95,23.13,5159638
2015-07-02,23.3,23.705,23.2,23.67,4138079
2015-07-06,23.47,24.07,23.44,23.86,4706195
2015-07-07,23.33,23.47,22.4,22.41,10422770
2015-07-08,22.55,22.785,22.4,22.52,5278117
2015-07-09,22.81,22.9,22.36,22.59,3420179
2015-07-10,22.75,22.92,22.43,22.52,3260391
2015-07-13,22.32,22.555,21.84,22.5,5319312
2015-07-14,22.5,22.61,22.1,22.15,6330999
2015-07-15,22.08,22.15,21.77,21.8,4801446
2015-07-16,21.7,21.76,21.33,21.38,6841506
2015-07-17,21.16,21.2,20.65,20.69,7170718
2015-07-20,19.96,20.0,18.12,18.16,20493800
2015-07-21,18.54,19.08,18.3101,18.74,14137680
2015-07-22,18.32,18.93,18.22,18.52,9766202
2015-07-23,18.72,18.74,17.59,17.6,14276510
2015-07-24,17.52,17.95,17.36,17.8,16376070
2015-07-27,17.68,18.15,17.1,17.22,11114330
2015-07-28,17.44,17.69,17.15,17.64,10645590
2015-07-29,17.73,17.87,17.25,17.67,11011480
2015-07-30,17.35,17.71,17.05,17.29,8478910
2015-07-31,17.8,17.8,17.11,17.17,10187890
2015-08-03,17.09,17.2,16.39,16.42,9041995
2015-08-04,16.62,16.84,16.22,16.4,9916847
2015-08-05,16.65,16.94,16.31,16.35,7473971
2015-08-06,16.44,16.87,16.26,16.36,9788954
2015-08-07,16.37,16.72,16.08,16.14,10185580
2015-08-10,16.29,17.07,16.07,16.95,11125180
2015-08-11,17.0,17.1,16.58,17.03,8891661
2015-08-12,17.34,18.44,17.34,18.14,14675050
2015-08-13,17.97,18.06,17.46,17.49,7245211
2015-08-14,17.75,17.8116,17.24,17.35,5511911
2015-08-17,17.57,17.96,17.45,17.85,6796028
2015-08-18,17.52,17.68,17.32,17.54,5269519
2015-08-19,17.74,18.02,17.543,17.93,7382882
2015-08-20,18.39,18.8,18.14,18.55,10083690
2015-08-21,18.85,18.92,18.1,18.14,9452008
2015-08-24,17.73,18.4799,16.73,16.89,14514000
2015-08-25,17.24,17.25,16.105,16.17,12002180
2015-08-26,16.1,16.11,15.39,15.81,12511890
2015-08-27,15.76,16.82,15.71,16.7,11324610
2015-08-28,16.67,17.37,16.63,17.17,9334460
2015-08-31,16.98,17.25,16.68,17.07,8089898
2015-09-01,17.07,17.44,16.63,16.73,6839889
2015-09-02,16.74,16.88,16.02,16.21,8052167
2015-09-03,15.98,16.71,15.92,16.19,7665110
2015-09-04,16.02,16.05,15.46,15.7,8297236
2015-09-08,15.82,16.025,15.59,15.96,7169673
2015-09-09,15.69,16.085,15.55,15.62,6040661
2015-09-10,15.73,15.91,15.5,15.56,6762663
2015-09-11,15.43,16.29,15.43,16.24,8944666
2015-09-14,16.02,16.19,15.71,15.89,7727847
2015-09-15,15.84,16.345,15.79,15.97,6657326
2015-09-16,16.2,17.07,16.16,16.94,7901338
2015-09-17,16.76,17.47,16.57,17.24,10157690
2015-09-18,17.62,17.65,16.74,16.98,19365140
2015-09-21,16.78,16.98,16.605,16.63,7641390
2015-09-22,16.22,16.36,15.4,15.59,11093490
2015-09-23,15.87,15.87,15.45,15.55,6135529
2015-09-24,15.85,16.81,15.62,16.78,11643090
2015-09-25,16.35,16.67,16.34,16.59,8021356
2015-09-28,16.21,16.28,15.95,16.02,8048958
2015-09-29,16.02,16.25,15.73,15.82,5443437
2015-09-30,15.58,16.17,15.56,16.07,7613342
2015-10-01,16.23,16.44,15.75,15.84,6982583
2015-10-02,16.44,17.1,16.29,17.07,9780726
2015-10-05,17.18,18.13,17.18,17.95,11190680
2015-10-06,18.12,18.65,17.88,18.35,12084500
2015-10-07,18.49,19.205,18.4,18.94,12793940
2015-10-08,18.69,19.41,18.5,18.66,9874394
2015-10-09,19.3,19.46,18.74,18.93,8379214
2015-10-12,19.26,19.26,18.26,18.45,8544755
2015-10-13,18.43,18.61,18.15,18.37,8457854
2015-10-14,18.78,19.59,18.48,19.47,12990160
2015-10-15,19.22,19.44,18.99,19.3,9496251
2015-10-16,19.37,19.46,18.9601,18.99,8790792
2015-10-19,18.86,19.205,18.47,18.55,5876699
2015-10-20,18.76,19.14,18.62,18.84,6231088
2015-10-21,18.7,18.73,18.22,18.42,4465375
2015-10-22,18.38,19.13,18.31,19.03,6150365
2015-10-23,19.24,19.64,19.05,19.55,7361777
2015-10-26,19.37,19.41,18.79,18.8,6738538
2015-10-27,18.76,19.14,18.52,18.77,4803249
2015-10-28,19.08,20.3,18.55,19.15,12236830
2015-10-29,19.48,20.57,19.44,19.89,12471090
2015-10-30,19.91,20.13,19.46,19.46,8352715
2015-11-02,19.32,19.76,18.98,19.63,6089444
2015-11-03,19.35,19.49,18.88,19.22,6163489
2015-11-04,19.36,19.51,18.92,19.01,5260911
2015-11-05,18.96,18.96,17.26,17.5,14900580
2015-11-06,16.99,17.7,16.81,17.54,10575650
2015-11-09,17.49,17.94,17.26,17.86,7296177
2015-11-10,17.52,17.8,17.29,17.46,5360891
2015-11-11,17.59,17.83,17.44,17.79,4115861
2015-11-12,17.37,17.87,17.08,17.33,7344381
2015-11-13,17.33,17.51,17.23,17.5,4715608
2015-11-16,17.59,17.905,17.5,17.63,6463970
2015-11-17,17.51,17.67,16.65,16.88,8347518
2015-11-18,17.0,17.72,16.815,17.63,7371493
2015-11-19,17.8,18.1099,17.64,18.05,6773281
2015-11-20,18.1,18.18,17.58,17.68,7405103
2015-11-23,17.54,17.67,17.23,17.56,5308283
2015-11-24,17.82,18.145,17.58,18.0,6283912
2015-11-25,17.71,18.25,17.67,17.91,4456724
2015-11-27,17.5,17.63,17.24,17.39,5513746
2015-11-30,17.59,18.52,17.48,18.41,10090900
2015-12-01,18.24,18.45,17.85,18.39,8011977
2015-12-02,18.06,18.39,17.77,17.85,6891627
2015-12-03,18.09,18.94,18.03,18.73,8863057
2015-12-04,18.94,20.49,18.87,20.46,14378330
2015-12-07,20.03,20.17,19.55,19.75,10049820
2015-12-08,19.61,19.7,19.15,19.38,6698450
2015-12-09,19.76,20.04,19.29,19.6,7829201
2015-12-10,19.5,19.79,19.42,19.43,4774187
2015-12-11,19.13,19.8,18.93,19.13,7555867
2015-12-14,19.06,19.13,18.22,18.35,7828473
2015-12-15,18.45,18.58,18.07,18.4,5912499
2015-12-16,18.79,19.26,18.65,19.08,7855182
2015-12-17,18.44,18.44,17.5,17.61,9893020
2015-12-18,17.8,18.15,17.58,17.71,10216930
2015-12-21,18.09,18.25,17.5,17.65,5473056
2015-12-22,17.53,17.89,17.48,17.8,4186812
2015-12-23,17.86,18.25,17.76,18.14,6848821
2015-12-24,18.29,18.61,18.23,18.54,2068276
2015-12-28,18.29,18.41,17.74,17.91,3948015
2015-12-29,18.14,18.17,17.87,18.03,4034875
2015-12-30,17.71,17.81,17.62,17.77,3502173
2015-12-31,17.72,18.05,17.67,17.99,4189021
2016-01-04,18.44,18.75,18.16,18.44,6578657
2016-01-05,18.57,18.57,18.13,18.42,5330867
2016-01-06,18.71,19.05,18.53,18.56,6267622
2016-01-07,18.8,19.11,18.22,18.86,12351440
2016-01-08,18.51,18.78,17.9,18.01,8763307
2016-01-11,18.12,18.24,16.655,17.01,8514304
2016-01-12,17.12,17.18,16.38,17.01,13887640
2016-01-13,17.07,17.61,17.04,17.48,8065246
2016-01-14,17.17,17.6,16.93,17.27,7699787
2016-01-15,17.65,17.8699,17.45,17.7,10141620
2016-01-19,17.81,17.85,16.06,16.31,11848070
2016-01-20,16.61,16.72,16.08,16.56,10009530
2016-01-21,16.47,16.77,16.05,16.69,6597105
2016-01-22,16.43,16.93,16.27,16.68,5603485
2016-01-25,16.94,17.799,16.87,17.67,9735522
2016-01-26,17.84,18.8,17.76,18.5,9001545
2016-01-27,18.54,19.48,18.1842,19.44,13944610
2016-01-28,19.25,19.75,18.72,19.53,10090870
2016-01-29,19.41,20.07,19.32,19.96,8926403
2016-02-01,20.02,20.645,20.02,20.55,9039618
2016-02-02,20.25,20.41,19.6,20.07,6816667
2016-02-03,20.31,22.395,20.3,22.34,16124920
2016-02-04,22.89,24.15,22.78,23.38,19596880
2016-02-05,22.61,24.5,22.31,24.41,16839480
